dates,satname,nzd0224-0000,nzd0224-0001,nzd0224-0002,nzd0224-0003,nzd0224-0004,nzd0224-0005,nzd0224-0006,nzd0224-0007,nzd0224-0008,nzd0224-0009,nzd0224-0010,nzd0224-0011,nzd0224-0012,nzd0224-0013,nzd0224-0014,nzd0224-0015,nzd0224-0016,nzd0224-0017,nzd0224-0018,nzd0224-0019,nzd0224-0020,nzd0224-0021,nzd0224-0022,nzd0224-0023,nzd0224-0024,nzd0224-0025,nzd0224-0026,nzd0224-0027,nzd0224-0028,nzd0224-0029,nzd0224-0030,nzd0224-0031,nzd0224-0032,nzd0224-0033,nzd0224-0034,nzd0224-0035,nzd0224-0036,nzd0224-0037,nzd0224-0038,nzd0224-0039,nzd0224-0040,nzd0224-0041,nzd0224-0042,nzd0224-0043,nzd0224-0044,nzd0224-0045,nzd0224-0054,nzd0224-0055,nzd0224-0056,nzd0224-0057,nzd0224-0058,nzd0224-0059,nzd0224-0060,nzd0224-0061,nzd0224-0062,nzd0224-0063,nzd0224-0064,nzd0224-0065,nzd0224-0066,nzd0224-0067,nzd0224-0068,nzd0224-0069,nzd0224-0070,nzd0224-0071,nzd0224-0072,nzd0224-0073,nzd0224-0074,nzd0224-0075,nzd0224-0076,nzd0224-0077,nzd0224-0078,nzd0224-0079,nzd0224-0080,nzd0224-0081,nzd0224-0082,nzd0224-0083,nzd0224-0084,nzd0224-0085,nzd0224-0086,nzd0224-0087,nzd0224-0088,nzd0224-0089,nzd0224-0090,nzd0224-0091,nzd0224-0092,nzd0224-0093,nzd0224-0094,nzd0224-0095,nzd0224-0096,nzd0224-0097,nzd0224-0098,nzd0224-0099,nzd0224-0100,nzd0224-0101,nzd0224-0102,nzd0224-0103,nzd0224-0104,nzd0224-0105,nzd0224-0106,nzd0224-0107,nzd0224-0108,nzd0224-0109,nzd0224-0110,nzd0224-0111,nzd0224-0112,nzd0224-0113,nzd0224-0114,nzd0224-0115,nzd0224-0116,nzd0224-0117,nzd0224-0118,nzd0224-0119,nzd0224-0120,nzd0224-0121,nzd0224-0122,nzd0224-0123,nzd0224-0124,nzd0224-0125,nzd0224-0126,nzd0224-0127,nzd0224-0128,nzd0224-0129,nzd0224-0130,nzd0224-0131,nzd0224-0132,nzd0224-0046,nzd0224-0053,nzd0224-0048,nzd0224-0049,nzd0224-0050,nzd0224-0051,nzd0224-0052,nzd0224-0047
1999-08-05 21:46:35.104000,L7,462.71,452.40,519.13,520.67,530.96,517.64,507.71,516.04,517.09,510.44,517.46,491.66,491.46,488.27,499.50,499.87,504.49,504.22,509.14,506.80,509.74,514.72,513.16,517.41,527.69,511.39,524.44,529.52,529.39,442.88,433.85,422.00,438.27,434.41,473.84,472.12,482.65,461.59,444.28,419.69,401.99,380.14,337.07,317.82,264.43,171.82,364.18,397.28,413.08,401.95,482.46,446.46,465.47,469.35,430.00,438.90,460.59,513.28,417.86,408.33,401.76,348.92,352.60,368.66,363.07,380.67,389.74,393.68,400.81,401.84,400.83,393.43,378.93,381.68,501.28,518.00,513.45,387.97,390.37,385.65,400.83,404.15,420.16,432.71,437.83,435.30,438.16,436.05,436.04,439.44,451.63,431.83,441.05,456.16,432.53,425.91,413.29,414.12,411.29,411.26,414.18,407.02,392.43,401.91,398.53,389.36,356.52,361.83,375.63,378.62,389.63,395.13,385.89,372.46,362.43,361.32,352.56,347.11,358.84,347.65,329.00,334.60,339.66,355.36,387.15,,,,,,,,
1999-08-21 21:46:33.053000,L7,458.57,449.20,434.37,418.39,400.45,389.08,389.61,384.70,381.22,382.38,377.82,376.24,385.87,380.04,379.00,376.29,379.09,361.82,351.22,404.27,421.49,422.04,427.03,420.67,423.34,421.56,428.47,426.86,428.64,435.05,424.28,433.72,432.87,441.63,474.35,486.03,479.74,453.28,444.07,416.17,400.21,379.05,329.90,319.32,269.67,195.85,,385.32,353.85,352.47,363.91,349.66,358.04,355.60,358.07,356.25,361.65,367.34,366.41,357.73,354.99,358.84,362.13,368.60,375.40,378.55,388.47,392.14,393.39,398.20,402.05,403.41,394.00,392.60,385.64,387.89,390.03,389.62,400.78,397.17,401.58,404.27,420.39,429.95,436.80,431.42,453.98,443.20,444.63,440.86,441.29,432.27,430.53,433.38,431.06,423.03,412.66,408.40,418.00,413.60,417.35,400.57,389.41,384.64,394.49,387.54,351.59,367.81,381.14,387.32,392.38,395.93,376.78,367.14,362.68,362.13,354.07,352.70,368.69,354.91,333.59,337.28,351.01,363.60,368.17,,,,,,,,
1999-09-22 21:46:36.849000,L7,473.69,470.56,459.46,449.54,441.20,435.15,432.87,434.26,438.07,419.09,397.38,395.82,438.39,436.05,440.45,439.90,451.66,459.20,452.28,412.35,433.21,525.20,525.75,525.52,518.57,523.97,525.32,524.52,524.62,532.51,533.19,469.05,449.84,478.53,490.29,500.01,528.00,481.98,453.86,429.04,406.72,385.83,351.51,325.28,270.36,204.53,484.94,444.77,421.28,397.99,383.61,379.63,370.65,371.83,412.29,420.27,417.31,410.41,400.46,360.77,359.11,363.54,369.49,372.21,382.70,390.07,397.78,401.89,403.29,413.53,411.62,407.79,402.30,389.03,405.44,398.90,400.06,397.71,397.04,401.51,409.41,418.78,431.85,449.43,452.85,457.10,460.26,451.99,447.72,455.29,449.27,445.99,446.15,446.09,444.02,442.85,440.33,431.23,423.05,418.04,420.08,417.23,410.22,411.24,407.55,407.03,404.28,399.38,398.15,399.36,409.07,410.67,403.83,387.86,380.62,377.00,369.39,373.57,372.80,360.68,341.62,343.42,357.73,372.84,395.06,177.52,442.67,,,,,,
1999-10-24 21:46:32.266000,L7,309.63,285.98,316.29,279.41,383.91,376.81,373.37,370.99,365.93,366.94,363.45,368.66,376.49,371.42,371.29,361.17,369.10,354.88,341.54,385.72,417.25,297.65,273.98,250.63,219.60,425.11,431.40,434.50,434.49,433.01,434.87,430.65,448.03,440.82,479.96,477.11,479.87,450.66,449.66,419.12,399.76,376.84,335.94,323.59,270.69,186.58,,273.51,346.23,336.33,331.52,356.44,354.33,351.02,359.70,360.76,361.84,362.58,357.52,350.73,350.49,354.81,355.51,374.16,372.25,534.59,495.00,519.21,507.36,497.42,499.34,197.03,506.13,515.93,465.52,432.42,464.70,457.26,454.94,451.47,402.23,405.51,225.86,253.22,235.34,277.64,257.53,439.18,430.45,436.84,432.52,434.85,409.62,433.93,408.44,428.58,413.72,406.55,407.24,405.44,409.29,400.82,365.07,531.99,524.69,515.31,526.91,356.73,376.17,344.70,378.95,390.66,373.77,362.79,356.73,348.30,342.96,345.75,355.98,343.85,323.68,321.86,335.93,335.91,333.58,,,,,,,,
2000-04-01 21:46:10.627000,L7,414.99,399.41,386.97,373.63,188.97,268.12,297.78,296.68,329.80,325.03,254.82,255.92,219.41,340.60,330.79,342.51,276.65,278.49,305.87,315.51,302.46,335.13,347.27,340.30,343.75,340.45,369.47,270.36,286.20,,309.73,319.23,252.03,266.60,291.76,294.00,280.62,175.24,307.87,292.03,302.53,344.74,260.84,241.03,174.60,,,185.54,175.08,172.59,180.62,221.39,232.68,239.33,238.35,235.62,199.92,257.13,298.11,273.89,268.63,292.80,286.82,291.30,293.93,294.44,292.53,305.11,315.28,314.77,327.32,298.60,295.13,281.35,275.30,278.65,272.77,277.56,303.17,296.06,292.72,309.42,322.01,342.79,349.21,346.53,346.84,354.98,362.55,372.63,369.12,367.70,360.55,355.28,364.85,347.40,351.87,329.68,329.67,316.15,317.74,284.19,301.85,324.07,,,,284.25,319.93,,326.12,328.74,325.67,318.60,315.99,310.08,291.41,318.39,324.23,225.01,226.25,251.97,279.21,,,,,,,,,,
2000-05-19 21:45:43.918000,L7,303.28,243.55,388.58,383.75,360.35,348.61,348.45,342.35,337.31,327.82,337.00,337.58,342.18,339.42,343.26,328.29,266.72,211.26,268.77,347.45,384.92,387.70,387.86,384.58,386.95,375.96,383.25,383.60,384.67,390.65,387.92,389.74,390.91,385.78,394.11,388.39,364.75,358.63,362.68,374.63,325.46,353.91,325.65,306.08,240.90,,,234.37,309.62,309.02,310.74,312.97,318.95,317.55,306.17,286.23,293.81,298.57,316.47,291.99,314.17,315.97,294.88,309.26,307.56,331.15,310.43,338.54,338.39,350.50,313.31,353.33,328.74,335.18,299.96,317.25,296.26,284.11,311.88,290.35,292.97,311.42,323.29,341.32,354.20,343.70,352.21,354.31,363.08,375.98,363.94,359.26,367.81,357.74,364.76,238.40,346.65,311.25,335.28,366.89,335.80,,,,,,,276.23,323.39,,354.33,338.72,324.45,309.08,326.11,315.24,322.26,325.02,337.59,327.62,,298.30,322.34,333.05,209.78,,,,,,,,
2000-06-04 21:45:32.324000,L7,290.43,260.05,209.65,298.80,357.06,347.39,344.45,340.72,337.77,333.41,332.40,335.42,342.40,335.26,341.80,337.82,265.49,,,363.54,379.09,387.34,385.22,377.77,382.09,378.47,378.45,376.75,377.41,377.56,381.55,378.31,387.57,387.20,393.02,390.11,386.79,353.17,363.19,364.22,363.48,257.88,181.98,,,,,189.94,307.70,296.40,308.78,313.57,316.08,313.45,306.32,295.23,299.01,306.91,308.94,299.06,302.64,295.54,295.07,297.03,309.83,307.87,299.31,303.72,325.15,315.02,307.80,309.74,329.33,308.13,297.06,288.54,280.35,282.92,296.37,274.78,301.51,310.98,323.29,334.95,342.96,346.38,342.26,282.34,,269.04,199.67,225.88,345.40,354.99,334.75,,,,303.23,368.66,319.95,,,,,,,,,,,,,309.13,318.23,309.43,,254.12,338.63,325.92,,315.38,320.03,314.48,337.56,,,,,,,,
2000-08-07 21:44:45.034000,L7,232.54,414.06,400.72,386.28,373.12,362.82,356.19,351.76,349.84,348.57,349.61,343.86,351.85,349.91,353.49,341.64,272.93,267.97,295.54,308.87,386.46,388.26,383.04,388.66,383.25,384.69,381.91,381.67,390.40,387.20,391.98,389.24,390.59,394.24,401.61,405.00,390.06,364.49,355.86,376.92,384.03,345.64,192.04,,,,,209.99,318.37,313.80,313.40,323.53,327.51,322.17,310.90,301.87,308.96,313.29,314.18,320.69,307.33,322.75,311.60,326.61,324.68,348.88,332.23,337.95,321.52,336.91,352.01,354.38,361.09,352.21,334.64,360.05,365.79,366.09,368.04,351.74,343.85,370.12,363.66,377.69,378.76,365.97,370.31,383.34,384.43,399.27,391.21,370.25,377.37,373.96,368.33,322.19,359.91,358.35,348.21,380.50,384.97,238.01,361.22,328.25,364.18,317.67,,303.15,332.93,325.30,279.24,336.23,336.75,319.26,329.81,318.04,312.42,291.84,327.46,307.66,217.62,269.23,313.51,317.05,215.33,,,,,,,,
2001-01-14 21:44:09.210000,L7,406.40,397.91,390.55,381.49,361.62,360.91,356.27,349.56,362.34,180.33,168.19,255.57,214.02,313.64,319.82,346.80,274.38,272.96,310.66,327.20,382.89,369.43,324.88,369.52,375.13,361.07,366.31,175.58,272.79,332.64,318.70,283.11,285.16,288.64,214.13,386.18,299.89,235.85,265.78,264.20,307.76,325.02,336.94,315.96,262.38,165.58,,266.09,335.47,323.81,265.17,315.07,287.21,211.27,264.76,269.63,306.55,325.21,316.85,309.80,307.01,312.56,318.85,312.58,331.20,343.97,338.53,347.56,445.31,442.09,446.30,411.18,437.38,447.12,459.76,456.11,458.00,453.02,466.66,338.68,362.60,370.94,377.84,395.44,396.43,253.62,293.29,299.11,313.38,316.68,293.60,320.55,321.65,315.96,391.13,395.75,377.87,512.76,500.15,213.53,263.43,308.23,537.24,523.70,518.54,528.79,528.64,527.62,349.79,347.14,360.44,356.98,344.35,336.69,335.63,332.31,330.87,332.18,339.23,328.70,318.08,308.50,288.43,317.82,330.33,,,,,,,,
2001-04-04 21:43:43.008000,L7,485.19,466.74,441.98,458.39,452.66,442.28,439.24,427.39,388.17,390.43,378.69,370.72,395.70,385.56,392.56,407.16,386.93,375.32,373.19,402.88,464.31,426.01,452.30,443.22,453.74,454.77,429.43,466.70,442.63,423.55,429.25,432.72,434.44,441.05,455.07,444.63,471.65,462.28,457.99,426.21,398.99,379.04,354.87,329.60,279.97,215.03,,362.36,353.70,355.53,354.40,344.75,345.71,341.26,333.01,356.33,410.93,404.57,393.06,395.95,396.23,389.35,392.05,393.20,393.42,394.80,396.74,398.06,401.43,411.17,407.55,412.60,403.77,402.67,412.35,411.57,408.25,413.43,410.84,413.69,413.82,417.60,431.55,452.39,452.40,454.97,461.19,460.90,470.68,466.41,462.76,451.49,448.45,450.91,447.18,442.66,414.39,428.82,428.98,430.95,427.96,432.67,430.29,420.18,422.45,382.64,325.43,361.35,372.74,370.62,378.73,375.91,366.47,364.21,391.45,392.26,391.21,382.69,399.74,347.26,343.14,335.78,343.65,353.08,378.81,,,,,,,,
