dates,satname,nzd0032-0000,nzd0032-0001,nzd0032-0002,nzd0032-0003
1999-07-25 22:04:15.362000,L7,,298.46,283.83,215.46
1999-09-27 22:04:25.056000,L7,316.60,265.47,197.88,243.34
1999-10-04 22:10:38.131000,L7,466.46,523.21,521.53,418.63
1999-10-13 22:04:24.936000,L7,379.71,349.98,348.27,341.85
1999-11-14 22:04:18.343000,L7,221.07,212.32,,227.11
1999-11-21 22:10:24.244000,L7,459.35,533.11,542.61,501.77
1999-12-07 22:10:30.042000,L7,196.22,,,237.65
2000-01-17 22:04:11.868000,L7,227.76,214.73,,236.77
2000-02-09 22:10:19.398000,L7,369.75,379.05,190.17,241.10
2000-03-28 22:10:07.233000,L7,427.78,423.77,426.44,427.50
2000-04-29 22:09:53.797000,L7,403.78,414.96,415.07,220.82
2000-05-24 22:03:22.722000,L7,,291.63,282.55,231.52
2000-08-03 22:08:44.137000,L7,,,211.09,267.25
2000-08-12 22:02:30.151000,L7,282.69,317.68,292.37,293.05
2000-09-04 22:08:22.800000,L7,225.05,,343.75,356.67
2000-09-13 22:02:02.316000,L7,312.95,301.22,310.34,350.69
2000-10-15 22:01:32.252000,L7,259.26,233.60,,235.84
2001-02-27 22:07:54.461000,L7,479.49,538.88,502.03,498.38
2001-03-24 22:01:35.778000,L7,269.36,234.83,196.28,240.17
2001-06-03 22:07:16.736000,L7,199.16,416.76,185.38,176.32
2001-06-12 22:01:01.040000,L7,238.48,324.35,311.89,323.54
2001-06-19 22:07:05.722000,L7,,,,349.25
2001-06-28 22:00:45.094000,L7,,,,219.39
2001-08-15 22:00:14.727000,L7,,,,231.20
2001-09-07 22:06:11.116000,L7,527.95,384.46,386.33,388.27
2001-10-18 21:59:42.412000,L7,245.33,227.14,201.26,276.99
2001-11-19 21:59:56.393000,L7,246.74,236.51,,274.78
2001-12-12 22:06:14.960000,L7,,,,282.98
2001-12-28 22:06:14.106000,L7,420.81,476.83,398.63,392.68
2002-01-22 22:00:16.971000,L7,230.16,219.98,,241.25
2002-01-29 22:06:21.478000,L7,397.98,303.46,332.24,341.29
2002-02-14 22:06:29.522000,L7,363.56,212.81,362.26,356.25
2002-03-27 22:00:13.634000,L7,258.64,216.87,,
2002-06-15 21:59:55.710000,L7,,297.34,290.54,234.29
2002-06-22 22:06:03.573000,L7,,,,384.37
2002-08-09 22:05:46.029000,L7,306.00,292.03,204.71,346.10
2002-08-18 21:59:33.737000,L7,,,,221.52
2002-10-21 21:59:12.494000,L7,229.49,219.65,201.00,241.19
2002-10-28 22:05:22.323000,L7,362.91,363.05,350.98,290.94
2002-11-13 22:05:30.425000,L7,391.52,390.89,390.45,384.52
2002-11-22 21:59:33.639000,L7,216.20,251.24,,224.39
2002-12-24 21:59:45.194000,L7,225.57,218.25,201.74,238.86
2002-12-31 22:05:56.221000,L7,365.19,372.62,365.41,362.25
2003-01-09 21:59:45.950000,L7,223.99,219.73,,257.35
2003-04-06 22:06:21.012000,L7,,,,229.19
2003-04-22 22:06:19.091000,L7,,,,217.37
2003-05-08 22:06:20.773000,L7,,,,207.07
