dates,satname,nzd0254-0000,nzd0254-0001,nzd0254-0002,nzd0254-0003,nzd0254-0004,nzd0254-0005,nzd0254-0006,nzd0254-0007,nzd0254-0008,nzd0254-0009,nzd0254-0010,nzd0254-0011,nzd0254-0012,nzd0254-0013,nzd0254-0014,nzd0254-0015,nzd0254-0016,nzd0254-0017,nzd0254-0018,nzd0254-0019,nzd0254-0020,nzd0254-0021,nzd0254-0022,nzd0254-0023,nzd0254-0024,nzd0254-0025,nzd0254-0026,nzd0254-0027,nzd0254-0028,nzd0254-0029,nzd0254-0030,nzd0254-0031,nzd0254-0032,nzd0254-0033,nzd0254-0034,nzd0254-0035,nzd0254-0036
1999-08-21 21:46:56.985000,L7,302.91,260.06,235.57,259.48,284.51,315.73,258.82,444.14,410.81,442.52,317.80,317.22,316.72,331.56,329.86,333.83,464.35,450.57,452.19,458.16,448.70,364.82,543.86,537.27,454.99,479.29,458.09,343.47,304.83,342.05,355.59,360.24,374.72,379.44,384.01,391.26,414.50
1999-09-22 21:47:00.785000,L7,276.34,240.26,221.06,239.13,255.90,303.14,251.03,257.45,275.20,278.42,287.15,207.74,,,,,,,,,,,,159.41,196.78,207.01,256.88,256.05,285.47,,,192.08,183.07,184.71,218.81,322.74,338.44
1999-10-24 21:46:56.203000,L7,319.81,314.88,309.69,322.87,315.61,323.68,326.33,289.34,301.80,302.07,347.54,350.66,353.18,375.30,344.48,343.34,321.27,313.64,320.87,194.84,327.67,331.64,340.20,169.75,203.43,396.86,402.17,263.79,311.04,173.16,373.09,360.27,237.02,343.26,349.71,365.67,410.52
2000-02-13 21:46:48.016000,L7,269.46,248.84,381.14,395.04,374.66,372.03,274.77,285.71,281.54,278.58,249.04,254.61,297.43,315.40,333.49,334.60,328.83,319.80,316.26,313.34,326.28,351.94,361.07,362.36,356.42,357.30,363.51,371.51,375.05,369.10,368.94,353.14,354.04,356.79,366.55,393.73,420.32
2000-04-01 21:46:34.573000,L7,281.04,254.78,228.43,248.51,260.96,303.85,255.15,261.69,278.98,294.37,308.45,260.53,307.05,332.64,305.42,294.21,273.88,277.90,276.34,266.52,265.01,260.38,291.12,187.48,237.03,310.54,306.57,271.83,291.71,288.82,306.62,282.81,268.95,347.35,282.82,324.88,344.04
2000-05-03 21:46:19.161000,L7,336.39,392.98,403.71,416.68,418.81,421.44,478.93,512.67,389.99,425.28,426.68,522.33,434.44,471.42,321.04,356.74,451.74,421.35,510.76,480.96,425.70,375.44,265.36,257.26,517.50,398.03,515.50,503.24,462.57,,,,,534.55,483.49,503.96,462.11
2000-05-19 21:46:07.873000,L7,300.93,388.97,378.93,384.98,418.81,421.50,419.56,391.35,412.92,337.50,325.70,344.99,318.96,360.00,373.67,341.35,357.96,358.39,358.81,374.71,370.80,365.01,418.27,433.00,387.16,390.11,397.45,386.69,389.20,384.66,414.60,381.27,404.49,394.46,424.56,411.00,428.76
2000-08-07 21:45:08.975000,L7,282.82,414.50,479.59,477.43,489.64,304.00,245.49,264.04,281.94,289.77,301.72,313.86,310.09,333.25,301.53,301.80,331.53,332.09,302.12,291.52,525.20,515.16,511.91,188.68,237.96,242.45,501.56,501.15,498.72,501.15,214.54,219.27,209.70,234.22,284.82,392.24,345.70
2000-11-27 21:44:26.720000,L7,321.19,332.31,424.11,477.37,477.81,297.67,370.27,316.81,277.10,280.71,426.17,416.48,353.37,344.08,317.02,268.70,342.83,354.14,354.85,344.66,337.54,328.87,345.69,355.29,353.52,356.11,360.47,362.37,288.89,296.24,314.35,355.60,358.85,362.71,363.27,354.47,350.61
2001-04-04 21:44:06.948000,L7,482.59,428.27,478.67,460.58,425.00,491.49,488.20,482.11,503.45,526.61,501.83,516.84,534.61,473.45,510.58,489.08,472.73,470.22,479.87,509.31,503.37,525.62,505.74,510.61,411.60,397.40,394.67,389.87,477.27,500.11,476.40,326.32,349.08,330.72,288.05,398.11,416.08
2001-04-20 21:44:10.657000,L7,321.24,253.80,236.50,256.93,325.47,312.82,237.59,248.36,281.11,294.09,293.03,316.22,314.08,308.17,317.33,316.43,362.82,350.16,361.53,375.05,378.28,383.70,382.67,389.07,391.20,385.09,383.36,405.77,303.90,355.16,360.11,317.86,313.15,362.79,289.86,400.14,417.95
2001-05-22 21:43:54.652000,L7,285.80,376.03,370.33,380.15,409.20,428.13,447.07,462.44,464.39,424.15,305.82,311.23,310.50,285.16,315.40,303.27,361.41,369.33,375.53,343.23,355.91,378.76,348.29,390.94,399.38,397.33,366.42,280.47,292.04,389.88,387.18,377.55,379.44,387.75,390.22,410.08,339.56
2001-07-25 21:43:18.753000,L7,268.03,235.52,219.62,241.48,254.35,301.31,,233.54,277.25,286.71,299.59,293.30,300.65,310.85,299.00,305.23,327.69,325.40,331.47,313.85,320.69,323.27,299.38,346.74,332.08,337.69,334.66,308.51,292.77,331.67,348.83,346.29,351.01,356.38,365.36,389.72,342.62
2001-08-10 21:43:00.495000,L7,289.92,265.40,236.78,258.33,285.82,335.96,247.52,380.60,386.48,396.98,402.09,434.76,438.54,413.40,446.13,491.52,442.84,408.11,425.48,372.80,383.15,379.53,429.07,418.73,345.48,459.24,483.89,519.42,503.22,488.42,523.31,508.35,477.23,439.76,459.30,467.91,447.49
2001-09-11 21:42:38.257000,L7,494.79,493.51,450.41,466.10,417.97,437.07,518.66,,,,475.72,511.88,518.48,511.73,513.83,534.98,467.37,518.87,496.19,490.38,513.35,520.10,525.03,482.90,490.70,480.03,465.09,485.60,493.12,466.25,463.97,452.76,446.05,494.57,484.62,527.28,521.02
2001-09-27 21:42:29.269000,L7,372.00,388.01,403.49,464.11,493.81,465.48,461.52,380.41,498.33,473.70,439.92,519.90,,,,,,514.54,519.14,487.16,499.74,496.60,482.07,,,,,,,,,,,,,,
2001-10-13 21:42:15.922000,L7,277.30,245.08,219.57,240.52,251.55,297.31,253.95,257.02,218.74,190.56,235.15,268.03,302.12,264.06,244.02,290.15,252.15,270.77,269.61,262.61,261.90,,284.32,280.40,193.03,211.87,250.06,257.43,284.43,,323.40,332.80,329.45,296.87,276.45,322.39,337.67
2001-10-29 21:42:21.289000,L7,429.94,426.21,420.58,263.05,281.11,331.62,326.77,310.81,332.07,333.64,380.90,338.81,378.65,387.87,432.60,321.44,314.37,310.31,308.46,301.94,307.89,331.15,286.62,282.31,273.35,357.02,303.92,267.44,368.03,397.91,364.49,340.86,411.16,370.12,377.61,370.70,433.11
2002-01-17 21:42:52.816000,L7,302.94,290.43,232.21,267.61,286.50,319.39,293.53,302.60,309.91,323.87,329.59,352.94,364.53,371.41,395.67,374.35,370.80,359.45,352.12,353.11,355.27,364.70,363.50,367.50,364.63,371.40,368.36,370.27,363.64,364.11,364.76,362.09,363.46,377.71,390.59,396.65,407.02
2002-02-02 21:42:54.721000,L7,231.89,213.73,209.32,234.20,246.27,277.12,262.55,257.32,273.57,284.99,295.43,303.79,303.70,318.24,309.33,294.83,315.26,315.79,314.65,311.67,315.88,320.84,297.15,303.96,321.73,325.99,327.79,310.65,282.16,315.06,329.23,330.89,332.69,331.40,286.87,321.53,350.96
2002-02-18 21:42:54.191000,L7,275.82,247.73,224.85,244.50,254.65,268.74,257.90,263.11,275.74,289.30,300.45,306.47,478.61,472.50,493.04,484.15,476.17,454.29,476.95,446.40,196.39,209.66,278.54,281.29,330.55,327.26,330.79,317.88,289.09,325.57,339.22,340.57,336.73,336.35,165.80,307.40,374.44
2002-04-07 21:42:52.870000,L7,258.11,217.76,220.93,232.26,225.35,282.27,224.52,174.23,241.01,241.81,232.82,210.57,201.76,234.38,304.57,309.29,378.00,378.07,368.24,330.16,327.04,390.71,392.27,357.96,362.94,388.86,411.03,413.33,409.48,383.29,329.59,330.23,331.32,308.27,417.07,431.82,427.99
2002-09-14 21:41:55.072000,L7,398.07,396.26,411.80,427.91,478.35,470.72,529.77,515.17,515.07,513.35,405.28,464.67,324.57,341.64,350.44,326.05,300.66,352.64,308.10,346.34,343.28,349.06,371.13,370.88,352.51,352.84,362.49,344.60,310.63,347.09,364.40,363.34,358.09,362.99,373.34,390.91,407.23
2002-09-30 21:41:47.719000,L7,,,,336.04,486.59,440.15,424.64,448.71,449.34,501.06,492.63,515.82,,,,,,517.11,469.51,463.30,483.80,487.79,489.45,488.61,463.83,455.92,460.75,445.70,468.08,456.50,439.83,458.36,448.42,437.22,466.68,478.28,473.44
2002-11-01 21:41:54.382000,L7,413.60,366.94,425.19,418.73,347.70,351.47,368.02,378.85,375.86,375.54,440.76,464.80,518.43,519.21,482.21,296.44,317.72,310.15,303.82,300.47,307.56,313.89,325.41,329.88,325.46,322.28,320.13,289.08,433.79,424.53,423.66,422.96,415.20,420.79,412.72,412.40,424.86
2003-01-20 21:42:33.373000,L7,299.20,282.08,263.72,268.24,276.72,310.95,286.15,320.05,305.21,303.72,317.63,321.74,420.30,444.10,367.19,393.85,437.34,422.41,407.68,343.14,371.14,362.69,376.49,366.83,376.56,359.76,391.85,359.58,364.93,358.61,382.24,367.53,360.94,362.45,337.02,378.10,347.20
