dates,satname,nzd0085-0000,nzd0085-0001
1999-09-27 22:04:48.949000,L7,320.30,309.24
1999-11-14 22:04:42.286000,L7,322.15,306.72
2000-01-01 22:04:37.439000,L7,328.22,302.15
2000-01-17 22:04:35.821000,L7,482.20,326.89
2000-02-18 22:04:29.218000,L7,318.14,274.55
2000-10-15 22:01:56.204000,L7,299.66,291.10
2001-01-03 22:02:12.432000,L7,362.85,323.95
2001-03-24 22:01:59.719000,L7,301.65,286.04
2001-06-12 22:01:24.980000,L7,297.15,
2001-08-15 22:00:38.680000,L7,341.43,311.81
2001-11-03 22:00:10.954000,L7,324.05,300.91
2001-12-21 22:00:29.925000,L7,325.94,299.76
2002-01-06 22:00:31.992000,L7,297.78,291.36
2002-01-22 22:00:40.906000,L7,350.53,292.20
2002-06-15 22:00:19.658000,L7,289.30,286.59
2002-07-01 22:00:15.186000,L7,339.64,316.17
2002-07-17 22:00:08.747000,L7,293.36,292.84
2002-08-02 22:00:01.321000,L7,333.44,308.69
2002-08-18 21:59:57.690000,L7,335.07,310.34
2002-10-21 21:59:36.443000,L7,303.49,265.36
2002-12-24 22:00:09.147000,L7,314.43,296.38
2003-01-25 22:00:18.779000,L7,320.12,273.32
2003-07-28 21:48:28.960000,L5,267.92,251.95
2003-09-14 21:49:18.766000,L5,266.24,247.60
2004-07-30 21:54:28.143000,L5,278.15,267.62
2004-09-16 21:55:41.721000,L5,264.39,248.49
2004-11-19 21:56:55.269000,L5,278.49,254.04
2005-02-23 21:58:31.621000,L5,268.50,236.17
2005-03-11 21:58:44.158000,L5,289.96,271.06
2005-05-30 21:59:15.499000,L5,279.90,255.37
2005-07-17 21:59:35.576000,L5,268.43,248.74
2006-04-15 22:03:30.798000,L5,268.86,252.87
2006-05-17 22:03:57.969000,L5,263.71,246.52
2006-11-25 22:06:19.953000,L5,250.66,243.51
2007-02-13 22:06:47.368000,L5,287.78,268.64
2009-01-01 21:56:31.615000,L5,275.15,249.32
2011-01-07 22:01:44.406000,L5,284.06,269.74
2011-03-12 22:01:43.554000,L5,284.31,267.37
2011-04-13 22:01:34.017000,L5,272.02,252.21
2011-09-04 22:00:27.603000,L5,282.79,264.10
2013-05-20 22:13:50.559000,L8,303.03,281.49
2013-06-05 22:13:51.261000,L8,307.73,288.19
2013-06-21 22:13:43.313000,L8,293.93,266.86
2013-07-07 22:13:48.209000,L8,305.36,285.75
2013-09-09 22:13:49.699000,L8,305.70,297.28
2013-10-11 22:13:41.596000,L8,274.30,259.88
2013-11-12 22:13:32.202000,L8,296.21,266.68
2013-11-28 22:13:25.971000,L8,309.00,279.83
2013-12-14 22:13:21.591000,L8,292.98,260.21
2014-01-31 22:12:52.806000,L8,300.94,265.30
2014-02-16 22:12:38.819000,L8,300.71,271.55
2014-03-20 22:12:13.789000,L8,269.68,245.40
2014-04-05 22:11:58.702000,L8,293.47,262.74
2014-04-21 22:11:42.175000,L8,298.89,261.59
2014-05-23 22:11:18.694000,L8,305.95,281.77
2014-08-11 22:11:51.972000,L8,243.88,244.29
2014-10-14 22:12:02.705000,L8,295.46,273.35
2014-10-30 22:11:58.859000,L8,295.80,265.49
2014-12-01 22:12:00.318000,L8,287.99,263.69
2015-01-02 22:11:50.958000,L8,295.65,265.37
2015-03-07 22:11:30.209000,L8,305.00,280.61
2015-04-24 22:11:08.401000,L8,295.39,262.00
2015-05-10 22:10:52.487000,L8,309.64,284.04
2015-06-27 22:11:10.298000,L8,281.63,261.10
2015-07-29 22:11:25.856000,L8,299.94,273.94
2015-08-14 22:11:31.426000,L8,267.00,268.85
2015-12-20 22:11:57.501000,L8,304.36,279.27
2016-02-22 22:11:42.580000,L8,291.73,259.49
2016-03-09 22:11:40.902000,L8,302.73,277.27
2016-03-25 22:11:32.353000,L8,294.98,261.72
2016-04-26 22:11:21.230000,L8,317.31,296.12
2016-05-12 22:11:20.683000,L8,297.37,278.03
2016-06-13 22:11:30.674000,L8,296.72,270.71
2016-07-15 22:11:46.335000,L8,290.14,265.79
2016-08-16 22:11:53.694000,L8,295.94,268.94
2016-11-20 22:12:09.409000,L8,301.21,277.03
2017-08-03 22:11:47.949000,L8,302.06,277.73
2017-08-19 22:11:53.133000,L8,289.08,263.14
2017-09-04 22:11:55.578000,L8,299.96,267.38
2018-01-10 22:11:54.118000,L8,290.88,248.83
2018-01-26 22:11:45.215000,L8,304.56,277.34
2018-03-31 22:11:15.901000,L8,292.41,273.94
2018-07-05 22:10:54.795000,L8,296.96,274.10
2018-08-06 22:11:10.291000,L8,292.41,263.73
2018-09-07 22:11:24.397000,L8,296.93,266.35
2019-02-14 22:11:33.473000,L8,295.06,267.08
2019-03-02 22:11:29.304000,L8,317.37,285.74
2019-05-21 22:11:27.314000,L8,301.16,280.06
2019-06-06 22:11:35.277000,L8,310.37,289.42
2019-06-22 22:11:40.996000,L8,301.08,275.60
2019-07-08 22:11:44.725000,L8,298.63,281.13
2019-07-24 22:11:48.987000,L8,292.85,269.37
2019-08-09 22:11:55.358000,L8,284.54,264.75
2020-01-16 22:11:59.041000,L8,300.76,273.86
2020-02-01 22:11:53.781000,L8,295.75,268.37
2020-04-21 22:11:21.823000,L8,296.73,272.97
2020-05-07 22:11:12.613000,L8,303.93,282.74
2020-06-08 22:11:24.028000,L8,309.77,286.10
2020-07-10 22:11:39.723000,L8,312.38,283.95
2020-07-26 22:11:44.648000,L8,304.18,273.55
2020-08-27 22:11:56.368000,L8,303.90,271.94
2020-12-17 22:12:09.375000,L8,306.50,278.01
2021-01-18 22:11:57.463000,L8,299.94,270.95
2021-02-03 22:11:56.237000,L8,292.95,263.73
2021-02-19 22:11:51.945000,L8,301.02,269.42
2021-04-24 22:11:25.382000,L8,288.57,263.88
2021-05-26 22:11:31.065000,L8,276.76,263.80
2021-06-11 22:11:38.046000,L8,270.43,259.36
2021-07-13 22:11:43.513000,L8,303.24,278.57
2021-10-01 22:12:10.732000,L8,301.31,274.08
2021-11-06 22:12:48.299000,L9,300.97,265.43
2021-11-18 22:12:08.776000,L8,307.66,286.90
2022-01-13 22:12:02.740000,L9,294.71,258.50
2022-01-21 22:11:59.917000,L8,318.51,299.97
2022-02-14 22:12:01.049000,L9,304.99,275.93
2022-02-22 22:11:50.626000,L8,311.19,289.04
2022-05-05 22:11:31.114000,L9,294.25,258.50
2022-05-21 22:11:19.594000,L9,298.02,275.04
2022-06-14 22:11:59.156000,L8,311.04,287.19
2022-07-08 22:11:39.226000,L9,282.76,262.04
2022-07-16 22:12:03.012000,L8,297.79,276.40
2022-08-09 22:11:58.475000,L9,307.87,284.25
2023-02-09 22:12:09.040000,L8,300.74,275.22
2023-02-17 22:12:13.542000,L9,293.45,262.60
2023-03-13 22:11:47.152000,L8,282.39,256.90
2023-03-21 22:11:55.188000,L9,295.68,273.76
2023-05-16 22:11:04.371000,L8,286.33,267.38
2023-05-24 22:11:17.213000,L9,297.15,272.75
2023-06-09 22:11:12.914000,L9,276.53,260.46
2023-06-17 22:11:17.056000,L8,291.53,267.60
2023-07-11 22:11:24.365000,L9,305.93,284.12
2023-07-27 22:11:26.959000,L9,310.72,293.89
2023-08-20 22:11:47.546000,L8,290.32,267.39
