dates,satname,nzd0560-0000,nzd0560-0001,nzd0560-0002,nzd0560-0003,nzd0560-0004,nzd0560-0005,nzd0560-0006,nzd0560-0007,nzd0560-0008,nzd0560-0009,nzd0560-0010,nzd0560-0011,nzd0560-0012,nzd0560-0013,nzd0560-0014,nzd0560-0015,nzd0560-0016,nzd0560-0017,nzd0560-0018,nzd0560-0019,nzd0560-0020,nzd0560-0021,nzd0560-0022,nzd0560-0023,nzd0560-0024,nzd0560-0025,nzd0560-0026,nzd0560-0027,nzd0560-0028,nzd0560-0029,nzd0560-0030,nzd0560-0031
1999-12-07 22:13:41.663000,L7,,,,,,444.81,516.86,460.54,462.56,470.56,474.94,488.77,511.48,430.91,428.79,472.66,486.40,452.63,458.60,476.13,376.91,373.36,386.67,339.25,418.58,463.05,469.90,461.72,441.71,316.29,349.16,368.16
2000-09-04 22:11:34.434000,L7,324.43,309.04,316.88,293.30,240.61,311.21,296.03,267.29,160.21,205.29,213.34,422.45,444.19,448.03,472.94,322.79,346.06,339.77,337.72,342.66,326.89,305.16,419.75,438.16,434.36,447.79,,,,,,
2001-02-27 22:11:06.137000,L7,411.37,352.40,334.93,328.93,333.10,322.35,313.63,309.12,320.45,325.60,141.09,160.84,195.02,230.29,217.01,211.80,368.60,357.13,356.60,346.11,338.39,329.08,289.13,269.80,235.99,199.03,432.56,436.22,427.80,421.12,434.07,443.50
2001-11-26 22:09:21.320000,L7,329.20,325.82,319.74,313.88,242.27,225.64,257.67,262.84,170.81,268.53,291.03,311.60,313.67,310.79,329.45,340.39,354.89,333.25,345.73,336.71,325.68,316.11,277.58,263.46,225.13,179.57,,,,,,
2001-11-26 22:09:45.291000,L7,331.89,328.87,321.56,351.35,350.34,363.44,354.33,361.09,369.76,375.88,395.73,409.53,405.09,400.86,394.39,419.47,449.30,429.01,442.37,431.69,427.89,405.56,386.96,376.62,382.95,403.98,448.27,433.78,424.73,422.21,416.57,428.75
2003-10-07 21:58:35.519000,L5,335.35,330.32,322.03,313.63,313.48,308.09,302.95,297.12,283.41,299.61,327.66,331.70,336.60,346.66,364.20,379.05,386.56,383.45,380.56,375.44,367.48,344.15,337.23,309.55,280.21,269.55,310.36,,,379.43,392.16,395.62
2003-10-07 21:58:59.492000,L5,324.81,322.12,313.26,304.25,307.00,298.69,294.51,287.29,278.51,294.96,321.17,328.77,332.14,341.98,359.68,373.66,382.46,379.59,377.10,371.28,361.74,339.69,332.23,304.20,278.55,264.96,,,,380.07,390.03,398.14
2003-12-26 21:59:30.091000,L5,337.61,331.62,321.07,316.81,308.90,304.29,308.78,305.35,288.06,306.99,330.95,336.32,341.44,351.34,369.53,380.16,391.46,377.75,383.71,370.21,365.76,348.89,330.82,307.31,275.71,250.41,,,,370.55,395.32,400.41
2003-12-26 21:59:54.064000,L5,331.26,324.34,314.44,307.69,298.87,298.47,298.93,297.93,276.78,298.71,323.06,329.89,334.63,345.26,359.34,372.72,382.99,370.94,374.66,362.05,359.55,340.35,323.55,297.07,266.09,245.99,,,,368.07,390.70,392.00
2004-01-27 21:59:38.149000,L5,344.50,336.47,324.18,316.50,310.97,309.28,305.56,303.16,290.03,306.06,333.65,336.90,346.05,352.89,366.59,381.95,390.85,385.26,386.01,377.64,368.77,346.29,337.08,306.71,281.57,273.83,308.49,,,372.81,386.41,389.25
