dates,satname,nzd0460-0000,nzd0460-0001,nzd0460-0031,nzd0460-0032,nzd0460-0033,nzd0460-0034,nzd0460-0050,nzd0460-0051,nzd0460-0052,nzd0460-0053,nzd0460-0054,nzd0460-0065,nzd0460-0066,nzd0460-0005,nzd0460-0006,nzd0460-0009,nzd0460-0010,nzd0460-0011,nzd0460-0013,nzd0460-0014,nzd0460-0015,nzd0460-0016,nzd0460-0017,nzd0460-0018,nzd0460-0019,nzd0460-0020,nzd0460-0021,nzd0460-0022,nzd0460-0023,nzd0460-0024,nzd0460-0025,nzd0460-0026,nzd0460-0036,nzd0460-0037,nzd0460-0038,nzd0460-0039,nzd0460-0041,nzd0460-0042,nzd0460-0043,nzd0460-0044,nzd0460-0045,nzd0460-0047,nzd0460-0048,nzd0460-0049,nzd0460-0055,nzd0460-0056,nzd0460-0057,nzd0460-0058,nzd0460-0059,nzd0460-0060,nzd0460-0061,nzd0460-0062,nzd0460-0063,nzd0460-0064,nzd0460-0067,nzd0460-0068,nzd0460-0069,nzd0460-0070,nzd0460-0071,nzd0460-0072,nzd0460-0073,nzd0460-0074,nzd0460-0002,nzd0460-0003,nzd0460-0004,nzd0460-0007,nzd0460-0008,nzd0460-0075,nzd0460-0076,nzd0460-0077,nzd0460-0078,nzd0460-0079,nzd0460-0080,nzd0460-0081,nzd0460-0082,nzd0460-0083,nzd0460-0084,nzd0460-0085,nzd0460-0046,nzd0460-0012,nzd0460-0027,nzd0460-0028,nzd0460-0029,nzd0460-0040,nzd0460-0035,nzd0460-0030
1999-11-03 22:25:37.023000,L7,255.73,193.67,205.01,184.49,223.55,239.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-31 22:19:21.915000,L7,319.16,,,,,,315.05,331.57,347.62,379.01,376.65,301.25,290.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-16 22:19:16.215000,L7,,,545.66,,,,223.78,520.40,448.22,402.03,332.36,348.58,349.67,,,,,,,,,,,,,,,,,,,,,,,180.95,224.76,255.65,270.69,276.13,218.61,214.47,257.04,218.63,300.18,251.82,324.69,350.86,310.45,318.08,312.00,321.37,324.40,338.98,376.23,516.70,409.10,371.55,355.95,343.63,361.08,397.10,,,,,,381.68,414.92,401.38,427.71,409.90,475.60,472.03,514.55,495.10,373.35,388.28,218.50,,,184.05,310.87,196.71,,426.11
2000-04-20 22:18:51.435000,L7,,478.54,303.99,309.40,312.99,371.23,442.67,412.98,433.91,454.06,382.25,482.02,481.26,229.13,237.26,192.17,311.74,352.82,261.64,236.92,208.97,229.66,273.16,217.19,256.14,190.61,245.59,261.34,255.31,261.15,254.72,269.16,391.97,371.18,331.60,369.55,396.77,420.40,436.48,451.99,453.42,479.86,439.84,424.48,355.52,363.64,326.39,353.70,393.63,406.67,413.76,430.94,464.47,500.69,490.95,537.91,383.08,,456.18,468.96,525.03,347.25,316.24,283.27,279.46,216.16,227.81,362.01,377.49,398.84,423.45,477.59,472.74,507.88,525.23,453.20,178.50,174.21,487.86,238.78,273.24,264.84,262.14,354.76,365.61,225.58
2000-12-16 22:16:59.214000,L7,,,251.44,261.03,251.76,272.13,311.24,352.61,318.15,386.23,343.58,440.33,428.07,,,,,,,,,,,,,,,,184.71,206.65,192.93,197.54,285.37,283.20,314.50,318.06,347.42,331.86,344.48,355.87,330.42,433.47,440.49,282.98,319.71,321.76,321.60,326.70,235.89,216.56,355.13,276.31,333.46,463.06,440.44,489.66,508.57,332.26,337.42,512.35,504.31,523.27,,,,,,509.22,518.29,,,,,,,,,,475.46,,197.00,,227.81,326.24,288.21,196.01
2001-08-29 22:15:16.816000,L7,,,324.00,366.04,313.86,347.18,412.34,396.50,407.20,375.09,411.48,445.54,413.08,432.85,532.91,289.17,300.89,275.05,285.63,253.87,311.48,250.98,315.19,311.06,309.72,230.61,262.00,283.86,303.72,283.81,356.50,349.73,250.66,287.36,339.80,330.43,387.19,504.42,479.71,513.41,406.97,456.10,483.14,404.90,416.26,389.60,384.37,400.18,384.61,520.21,394.13,460.67,417.69,431.71,369.26,468.95,425.65,412.55,402.95,399.19,414.32,447.96,,488.56,530.36,463.20,289.37,,,,518.77,513.66,479.73,492.93,464.95,509.08,532.61,513.82,432.54,309.54,342.84,297.78,329.79,349.21,342.38,308.44
2001-10-23 22:21:01.749000,L7,,,,,,189.24,,,266.47,277.66,280.55,,,,,,,,,,,,,,,,,,,,,,234.30,238.11,249.76,251.77,231.25,291.59,282.02,,,209.47,221.49,260.79,246.12,174.26,,,,,,,,,,,,,366.52,,,,,,,,,,,,,,,,,,,,,,,,,261.48,211.03,
2001-11-01 22:14:53.871000,L7,404.67,355.43,,,,,,,,,,,,520.60,413.10,513.89,430.61,388.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-20 22:15:25.657000,L7,,,,,,,,,,,,405.27,422.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.25,423.21,,,,,,,467.68,,,,,,506.14,505.03,522.22,512.66,,,,,,,,,,,,,,,
2002-01-27 22:21:34.098000,L7,425.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-05 22:15:25.531000,L7,,,,,,,,330.69,435.92,438.27,329.25,466.97,448.25,,,,,,,,,,,,,,,,,,,,314.24,369.84,413.27,,,,,,,,,,431.61,332.88,363.16,,423.11,433.76,447.78,445.42,458.13,466.37,273.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
