dates,satname,nzd0188-0000,nzd0188-0001,nzd0188-0002,nzd0188-0003,nzd0188-0004,nzd0188-0005,nzd0188-0006,nzd0188-0007,nzd0188-0008,nzd0188-0009,nzd0188-0010,nzd0188-0011,nzd0188-0012,nzd0188-0013,nzd0188-0014
1999-09-29 21:52:52.243000,L7,359.58,352.14,293.57,287.59,290.91,293.50,296.36,292.36,287.31,319.04,356.04,361.54,354.88,358.73,353.44
1999-10-15 21:52:49.322000,L7,259.95,268.46,276.63,275.96,238.34,275.15,253.25,253.70,258.72,273.63,281.04,251.44,265.90,241.67,261.47
1999-12-09 21:58:57.676000,L7,235.05,,,,,,,,,,,,,,
2000-02-27 21:58:40.521000,L7,257.36,230.34,269.52,270.54,231.31,288.97,217.86,235.78,246.14,267.00,269.77,244.90,262.96,240.22,246.23
2000-03-14 21:58:35.291000,L7,244.63,,,,222.74,263.20,203.01,218.32,,,,,,230.69,226.57
2000-03-30 21:58:33.541000,L7,253.74,253.00,268.84,270.37,228.42,267.28,235.49,228.70,248.39,265.94,271.29,250.37,261.09,238.26,242.93
2000-05-17 21:58:07.485000,L7,,,,,,,,,,,,,252.53,236.85,220.35
2000-08-05 21:57:08.715000,L7,243.49,,,,206.52,194.02,170.24,201.82,204.78,219.04,215.39,,,,
2001-01-05 21:50:16.585000,L7,376.86,291.23,294.82,292.78,291.10,394.92,375.64,363.56,360.61,372.95,372.78,369.72,359.18,374.92,363.58
2001-06-21 21:55:29.297000,L7,254.87,,,,,,,,,,,,,,
2001-09-09 21:54:36.880000,L7,,195.27,263.88,257.22,199.14,247.18,,,210.43,254.14,249.28,242.07,250.59,236.90,226.07
2001-09-25 21:54:28.694000,L7,245.34,,,,,,,,215.00,225.41,253.48,176.66,251.89,229.98,222.94
2001-10-11 21:54:09.862000,L7,245.27,207.89,264.38,263.37,227.12,254.48,171.26,,218.18,260.84,254.89,238.58,249.43,231.15,224.85
2001-10-20 21:48:09.707000,L7,381.56,391.68,369.57,322.89,357.54,357.98,341.04,282.77,366.35,371.59,319.85,342.27,317.25,345.89,326.93
2001-12-30 21:54:37.254000,L7,248.99,,,,,,,,,,,,,,
2002-01-31 21:54:50.570000,L7,244.74,,,,,,,,,,,,,,
2002-03-20 21:54:48.224000,L7,,,,,214.24,260.42,170.60,173.97,208.52,232.08,253.02,,,,
2002-06-01 21:48:28.245000,L7,245.90,218.68,266.59,265.82,,,,,208.22,260.31,261.32,,236.95,238.57,265.75
2002-08-20 21:47:58.545000,L7,238.32,196.68,263.27,263.82,221.87,185.23,,,,,,,,234.29,219.84
2002-08-27 21:54:00.253000,L7,234.35,220.72,264.15,268.80,228.11,266.17,229.75,,233.62,257.85,267.93,187.20,263.12,244.47,228.78
2002-10-07 21:47:33.100000,L7,230.82,,,,217.69,246.63,214.79,,,,,241.27,252.78,236.04,221.36
2002-10-14 21:53:43.769000,L7,238.65,231.80,267.56,270.73,243.95,269.86,238.94,251.71,238.33,262.18,268.96,247.25,259.06,241.62,235.43
2002-10-23 21:47:39.211000,L7,257.73,261.54,270.94,272.99,248.51,275.99,245.59,266.67,258.57,269.60,277.43,262.03,271.45,244.55,343.63
2002-11-08 21:47:44.401000,L7,363.84,356.19,308.95,347.69,298.83,302.79,308.12,306.00,302.66,304.72,306.43,366.85,381.92,371.55,374.13
2003-01-18 21:54:30.278000,L7,233.81,240.67,260.61,264.54,219.59,253.04,211.45,243.38,215.89,252.22,258.30,239.60,250.48,228.86,227.22
2003-03-23 21:54:40.711000,L7,230.68,188.65,256.35,264.29,217.10,252.58,170.09,,216.68,251.91,252.78,197.01,208.73,213.78,185.93
2003-05-03 21:48:37.175000,L7,239.60,179.45,238.38,248.33,217.07,242.73,201.89,242.23,218.14,250.53,252.47,241.48,255.12,237.33,219.48
2003-05-26 21:54:43.917000,L7,235.14,,,,,,,,,,,,,239.20,217.89
2003-07-21 21:42:33.857000,L5,274.55,,,,,,,,,,,,,,
2003-08-15 21:36:48.503000,L5,296.16,257.02,238.85,256.31,219.84,253.11,195.25,233.97,238.65,241.00,257.86,194.17,214.75,217.25,232.24
2003-08-31 21:37:06.588000,L5,277.30,241.91,217.27,246.10,,,,,,,,,207.92,204.73,195.61
2003-10-18 21:37:48.406000,L5,321.09,292.54,277.36,290.05,266.20,288.85,262.26,275.99,273.78,268.46,278.89,278.86,280.56,283.28,266.60
2003-10-25 21:44:04.226000,L5,370.08,346.75,328.40,329.18,328.95,329.38,331.26,322.42,318.56,312.24,322.98,321.57,312.06,314.00,307.41
2003-11-19 21:38:14.402000,L5,292.91,252.58,254.12,264.19,233.82,264.02,218.32,248.98,246.86,250.46,261.89,237.04,223.26,220.53,234.99
