dates,satname,nzd0367-0000,nzd0367-0001,nzd0367-0002,nzd0367-0003,nzd0367-0004,nzd0367-0005,nzd0367-0006,nzd0367-0007,nzd0367-0008,nzd0367-0009,nzd0367-0010,nzd0367-0011,nzd0367-0012,nzd0367-0013,nzd0367-0014,nzd0367-0015,nzd0367-0016,nzd0367-0017,nzd0367-0018,nzd0367-0019,nzd0367-0020,nzd0367-0021,nzd0367-0022,nzd0367-0023,nzd0367-0024,nzd0367-0025,nzd0367-0026,nzd0367-0027,nzd0367-0028,nzd0367-0029,nzd0367-0030,nzd0367-0031,nzd0367-0032,nzd0367-0033,nzd0367-0034,nzd0367-0035,nzd0367-0036,nzd0367-0037,nzd0367-0074,nzd0367-0075,nzd0367-0076,nzd0367-0077,nzd0367-0078,nzd0367-0079,nzd0367-0080,nzd0367-0081,nzd0367-0069,nzd0367-0070,nzd0367-0071,nzd0367-0067,nzd0367-0068,nzd0367-0072,nzd0367-0073,nzd0367-0066,nzd0367-0062,nzd0367-0063,nzd0367-0064,nzd0367-0065,nzd0367-0059,nzd0367-0060,nzd0367-0061,nzd0367-0038,nzd0367-0039,nzd0367-0040,nzd0367-0041,nzd0367-0042,nzd0367-0043,nzd0367-0044,nzd0367-0045,nzd0367-0046,nzd0367-0047,nzd0367-0048,nzd0367-0049,nzd0367-0050,nzd0367-0051,nzd0367-0052,nzd0367-0053,nzd0367-0054,nzd0367-0055,nzd0367-0056,nzd0367-0057,nzd0367-0058
1999-08-26 22:06:20.800000,L7,373.80,448.91,514.39,450.11,460.44,539.59,425.71,394.19,416.94,406.68,381.29,461.21,435.85,407.49,454.79,454.97,358.54,390.66,197.59,191.70,300.26,361.57,290.68,233.96,229.11,234.07,250.17,267.16,264.71,259.82,262.14,300.57,304.68,327.90,326.30,306.22,200.58,178.21,275.22,297.98,328.04,232.96,186.61,222.48,244.46,254.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-13 22:06:24.714000,L7,392.59,432.63,440.40,442.84,447.28,442.02,429.25,399.33,388.04,385.76,387.15,389.00,368.40,257.66,234.14,369.64,285.79,396.26,194.67,273.71,224.47,229.97,249.01,244.78,253.26,202.68,216.10,222.17,258.05,269.15,267.90,262.69,256.90,240.97,247.82,249.45,239.03,195.09,,371.92,429.25,347.16,356.93,406.61,417.48,,190.19,260.96,281.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-21 22:12:24.026000,L7,386.22,406.06,407.53,415.01,418.78,417.70,444.45,400.75,384.53,367.19,328.79,316.77,331.32,348.80,343.42,342.02,317.24,335.80,335.64,315.72,241.76,233.41,237.98,238.32,234.71,248.60,219.97,218.29,258.08,253.14,257.12,249.82,290.54,247.50,214.75,220.23,169.05,,,,,,179.75,211.47,413.54,450.72,177.45,184.22,203.14,154.14,166.37,224.13,242.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:12:29.825000,L7,,339.89,389.11,407.79,404.24,442.26,402.33,373.82,420.82,350.36,359.20,378.92,416.01,348.02,321.34,293.07,275.09,167.67,229.46,238.00,221.96,222.35,187.98,178.86,221.39,222.08,221.77,207.32,274.46,250.88,255.04,,,,,,,,259.12,,,,,196.12,232.87,399.08,,,166.83,,,219.09,252.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-17 22:06:11.705000,L7,326.31,348.90,413.67,428.16,437.64,527.08,,,,,506.25,455.79,466.20,362.61,343.07,328.99,307.68,319.94,315.95,321.44,304.42,279.65,229.31,240.34,201.13,252.43,232.45,251.30,239.26,217.93,255.68,260.53,272.55,207.95,243.33,218.21,194.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21 22:06:01.097000,L7,339.84,358.34,418.82,400.48,421.10,428.70,403.76,403.98,380.50,368.94,316.51,301.92,303.91,282.80,310.44,334.03,346.80,350.68,364.89,288.92,289.29,192.64,290.66,266.49,255.61,241.22,214.14,220.93,212.04,215.74,217.07,218.34,213.11,248.01,234.37,209.46,197.34,181.66,,,,,450.48,493.43,537.89,265.61,237.69,,,225.59,218.63,,,192.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-19 22:10:38.028000,L7,381.44,375.40,369.43,458.49,433.82,419.00,340.76,318.17,297.34,285.50,337.87,330.55,253.82,243.88,220.12,211.80,213.18,161.27,188.45,192.62,196.62,188.80,204.13,183.06,194.16,351.51,258.92,305.88,272.07,398.43,450.82,208.03,177.48,,,,,,,,,,183.79,223.79,248.02,272.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-07 22:09:53.335000,L7,419.41,381.86,421.74,415.07,415.41,402.20,379.25,354.37,343.06,343.76,301.94,287.13,306.54,332.21,224.62,263.46,260.51,250.69,294.51,210.61,282.04,187.68,245.45,254.73,268.87,264.04,252.91,253.87,245.26,246.63,242.30,234.45,218.57,204.20,178.50,,,,247.64,240.37,257.33,362.76,496.18,540.05,536.52,493.10,243.01,230.19,169.64,,238.37,191.75,220.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-10 22:10:03.706000,L7,386.64,401.13,409.99,405.09,415.55,402.37,396.56,364.84,342.00,323.46,340.31,278.79,307.57,275.19,281.01,339.81,351.23,303.35,401.00,311.59,339.05,340.84,292.84,302.34,287.17,267.79,269.41,256.78,257.03,265.74,254.47,252.01,241.00,213.69,189.15,,,,212.14,258.59,290.34,,185.38,223.79,249.83,270.50,193.61,204.86,223.37,,,274.11,244.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-19 22:03:55.051000,L7,,,,329.33,330.67,309.20,280.74,263.76,257.71,247.28,237.14,187.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
