dates,satname,nzd0211-0000,nzd0211-0001,nzd0211-0002,nzd0211-0004,nzd0211-0005,nzd0211-0006,nzd0211-0007,nzd0211-0008,nzd0211-0009,nzd0211-0010,nzd0211-0011,nzd0211-0065,nzd0211-0066,nzd0211-0067,nzd0211-0068,nzd0211-0069,nzd0211-0072,nzd0211-0073,nzd0211-0074,nzd0211-0075,nzd0211-0076,nzd0211-0077,nzd0211-0003,nzd0211-0012,nzd0211-0013,nzd0211-0014,nzd0211-0015,nzd0211-0016,nzd0211-0017,nzd0211-0018,nzd0211-0019,nzd0211-0020,nzd0211-0021,nzd0211-0022,nzd0211-0023,nzd0211-0024,nzd0211-0025,nzd0211-0026,nzd0211-0027,nzd0211-0028,nzd0211-0029,nzd0211-0030,nzd0211-0031,nzd0211-0032,nzd0211-0036,nzd0211-0037,nzd0211-0038,nzd0211-0039,nzd0211-0040,nzd0211-0041,nzd0211-0042,nzd0211-0043,nzd0211-0044,nzd0211-0045,nzd0211-0046,nzd0211-0047,nzd0211-0048,nzd0211-0049,nzd0211-0050,nzd0211-0051,nzd0211-0052,nzd0211-0053,nzd0211-0054,nzd0211-0055,nzd0211-0056,nzd0211-0057,nzd0211-0058,nzd0211-0059,nzd0211-0060,nzd0211-0061,nzd0211-0062,nzd0211-0063,nzd0211-0064,nzd0211-0070,nzd0211-0071,nzd0211-0078,nzd0211-0033,nzd0211-0034,nzd0211-0035
2001-01-14 21:44:09.210000,L7,376.69,364.87,363.47,358.25,391.04,350.28,359.95,357.98,355.18,359.53,357.39,392.86,398.08,391.51,394.48,382.48,368.45,386.26,383.23,363.27,367.04,331.98,355.64,360.98,357.79,363.43,365.83,370.51,388.30,374.38,384.38,370.36,359.81,350.14,357.73,332.89,350.53,367.80,365.54,367.01,253.29,255.10,251.21,230.64,193.81,375.13,380.88,375.72,368.26,360.91,358.93,366.13,362.85,370.85,367.27,369.82,373.92,374.03,384.10,374.07,374.30,373.63,377.50,387.38,385.54,388.37,387.61,402.44,398.00,395.65,396.97,399.44,398.55,375.60,375.19,315.82,238.39,260.97,258.16
2001-04-04 21:43:43.008000,L7,240.10,245.63,255.49,251.97,253.68,257.98,263.48,259.81,258.61,262.61,253.90,346.47,353.25,348.72,350.37,344.71,189.43,329.56,308.24,315.93,329.89,309.29,249.64,263.22,261.73,271.26,226.29,271.34,276.07,260.58,212.01,202.48,,,,,,,,,,,,,,,,,,268.62,263.68,217.63,226.99,224.92,228.31,301.82,307.87,305.51,313.47,310.69,319.86,300.13,306.56,222.06,246.65,318.14,,,,,,309.64,326.24,291.43,,291.76,,,
2001-04-20 21:43:46.702000,L7,234.79,252.27,246.67,235.36,160.63,,,,,,,287.56,215.59,244.14,268.20,234.00,,308.53,276.95,,276.87,,230.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.82,304.21,,,,,,,,,,,,,,264.12,,,,,
2001-05-22 21:43:30.869000,L7,494.81,463.32,440.11,441.74,450.34,429.95,436.15,446.37,451.81,446.84,431.65,471.03,482.20,488.20,467.72,452.47,457.19,432.96,423.29,456.59,472.82,465.28,440.26,430.51,433.38,432.42,433.92,434.79,445.09,447.48,432.96,454.51,433.81,432.08,425.82,419.86,431.81,419.69,361.17,324.77,325.40,328.87,301.41,326.08,321.83,449.31,443.83,446.63,450.43,443.36,433.84,426.87,428.16,445.80,450.39,456.65,453.45,448.02,473.27,467.98,469.55,480.43,485.15,468.39,471.51,470.40,462.69,465.16,473.77,471.22,467.17,469.24,469.86,464.73,447.96,421.21,325.51,338.19,336.90
2001-07-25 21:42:54.824000,L7,519.87,483.87,450.50,371.68,400.94,313.32,316.52,328.33,321.80,371.26,367.18,391.32,392.55,384.37,377.87,373.67,364.44,358.17,366.12,353.63,364.45,330.45,407.32,379.21,375.80,370.98,375.77,385.57,374.02,377.77,316.62,325.29,333.52,327.33,230.42,217.34,211.33,210.43,219.75,217.64,225.79,242.87,245.10,208.01,180.03,278.72,387.28,415.70,373.72,365.00,354.80,359.72,359.31,378.11,384.74,377.31,373.48,381.57,380.80,365.57,392.88,390.99,384.29,382.90,394.25,383.82,385.82,394.17,408.27,404.74,400.42,399.14,394.89,378.59,370.59,311.03,,,
2001-08-10 21:42:36.562000,L7,255.26,250.72,250.93,239.48,259.80,261.66,268.01,256.55,269.12,278.72,289.73,365.84,368.16,369.27,364.05,356.42,343.29,342.72,328.48,328.96,340.73,309.30,245.24,286.50,284.95,281.87,292.41,284.62,289.12,301.08,260.36,292.52,220.74,,,,,,,,,,,,,,309.07,296.34,313.41,325.18,316.64,241.22,229.65,233.95,275.26,297.60,312.01,314.24,322.41,335.05,338.29,309.20,204.09,,,,,,,,,180.35,280.02,355.71,353.32,,,,
2001-08-26 21:42:25.671000,L7,328.02,328.34,308.39,302.22,311.53,313.09,538.87,430.33,321.26,332.87,332.23,530.18,523.31,500.35,482.63,363.55,365.65,360.33,359.45,349.68,363.65,333.19,302.39,329.49,331.27,327.61,336.17,322.23,342.39,471.01,455.34,432.89,330.32,321.62,323.71,223.87,208.31,212.34,217.79,218.25,232.21,246.05,245.41,209.00,165.38,276.22,347.46,348.63,352.69,351.60,350.46,374.05,366.30,371.95,381.85,366.71,382.99,383.68,388.98,363.85,367.29,364.53,366.25,374.92,394.68,396.13,384.35,394.86,405.27,396.23,395.15,400.84,400.59,358.74,364.46,313.25,,,
2001-09-11 21:42:14.303000,L7,446.25,330.46,325.90,328.97,328.50,268.10,240.17,318.84,294.68,176.91,418.47,369.07,373.76,372.18,358.74,,,,,,,,232.25,338.15,366.05,363.94,343.33,325.03,341.95,345.70,321.13,303.35,293.97,263.09,227.68,,,,,,,,,,162.22,285.79,327.28,331.80,334.37,341.24,342.73,346.69,345.78,349.57,352.39,355.99,348.97,358.53,360.11,364.35,372.29,369.12,365.05,360.45,366.47,363.26,370.52,374.32,395.50,384.28,384.49,367.99,369.28,,,,,,
2001-09-27 21:42:05.338000,L7,399.68,391.27,381.18,363.98,357.43,358.38,361.72,373.79,377.69,374.85,375.03,404.93,450.79,446.06,425.29,414.88,375.77,379.24,377.73,376.04,385.40,346.31,371.19,373.71,375.71,371.07,373.47,378.74,379.78,383.26,383.63,388.14,386.50,390.34,397.72,367.15,366.10,362.67,310.60,266.82,376.20,399.43,369.54,375.04,419.63,392.61,390.17,398.21,409.35,382.96,385.65,400.39,420.51,430.54,397.94,397.86,394.29,411.48,404.35,400.22,391.62,400.64,408.09,431.43,427.77,421.04,424.41,413.76,434.13,424.61,418.70,427.17,411.06,380.05,385.26,327.40,269.49,289.14,284.57
2001-10-13 21:41:51.963000,L7,388.14,381.10,372.68,354.39,349.57,349.07,352.28,356.98,362.68,359.04,355.51,389.25,382.20,394.07,387.76,385.22,375.92,369.60,365.23,362.12,374.12,343.29,353.77,358.06,356.22,361.93,368.63,368.56,373.39,372.05,372.15,360.62,359.46,359.37,366.68,357.56,354.99,348.92,266.74,261.03,269.72,262.72,267.38,279.70,377.91,395.57,391.84,387.27,411.20,431.04,390.10,380.44,386.12,405.19,387.83,397.52,391.27,384.66,386.62,386.96,400.24,402.94,396.97,398.12,396.68,405.69,395.77,365.34,418.36,418.78,410.75,409.68,403.31,380.76,381.20,326.51,249.05,268.84,289.77
