dates,satname,nzd0218-0000,nzd0218-0001,nzd0218-0002,nzd0218-0003,nzd0218-0004,nzd0218-0005,nzd0218-0006,nzd0218-0007,nzd0218-0008,nzd0218-0009,nzd0218-0010,nzd0218-0011,nzd0218-0012,nzd0218-0013,nzd0218-0014,nzd0218-0015,nzd0218-0016,nzd0218-0017,nzd0218-0018,nzd0218-0019,nzd0218-0020,nzd0218-0021,nzd0218-0022,nzd0218-0023,nzd0218-0024
1999-08-05 21:46:35.104000,L7,,335.87,298.79,218.88,283.30,277.90,294.52,201.56,304.90,295.38,296.50,301.42,315.33,200.35,,,,,,,,290.17,255.01,283.94,320.31
1999-08-21 21:46:33.053000,L7,379.78,360.84,345.62,339.42,325.95,344.31,342.47,343.22,334.78,335.86,335.34,330.65,351.95,338.64,319.43,331.88,316.49,312.65,306.18,306.41,319.59,323.11,349.57,360.84,352.20
1999-09-22 21:46:36.849000,L7,380.57,494.73,484.46,487.10,364.99,359.68,346.08,360.79,358.96,366.50,366.95,362.61,359.91,360.84,351.38,341.82,332.27,334.56,340.81,341.16,349.50,364.98,359.57,372.92,376.20
1999-10-24 21:46:32.266000,L7,397.55,395.24,380.40,367.02,383.78,376.02,354.42,378.75,370.74,382.55,367.08,365.87,369.04,369.56,368.30,355.05,344.49,339.76,340.38,347.84,357.06,363.58,359.35,371.01,371.00
2000-05-19 21:45:43.918000,L7,352.21,332.49,297.68,234.90,,219.82,212.58,306.11,214.98,175.49,,,,,,,,,,,,,,283.97,181.15
2000-06-04 21:45:32.324000,L7,345.12,322.31,276.54,,,,,,,272.05,277.47,236.22,281.15,,,,,,,,,,,,
2001-04-04 21:43:43.008000,L7,388.04,384.25,375.34,488.52,464.13,460.03,473.11,493.95,521.95,542.46,369.87,533.99,524.32,526.23,523.35,531.33,537.18,525.71,347.41,356.61,366.28,370.35,365.35,377.54,373.60
2001-04-20 21:43:46.702000,L7,,336.57,315.15,267.38,,250.21,322.36,319.29,,273.14,175.61,225.09,309.30,270.11,256.49,282.56,269.63,278.06,261.65,270.99,261.12,258.60,233.45,304.56,307.82
2001-05-22 21:43:30.869000,L7,375.05,357.90,361.15,345.67,349.72,352.56,512.99,536.33,529.14,524.03,343.90,345.53,348.80,341.68,337.08,343.27,322.97,334.22,340.45,341.64,347.60,337.44,355.52,365.72,364.78
2001-08-10 21:42:36.562000,L7,356.14,341.51,316.18,243.78,291.63,284.87,295.97,316.83,229.49,269.66,290.10,304.42,321.23,286.98,231.41,286.47,264.73,288.09,266.51,207.03,,240.09,228.61,317.43,317.57
2001-08-26 21:42:25.671000,L7,332.83,302.14,315.39,279.20,282.01,311.91,222.96,,,,,,258.77,281.87,246.22,285.01,269.89,272.13,269.10,222.84,,255.89,232.42,273.87,306.87
2001-09-27 21:42:05.338000,L7,350.47,,316.57,278.75,280.32,304.63,220.14,,,,,,303.48,251.61,272.51,228.75,264.52,243.57,225.13,256.03,270.70,223.84,223.22,284.09,300.94
