dates,satname,nzd0261-0000,nzd0261-0001,nzd0261-0002,nzd0261-0003,nzd0261-0004,nzd0261-0005,nzd0261-0006,nzd0261-0011,nzd0261-0012,nzd0261-0013,nzd0261-0014,nzd0261-0015,nzd0261-0016,nzd0261-0017,nzd0261-0018,nzd0261-0019,nzd0261-0020,nzd0261-0021,nzd0261-0022,nzd0261-0023,nzd0261-0024,nzd0261-0025,nzd0261-0026,nzd0261-0027,nzd0261-0028,nzd0261-0029,nzd0261-0030,nzd0261-0031,nzd0261-0032,nzd0261-0033,nzd0261-0034,nzd0261-0035,nzd0261-0007,nzd0261-0008,nzd0261-0009,nzd0261-0010
1999-12-25 21:59:16.152000,L7,279.26,280.40,253.21,271.30,284.90,252.30,236.34,232.09,272.33,257.55,235.24,204.20,218.26,243.68,276.75,206.78,230.61,243.41,225.06,278.26,274.57,263.33,264.39,239.68,255.58,212.93,222.90,250.73,237.82,208.65,193.78,257.10,,,,
2000-01-10 21:59:16.407000,L7,400.77,396.64,402.18,362.87,436.37,466.03,453.68,430.52,435.53,303.47,300.76,317.84,332.99,322.25,393.60,391.87,382.15,467.52,409.37,386.90,407.80,398.36,386.65,439.85,475.81,474.17,488.34,472.79,452.01,399.23,417.23,295.98,355.28,351.26,360.87,434.88
2000-03-14 21:58:59.247000,L7,442.94,447.09,398.10,396.16,305.16,288.60,384.67,287.95,464.16,397.63,479.57,329.92,406.63,326.12,437.05,481.53,321.27,395.04,464.08,324.77,508.42,512.66,447.83,282.37,307.20,289.26,316.19,494.85,274.68,423.65,371.21,397.40,223.51,282.78,365.15,280.45
2000-03-30 21:58:57.484000,L7,279.31,293.09,,260.57,280.22,251.10,238.12,237.57,272.92,259.15,242.74,207.57,206.63,218.40,221.57,191.93,215.21,219.11,199.62,,,,184.56,212.94,241.12,215.32,200.58,231.35,201.45,195.99,,,,,245.62,205.96
2000-07-04 21:58:02.420000,L7,,,,275.03,287.63,267.45,250.98,237.27,287.78,267.88,272.64,216.95,215.29,231.94,205.31,198.52,222.28,217.21,208.38,179.86,,,,,235.89,207.75,214.74,242.06,201.01,212.19,181.38,198.61,186.75,423.14,444.29,279.86
2000-11-09 21:56:45.337000,L7,334.00,323.20,296.55,311.46,310.27,290.68,280.43,294.61,309.06,314.09,315.49,331.72,337.82,322.42,332.95,403.73,402.80,400.91,329.86,324.53,320.45,317.95,306.04,287.44,354.58,319.27,310.83,292.23,292.24,301.45,262.82,308.19,205.66,294.14,268.55,279.85
2000-11-25 21:56:47.006000,L7,300.84,296.62,268.89,283.55,286.98,265.95,246.74,248.20,287.29,275.63,267.42,292.56,310.37,278.24,294.18,251.99,280.27,273.58,288.08,290.19,288.26,292.35,279.22,251.94,258.55,248.85,289.10,259.24,258.02,225.31,218.15,268.03,,,258.20,267.13
2001-03-17 21:56:40.512000,L7,313.69,312.28,295.00,301.45,301.31,285.90,276.12,264.24,296.19,278.97,293.11,316.74,332.08,312.21,327.25,245.37,269.95,254.13,292.99,294.86,312.84,307.64,294.78,265.31,272.19,444.60,449.56,388.78,481.87,241.99,228.96,294.75,206.76,263.36,263.66,284.11
2001-07-07 21:55:48.139000,L7,,,,290.25,290.69,278.59,270.54,430.84,429.92,423.93,420.48,417.38,418.81,417.05,430.40,418.90,250.09,236.52,241.75,217.27,221.18,250.72,270.51,248.93,257.47,255.61,398.06,424.42,407.16,234.89,220.93,242.78,195.48,411.87,415.63,429.70
2001-09-09 21:55:00.813000,L7,330.35,312.99,293.35,302.81,278.83,232.36,,,240.43,249.59,224.90,445.50,486.22,472.72,481.49,243.91,235.71,228.82,269.40,298.20,312.45,325.00,404.88,423.52,413.99,301.93,363.02,359.53,334.99,365.05,348.65,346.14,,,,
