dates,satname,nzd0427-0000,nzd0427-0001,nzd0427-0002,nzd0427-0003,nzd0427-0004,nzd0427-0005,nzd0427-0006,nzd0427-0007,nzd0427-0008,nzd0427-0009,nzd0427-0010,nzd0427-0011,nzd0427-0012,nzd0427-0013,nzd0427-0014,nzd0427-0015,nzd0427-0016,nzd0427-0017,nzd0427-0018,nzd0427-0019,nzd0427-0020,nzd0427-0021,nzd0427-0022,nzd0427-0023,nzd0427-0024,nzd0427-0025,nzd0427-0026,nzd0427-0027,nzd0427-0028,nzd0427-0029,nzd0427-0030,nzd0427-0031,nzd0427-0032,nzd0427-0033,nzd0427-0034,nzd0427-0035,nzd0427-0036,nzd0427-0037,nzd0427-0038,nzd0427-0039,nzd0427-0040,nzd0427-0041,nzd0427-0042,nzd0427-0043,nzd0427-0044,nzd0427-0045,nzd0427-0046,nzd0427-0047,nzd0427-0048,nzd0427-0049,nzd0427-0050,nzd0427-0051,nzd0427-0052,nzd0427-0053,nzd0427-0054,nzd0427-0055,nzd0427-0056,nzd0427-0057,nzd0427-0058,nzd0427-0059,nzd0427-0060
2003-08-20 21:57:03.003000,L5,326.97,299.31,257.76,228.86,202.46,197.13,186.06,187.88,178.46,184.37,187.23,198.13,227.50,249.61,250.54,251.07,245.88,245.81,255.84,258.79,271.02,261.81,267.80,273.28,267.45,269.74,268.82,271.11,275.85,278.37,282.70,288.18,287.24,282.36,274.00,266.54,265.53,266.07,263.76,265.99,274.54,271.40,268.71,278.20,281.92,282.83,275.36,282.48,278.43,275.93,273.23,278.37,283.99,280.29,282.41,279.12,281.59,288.05,273.15,271.65,274.66
2003-12-10 21:58:29.659000,L5,301.60,271.27,241.77,205.40,179.04,165.53,,,,,,172.58,213.22,237.66,236.81,239.48,236.37,241.20,250.94,260.20,253.33,246.64,252.85,251.14,250.60,251.60,249.11,250.83,256.08,268.53,275.41,281.79,282.51,279.90,274.09,269.11,269.92,253.62,252.77,258.48,258.34,264.79,261.08,270.41,269.81,286.00,283.97,284.59,287.04,284.54,288.68,288.64,290.23,274.67,279.74,275.35,274.70,266.30,262.18,262.45,270.51
2003-12-26 21:58:42.145000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.40,232.56,226.54,231.35,224.30,242.49,233.71,242.43,,,,,,
2004-01-27 21:58:50.060000,L5,,,,,,,,,,,,,,,,,,187.67,200.21,204.48,216.74,213.84,215.41,214.87,214.28,217.45,213.79,214.87,218.52,223.80,227.42,236.23,235.97,228.05,222.49,217.76,221.29,224.28,220.05,225.20,225.39,232.77,230.51,238.97,229.21,231.49,228.09,232.94,237.74,231.86,237.82,234.42,246.20,242.00,247.25,238.72,236.95,226.73,228.44,227.74,186.30
2004-05-18 22:00:38.480000,L5,303.92,278.28,236.40,199.67,167.10,,,,,,,,175.07,200.00,201.82,192.66,199.47,206.68,217.00,222.27,224.29,224.06,203.74,222.48,220.57,226.74,231.24,227.92,234.55,238.71,244.62,249.48,248.32,236.50,226.66,221.52,207.14,207.57,199.34,209.21,222.31,,222.52,218.15,181.92,229.35,213.28,,,,229.31,183.54,199.70,227.70,,,219.90,225.74,226.04,233.19,243.39
2004-08-22 22:03:12.259000,L5,302.46,275.14,238.95,202.93,173.38,165.56,,,,,,,183.27,203.48,206.82,204.51,207.96,208.97,220.50,218.75,226.64,223.77,221.76,223.79,227.72,230.22,230.39,223.93,233.48,237.01,244.22,253.34,251.64,240.55,229.72,224.72,216.01,221.85,220.16,193.35,211.00,174.11,,,,,,,,,,,,,,,,225.11,224.19,239.53,244.04
2004-11-26 22:05:17.306000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.48,204.58,201.69,217.11,220.33,220.86,220.74,222.34,228.34,220.90,225.49,223.23,226.19,223.49,227.02,230.88,227.54,230.97,240.49,249.41,240.59,240.61,,,,189.50,218.89,212.08
2005-02-14 22:06:33.160000,L5,304.49,274.41,240.83,207.55,182.93,163.97,,,,,166.88,182.73,215.25,236.44,238.14,239.09,238.61,242.58,249.68,244.19,249.96,244.55,248.89,250.32,250.83,249.10,244.82,249.30,267.89,273.59,277.24,282.31,284.31,283.58,274.57,270.27,250.96,245.46,249.55,250.80,255.79,255.86,256.96,264.62,279.25,282.06,279.33,282.38,282.89,280.67,283.36,277.93,270.08,269.53,272.07,269.28,264.79,263.66,261.09,274.25,270.23
2005-03-02 22:06:47.890000,L5,311.80,281.56,239.80,207.37,186.76,172.22,165.88,,,166.45,170.54,176.16,210.95,229.31,231.42,235.82,237.67,246.28,253.16,261.94,265.64,263.73,266.90,267.31,271.24,257.25,253.35,254.86,259.02,265.05,269.90,275.76,280.01,283.22,274.06,269.47,269.39,268.90,268.71,273.01,272.67,269.90,264.02,270.37,271.42,272.50,271.78,272.39,271.98,279.12,283.15,282.58,287.82,284.47,288.52,283.42,280.27,268.86,264.62,262.56,263.73
2005-09-10 22:08:07.620000,L5,,,,,,,,,,,,,181.86,197.11,199.86,192.48,199.41,204.87,213.46,214.35,216.25,221.43,220.21,222.79,226.24,228.79,223.01,224.09,235.39,232.37,235.78,240.25,238.12,232.63,,,,,,,,,,,,,,,,,,,,,,,235.86,198.43,239.32,235.61,231.92
