dates,satname,nzd0100-0000,nzd0100-0001,nzd0100-0002,nzd0100-0003,nzd0100-0004,nzd0100-0005,nzd0100-0006,nzd0100-0007,nzd0100-0008,nzd0100-0009,nzd0100-0010,nzd0100-0011,nzd0100-0012,nzd0100-0013,nzd0100-0014,nzd0100-0015,nzd0100-0016,nzd0100-0017,nzd0100-0018,nzd0100-0019,nzd0100-0020,nzd0100-0021,nzd0100-0022,nzd0100-0023,nzd0100-0024,nzd0100-0025,nzd0100-0026,nzd0100-0027,nzd0100-0028,nzd0100-0029,nzd0100-0030,nzd0100-0031,nzd0100-0032,nzd0100-0033,nzd0100-0034,nzd0100-0035,nzd0100-0036,nzd0100-0037,nzd0100-0038,nzd0100-0039,nzd0100-0040,nzd0100-0041,nzd0100-0042,nzd0100-0043,nzd0100-0044,nzd0100-0045,nzd0100-0046,nzd0100-0047,nzd0100-0048,nzd0100-0049,nzd0100-0050,nzd0100-0051,nzd0100-0052,nzd0100-0053,nzd0100-0054,nzd0100-0055,nzd0100-0056,nzd0100-0057,nzd0100-0058,nzd0100-0059,nzd0100-0060,nzd0100-0061,nzd0100-0062,nzd0100-0063,nzd0100-0064,nzd0100-0065,nzd0100-0066,nzd0100-0067,nzd0100-0068,nzd0100-0069,nzd0100-0070,nzd0100-0071,nzd0100-0072,nzd0100-0073
1999-08-26 22:04:44.971000,L7,422.99,406.76,404.94,405.50,392.96,393.01,394.76,397.20,399.39,418.62,411.18,416.76,416.29,433.73,424.41,394.36,353.13,346.30,339.45,338.27,293.68,339.00,348.58,343.27,336.38,335.97,337.72,324.99,343.80,347.39,343.89,298.68,332.36,341.35,346.08,351.05,350.33,353.26,352.13,346.26,348.27,354.65,349.07,358.69,358.52,335.99,347.81,351.00,354.51,358.63,214.73,351.28,334.13,342.72,347.11,337.37,341.97,347.76,344.93,277.53,351.75,370.95,430.48,406.13,348.33,397.15,399.02,391.84,386.19,396.08,382.94,370.08,371.59,381.05
1999-09-27 22:04:48.949000,L7,423.60,402.33,378.66,382.00,379.13,362.45,377.91,378.21,378.31,378.51,374.07,385.33,393.27,407.73,404.42,386.43,397.15,330.57,333.42,332.81,307.47,327.64,341.11,323.73,387.01,333.60,325.14,317.19,333.37,339.59,327.49,316.92,310.03,333.95,333.27,330.21,339.91,335.15,260.80,340.43,345.39,347.35,342.00,318.33,321.80,333.02,333.85,349.09,351.79,348.87,338.92,335.25,324.17,326.29,324.88,332.94,332.68,340.77,333.88,341.88,352.97,365.49,421.27,339.81,336.35,349.55,352.85,350.33,338.43,295.63,331.50,335.78,334.24,375.54
1999-11-14 22:04:42.286000,L7,411.43,381.08,390.86,376.08,377.06,422.06,382.90,419.59,387.81,392.86,395.86,411.78,415.96,422.17,429.68,396.95,409.60,406.97,402.23,322.61,314.81,346.50,341.52,339.18,338.11,345.64,343.13,321.96,353.13,360.04,345.70,339.21,318.78,312.70,340.41,344.57,334.16,349.29,370.75,349.25,351.37,196.73,351.44,335.56,314.91,325.05,336.89,348.32,359.94,295.40,345.08,338.83,331.93,333.27,264.98,343.81,350.03,343.30,346.70,355.17,359.92,371.96,375.87,325.62,341.29,353.52,348.83,346.09,364.83,345.86,342.85,336.80,344.27,386.48
2000-01-01 22:04:37.439000,L7,507.77,417.81,411.84,413.44,434.10,437.33,450.00,460.06,394.80,391.96,390.31,389.70,411.42,408.19,396.62,470.02,497.38,471.89,413.71,419.45,446.23,476.76,384.69,494.36,395.26,399.72,406.00,379.53,393.32,463.62,448.12,420.01,455.87,476.73,398.67,388.15,493.77,461.47,544.08,375.81,409.93,360.51,419.73,468.83,529.49,455.30,167.54,422.24,549.95,535.79,412.15,511.51,336.89,371.20,417.43,466.56,,,,,,,,222.86,424.17,405.26,438.43,375.64,384.43,443.36,527.89,464.25,478.82,456.64
2000-02-18 22:04:29.218000,L7,434.16,278.39,345.63,372.88,491.48,,506.61,384.08,386.89,343.69,329.81,302.11,343.72,297.25,325.10,170.17,514.51,318.79,255.98,344.32,403.99,203.86,219.13,347.19,473.97,496.48,469.17,432.54,425.13,265.20,176.63,320.70,312.58,305.87,352.05,277.94,387.99,355.97,201.85,469.09,409.94,200.62,194.80,187.61,187.84,217.01,190.57,222.92,250.27,220.00,203.50,182.06,241.04,269.79,250.70,253.53,251.05,259.03,250.84,268.21,295.09,327.53,419.52,365.99,299.37,279.66,285.03,284.69,285.01,276.30,189.64,174.70,272.34,295.30
2000-05-24 22:03:46.662000,L7,480.54,424.14,404.31,437.39,461.65,441.66,507.80,519.56,536.07,,,466.04,448.82,437.17,431.44,443.31,452.71,451.27,423.40,414.23,423.41,459.88,415.70,412.65,442.48,432.27,434.21,417.82,419.78,415.02,512.80,,478.02,540.56,353.96,358.26,366.95,370.54,394.95,365.11,317.31,440.53,407.67,399.45,408.20,391.44,406.91,412.20,410.67,440.45,412.88,400.92,414.45,428.11,436.24,384.00,399.23,393.06,390.85,391.04,394.01,423.04,434.86,413.59,388.78,430.19,423.60,389.15,404.62,427.40,402.57,409.89,410.67,391.45
2000-07-11 22:03:17.779000,L7,246.49,234.79,220.34,223.63,292.31,266.91,248.12,263.01,286.93,407.94,531.06,540.07,497.77,317.14,498.34,231.42,333.68,292.64,297.90,335.94,490.04,509.62,456.43,470.63,485.52,505.77,477.23,477.84,473.57,476.94,459.10,432.88,457.80,471.87,465.04,472.24,468.87,451.61,452.36,442.33,482.55,196.02,212.27,186.61,192.75,217.49,187.73,224.62,268.98,223.46,224.71,245.71,245.22,271.80,485.83,273.85,251.59,400.62,387.86,412.39,407.95,415.44,427.00,343.50,397.57,457.28,430.64,282.74,276.03,185.36,229.67,,,
2000-08-12 22:02:54.094000,L7,407.64,365.42,275.52,343.16,412.01,,,,,540.60,418.26,436.88,423.87,458.42,409.61,399.29,447.80,445.40,473.65,470.64,434.00,418.50,404.41,389.71,409.59,398.05,400.83,387.84,411.11,423.67,419.07,499.15,442.91,441.34,417.62,401.52,391.46,408.01,420.07,402.93,393.11,394.63,391.58,388.16,367.57,376.09,377.86,395.26,400.53,394.46,367.21,375.76,373.45,370.29,355.61,357.87,355.82,370.44,377.03,385.21,400.79,443.47,463.50,434.15,416.76,415.23,400.26,396.85,433.54,413.75,409.40,386.94,383.17,413.15
2000-09-13 22:02:26.190000,L7,408.26,417.85,370.74,440.09,417.97,435.40,400.11,420.56,422.45,420.48,413.56,441.12,439.65,437.73,421.94,417.68,408.83,416.63,428.53,442.80,415.87,424.35,418.68,396.59,425.61,428.96,433.67,312.31,335.10,374.45,414.35,406.48,378.31,419.19,418.80,407.65,427.34,403.53,435.92,427.54,430.69,438.07,442.57,431.03,428.46,423.05,409.89,414.60,412.13,407.83,408.02,406.98,361.61,423.50,427.93,365.45,380.49,422.18,366.06,377.45,383.72,478.28,427.29,392.33,407.64,424.82,412.60,389.85,393.48,419.59,413.54,384.81,432.00,423.23
2000-10-15 22:01:56.204000,L7,409.82,388.08,332.96,317.93,316.08,326.23,339.78,365.21,360.33,375.08,389.67,416.31,510.17,,,291.15,456.92,374.99,444.23,491.99,541.69,328.72,305.94,340.63,481.04,459.66,426.94,363.67,334.58,336.60,333.77,318.64,322.31,328.95,,,,,,,395.29,471.10,462.23,288.94,322.39,331.70,336.45,338.73,350.27,337.94,346.02,346.43,337.35,327.32,305.59,309.91,303.66,327.48,326.43,343.88,342.95,322.67,451.82,371.59,366.64,366.06,378.46,359.90,297.75,295.39,205.72,338.08,211.35,344.96
