dates,satname,nzd0388-0000,nzd0388-0001,nzd0388-0002,nzd0388-0003,nzd0388-0004,nzd0388-0005,nzd0388-0006,nzd0388-0007,nzd0388-0008,nzd0388-0009,nzd0388-0010,nzd0388-0011,nzd0388-0012,nzd0388-0014,nzd0388-0015,nzd0388-0016,nzd0388-0017,nzd0388-0013,nzd0388-0018,nzd0388-0019,nzd0388-0020,nzd0388-0021
1999-11-21 22:12:24.026000,L7,,,,,,,,,,,,,,,,,,,270.60,307.52,314.74,288.65
1999-12-07 22:12:29.825000,L7,,,,,,,,,,,,,,,252.88,245.12,237.76,,,,,263.28
2001-01-10 22:10:03.706000,L7,,,,,,,,,,,,,,275.68,257.60,262.42,280.55,261.99,257.64,273.31,281.06,
2003-08-20 21:56:39.173000,L5,313.96,315.88,309.41,318.54,312.50,304.50,295.48,294.50,285.93,299.14,297.71,292.23,304.14,,,,,,,,,
2003-08-29 21:50:38.152000,L5,308.54,309.22,300.40,310.44,304.85,293.43,285.44,286.36,279.44,288.83,295.32,288.57,,,,,,,,,,
2003-09-14 21:50:54.515000,L5,288.80,291.21,285.09,294.18,286.88,276.66,260.53,249.33,,272.93,279.88,271.40,,271.12,255.85,258.58,255.75,,,,,
2003-09-14 21:51:18.345000,L5,292.21,293.14,287.96,296.12,289.20,280.10,265.15,255.07,237.74,275.68,282.47,274.51,,273.11,260.65,262.98,256.97,,,,,
2003-11-17 21:51:45.201000,L5,304.06,277.31,223.83,244.76,294.24,273.77,255.79,262.46,239.73,262.86,262.49,196.31,244.65,281.08,268.69,274.94,277.76,244.50,267.40,267.51,280.73,270.06
2003-11-17 21:52:09.031000,L5,304.28,278.45,224.48,243.12,295.46,274.91,255.16,262.49,205.77,261.47,261.03,195.10,238.82,281.01,269.25,274.56,277.43,244.77,268.31,268.25,280.87,
2003-12-03 21:51:55.424000,L5,300.69,261.93,207.90,218.30,282.87,266.12,250.10,247.20,178.02,180.86,201.39,204.00,218.84,262.78,256.07,261.45,264.74,239.16,259.18,260.62,271.59,
2003-12-03 21:52:19.254000,L5,307.70,280.47,220.46,230.21,289.71,275.33,262.93,265.70,210.00,279.30,283.72,277.50,268.54,278.44,265.37,270.10,272.20,254.69,268.36,272.70,281.81,244.89
2003-12-10 21:58:05.829000,L5,303.89,262.19,211.23,222.29,281.32,267.07,252.23,245.13,,183.90,206.61,204.52,243.02,265.41,255.00,259.13,263.49,240.06,255.81,260.11,272.63,
2004-01-04 21:52:10.021000,L5,271.06,257.90,212.88,,,,,,,,,,,242.31,250.93,263.65,264.45,,259.14,260.89,269.64,
2004-02-05 21:52:16.959000,L5,278.49,277.68,268.88,281.88,281.20,258.95,244.86,268.51,,,,,,,254.99,262.25,266.58,,258.56,259.54,288.83,
2004-02-05 21:52:40.789000,L5,285.65,283.07,276.53,287.35,287.22,266.29,254.83,272.64,,284.29,287.40,283.35,,257.94,261.18,266.78,271.26,,265.61,265.58,292.97,
2004-04-25 21:53:23.341000,L5,274.01,270.88,276.50,275.97,268.21,,,,,,,,,,,,,,,,,
2004-04-25 21:53:47.171000,L5,293.35,288.82,293.22,293.45,285.33,267.18,265.03,188.54,,,,,,,,,,,,,,
2004-05-18 22:00:14.650000,L5,307.05,305.63,304.75,303.50,304.20,287.76,283.17,281.79,,,,,,,,,,,,,,
2004-08-15 21:56:25.603000,L5,316.22,314.53,318.03,318.85,316.70,305.68,299.43,299.19,287.63,295.39,289.27,298.22,306.43,306.27,,,,295.54,,,,
2004-08-15 21:56:49.433000,L5,279.89,285.01,282.51,289.78,280.21,262.60,,,,,,,,,,,,,,,,
2004-08-22 22:02:48.429000,L5,295.16,291.33,293.39,298.32,288.57,271.05,,,,276.24,280.01,280.06,,,,,,,,,,
2004-11-10 22:04:35.857000,L5,290.77,284.56,281.54,286.68,282.13,283.58,271.12,272.77,,284.15,215.93,,211.94,267.20,259.38,263.12,261.89,228.94,267.15,271.39,290.25,
2005-02-23 22:00:07.370000,L5,,,,182.22,267.26,280.44,261.71,270.67,236.05,271.01,,,,222.53,262.97,196.85,,,,,,
2005-02-23 22:00:31.200000,L5,,,,185.98,268.21,282.67,265.57,275.25,,,,,,270.34,268.73,261.61,,,,,,
