dates,satname,nzd0275-0000,nzd0275-0001,nzd0275-0002,nzd0275-0003,nzd0275-0004,nzd0275-0005,nzd0275-0006,nzd0275-0007,nzd0275-0008,nzd0275-0009,nzd0275-0010,nzd0275-0011,nzd0275-0012,nzd0275-0013,nzd0275-0014,nzd0275-0015,nzd0275-0017,nzd0275-0018,nzd0275-0019,nzd0275-0020,nzd0275-0021,nzd0275-0022,nzd0275-0023,nzd0275-0024,nzd0275-0025,nzd0275-0026,nzd0275-0027,nzd0275-0028,nzd0275-0029,nzd0275-0030,nzd0275-0031,nzd0275-0032,nzd0275-0033,nzd0275-0034,nzd0275-0035,nzd0275-0036,nzd0275-0037,nzd0275-0038,nzd0275-0016
1999-08-21 21:46:56.985000,L7,452.92,494.78,196.83,193.60,418.09,439.69,426.31,207.64,214.15,242.65,292.79,429.93,426.65,426.94,410.12,387.32,257.79,246.75,328.05,319.02,344.04,240.10,289.21,341.90,353.95,296.27,302.37,275.86,295.33,353.24,367.40,312.47,280.45,294.82,319.82,309.50,309.12,353.53,
1999-09-22 21:47:00.785000,L7,,169.07,189.62,195.20,173.24,198.90,206.05,214.79,271.62,259.48,301.99,295.90,303.80,294.03,293.86,306.21,464.02,474.80,489.84,487.42,487.52,518.89,502.72,521.69,528.08,516.02,525.34,525.55,335.90,347.51,349.50,346.73,329.19,348.26,353.89,335.13,353.17,377.10,505.96
1999-10-24 21:46:56.203000,L7,366.82,175.65,196.47,195.78,177.59,200.98,351.26,355.70,353.05,362.54,330.90,370.22,364.18,357.36,356.62,353.85,334.33,335.21,339.13,348.06,353.01,365.46,350.76,235.45,229.82,217.55,224.63,218.06,382.31,392.14,399.86,396.84,389.67,346.47,374.36,342.99,326.30,294.48,345.10
2000-02-13 21:46:48.016000,L7,398.10,373.99,352.96,362.48,368.47,404.89,313.94,361.52,347.36,362.32,365.59,386.35,364.32,334.40,341.96,461.68,414.41,441.42,433.37,431.96,435.62,492.55,507.74,475.80,461.83,479.74,507.78,502.62,468.37,454.37,455.75,472.01,505.39,489.80,359.09,361.09,397.26,350.13,475.58
2000-05-03 21:46:19.161000,L7,,159.35,191.45,186.30,167.60,464.11,460.70,460.76,475.22,484.24,483.87,497.17,489.66,443.93,288.10,289.12,263.27,284.03,330.38,337.09,298.38,349.34,347.56,321.54,322.50,339.63,311.35,287.33,306.34,318.73,319.80,374.73,377.49,380.87,398.09,372.00,408.69,401.05,
2000-05-19 21:46:07.873000,L7,,168.82,184.14,183.10,163.46,200.91,226.15,338.93,355.69,360.73,351.32,364.56,416.52,440.99,421.65,413.96,379.49,318.26,317.53,331.05,343.81,332.86,339.99,247.94,224.83,200.19,204.01,198.12,347.75,355.75,355.40,365.86,373.53,372.24,338.53,335.44,237.84,338.26,368.38
2000-08-07 21:45:08.975000,L7,,169.87,198.16,198.51,176.15,204.67,234.53,230.94,230.44,270.17,301.61,305.63,310.30,312.04,306.63,313.17,333.94,360.93,334.17,360.92,336.22,338.10,339.47,329.92,343.06,353.15,356.80,349.18,346.06,355.51,357.05,356.48,365.46,366.62,384.45,379.77,374.89,400.82,329.35
2000-11-27 21:44:26.720000,L7,385.48,190.78,294.59,335.81,304.53,347.57,344.86,347.94,353.98,349.23,362.55,367.45,349.31,331.69,332.61,333.42,335.20,301.27,288.66,310.80,325.22,324.83,316.98,307.59,292.81,319.48,332.36,330.15,339.06,330.59,346.21,326.74,293.72,364.51,362.29,344.47,353.93,333.42,388.13
2001-01-14 21:44:33.150000,L7,432.86,443.31,436.65,442.13,469.47,446.14,391.92,432.53,439.34,385.37,401.44,411.51,386.79,377.02,279.55,271.45,479.18,479.13,492.49,512.45,,494.49,305.91,289.06,270.27,273.25,215.44,279.92,335.58,323.38,350.87,438.15,,279.83,282.00,252.79,336.27,361.45,487.23
2001-04-04 21:44:06.948000,L7,509.82,172.82,198.29,193.62,171.65,202.30,229.99,213.35,220.44,249.07,290.52,299.68,288.13,327.73,325.69,329.33,327.29,335.58,335.32,338.26,344.15,347.13,344.50,341.80,348.63,354.92,358.84,360.84,355.89,358.97,368.53,364.41,377.42,367.79,387.20,369.38,372.05,398.88,331.69
2001-04-20 21:44:10.657000,L7,,163.01,189.56,188.23,162.04,196.56,225.35,209.56,218.72,392.62,431.64,433.72,444.35,220.36,195.58,242.59,444.56,433.16,398.72,334.64,331.89,331.98,529.22,520.94,496.49,349.48,354.09,489.16,520.90,525.81,492.65,506.67,501.37,502.62,385.86,393.40,405.19,409.78,270.44
2001-05-22 21:43:54.652000,L7,385.62,396.98,351.81,378.45,448.47,421.23,397.46,390.87,411.37,377.38,375.23,370.36,328.20,336.08,374.88,361.21,338.23,360.86,302.38,315.29,324.27,298.66,370.67,368.46,369.45,377.67,383.73,389.79,390.19,396.25,395.29,397.85,390.93,391.15,398.10,402.97,409.60,401.79,341.57
2001-07-25 21:43:18.753000,L7,501.97,491.75,479.81,480.48,472.47,399.20,453.91,436.38,415.63,400.40,399.42,403.32,391.03,403.69,430.59,451.09,421.67,383.70,395.92,390.27,395.95,384.76,407.77,412.36,428.39,427.26,474.17,512.78,318.73,339.64,340.08,338.79,349.36,351.37,364.58,366.21,353.28,351.96,430.26
2001-08-10 21:43:00.495000,L7,501.09,489.06,481.91,489.33,494.79,464.86,445.04,425.89,418.75,273.31,291.18,297.91,419.90,428.43,433.18,435.53,419.82,487.98,516.11,505.49,489.44,420.88,329.07,326.52,326.61,347.62,349.76,280.62,340.57,341.51,344.81,362.31,372.12,364.28,361.84,279.61,356.94,365.05,406.03
2001-09-11 21:42:38.257000,L7,,165.98,190.06,181.10,162.02,191.88,228.38,212.92,212.92,415.60,431.47,451.05,459.22,289.44,280.79,288.59,306.91,310.71,315.73,322.40,325.98,323.23,329.21,316.36,331.68,333.63,327.57,300.81,337.52,338.88,332.67,333.02,349.64,344.88,352.38,362.33,352.34,360.10,305.48
2001-09-27 21:42:29.269000,L7,420.46,434.20,384.41,400.87,398.97,389.75,384.29,387.82,405.83,399.71,417.57,456.34,443.49,425.52,374.32,362.43,349.58,357.52,395.85,285.85,354.74,363.27,349.87,371.67,367.06,351.32,356.21,277.42,328.02,406.87,414.86,351.35,349.43,367.02,379.71,362.75,356.57,286.77,360.61
2001-10-13 21:42:15.922000,L7,,161.22,180.58,182.84,163.53,190.27,204.76,207.95,214.63,237.65,261.49,274.11,268.96,276.32,270.87,273.85,525.83,513.43,510.71,496.70,494.61,321.02,318.24,243.95,251.13,222.48,246.81,215.61,306.78,326.16,318.08,331.65,337.25,336.41,256.13,349.15,334.96,201.87,
2001-10-29 21:42:21.289000,L7,426.57,430.79,416.54,405.52,396.61,395.64,382.66,367.16,365.02,380.24,380.26,368.40,369.69,376.21,374.16,370.40,376.37,349.80,410.14,360.59,391.61,390.75,370.31,404.91,393.44,391.88,393.77,410.43,425.54,422.68,396.26,424.41,474.80,489.16,451.30,418.46,413.90,411.44,379.00
2002-02-02 21:42:54.721000,L7,,,180.21,179.63,167.09,191.62,225.15,448.20,443.20,439.12,275.22,287.41,288.81,296.99,287.83,304.17,307.20,302.23,299.31,298.11,311.73,323.36,317.03,316.24,287.29,335.88,338.46,336.66,325.67,339.41,340.56,468.98,476.55,479.36,354.32,360.18,351.42,353.25,304.23
2002-02-18 21:42:54.191000,L7,,,174.19,174.99,160.68,188.55,219.08,199.38,211.79,233.21,268.54,275.06,276.06,269.61,272.81,297.76,385.71,375.84,296.24,266.88,304.10,309.81,306.88,291.13,282.91,287.76,297.42,256.42,291.11,305.04,303.38,282.91,299.19,290.20,295.65,304.47,300.67,293.62,411.75
2002-04-07 21:42:52.870000,L7,378.81,367.22,325.77,360.50,349.13,336.03,279.21,250.95,238.74,439.44,363.20,312.45,358.82,365.66,374.91,336.54,377.08,369.85,374.81,394.83,396.51,389.79,396.33,389.99,391.75,398.82,406.29,391.91,423.69,417.61,435.34,393.64,402.17,416.19,418.39,414.44,411.93,402.23,375.10
2002-09-14 21:41:55.072000,L7,,159.16,162.09,187.29,174.06,200.81,222.01,239.06,407.45,467.58,472.52,439.85,437.89,429.80,443.79,432.42,404.18,418.92,422.72,409.95,400.98,404.08,321.24,316.69,386.98,396.60,414.82,410.88,297.91,423.15,469.58,476.44,484.46,467.58,220.41,278.63,212.18,337.04,428.65
2002-09-30 21:41:47.719000,L7,381.41,360.73,,189.63,181.69,341.33,292.50,351.14,296.78,327.47,493.66,474.56,451.20,421.63,424.39,327.27,294.45,328.83,329.37,336.98,343.98,343.04,340.20,335.00,398.08,401.37,430.23,363.92,370.22,357.69,398.31,366.60,312.13,324.02,310.49,325.82,302.02,335.85,323.06
2002-11-01 21:41:54.382000,L7,477.88,459.22,447.61,456.17,449.22,442.90,445.38,437.85,439.29,442.67,446.84,428.37,430.64,436.81,420.58,405.44,397.54,393.96,369.67,387.22,401.59,430.98,441.89,401.20,399.55,392.17,405.68,429.99,407.86,410.36,428.31,439.05,448.63,476.06,524.27,476.06,427.99,427.53,374.90
2002-11-17 21:42:06.289000,L7,513.55,506.87,482.80,455.11,479.17,493.89,483.60,448.90,443.24,518.24,513.42,462.47,417.99,396.89,385.75,373.48,368.98,353.23,351.29,349.40,348.95,409.54,418.40,397.02,388.92,413.01,457.99,408.13,394.25,416.30,414.42,443.36,468.99,450.62,435.93,478.12,495.48,408.59,387.02
2003-01-20 21:42:33.373000,L7,422.94,460.20,479.08,275.27,313.82,335.59,345.56,343.38,357.88,302.11,315.72,308.35,296.28,360.08,352.34,352.61,353.52,340.69,350.85,358.89,357.50,373.47,357.49,357.92,359.18,366.99,378.24,369.15,360.26,374.64,377.47,387.64,382.42,390.26,389.33,391.02,385.68,385.96,365.04
2003-02-05 21:42:41.878000,L7,465.93,436.99,447.52,476.25,450.45,430.97,437.12,416.45,416.96,421.55,423.59,420.24,374.71,386.25,402.35,397.86,395.14,404.69,418.23,417.31,375.11,372.38,374.03,368.87,337.89,334.39,308.85,342.13,307.94,338.98,362.31,397.50,326.25,365.01,360.40,356.95,379.78,331.55,398.36
2003-02-21 21:42:44.547000,L7,,,,,,,,,,,,,,,,,,,,,,387.07,296.16,312.20,325.91,350.11,375.21,372.91,357.22,380.21,366.07,367.37,368.14,362.10,373.24,372.63,368.32,379.47,
2003-05-12 21:42:48.091000,L7,,,,,,196.89,205.47,229.19,191.65,240.46,269.39,225.89,157.91,280.79,281.50,297.72,441.95,440.64,453.77,464.89,445.77,446.47,448.91,247.94,227.85,205.38,246.98,279.48,305.35,292.59,323.34,328.52,350.91,351.63,246.21,366.69,349.70,285.68,304.76
2003-09-25 21:31:42.973000,L5,,182.64,201.85,205.39,200.45,213.28,244.56,255.47,267.56,297.64,325.21,323.49,321.58,311.99,309.97,314.94,319.69,319.91,321.84,330.14,329.69,337.15,339.72,333.09,336.61,342.43,346.73,332.42,331.76,344.68,342.21,349.61,348.79,354.29,362.48,376.62,363.12,353.85,313.82
2003-11-28 21:32:34.027000,L5,422.50,432.45,435.79,437.01,427.87,434.57,412.49,461.55,427.23,461.99,431.53,461.77,409.32,415.68,426.84,408.35,389.40,398.48,494.03,460.56,425.91,424.65,468.60,415.26,394.42,400.69,415.78,423.11,410.65,413.38,426.75,465.74,452.71,489.88,422.76,406.67,412.08,372.27,381.12
2003-12-14 21:32:38.364000,L5,,168.21,189.69,196.97,187.34,209.82,250.54,261.19,278.95,296.56,317.93,322.67,303.37,294.26,293.73,303.47,307.64,310.53,330.62,340.17,338.22,343.76,347.39,341.55,320.54,328.38,331.32,317.16,327.49,339.79,347.59,355.06,352.63,356.24,355.32,366.75,353.05,327.09,304.67
2004-01-15 21:32:50.035000,L5,151.01,174.94,197.46,195.75,187.93,200.81,234.90,244.27,273.67,290.28,317.91,322.53,320.95,312.63,299.63,304.96,307.41,306.70,312.90,335.08,335.89,343.48,344.53,342.26,340.23,341.33,337.16,315.96,331.03,338.04,334.06,338.52,353.71,363.22,355.25,368.03,359.67,346.18,307.83
2004-02-16 21:33:00.436000,L5,,166.49,190.26,198.23,190.01,206.40,232.53,245.71,257.21,264.86,289.56,259.36,,291.93,292.88,294.82,298.18,298.77,309.19,307.59,294.50,300.83,310.64,297.93,303.63,310.14,311.59,295.04,312.82,328.45,317.18,322.24,310.50,330.84,343.34,361.17,351.59,337.70,307.32
2004-03-19 21:33:10.985000,L5,,178.78,208.83,203.45,202.67,206.58,241.87,252.21,265.03,280.42,301.42,308.92,309.60,304.33,304.92,309.44,311.86,315.41,315.49,330.28,327.58,332.57,328.87,328.67,333.04,338.93,345.32,323.76,330.95,349.24,341.89,345.06,345.60,358.17,348.81,369.40,355.21,346.84,310.95
