dates,satname,nzd0191-0000,nzd0191-0001,nzd0191-0009,nzd0191-0010,nzd0191-0011,nzd0191-0012,nzd0191-0013,nzd0191-0018,nzd0191-0019,nzd0191-0020,nzd0191-0021,nzd0191-0022,nzd0191-0023,nzd0191-0024,nzd0191-0025,nzd0191-0026,nzd0191-0027,nzd0191-0028,nzd0191-0029,nzd0191-0030,nzd0191-0031,nzd0191-0032,nzd0191-0033,nzd0191-0034,nzd0191-0035,nzd0191-0036,nzd0191-0037,nzd0191-0038,nzd0191-0039,nzd0191-0040,nzd0191-0041,nzd0191-0042,nzd0191-0043,nzd0191-0044,nzd0191-0045,nzd0191-0046,nzd0191-0047,nzd0191-0048,nzd0191-0049,nzd0191-0050,nzd0191-0051,nzd0191-0052,nzd0191-0053,nzd0191-0054,nzd0191-0055,nzd0191-0056,nzd0191-0057,nzd0191-0058,nzd0191-0059,nzd0191-0060,nzd0191-0002,nzd0191-0003,nzd0191-0004,nzd0191-0005,nzd0191-0006,nzd0191-0007,nzd0191-0008,nzd0191-0014,nzd0191-0015,nzd0191-0016,nzd0191-0017,nzd0191-0061
1999-09-29 21:52:52.243000,L7,,,,,,,,301.86,293.43,290.02,287.66,289.93,296.30,297.28,301.44,296.34,299.42,214.07,215.42,197.38,221.13,213.77,312.75,317.14,227.75,229.71,231.73,234.74,241.11,238.72,242.32,317.90,326.89,324.12,333.55,335.16,224.74,209.56,,,,,,,,,,,,,,,,,,,,,309.85,314.37,309.46,
1999-10-15 21:52:49.322000,L7,343.83,307.71,311.54,317.40,301.46,299.81,296.45,414.84,402.01,420.98,403.73,383.33,381.03,296.27,359.08,296.17,296.57,215.77,220.55,219.92,223.94,224.31,234.61,228.54,234.88,236.31,249.80,254.92,247.51,247.23,244.34,224.55,238.23,231.83,230.67,226.89,238.10,222.21,250.15,258.18,244.57,258.55,258.10,247.45,237.77,218.81,177.98,428.93,421.11,381.49,,,,,,,,,,,,
1999-12-09 21:58:57.676000,L7,,,,,,,,,,,,,,,,,,220.62,217.02,209.65,215.83,204.67,,176.32,190.90,220.74,,248.17,246.03,236.72,242.74,192.56,220.85,191.49,208.95,204.44,215.26,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-04 21:52:37.377000,L7,,,,,,,,,,,,,,,,,,215.12,200.69,206.70,211.21,,,,,,231.50,238.32,229.97,230.53,234.73,,,,188.01,183.96,218.36,167.43,183.36,212.77,217.79,206.22,218.04,200.25,200.24,190.51,,,,,,,,,,,,,,,,
2000-02-20 21:52:29.720000,L7,253.72,232.42,,,,,,,,,,,,,,,,,,185.79,219.94,211.66,220.98,225.16,226.42,233.26,,,,,,,,,,,,,,,,261.72,246.40,214.73,254.85,229.47,,,,,184.30,,,,,,,,,,,
2000-10-17 21:50:01.277000,L7,,,,,,,,,,,,,,,,295.13,295.75,297.58,221.17,218.47,214.70,,,,,,238.05,244.40,243.06,239.74,243.07,225.43,235.52,222.13,217.44,206.61,227.31,211.30,160.34,,,179.44,195.91,,,,,,,,,,,,,,,,,,,
2001-01-05 21:50:16.585000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.24,173.47,217.77,214.67,198.17,203.52,202.69,187.42,175.59,,,,,,,,,,,,,,,,,
2002-01-24 21:48:42.967000,L7,,,159.76,,,,,,,,,,,,,,,213.23,211.47,171.16,214.52,,,,,,237.64,240.01,243.16,231.52,237.27,181.24,191.08,176.30,183.84,174.62,216.21,193.34,217.95,215.58,212.22,232.20,177.59,,,,,,,,,,,196.70,165.90,162.85,176.18,,,,,
2002-08-27 21:54:00.253000,L7,,,,,,,,305.87,301.12,302.21,293.54,,,,313.70,324.00,293.52,314.94,324.57,326.11,330.59,330.50,326.57,333.44,343.43,350.28,346.94,353.10,348.42,344.01,341.33,338.70,331.73,342.11,345.47,345.95,224.46,178.43,211.48,,,,,,,,,,,,,,,,,,,,,302.86,305.72,
2002-10-07 21:47:33.100000,L7,,,,,,,,,,,,,,,,,,188.61,199.01,201.60,215.11,196.04,210.52,177.28,,,,,229.04,230.71,226.57,,,,172.67,172.65,197.90,174.28,221.50,231.25,209.80,190.02,198.94,193.98,201.03,185.71,,,,,,,,,,,,,,,,
