dates,satname,nzd0374-0000,nzd0374-0001,nzd0374-0002,nzd0374-0003,nzd0374-0004,nzd0374-0005,nzd0374-0006,nzd0374-0007,nzd0374-0008,nzd0374-0009,nzd0374-0010,nzd0374-0011,nzd0374-0012,nzd0374-0013,nzd0374-0014,nzd0374-0015,nzd0374-0016,nzd0374-0017,nzd0374-0018,nzd0374-0019,nzd0374-0020,nzd0374-0021,nzd0374-0022,nzd0374-0023,nzd0374-0024,nzd0374-0025,nzd0374-0026,nzd0374-0027,nzd0374-0028,nzd0374-0029,nzd0374-0030,nzd0374-0031,nzd0374-0033,nzd0374-0034,nzd0374-0035,nzd0374-0036,nzd0374-0037,nzd0374-0032
1999-09-04 22:00:09.953000,L7,368.10,423.98,423.68,391.03,388.14,385.07,393.37,411.76,301.81,201.87,358.21,291.53,300.98,246.52,246.29,353.25,345.48,327.23,332.44,319.87,306.68,301.31,308.55,293.76,276.31,306.87,315.98,301.52,296.02,282.09,285.45,281.83,167.75,272.73,270.06,274.33,262.24,
1999-09-20 22:00:08.403000,L7,366.05,428.93,422.17,346.11,433.89,418.39,425.12,427.89,383.27,310.47,258.09,356.79,370.12,366.39,358.96,393.85,412.58,417.02,324.40,319.18,307.40,301.94,271.12,277.13,271.14,301.79,307.89,303.16,303.71,286.35,278.21,278.30,164.66,244.96,270.05,263.95,273.93,167.18
1999-10-22 22:00:04.598000,L7,,,,,,483.48,476.74,490.12,473.02,472.31,468.32,481.30,482.65,468.00,473.93,470.71,464.35,474.76,456.81,449.23,435.92,441.74,421.80,430.95,431.13,435.89,450.91,453.28,429.96,417.07,396.02,370.34,350.73,356.23,349.65,346.62,328.03,360.34
1999-12-09 22:00:09.551000,L7,403.50,467.63,457.27,440.80,435.97,427.62,435.02,443.43,435.26,414.74,401.01,394.57,424.11,424.73,460.39,377.18,369.62,357.96,358.07,446.28,443.15,444.39,436.38,438.02,338.46,336.09,341.89,339.59,327.11,311.74,310.55,341.86,326.33,296.50,315.67,302.66,317.79,332.34
1999-12-25 22:00:04.067000,L7,383.05,438.54,456.58,358.99,392.83,414.17,422.74,433.00,437.48,390.53,378.20,376.79,371.36,367.47,360.61,356.75,348.45,333.90,329.71,323.26,308.11,303.75,305.42,295.02,290.03,307.13,312.73,307.89,301.07,290.98,288.86,282.19,167.40,261.22,263.96,271.57,267.44,196.17
2000-01-26 22:00:02.226000,L7,358.37,478.76,460.39,419.18,356.87,391.92,372.62,455.11,442.22,432.55,428.67,391.78,416.26,415.56,402.54,368.29,356.76,346.63,338.25,319.60,320.48,317.34,286.01,294.59,305.76,378.58,373.26,360.46,352.62,349.69,302.48,304.41,305.64,304.23,298.90,291.95,280.85,320.69
2000-02-11 21:59:57.866000,L7,459.58,473.00,458.98,436.11,444.32,424.82,439.65,452.54,447.82,417.81,402.54,400.04,414.04,403.54,417.96,406.37,386.07,378.74,402.66,361.54,386.70,384.37,378.41,350.21,358.97,348.39,344.71,381.06,353.83,329.49,329.60,329.16,305.60,303.97,296.97,299.02,292.52,321.18
2000-02-27 21:59:52.393000,L7,422.76,468.62,456.60,438.18,448.22,428.22,437.52,450.38,444.15,471.03,482.51,442.95,426.39,419.85,422.91,425.13,429.96,417.33,413.74,443.32,429.95,426.54,414.24,372.57,398.75,424.32,424.22,426.39,407.92,356.82,338.69,333.17,315.39,301.28,304.34,302.46,313.15,316.18
2000-03-14 21:59:47.162000,L7,346.46,412.48,394.18,318.71,359.03,359.17,375.81,308.22,265.53,,,330.48,349.62,345.94,339.88,338.94,328.75,320.94,312.74,288.68,278.59,267.82,267.16,263.81,260.99,276.25,296.12,283.73,282.34,277.92,264.10,263.91,,198.40,241.90,275.78,257.70,
2000-03-30 21:59:45.397000,L7,391.21,458.45,456.29,435.63,444.70,428.53,438.21,451.59,415.48,326.62,256.96,397.68,391.31,425.73,377.92,379.06,371.15,357.80,356.59,340.34,344.26,392.95,386.85,378.03,381.87,389.02,342.33,344.08,330.19,324.08,317.34,315.10,299.17,300.63,297.04,306.64,291.38,313.10
