dates,satname,nzd0522-0000,nzd0522-0008,nzd0522-0009,nzd0522-0010,nzd0522-0011,nzd0522-0035,nzd0522-0036,nzd0522-0037,nzd0522-0038,nzd0522-0039,nzd0522-0040,nzd0522-0041,nzd0522-0042,nzd0522-0043,nzd0522-0044,nzd0522-0045,nzd0522-0046,nzd0522-0047,nzd0522-0048,nzd0522-0049,nzd0522-0050,nzd0522-0051,nzd0522-0052,nzd0522-0053,nzd0522-0054,nzd0522-0055,nzd0522-0056,nzd0522-0057,nzd0522-0058,nzd0522-0059,nzd0522-0060,nzd0522-0061,nzd0522-0062,nzd0522-0063,nzd0522-0064,nzd0522-0065,nzd0522-0066,nzd0522-0067,nzd0522-0068,nzd0522-0069,nzd0522-0070,nzd0522-0071,nzd0522-0072,nzd0522-0073,nzd0522-0074,nzd0522-0075,nzd0522-0076,nzd0522-0077,nzd0522-0078,nzd0522-0079,nzd0522-0080,nzd0522-0081,nzd0522-0093,nzd0522-0094,nzd0522-0095,nzd0522-0112,nzd0522-0113,nzd0522-0114,nzd0522-0115,nzd0522-0132,nzd0522-0133,nzd0522-0134,nzd0522-0135,nzd0522-0136,nzd0522-0137,nzd0522-0155,nzd0522-0156,nzd0522-0157,nzd0522-0158,nzd0522-0159,nzd0522-0160,nzd0522-0161,nzd0522-0162,nzd0522-0168,nzd0522-0169,nzd0522-0170,nzd0522-0171,nzd0522-0173,nzd0522-0174,nzd0522-0175,nzd0522-0176,nzd0522-0177,nzd0522-0178,nzd0522-0179,nzd0522-0180,nzd0522-0181,nzd0522-0182,nzd0522-0183,nzd0522-0184,nzd0522-0185,nzd0522-0186,nzd0522-0187,nzd0522-0188,nzd0522-0189,nzd0522-0190,nzd0522-0191,nzd0522-0192,nzd0522-0210,nzd0522-0211,nzd0522-0212,nzd0522-0001,nzd0522-0002,nzd0522-0003,nzd0522-0004,nzd0522-0006,nzd0522-0007,nzd0522-0084,nzd0522-0085,nzd0522-0086,nzd0522-0143,nzd0522-0144,nzd0522-0145,nzd0522-0146,nzd0522-0147,nzd0522-0148,nzd0522-0149,nzd0522-0150,nzd0522-0151,nzd0522-0152,nzd0522-0153,nzd0522-0154,nzd0522-0193,nzd0522-0194,nzd0522-0195,nzd0522-0196,nzd0522-0197,nzd0522-0198,nzd0522-0199,nzd0522-0200,nzd0522-0201,nzd0522-0202,nzd0522-0203,nzd0522-0204,nzd0522-0205,nzd0522-0206,nzd0522-0207,nzd0522-0208,nzd0522-0209,nzd0522-0213,nzd0522-0214,nzd0522-0215,nzd0522-0216,nzd0522-0217,nzd0522-0218,nzd0522-0219,nzd0522-0220,nzd0522-0221,nzd0522-0222,nzd0522-0223,nzd0522-0224,nzd0522-0225,nzd0522-0226,nzd0522-0227,nzd0522-0228,nzd0522-0229,nzd0522-0230,nzd0522-0231,nzd0522-0232,nzd0522-0233,nzd0522-0234,nzd0522-0235,nzd0522-0236,nzd0522-0237,nzd0522-0238,nzd0522-0239,nzd0522-0005,nzd0522-0012,nzd0522-0013,nzd0522-0014,nzd0522-0015,nzd0522-0016,nzd0522-0098,nzd0522-0099,nzd0522-0100,nzd0522-0101,nzd0522-0102,nzd0522-0110,nzd0522-0111,nzd0522-0116,nzd0522-0117,nzd0522-0118,nzd0522-0119,nzd0522-0120,nzd0522-0121,nzd0522-0125,nzd0522-0126,nzd0522-0127,nzd0522-0128,nzd0522-0129,nzd0522-0130,nzd0522-0139,nzd0522-0140,nzd0522-0141,nzd0522-0142,nzd0522-0163,nzd0522-0165,nzd0522-0166,nzd0522-0167,nzd0522-0172,nzd0522-0082,nzd0522-0087,nzd0522-0088,nzd0522-0089,nzd0522-0090,nzd0522-0164,nzd0522-0017,nzd0522-0018,nzd0522-0019,nzd0522-0020,nzd0522-0021,nzd0522-0022,nzd0522-0023,nzd0522-0024,nzd0522-0025,nzd0522-0026,nzd0522-0027,nzd0522-0028,nzd0522-0083,nzd0522-0131,nzd0522-0138,nzd0522-0029,nzd0522-0030,nzd0522-0031,nzd0522-0032,nzd0522-0034,nzd0522-0096,nzd0522-0097,nzd0522-0122,nzd0522-0123,nzd0522-0124,nzd0522-0033,nzd0522-0091,nzd0522-0108,nzd0522-0109,nzd0522-0103,nzd0522-0092,nzd0522-0104,nzd0522-0105,nzd0522-0106,nzd0522-0107
1999-08-08 22:19:52.507000,L7,,,460.72,484.18,454.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.36,397.39,,521.03,430.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.23,182.86,379.56,397.45,419.27,422.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-27 22:19:51.122000,L7,,,,,,297.79,321.87,348.51,510.09,521.60,512.19,438.20,426.05,375.59,351.14,337.12,337.31,317.02,229.20,162.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.57,372.18,385.21,378.97,181.68,,,174.50,178.66,196.83,,,,,,,,,,,,,,,,,,,,,,,,,,405.78,470.95,445.72,,,,,,,496.93,,,,,,,166.80,199.47,298.85,246.64,287.51,283.89,257.77,256.98,239.10,297.92,450.90,,,,,,,,,,,,,,,,,,,,,,465.87,415.09,318.46,312.02,297.60,274.20,258.26,304.52,328.14,284.32,231.52,268.81,282.75,263.42,306.26,391.79,426.58,423.17,507.13,487.25,534.26,,,,,,,,,,,,187.33,,,,,,,,510.87,,354.94,457.12,251.93,181.39,354.15,387.46,362.60,367.33,344.95,325.54,183.32,182.56,219.58,244.41,,,,,,,208.60,215.29,218.89,249.45,,176.78,175.54,168.31,174.44,205.22,217.64,,,,,,251.31,,213.51,200.87,291.61,281.12,286.53,282.55,344.26,,,228.90,244.43,379.66,351.10,174.66,508.53,211.78,,,,,,
1999-12-30 22:19:45.690000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.28,191.27,185.05,201.77,240.78,267.87,214.51,201.07,203.51,217.14,262.92,272.14,227.27,220.11,203.00,237.99,221.72,205.97,187.68,246.11,246.98,259.78,209.11,214.72,218.64,230.81,244.89,242.65,194.19,210.62,205.36,250.78,253.46,267.92,257.19,242.84,243.59,228.11,230.73,201.04,388.65,381.87,221.53,198.68,260.47,,,,,,,,,190.34,246.86,274.95,294.85,229.26,194.92,195.58,200.73,216.00,207.81,237.44,259.57,259.28,375.29,365.99,364.67,349.95,342.17,329.49,287.49,251.16,324.36,384.43,392.76,372.42,214.05,221.32,366.68,189.00,251.83,306.23,294.76,249.93,247.07,277.13,475.49,451.31,425.96,385.46,233.85,423.81,411.47,419.93,356.23,358.19,500.75,429.14,402.09,304.99,356.06,384.15,276.07,236.72,251.75,294.59,302.69,272.61,,,,,,,,,,,,164.00,174.83,211.23,172.26,194.84,,,,230.83,234.69,344.39,347.33,328.65,315.52,284.77,239.13,240.91,194.65,209.51,235.69,207.19,184.02,244.22,,196.63,258.99,221.81,218.48,216.37,,,,,,,,,,,,,,251.25,254.02,,,,,,,,,,173.84,,206.75,,188.17,,194.93,,,,
2000-05-22 22:18:57.481000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.44,,,,,,,,,,,,,,,,,,,333.60,344.13,328.35,267.31,333.44,325.71,340.66,,,,,,362.74,382.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-27 22:17:24.534000,L7,,,,,,,,,,,,,,,,,,,245.99,180.16,239.41,,,,,,,,,,,,,,,,,,,,357.81,367.66,502.27,485.26,409.13,,,398.54,283.63,,228.15,202.54,220.34,205.81,,,,,199.32,,263.67,263.39,223.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.43,274.74,195.47,,,,,,,227.31,,,,,,,,,,,239.16,272.62,,,,313.35,294.92,278.94,,,313.73,284.74,263.06,260.47,265.42,,219.04,336.61,,,,250.01,186.03,196.87,176.67,,,306.37,201.10,172.92,206.01,210.93,,,,,,,,,293.34,228.88,,,,,397.70,,,,,,,,,,,,,,,216.42,207.19,195.99,,,,290.96,225.94,178.50,,,,,,,,,,,,,350.62,,,333.45,250.00,,,,,,,,,,,,,,278.44,,,,,,,,,,,,255.27,,309.94,,,,217.81,,,,
2000-10-29 22:17:19.582000,L7,,,,,,,,,,,,,,,,,170.61,208.27,186.66,190.57,225.24,230.14,203.47,225.33,,,,178.89,223.86,265.01,296.38,,,,,164.89,172.24,208.49,200.75,266.03,323.13,365.87,359.96,383.90,212.70,250.05,,,174.36,180.03,178.92,181.88,340.43,332.70,250.71,211.91,219.08,205.77,218.36,279.12,299.88,171.47,185.74,315.64,355.98,219.19,215.52,215.65,208.66,223.97,213.64,202.96,231.25,350.05,343.25,291.56,216.17,207.26,228.95,240.49,227.34,224.63,184.50,236.22,232.32,237.67,204.91,257.14,344.20,360.26,333.74,276.08,381.20,366.31,365.63,371.98,370.63,189.24,212.66,266.81,,,,,,,192.28,209.11,201.99,239.05,249.94,269.70,294.41,269.96,245.12,262.93,296.55,393.64,361.34,231.16,220.84,347.99,317.63,198.84,227.55,217.42,174.74,182.70,225.34,186.95,224.22,214.02,217.97,250.60,235.50,250.77,209.23,178.01,279.49,302.25,299.58,300.45,296.35,319.62,321.34,266.73,250.39,241.99,261.01,294.91,273.96,251.75,239.11,231.31,231.81,228.11,224.55,248.41,261.03,258.18,276.46,213.85,238.68,251.56,263.95,,,,,,,174.85,167.44,205.59,211.09,175.30,205.79,197.27,240.26,214.23,175.26,,,,248.30,197.23,238.81,317.31,292.83,264.91,349.40,393.61,388.56,195.42,315.55,348.06,338.35,368.95,221.65,180.43,181.16,226.60,204.43,212.27,353.61,,,,,,,,,,,,,182.09,296.18,362.10,,,,,,,168.59,172.19,235.49,279.86,,316.39,196.54,194.36,184.49,336.30,197.01,171.44,189.40,196.64
2000-12-16 22:17:23.176000,L7,410.51,262.88,316.92,298.32,184.04,403.80,515.32,152.55,180.31,175.78,205.18,211.65,265.06,223.34,215.17,243.58,202.50,305.27,332.51,303.80,281.04,261.85,294.19,278.50,271.78,250.61,285.57,186.19,253.46,233.99,238.42,259.13,237.23,331.27,332.68,295.07,289.20,413.01,444.10,418.44,437.77,506.71,486.19,505.48,429.00,387.70,374.44,412.82,401.67,430.61,443.33,474.85,468.49,459.51,475.46,245.74,237.27,234.71,213.97,329.59,308.45,385.47,405.55,336.34,373.21,377.37,387.19,377.16,214.73,223.05,254.71,242.15,212.83,400.98,382.77,316.19,341.86,404.41,404.52,368.82,390.10,404.86,462.46,438.89,429.44,426.39,418.92,369.39,381.21,372.27,392.34,375.82,387.89,367.60,295.00,311.74,348.21,427.59,451.71,358.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-18 22:17:22.935000,L7,,,,,,,200.27,227.32,239.27,214.36,297.75,207.73,284.34,267.84,273.47,284.61,346.43,311.89,341.89,285.52,253.35,192.03,192.73,266.42,239.58,212.18,200.98,195.48,205.04,249.85,251.74,271.33,274.41,,,,,,,158.87,209.43,347.63,378.65,384.99,370.53,363.98,390.37,476.33,184.23,215.64,223.37,193.94,331.03,343.00,312.87,292.82,354.70,299.59,340.98,365.66,366.89,367.34,397.72,433.94,456.14,386.34,379.10,412.43,468.60,498.46,,,,393.56,373.36,371.36,340.74,435.44,467.88,,,466.13,449.37,466.07,476.51,375.60,385.16,427.10,469.70,434.90,404.00,391.69,392.71,413.17,396.80,374.31,377.70,416.37,448.10,399.75,,,,,,,236.38,224.52,228.53,418.12,407.10,432.73,414.57,426.22,414.42,432.08,412.39,454.57,467.52,460.06,460.46,360.45,330.62,379.14,372.23,333.33,273.69,222.01,233.50,253.16,269.78,231.69,251.80,263.28,371.85,330.57,396.28,443.36,284.74,505.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.16,291.10,253.95,224.62,179.46,271.48,272.99,360.33,367.90,350.05,329.73,325.95,314.03,313.12,315.36,355.01,374.69,365.37,418.77,420.70,398.27,437.50,380.12,444.27,423.20,400.58,372.54,339.01,196.75,,311.64,355.68,347.18,425.23,,,,,,,,,,,,,224.84,369.37,444.31,,,,,,337.98,343.12,320.19,328.86,333.14,,397.79,213.14,252.13,180.86,343.34,187.60,205.94,211.39,218.45
2001-03-22 22:17:09.568000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.04,164.71,202.24,182.48,174.59,,188.20,197.44,,,,,,,361.03,384.41,362.09,296.62,203.75,212.01,234.64,214.73,173.51,177.61,177.73,171.63,185.41,225.66,237.51,235.74,216.55,178.85,,292.64,328.37,186.24,222.45,186.24,241.65,228.84,228.33,,,,,,,202.95,217.40,241.17,257.01,230.18,263.55,271.47,,163.57,161.82,172.04,189.79,227.66,207.76,211.87,210.30,192.75,221.01,208.44,248.50,207.42,381.76,260.10,324.26,263.16,223.35,282.15,197.02,183.51,188.89,186.09,178.64,203.10,203.82,294.83,326.71,358.29,375.25,362.11,347.91,331.59,256.18,283.25,286.05,303.93,267.24,297.48,251.87,233.10,207.71,167.21,230.57,220.40,226.76,199.39,229.13,239.47,227.79,183.59,,,,,,,,,,,,,,,,,,192.62,217.34,,186.37,209.14,209.77,167.70,189.86,184.61,325.46,349.65,270.48,,,,232.81,248.55,221.76,275.83,190.02,,,,,,,,,,,,,,,,194.39,278.36,190.07,,,,,,,,196.08,202.76,,,,,,,,,,,
2001-04-07 22:17:01.469000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.60,192.70,317.03,329.58,282.69,216.74,202.11,207.76,236.68,,,,,,,,,,273.12,254.41,252.22,264.81,242.77,214.14,,,,,,,,307.71,312.87,267.58,262.07,315.38,301.30,,,,,,337.33,309.23,340.28,290.21,291.92,371.52,373.18,272.98,251.57,,,,,,,,,,,318.17,246.95,,,,,,,308.66,309.90,300.12,,,,,,,,,,,,,346.86,305.10,321.06,315.95,296.69,285.45,261.96,292.06,292.08,,,,291.22,338.03,315.34,282.94,,,329.69,259.23,335.60,,340.92,361.58,296.25,315.23,340.22,280.72,324.82,319.02,306.04,367.13,,,,,,,,,,,,,,,279.33,239.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.10,240.45,289.33,,,334.05,314.30,302.41,335.64,196.10,,,,,,,,,,,,,,,,,,,,260.05,,,,,,,,,,,,,,,,,,,,
