dates,satname,nzd0082-0000,nzd0082-0001,nzd0082-0002,nzd0082-0003,nzd0082-0004,nzd0082-0005,nzd0082-0006,nzd0082-0007,nzd0082-0008,nzd0082-0009,nzd0082-0010,nzd0082-0011,nzd0082-0012,nzd0082-0013,nzd0082-0014,nzd0082-0015,nzd0082-0016,nzd0082-0017,nzd0082-0018,nzd0082-0019,nzd0082-0020,nzd0082-0021,nzd0082-0022,nzd0082-0023,nzd0082-0024,nzd0082-0025,nzd0082-0026,nzd0082-0027,nzd0082-0028,nzd0082-0029,nzd0082-0030,nzd0082-0031,nzd0082-0032,nzd0082-0033,nzd0082-0034,nzd0082-0035,nzd0082-0036,nzd0082-0037,nzd0082-0038,nzd0082-0039,nzd0082-0040,nzd0082-0041,nzd0082-0042,nzd0082-0043,nzd0082-0044,nzd0082-0045,nzd0082-0046,nzd0082-0047,nzd0082-0048,nzd0082-0049,nzd0082-0050,nzd0082-0051,nzd0082-0052,nzd0082-0053,nzd0082-0054,nzd0082-0055,nzd0082-0056,nzd0082-0057,nzd0082-0058,nzd0082-0059,nzd0082-0060,nzd0082-0061,nzd0082-0062,nzd0082-0063,nzd0082-0064,nzd0082-0065,nzd0082-0066,nzd0082-0067,nzd0082-0068,nzd0082-0069,nzd0082-0070,nzd0082-0071,nzd0082-0072,nzd0082-0073,nzd0082-0074,nzd0082-0075,nzd0082-0076,nzd0082-0077,nzd0082-0078,nzd0082-0079,nzd0082-0080,nzd0082-0081,nzd0082-0082,nzd0082-0083,nzd0082-0084,nzd0082-0085,nzd0082-0086,nzd0082-0087,nzd0082-0088,nzd0082-0089,nzd0082-0090,nzd0082-0091,nzd0082-0092,nzd0082-0093,nzd0082-0094,nzd0082-0095,nzd0082-0096,nzd0082-0097,nzd0082-0098,nzd0082-0099,nzd0082-0100,nzd0082-0101,nzd0082-0102,nzd0082-0103,nzd0082-0104,nzd0082-0105,nzd0082-0106,nzd0082-0107,nzd0082-0108,nzd0082-0109,nzd0082-0111,nzd0082-0112,nzd0082-0113,nzd0082-0114,nzd0082-0115,nzd0082-0135,nzd0082-0136,nzd0082-0137,nzd0082-0110,nzd0082-0116,nzd0082-0117,nzd0082-0118,nzd0082-0119,nzd0082-0120,nzd0082-0121,nzd0082-0122,nzd0082-0123,nzd0082-0124,nzd0082-0125,nzd0082-0126,nzd0082-0127,nzd0082-0128,nzd0082-0129,nzd0082-0130,nzd0082-0131,nzd0082-0132,nzd0082-0133,nzd0082-0134,nzd0082-0138,nzd0082-0139,nzd0082-0140,nzd0082-0141
1999-08-17 22:10:50.225000,L7,307.87,248.99,314.50,214.97,238.16,247.78,304.84,535.94,476.35,400.36,324.42,274.45,260.77,271.44,349.59,319.52,264.74,260.97,263.88,343.34,310.18,342.08,342.83,351.81,354.74,350.96,361.72,355.44,353.55,376.70,374.95,435.78,397.78,356.51,344.95,281.62,298.15,388.91,273.30,372.48,316.03,367.61,287.90,231.78,229.69,233.70,282.27,359.94,365.19,379.25,353.51,345.05,342.10,271.88,377.71,373.39,381.17,366.96,382.29,386.95,346.14,281.94,245.06,367.66,399.26,530.04,504.42,534.12,483.48,480.22,489.99,536.14,394.98,369.42,357.72,304.65,235.68,309.45,305.64,304.67,335.16,373.01,343.77,323.77,317.99,332.05,336.78,370.43,351.33,321.21,257.19,278.53,353.05,368.31,285.02,360.58,357.64,346.58,320.26,311.29,276.26,264.47,237.18,518.77,463.52,447.75,424.32,305.41,391.25,298.83,239.04,277.36,222.39,230.11,224.74,498.77,501.40,475.88,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-26 22:04:44.971000,L7,,,314.54,311.38,319.97,274.44,220.63,225.47,234.31,203.04,263.90,216.88,322.70,369.81,396.00,409.50,384.40,337.43,377.32,373.18,385.67,309.64,337.00,338.52,404.55,381.29,413.75,316.09,289.75,245.52,259.65,214.35,230.05,196.11,227.58,240.07,222.82,267.23,275.59,294.18,300.50,287.19,279.65,290.95,309.03,336.16,297.08,316.61,332.62,293.85,360.48,382.52,363.95,372.63,382.78,386.19,395.09,421.75,387.37,378.34,378.64,411.86,417.47,447.29,446.14,453.51,209.23,370.64,419.12,392.10,380.21,389.98,405.16,418.01,436.78,449.10,407.35,497.42,482.90,338.26,470.59,497.40,499.87,543.94,334.83,280.95,384.32,393.81,435.23,452.15,426.83,446.82,478.46,418.51,323.87,392.31,451.78,333.60,489.51,449.82,444.05,507.73,499.30,379.00,388.45,388.97,388.75,376.36,374.08,370.91,366.92,381.68,403.44,479.35,504.04,508.88,510.00,536.09,364.99,518.85,443.21,436.55,423.90,433.10,449.51,459.98,478.09,492.95,504.40,524.35,497.59,508.95,475.66,528.02,553.75,518.19,536.68,520.12,512.48,503.61,489.81,480.41
1999-10-04 22:11:02.075000,L7,229.45,245.13,221.75,220.46,216.64,213.87,213.41,197.84,243.48,220.50,481.86,473.07,337.47,308.65,358.44,414.75,408.99,398.01,435.82,371.01,371.45,386.02,387.68,407.72,422.00,411.24,388.93,274.66,526.46,512.41,503.12,492.11,273.14,495.52,490.51,500.95,496.51,477.86,435.97,433.28,432.29,526.78,443.90,236.00,496.08,512.66,485.36,404.89,477.61,483.02,406.20,,,,194.48,241.89,196.61,259.71,265.14,246.13,231.02,207.36,223.02,449.31,348.66,375.28,416.50,528.69,485.82,471.82,472.29,468.69,462.78,470.42,467.61,460.91,466.22,389.91,406.85,386.88,386.30,377.59,264.21,252.44,255.98,457.41,422.56,416.31,310.40,547.18,431.83,362.35,195.09,529.93,476.11,326.63,215.01,238.43,244.95,253.52,333.70,336.20,337.02,292.13,281.88,270.31,286.01,355.80,350.13,349.69,342.56,340.68,335.88,363.67,389.85,448.34,265.60,347.09,343.23,430.31,427.39,428.71,415.09,422.23,436.78,438.42,382.83,432.88,442.80,427.98,450.27,388.04,471.34,453.42,450.82,414.96,400.07,459.39,337.46,383.19,402.67,407.37
1999-12-07 22:10:53.996000,L7,,506.10,523.94,550.90,318.61,380.14,372.17,316.33,467.11,454.94,547.16,378.51,438.59,324.59,371.90,371.34,374.12,343.63,,469.76,446.54,,,,,,,,,,,544.76,527.47,511.55,,,529.17,522.32,519.45,491.40,,,,,,,,505.06,527.49,532.62,515.97,536.37,544.11,532.12,549.85,245.28,311.58,528.65,412.15,427.85,,338.70,309.82,,,,333.96,337.05,274.87,,,,,370.34,369.48,365.75,370.10,396.90,433.63,,,,,,,,,485.09,522.32,550.37,529.94,512.10,544.39,531.31,540.16,503.53,364.39,361.07,447.85,395.55,,,,555.77,541.36,543.15,531.31,518.48,,528.95,414.68,398.77,392.49,396.36,389.13,507.13,479.26,495.35,544.55,,,,,,554.25,547.29,531.02,542.25,526.89,540.06,507.30,373.52,391.85,380.90,285.79,218.92,446.74,532.32,466.62,480.98,,
2000-01-01 22:04:37.439000,L7,,,,192.17,211.98,265.66,319.81,340.50,392.71,,,,,328.97,399.08,485.39,553.19,438.19,476.94,460.99,525.50,219.18,471.42,461.31,336.25,514.15,518.41,318.20,444.14,409.42,378.97,523.32,293.82,517.26,247.72,269.55,297.25,313.08,335.90,325.09,262.52,244.47,281.78,359.50,311.83,287.76,332.22,453.76,488.45,507.38,427.35,496.50,410.00,243.67,301.15,,,530.04,496.28,542.95,529.34,457.20,201.13,408.93,352.35,285.53,507.32,504.45,497.42,482.39,397.71,443.95,,467.10,422.90,422.86,331.45,513.24,548.29,416.30,398.71,431.51,267.17,405.70,433.61,458.02,473.88,405.38,427.56,400.21,440.63,427.40,457.07,515.19,515.81,435.68,189.94,361.44,350.94,300.57,369.93,359.67,387.29,466.11,462.12,,,289.39,382.39,276.61,399.23,354.62,302.78,488.75,424.59,,,,281.13,335.71,227.47,347.49,373.19,396.85,402.53,402.42,467.51,458.28,415.66,401.56,496.81,496.65,502.02,524.86,,,,,502.02,516.30,479.95,448.94
2000-03-28 22:10:31.187000,L7,396.71,382.37,423.71,405.17,453.62,496.25,294.08,414.50,457.44,469.07,547.60,529.59,435.14,510.88,518.59,525.14,549.89,255.78,194.73,297.73,452.12,368.41,495.85,313.67,299.07,545.76,489.55,475.84,475.42,458.43,397.49,390.80,369.28,389.83,357.29,369.41,211.77,359.14,313.37,337.43,303.63,229.90,190.48,553.17,401.93,489.20,452.16,468.22,418.37,260.32,325.30,326.71,357.68,301.15,254.97,251.27,207.51,290.35,260.57,383.30,483.78,395.32,378.01,387.12,468.06,500.55,373.57,482.71,491.03,496.81,280.36,525.98,480.33,481.11,483.09,486.94,519.38,530.46,534.20,443.39,446.80,463.07,468.03,432.05,447.26,534.96,545.55,430.66,510.65,428.97,448.74,446.51,446.70,465.90,481.71,491.13,486.81,447.07,458.66,475.85,483.47,494.40,510.73,529.52,519.76,522.57,524.40,536.51,546.42,537.42,535.46,543.07,544.31,496.04,385.37,360.57,544.40,523.77,541.06,378.08,372.44,374.51,439.44,522.13,480.23,491.84,496.68,485.35,510.18,515.68,543.56,547.17,506.36,490.12,471.74,436.64,420.57,420.94,513.25,503.18,497.38,485.35
2000-04-29 22:10:17.743000,L7,400.02,401.42,390.64,305.79,414.07,431.14,396.91,497.74,403.65,,509.27,442.61,330.80,349.77,340.47,,500.84,414.76,376.87,375.12,323.09,,361.59,364.06,472.05,463.02,459.80,447.25,430.81,433.37,540.32,488.40,458.58,427.01,501.74,452.57,384.14,489.92,497.48,495.07,398.36,399.07,295.41,270.49,554.57,502.33,519.90,211.35,262.37,283.46,263.50,242.50,468.45,473.07,479.91,536.42,549.54,547.45,486.84,503.78,470.88,519.71,,,530.33,505.57,492.64,478.31,488.92,501.92,215.56,211.56,218.25,220.77,257.87,305.33,379.32,440.77,412.73,445.77,251.97,218.19,516.96,504.77,527.57,550.97,536.72,545.68,547.25,537.89,542.81,544.48,437.14,431.69,412.05,420.71,352.34,485.88,500.74,425.03,418.06,485.35,385.27,251.80,255.49,235.02,505.47,233.77,210.38,211.69,229.10,248.75,261.25,274.19,236.01,264.41,530.56,526.83,230.97,217.35,202.64,515.36,520.46,540.22,498.18,511.75,515.96,539.49,548.32,512.68,538.75,498.92,509.46,511.65,518.73,517.75,523.93,544.54,524.31,518.18,510.66,500.88
2000-05-24 22:03:46.662000,L7,,,,,,,,,,,,,286.89,313.77,342.82,,,259.77,391.72,433.16,504.68,453.65,,,,,,389.39,304.56,290.60,,419.96,301.53,264.42,506.88,423.76,425.84,335.39,258.93,260.40,,,190.00,305.08,400.95,411.08,525.99,430.52,,,,,,,,,,409.57,472.63,245.45,271.26,279.77,,,440.39,488.40,498.96,207.92,187.72,199.92,222.05,300.69,315.15,307.97,243.27,220.31,220.09,228.23,228.82,210.85,287.95,314.13,425.78,378.03,281.08,275.57,263.96,,,177.81,188.53,200.63,222.89,234.62,533.40,479.70,518.75,525.67,417.31,539.63,447.37,249.43,250.10,256.73,430.26,439.66,437.48,457.06,442.87,432.10,436.75,428.79,476.61,489.03,413.35,467.13,449.44,495.90,424.74,406.27,403.88,429.62,460.07,469.51,468.71,532.93,371.79,,337.71,314.85,434.26,485.27,354.45,406.81,480.95,441.79,455.45,528.77,504.54,477.90,423.21,397.00
2000-07-11 22:03:17.779000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.43,193.05,210.13,217.21,254.85,316.40,316.40,,,213.75,241.54,274.15,307.52,282.28,270.87,308.18,305.39,,,,,,193.67,206.61,398.74,409.73,389.22,243.59,,179.26,198.19,225.81,249.05,267.51,451.97,410.88,422.84,428.50,267.32,276.12,253.16,238.03,285.46,292.69,433.00,432.19,430.79,435.71,446.57,408.32,337.07,327.19,335.11,344.30,352.23,484.30,470.99,493.99,500.63,508.31,516.10,515.02,524.26,306.89,287.72,273.40,309.37,336.35,332.83,345.94,347.87,345.29,,,,329.97,303.68,234.20,325.93,493.08,509.76,489.97,458.18,480.25,478.64,485.33,269.60,511.19,466.91,516.72,547.11,,,,,,,,331.90
2000-08-03 22:09:08.077000,L7,279.18,270.46,483.81,528.57,556.92,340.01,324.91,303.44,263.76,255.17,390.92,363.59,395.56,373.14,405.89,441.33,434.21,,352.13,328.48,388.88,325.54,319.81,467.45,451.56,332.52,357.37,351.97,323.35,330.61,463.36,440.39,439.21,428.29,405.50,407.92,417.74,504.56,470.65,439.46,328.06,314.93,430.35,435.34,397.11,404.00,406.91,342.81,460.73,527.41,546.38,394.66,406.15,407.90,415.34,500.27,384.20,493.93,392.22,398.80,417.19,426.45,254.42,247.20,287.97,270.66,242.48,491.87,483.34,498.44,485.02,476.41,495.03,453.38,473.67,447.03,520.35,507.54,423.83,425.80,433.69,230.25,337.20,342.44,291.87,298.54,498.45,182.78,448.64,411.69,438.09,431.44,436.15,410.59,433.61,440.74,463.07,325.24,277.27,258.85,358.63,294.99,319.84,307.29,383.28,403.18,413.71,353.74,424.55,379.41,432.77,382.05,400.43,413.22,422.44,379.27,377.71,360.90,421.52,433.64,339.76,401.81,427.87,525.86,527.16,412.28,343.90,391.47,406.23,427.99,523.51,541.73,508.73,244.20,220.16,267.96,254.67,397.81,355.30,324.38,484.48,509.50
