dates,satname,nzd0209-0000,nzd0209-0001,nzd0209-0002,nzd0209-0003,nzd0209-0004,nzd0209-0006,nzd0209-0007,nzd0209-0008,nzd0209-0009,nzd0209-0010,nzd0209-0011,nzd0209-0012,nzd0209-0013,nzd0209-0014,nzd0209-0015,nzd0209-0016,nzd0209-0017,nzd0209-0018,nzd0209-0019,nzd0209-0020,nzd0209-0021,nzd0209-0022,nzd0209-0023,nzd0209-0024,nzd0209-0025,nzd0209-0026,nzd0209-0027,nzd0209-0028,nzd0209-0029,nzd0209-0005
1999-08-21 21:46:33.053000,L7,324.65,279.07,303.55,340.38,300.56,218.41,292.42,304.89,322.88,277.70,238.30,266.19,290.47,265.52,250.67,242.59,226.10,230.04,242.22,220.85,224.83,219.20,228.63,209.42,194.39,203.02,192.61,199.03,,
1999-10-24 21:46:32.266000,L7,318.60,276.83,321.81,336.79,311.90,221.50,288.23,295.16,324.93,280.85,276.49,276.89,302.32,259.99,256.76,251.09,281.01,229.44,204.69,219.20,235.17,230.03,237.72,361.23,529.66,303.98,541.51,476.85,324.19,
2000-03-16 21:46:15.139000,L7,316.98,261.54,322.97,336.17,284.76,205.70,256.33,314.41,324.27,326.36,268.83,248.27,261.41,249.44,218.49,236.80,226.71,226.01,205.05,210.32,197.08,190.58,197.63,181.59,186.45,194.37,163.18,,,
2000-04-01 21:46:10.627000,L7,351.93,338.52,321.96,333.54,275.22,175.46,283.90,295.21,308.45,274.38,264.20,268.98,314.43,259.26,260.12,238.27,226.88,244.10,228.21,328.16,277.45,232.74,300.05,224.29,218.31,281.01,198.69,173.57,206.42,
2000-05-03 21:45:55.224000,L7,407.76,393.63,392.64,374.30,319.31,213.01,293.00,264.55,261.18,220.43,212.90,200.97,,,,,,,,208.50,241.72,324.72,333.05,344.65,349.91,332.45,334.43,324.67,301.72,
2000-05-19 21:45:43.918000,L7,364.74,385.66,368.03,354.87,302.05,209.78,343.47,343.63,347.57,354.25,343.32,324.13,336.84,349.36,364.29,341.74,344.69,345.87,347.71,295.75,332.22,329.10,313.06,209.05,240.69,199.56,185.97,181.64,,
2000-06-04 21:45:32.324000,L7,,264.53,312.65,328.38,285.18,207.92,288.00,295.77,313.57,331.96,236.70,262.67,284.42,258.14,231.68,235.43,234.77,223.71,214.96,220.00,217.92,212.38,232.25,217.37,200.38,213.83,194.17,183.54,,
2000-08-07 21:44:45.034000,L7,342.89,304.27,341.03,340.03,296.92,350.51,349.42,351.04,359.03,317.05,343.26,315.14,348.20,306.03,272.70,252.03,250.55,240.19,233.31,227.75,257.72,261.78,290.14,181.93,199.24,206.88,199.58,,,
2000-09-24 21:44:07.338000,L7,370.43,352.75,347.89,343.61,312.83,194.50,302.11,323.72,337.95,329.73,303.60,329.75,345.01,311.70,280.30,295.63,286.40,303.47,295.79,318.95,314.04,283.75,302.01,278.04,290.11,310.95,263.33,296.56,286.07,
2001-01-14 21:44:09.210000,L7,431.41,411.10,341.66,313.45,292.74,370.11,355.69,357.54,348.56,357.89,352.86,373.15,365.81,373.33,340.47,359.59,341.82,349.42,327.46,356.72,356.77,339.63,335.64,332.09,330.70,339.47,325.20,317.90,298.03,359.22
2001-04-04 21:43:43.008000,L7,287.28,269.89,178.48,289.84,242.46,,259.43,264.79,284.38,263.68,219.88,233.87,251.03,,,,,,,,,,,,,,,,,
2001-04-20 21:43:46.702000,L7,262.23,253.66,171.05,164.70,,,251.47,261.63,276.27,234.26,190.31,207.74,238.25,,,,,,,,,,,,,,,,,
2001-05-22 21:43:30.869000,L7,397.43,359.03,329.16,298.62,279.52,224.45,335.73,326.62,345.61,342.94,346.71,346.39,353.14,353.32,346.88,355.59,323.20,320.64,379.06,372.05,312.10,312.30,244.11,209.53,336.51,334.18,341.20,326.60,305.49,
2001-07-25 21:42:54.824000,L7,,263.91,285.85,282.04,263.02,,284.32,292.74,296.87,274.90,245.75,280.14,283.73,229.65,215.41,216.65,227.83,219.76,,,,,,,,,,,,
2001-08-26 21:42:25.671000,L7,377.32,344.96,326.01,312.26,291.52,215.80,329.41,465.34,462.80,479.05,449.59,523.75,513.95,519.99,523.00,529.64,519.19,528.24,371.40,365.91,364.67,344.33,410.59,414.20,431.66,258.38,326.69,261.82,288.18,226.69
2001-09-27 21:42:05.338000,L7,483.63,388.94,334.74,348.51,397.30,387.97,385.48,382.85,376.15,386.72,383.64,389.57,390.37,381.97,384.79,379.98,372.37,371.90,375.81,382.37,370.00,359.18,357.96,362.17,363.37,371.69,368.52,360.86,358.13,390.70
2001-10-13 21:41:51.963000,L7,436.61,387.88,407.58,398.46,382.36,318.11,366.65,356.85,363.42,371.47,371.53,375.63,380.61,448.91,459.41,483.24,479.90,482.93,483.03,465.17,459.23,491.05,457.31,466.35,469.10,459.88,431.63,504.87,487.31,381.61
2001-10-29 21:41:57.341000,L7,397.10,353.61,316.55,307.96,290.43,213.83,335.56,335.46,339.01,345.10,336.40,341.01,349.81,348.61,336.50,331.83,332.89,334.55,334.24,328.09,326.84,320.83,320.27,325.10,321.64,320.49,323.68,522.69,441.94,
2002-02-18 21:42:30.251000,L7,279.70,293.77,268.80,273.84,267.11,192.21,336.41,326.79,331.41,333.37,319.00,342.58,350.41,357.89,347.77,344.20,343.53,350.04,352.57,350.05,307.39,338.41,342.13,324.18,331.31,324.16,326.73,310.66,276.90,
2002-08-29 21:41:39.340000,L7,381.42,359.48,374.24,367.76,285.95,196.55,332.23,335.59,337.86,351.62,329.76,353.68,353.37,354.72,344.21,345.89,342.23,376.37,343.22,350.13,363.22,370.68,347.08,414.24,382.64,369.98,371.09,361.81,307.72,
2002-09-14 21:41:31.043000,L7,379.93,356.37,348.71,370.26,293.95,196.98,336.45,342.57,349.15,345.99,345.36,359.39,359.99,361.57,357.49,364.98,340.32,361.51,386.94,351.47,343.09,324.20,309.58,337.56,349.02,331.42,328.88,314.29,317.13,
2002-10-16 21:41:24.730000,L7,354.20,295.99,260.56,276.94,263.87,,292.46,303.14,320.74,324.42,296.56,322.02,312.76,294.02,247.27,238.85,264.11,282.67,269.66,236.08,224.26,213.86,233.69,217.66,504.79,537.36,445.65,339.63,186.72,
2002-11-01 21:41:30.201000,L7,385.28,375.80,349.71,297.28,280.12,334.27,328.14,336.44,342.48,343.47,338.30,347.42,361.49,356.05,345.40,341.53,351.80,350.26,352.53,345.83,357.71,309.42,342.80,344.29,316.00,346.44,343.78,336.44,338.53,
2003-01-20 21:42:09.421000,L7,379.35,364.50,284.13,271.89,255.50,170.56,318.08,306.25,306.43,326.23,300.44,317.75,332.63,294.03,273.90,250.42,285.60,280.68,262.90,238.67,239.76,200.23,227.41,222.85,202.47,203.83,213.42,182.70,,
2003-02-21 21:42:20.469000,L7,396.28,391.94,384.98,283.86,268.37,184.63,333.59,325.51,356.11,332.55,324.53,338.19,391.03,394.14,392.67,387.75,399.95,376.79,409.17,388.35,332.23,317.42,317.06,318.40,299.25,299.94,304.39,187.41,280.86,
2003-04-10 21:42:26.045000,L7,365.32,269.76,286.91,273.42,255.69,196.59,308.09,299.60,327.03,339.65,336.42,346.67,353.82,254.52,234.40,264.77,282.00,268.43,269.77,247.19,201.19,205.34,210.64,222.44,197.85,200.38,196.16,171.68,,
2003-04-26 21:42:25.606000,L7,348.30,286.54,266.32,274.03,262.95,214.47,333.74,335.76,340.46,340.51,335.81,336.25,346.90,268.83,347.15,347.02,354.53,280.19,225.76,244.99,186.98,232.22,218.34,201.15,186.71,243.67,234.42,187.84,,
2003-05-28 21:42:22.600000,L7,,283.77,269.98,258.71,266.96,236.63,297.09,313.77,331.18,328.19,305.94,341.26,316.82,237.16,224.12,223.55,245.18,226.11,257.78,240.13,229.93,196.14,199.49,180.90,187.44,199.64,221.63,196.74,,
2003-07-23 21:30:14.355000,L5,358.09,282.04,276.86,283.29,280.04,218.51,306.20,349.78,347.49,352.50,359.13,368.90,353.42,300.32,265.26,294.59,325.36,346.79,301.32,266.87,276.87,218.80,237.53,318.77,258.55,240.95,224.76,245.32,229.39,197.29
2003-11-28 21:32:10.197000,L5,350.64,279.86,274.02,283.88,272.77,190.13,295.74,296.50,315.18,318.38,288.92,317.15,334.49,303.10,266.29,238.65,285.03,282.57,272.91,252.66,228.18,203.38,227.71,211.59,201.27,214.21,201.71,191.77,,
2003-12-30 21:32:24.694000,L5,360.67,268.22,254.36,271.72,255.84,170.04,288.02,302.74,324.68,332.47,290.51,325.06,329.19,273.18,237.14,219.45,249.71,249.71,250.09,233.12,230.00,208.63,223.25,215.53,206.40,205.01,182.45,,,
2004-01-15 21:32:26.348000,L5,419.63,370.00,359.75,287.29,265.60,184.13,286.49,301.87,324.19,329.58,277.80,320.38,325.20,262.51,235.72,226.25,237.88,244.52,249.52,223.37,238.63,218.46,224.04,226.04,200.10,326.74,180.03,411.46,488.55,
2004-05-22 21:34:26.036000,L5,376.81,331.27,286.34,281.99,264.44,196.41,301.41,310.45,316.55,327.46,306.07,323.07,335.37,310.58,268.30,239.66,281.56,291.65,268.82,276.61,250.88,223.36,235.72,227.57,217.08,229.31,211.42,198.46,181.60,
2004-06-07 21:34:54.755000,L5,345.95,289.71,267.54,281.18,261.46,170.98,296.68,301.00,316.29,322.33,306.98,319.83,339.01,293.90,259.64,236.15,275.53,259.47,257.44,239.40,243.94,219.91,229.90,221.72,207.08,217.27,200.60,195.64,176.25,
2004-06-23 21:35:22.995000,L5,279.32,290.76,275.80,293.19,259.28,176.97,306.51,308.78,323.38,332.44,301.98,332.16,344.55,303.78,262.44,245.78,280.01,274.36,274.14,267.45,276.46,221.22,238.80,237.93,223.48,230.86,215.01,207.28,182.08,
2004-07-25 21:36:14.167000,L5,325.82,233.61,165.56,,,,275.42,283.56,303.13,300.51,262.33,295.75,289.80,222.21,210.06,198.79,220.58,226.85,212.20,197.58,208.96,,,,,,,,,
2004-12-16 21:39:23.215000,L5,366.39,291.70,278.02,295.67,263.15,,280.25,294.66,316.17,332.07,311.42,330.43,344.90,313.48,275.64,227.49,270.32,260.15,253.75,240.67,232.41,201.71,235.56,225.19,218.30,223.24,205.20,188.65,,
2005-02-18 21:40:18.476000,L5,349.12,278.51,269.13,278.86,259.65,,285.84,302.90,322.46,332.92,292.45,311.63,320.93,275.39,246.04,217.23,240.06,258.63,247.09,230.76,233.05,208.34,227.14,215.24,197.93,209.53,196.92,181.83,,
2005-05-09 21:40:56.205000,L5,354.28,278.44,270.22,273.99,262.37,,290.93,309.22,322.26,326.65,307.26,325.22,340.19,301.49,255.87,227.48,271.91,267.08,259.12,238.62,235.52,213.16,232.75,223.78,217.61,228.96,207.04,189.56,,
2005-06-10 21:41:12.271000,L5,341.90,284.04,275.72,286.51,263.87,,299.66,314.68,331.82,337.11,314.32,327.04,344.88,304.75,273.73,235.34,288.02,290.55,286.42,265.92,265.67,216.54,241.18,234.39,227.51,238.45,210.71,198.29,,
2005-06-26 21:41:16.724000,L5,343.84,286.55,281.11,288.79,269.98,,304.24,303.00,323.15,321.05,299.13,323.56,338.17,303.52,244.81,234.09,277.17,279.12,279.84,243.05,245.86,214.83,228.25,208.11,197.81,220.58,205.48,201.87,,
2005-07-12 21:41:23.560000,L5,,240.36,170.94,242.52,223.06,,277.62,288.81,301.70,301.14,236.13,270.59,283.95,187.15,186.02,182.03,206.25,192.09,,,,,,,,,,,,
2005-08-29 21:41:46.875000,L5,335.43,273.96,259.94,283.64,277.38,,301.82,310.65,327.56,323.03,288.65,313.30,326.73,277.33,236.69,229.62,261.61,273.55,251.93,261.73,247.55,197.52,225.36,199.19,186.54,199.23,187.59,174.99,,
2005-11-01 21:41:44.104000,L5,335.15,270.04,279.95,297.16,285.59,,301.80,296.46,313.07,316.33,292.27,314.03,331.01,311.71,265.00,230.81,271.19,276.95,287.81,242.32,232.48,195.48,219.24,196.32,186.22,203.74,200.03,187.48,,
