dates,satname,nzd0502-0000,nzd0502-0001,nzd0502-0002,nzd0502-0003,nzd0502-0004,nzd0502-0005,nzd0502-0006,nzd0502-0007,nzd0502-0008,nzd0502-0009,nzd0502-0010,nzd0502-0011,nzd0502-0012,nzd0502-0013,nzd0502-0014,nzd0502-0015,nzd0502-0016,nzd0502-0017,nzd0502-0018,nzd0502-0019,nzd0502-0020,nzd0502-0021,nzd0502-0022,nzd0502-0023,nzd0502-0024,nzd0502-0025,nzd0502-0026
1999-08-26 22:07:32.686000,L7,473.92,355.54,358.37,369.25,353.98,343.80,288.38,349.94,340.38,309.33,225.11,221.75,240.27,288.35,271.92,314.93,293.79,302.78,309.71,321.07,314.43,320.51,319.15,318.00,319.61,319.96,317.70
1999-12-16 22:07:33.708000,L7,373.70,360.66,343.54,338.17,338.58,347.74,347.28,358.15,366.70,299.64,241.23,281.47,293.84,285.12,271.99,303.96,277.38,297.77,310.64,316.35,315.18,315.09,317.42,318.10,319.69,324.22,324.58
2000-05-08 22:06:44.900000,L7,378.72,390.53,367.71,369.00,365.58,376.26,371.80,361.24,376.92,403.28,264.92,295.72,299.71,288.33,280.92,315.98,294.26,312.82,316.24,324.11,322.21,320.60,323.84,322.95,326.58,327.73,328.91
2000-06-25 22:06:19.852000,L7,369.12,371.37,360.26,372.80,338.21,374.90,362.38,363.34,379.76,320.36,296.39,302.00,306.68,308.54,291.45,317.67,296.77,309.24,313.82,318.43,322.05,327.25,240.04,324.42,319.40,324.12,321.61
2000-07-11 22:06:05.496000,L7,238.25,248.08,165.87,254.17,215.77,232.33,266.44,250.04,246.27,221.68,,,,,,,276.19,228.67,,,,,,,,,
2000-09-20 22:11:14.930000,L7,364.60,358.65,351.09,349.41,340.81,340.91,350.21,349.68,350.25,351.82,341.64,287.44,296.10,283.47,274.83,325.94,297.56,319.08,317.87,317.45,316.99,314.63,318.50,318.99,327.40,332.57,362.29
2000-12-18 22:05:01.704000,L7,339.62,329.82,322.37,319.29,313.74,363.26,309.32,322.08,334.79,296.07,250.34,285.01,292.03,280.42,231.96,,,,265.08,169.73,306.43,290.87,307.72,312.91,312.17,320.51,294.94
2001-01-03 22:05:00.181000,L7,182.91,213.83,225.10,223.52,219.10,230.94,266.67,254.41,226.96,213.88,163.35,,,,,,,269.47,300.69,299.48,299.05,306.49,309.47,291.20,247.15,196.97,219.62
2001-02-20 22:05:00.525000,L7,184.32,217.51,224.56,227.44,218.76,226.63,265.44,254.32,229.97,225.72,158.90,361.42,,,,,259.15,288.96,303.40,311.70,310.61,311.94,313.73,314.27,313.84,316.32,316.60
2001-04-09 22:04:41.882000,L7,384.60,379.45,353.42,348.13,354.56,292.13,281.95,352.86,392.52,296.63,264.42,295.10,301.94,292.35,283.21,314.82,293.39,315.42,317.05,324.95,320.89,320.85,321.22,319.37,319.53,323.59,320.39
2001-06-28 22:03:56.771000,L7,351.12,363.13,359.33,351.60,314.59,325.11,274.80,356.39,347.40,299.65,268.05,295.68,298.16,294.99,284.82,312.18,287.46,276.47,306.33,181.53,233.94,200.36,320.58,311.51,320.87,323.56,
2001-07-14 22:03:57.537000,L7,377.73,380.81,370.50,365.34,359.28,368.77,375.09,360.25,357.19,303.19,269.34,297.57,303.68,294.08,289.96,316.59,291.03,306.14,317.88,198.04,173.29,245.08,239.81,259.40,246.98,228.16,306.27
2001-08-15 22:03:26.328000,L7,331.25,361.71,225.96,340.21,340.26,343.43,266.18,251.42,233.26,237.34,152.19,,,,,,286.81,298.69,305.52,309.35,309.60,312.57,315.39,312.32,313.22,321.00,312.66
2001-10-02 22:02:52.358000,L7,,,517.65,506.44,500.83,518.50,511.83,479.30,469.25,471.93,489.57,,,,,,,,,514.60,432.37,453.35,446.10,425.04,408.48,394.38,386.84
2001-11-03 22:02:58.699000,L7,350.05,345.20,336.20,333.21,318.12,245.31,278.79,339.66,335.55,287.14,246.35,250.32,240.75,240.50,243.60,305.65,281.90,300.70,308.67,315.09,311.31,309.79,311.51,308.94,310.12,315.83,311.03
2002-02-23 22:03:31.354000,L7,307.21,304.83,346.20,347.45,343.54,338.82,276.04,262.35,230.76,286.82,160.45,285.02,292.47,280.22,270.36,307.93,292.71,315.41,317.65,319.93,315.76,315.88,318.63,313.73,310.82,320.08,314.70
2002-03-11 22:03:31.366000,L7,421.21,356.59,354.38,351.39,252.75,231.46,267.73,257.82,231.32,281.09,161.89,285.05,292.09,222.64,186.79,176.27,283.34,298.74,308.23,315.10,313.69,313.69,314.35,313.38,313.68,324.14,317.75
2002-04-12 22:03:25.302000,L7,373.55,372.45,398.41,470.73,452.47,495.68,447.15,372.99,371.89,363.05,368.20,379.74,382.91,384.12,350.24,319.16,297.92,316.36,321.35,328.14,326.91,327.13,325.10,323.51,323.76,333.48,327.72
2002-05-14 22:03:19.418000,L7,361.49,354.72,349.97,344.15,338.34,350.53,351.32,356.57,377.58,367.90,336.56,296.44,304.91,298.53,393.07,418.26,298.37,310.05,339.64,341.51,334.61,387.19,327.14,330.80,370.03,350.54,322.62
2002-06-15 22:03:07.576000,L7,379.43,356.00,370.19,399.80,349.79,366.62,367.89,371.73,346.00,342.94,373.39,327.77,330.04,327.41,326.24,323.67,304.40,315.14,318.57,320.83,319.36,317.52,318.99,319.10,310.99,317.85,299.82
2002-12-08 22:02:51.522000,L7,,,,,,,,,,,,,512.12,394.39,385.05,360.02,365.29,471.24,341.89,,,,,444.56,361.56,353.68,475.95
2002-12-24 22:02:57.022000,L7,193.28,239.11,248.00,246.55,246.83,265.80,332.12,414.16,422.89,375.92,208.94,,,273.14,228.68,182.78,220.00,292.27,305.56,310.84,310.63,311.18,313.14,311.10,311.03,326.09,313.76
2003-08-13 21:51:32.649000,L5,364.17,355.28,346.14,346.50,338.84,342.64,348.06,345.98,359.13,341.61,334.63,323.36,324.03,327.57,320.07,334.50,309.83,305.90,307.91,289.49,,,,,,,
2003-08-29 21:51:49.928000,L5,380.59,390.96,402.90,430.58,426.11,414.00,372.39,366.14,367.27,347.21,332.43,324.72,323.20,328.30,308.79,342.73,322.08,309.72,315.43,319.84,328.15,322.44,326.76,320.07,323.96,337.03,334.90
2003-09-30 21:52:18.101000,L5,360.95,353.26,350.60,348.17,338.50,340.07,342.98,354.52,354.55,344.89,339.54,339.95,343.81,345.10,354.61,349.93,358.30,362.15,358.68,358.11,355.19,351.83,349.92,348.54,343.57,351.51,348.85
2003-11-17 21:52:57.120000,L5,364.98,361.91,353.00,353.44,336.86,342.59,348.58,346.39,358.03,340.67,343.70,336.67,336.73,335.34,344.27,357.31,357.21,364.08,365.50,366.52,362.11,357.31,352.40,352.12,348.17,350.45,348.60
