dates,satname,nzd0490-0000,nzd0490-0001,nzd0490-0002,nzd0490-0003,nzd0490-0004,nzd0490-0005,nzd0490-0006,nzd0490-0007,nzd0490-0008,nzd0490-0009,nzd0490-0010,nzd0490-0011,nzd0490-0012,nzd0490-0013,nzd0490-0014,nzd0490-0015,nzd0490-0016,nzd0490-0017,nzd0490-0018,nzd0490-0019,nzd0490-0020,nzd0490-0022,nzd0490-0023,nzd0490-0024,nzd0490-0025,nzd0490-0026,nzd0490-0027,nzd0490-0028,nzd0490-0029,nzd0490-0030,nzd0490-0031,nzd0490-0032,nzd0490-0033,nzd0490-0034,nzd0490-0035,nzd0490-0036,nzd0490-0037,nzd0490-0038,nzd0490-0039,nzd0490-0021
1999-08-26 22:07:32.686000,L7,,274.82,270.61,251.71,261.60,350.19,385.57,394.46,409.11,311.57,310.47,305.25,299.27,297.91,303.78,299.30,306.98,301.78,308.34,317.46,316.94,320.97,336.14,333.97,338.10,332.32,333.64,330.80,325.18,335.08,326.62,323.53,319.18,322.83,348.57,374.23,371.54,360.78,364.46,323.61
1999-12-16 22:07:33.708000,L7,,,250.78,233.18,242.03,253.50,268.02,281.88,275.20,282.72,288.71,281.54,278.13,275.94,285.53,276.39,277.14,290.09,293.07,294.81,293.96,295.81,299.07,309.81,310.22,312.15,317.75,306.98,307.54,307.48,311.20,303.30,296.49,296.04,309.72,315.41,304.12,299.19,320.60,300.51
2000-05-08 22:06:44.900000,L7,,270.73,268.11,254.11,256.26,261.93,275.90,286.00,298.44,303.82,302.49,297.42,297.45,289.73,292.96,295.11,296.35,276.10,302.39,309.40,311.54,357.18,352.71,353.22,361.71,306.60,311.14,339.67,313.11,326.28,320.16,335.72,291.95,338.41,329.98,330.02,321.44,314.89,314.68,195.57
2000-06-25 22:06:19.852000,L7,282.19,304.63,276.67,262.46,301.50,329.71,326.50,339.34,308.48,327.43,324.77,314.28,314.28,310.25,314.57,334.24,340.76,265.92,269.90,312.83,373.05,385.74,387.12,327.44,321.22,273.96,290.42,308.03,318.85,349.25,355.20,327.69,273.81,336.53,352.56,322.40,315.12,184.57,344.42,
2000-07-11 22:06:05.496000,L7,,,,230.30,246.14,258.09,269.09,279.41,299.02,302.16,291.51,309.30,300.78,298.21,305.24,302.28,318.42,262.44,255.41,153.29,305.84,,320.71,146.43,327.70,291.47,254.76,324.76,315.79,328.21,318.79,328.40,285.26,304.53,346.57,326.97,313.63,312.57,339.29,240.04
2000-07-27 22:05:48.258000,L7,294.76,314.51,293.90,276.41,282.68,332.88,331.08,351.64,344.30,350.91,344.90,356.00,355.43,319.73,311.18,316.76,310.95,318.36,323.11,322.56,329.48,336.07,338.90,365.00,334.57,338.59,302.13,358.62,331.66,359.39,334.82,324.80,328.39,332.96,348.13,330.23,326.37,349.83,368.15,261.26
2000-08-12 22:05:41.803000,L7,284.57,279.76,186.48,250.35,253.89,264.23,355.24,380.50,386.04,402.83,392.28,407.60,370.01,386.19,381.57,367.64,368.58,372.10,430.72,373.69,467.21,,,,,,,482.92,436.09,503.06,,,,,,,425.04,391.53,397.57,305.96
2000-09-20 22:10:50.972000,L7,,293.94,278.15,262.45,264.75,269.15,273.73,300.18,331.70,336.84,320.79,367.67,400.55,311.10,312.30,311.42,324.71,374.60,363.94,367.72,365.68,374.82,373.66,389.95,346.84,341.66,337.12,327.66,325.48,328.46,303.73,306.68,297.20,294.27,337.77,380.83,320.64,316.79,310.11,342.06
2000-12-18 22:05:01.704000,L7,468.58,362.60,344.44,326.60,325.23,341.28,346.73,353.76,361.76,356.22,361.78,365.07,368.83,356.53,380.76,354.65,356.29,369.93,366.61,369.99,363.55,389.04,388.03,384.55,391.48,398.32,401.79,401.96,382.15,396.37,388.03,390.68,367.27,378.02,393.18,391.55,381.61,382.89,377.11,375.16
2001-01-03 22:05:00.181000,L7,476.28,392.14,406.13,332.34,335.97,373.95,339.88,380.96,410.18,402.68,379.45,368.82,379.39,401.81,411.45,383.53,393.58,412.45,414.32,388.06,409.24,414.46,416.84,417.42,422.39,427.53,417.35,422.73,430.22,420.08,384.44,377.75,370.21,362.25,408.50,395.19,394.18,385.68,391.13,418.48
2001-02-20 22:05:00.525000,L7,374.91,507.50,,,,,,,,,420.47,414.96,364.39,374.09,378.14,374.89,373.16,451.23,433.67,438.93,430.45,463.16,295.61,329.87,391.19,388.64,383.82,375.71,319.25,322.22,281.81,318.81,290.18,518.84,412.24,296.74,523.24,462.28,337.68,456.93
