dates,satname,nzd0527-0000,nzd0527-0001,nzd0527-0002,nzd0527-0003,nzd0527-0004,nzd0527-0005,nzd0527-0006,nzd0527-0007,nzd0527-0008,nzd0527-0009,nzd0527-0010,nzd0527-0011,nzd0527-0012,nzd0527-0014,nzd0527-0015,nzd0527-0016,nzd0527-0017,nzd0527-0013
1999-11-05 22:13:40.966000,L7,,,,,329.07,304.13,299.61,,,313.95,285.21,297.81,296.76,,221.08,249.03,289.75,
1999-12-07 22:13:41.663000,L7,313.07,306.67,297.28,306.17,328.98,299.24,294.43,286.27,319.39,309.92,305.16,302.65,258.30,299.48,293.94,294.82,304.93,
1999-12-16 22:07:33.708000,L7,315.73,309.96,300.11,322.77,334.14,299.94,299.50,297.47,317.83,312.60,306.52,306.68,307.89,299.75,294.83,293.39,303.70,285.07
2000-05-15 22:12:54.183000,L7,,253.52,263.61,,,,,,,,,,,,,,,
2000-06-16 22:12:38.425000,L7,300.58,302.17,296.89,,,,,,,,,,,,,,,
2000-09-20 22:11:14.930000,L7,316.09,315.84,313.80,321.29,335.11,315.19,306.57,308.49,308.64,321.55,304.50,168.55,247.68,266.79,235.01,301.42,315.51,259.37
2000-12-18 22:05:01.704000,L7,232.95,272.12,261.44,276.87,154.83,306.35,300.99,295.34,322.59,313.45,309.40,310.52,309.96,477.87,428.85,363.14,379.50,427.31
2001-01-03 22:05:00.181000,L7,305.57,299.90,298.52,304.23,336.20,299.89,301.44,293.49,319.75,314.35,309.25,308.10,240.88,300.87,297.61,294.66,375.82,250.36
2001-02-11 22:11:12.788000,L7,183.35,205.86,279.45,,,,,,,,,,,,,255.43,172.42,
2001-02-20 22:05:00.525000,L7,312.81,299.82,296.92,306.33,298.41,272.01,295.50,299.02,313.36,312.60,299.39,299.13,301.33,298.73,287.75,292.94,299.43,296.14
2001-04-16 22:10:54.636000,L7,268.02,231.73,217.04,,,,,,,,,,,,,,,
2001-07-14 22:03:57.537000,L7,301.45,299.80,294.88,,,,,,,,,,,,,,,
2001-11-03 22:02:58.699000,L7,509.67,378.72,388.21,392.60,421.11,397.93,209.75,212.30,424.62,484.21,,,426.29,510.41,501.07,526.78,444.77,446.19
2002-01-29 22:09:33.112000,L7,305.32,298.10,298.88,303.37,329.98,307.45,302.97,296.54,294.88,376.12,372.13,308.41,303.19,300.94,294.34,379.26,381.55,296.65
2002-03-11 22:03:31.366000,L7,308.47,277.21,296.50,170.46,207.15,165.64,173.73,292.45,297.52,295.75,248.00,289.81,287.45,293.96,283.96,283.01,291.77,294.30
2002-05-05 22:09:37.985000,L7,286.32,297.33,290.29,,209.64,285.75,273.86,,,,,,279.82,290.37,243.66,283.15,195.63,287.64
2002-05-14 22:03:19.418000,L7,,,,,,,,214.60,283.02,,,,,,,,,
2002-06-22 22:09:15.051000,L7,446.41,363.49,372.04,381.40,479.21,411.33,422.91,384.97,356.65,362.27,,427.70,401.60,526.61,440.72,475.73,418.03,457.49
2002-09-10 22:08:43.416000,L7,316.68,307.35,300.88,250.88,346.08,315.60,313.78,308.90,336.79,316.17,309.34,294.22,271.72,,196.28,302.49,331.95,298.80
2003-02-01 22:09:21.746000,L7,339.64,357.58,362.39,366.33,375.65,377.58,368.18,385.25,361.79,384.54,374.62,370.58,249.50,267.03,187.89,154.76,362.28,260.78
2003-08-13 21:51:32.649000,L5,456.37,403.40,400.90,417.86,459.94,482.96,400.45,428.74,427.40,510.29,412.54,417.67,412.41,397.09,375.62,384.68,415.08,410.34
2003-08-29 21:51:49.928000,L5,341.80,337.31,335.42,346.63,359.45,336.98,330.93,333.47,356.00,345.82,341.42,339.27,334.32,,221.49,332.19,365.58,288.27
2003-10-07 21:58:35.519000,L5,349.67,340.01,340.00,358.35,365.35,335.79,331.25,331.86,357.09,351.52,343.68,339.75,333.88,,324.56,333.12,359.18,332.39
2003-11-17 21:52:57.120000,L5,333.25,325.94,325.04,339.08,344.63,322.96,310.18,301.34,231.54,309.08,312.81,320.69,,,,312.21,334.66,
2003-12-26 21:59:30.091000,L5,456.92,372.84,378.14,388.91,447.27,500.83,372.39,382.97,381.16,445.87,379.94,379.46,377.72,369.43,374.00,378.13,407.93,371.53
2004-01-20 21:53:24.777000,L5,467.26,400.17,404.61,412.21,475.04,499.26,394.89,434.44,441.22,,411.08,418.03,412.65,395.59,399.82,409.30,424.29,401.39
2004-01-27 21:59:38.149000,L5,346.13,343.10,342.59,351.09,361.51,343.62,340.45,333.92,354.22,362.16,361.74,358.75,357.61,360.99,381.71,382.90,397.91,355.95
2004-03-31 21:59:59.745000,L5,365.57,361.40,353.57,364.31,369.00,353.78,353.65,348.09,365.92,362.28,360.39,365.90,371.82,359.62,355.56,356.16,383.84,367.24
2004-05-02 22:00:57.398000,L5,352.86,349.36,351.86,372.00,377.75,349.65,338.12,345.90,359.23,356.92,353.44,358.10,373.58,347.61,336.78,343.38,369.11,358.75
2004-05-18 22:01:26.569000,L5,467.95,420.91,413.86,410.76,454.33,497.94,411.10,431.54,428.57,,525.90,426.03,429.10,400.29,410.47,404.14,461.16,393.85
