dates,satname,nzd0022-0000,nzd0022-0001,nzd0022-0002,nzd0022-0003,nzd0022-0004,nzd0022-0005,nzd0022-0006
1999-08-17 22:10:26.276000,L7,269.13,243.40,307.79,310.27,308.58,291.45,298.96
1999-10-04 22:10:38.131000,L7,304.68,298.86,317.83,324.37,326.70,314.54,310.31
1999-12-07 22:10:30.042000,L7,326.04,313.86,333.86,332.41,330.69,275.08,
2000-02-09 22:10:19.398000,L7,,275.01,317.14,321.23,320.40,301.17,310.79
2000-03-28 22:10:07.233000,L7,,,307.85,275.04,302.83,273.11,237.06
2000-04-29 22:09:53.797000,L7,267.50,231.65,306.70,317.85,319.34,,
2000-05-15 22:09:42.527000,L7,267.34,235.60,307.50,320.07,313.76,309.68,203.26
2000-08-03 22:08:44.137000,L7,282.74,280.20,309.07,317.68,316.03,311.95,301.72
2000-08-19 22:08:38.248000,L7,286.71,294.34,313.04,320.62,311.25,311.06,301.11
2000-09-04 22:08:22.800000,L7,250.21,252.24,244.00,299.66,303.14,278.55,236.91
2000-09-20 22:08:03.348000,L7,271.91,252.75,316.51,321.78,309.81,306.94,298.71
2000-10-06 22:07:59.689000,L7,247.14,237.16,209.46,270.59,307.06,271.84,283.37
2000-11-07 22:07:53.532000,L7,,253.57,309.41,318.40,308.14,296.72,285.53
2001-06-03 22:07:16.736000,L7,272.85,241.11,295.18,313.22,317.74,,
2001-06-19 22:07:05.722000,L7,276.29,241.87,291.03,300.31,303.34,281.72,
2001-09-07 22:06:11.116000,L7,287.41,295.01,,,,,
2001-12-12 22:06:14.960000,L7,,,308.90,270.08,305.26,285.84,290.28
2002-01-29 22:06:21.478000,L7,,268.84,267.52,289.17,277.20,280.68,241.05
2002-02-14 22:06:29.522000,L7,,270.17,313.43,319.58,313.28,268.04,301.32
2002-06-22 22:06:03.573000,L7,,,311.72,319.54,320.17,315.10,317.65
2002-08-09 22:05:46.029000,L7,274.88,279.19,307.70,319.14,314.40,309.20,302.01
2002-10-12 22:05:14.598000,L7,279.74,249.15,260.49,277.46,315.94,286.58,247.14
2002-10-28 22:05:22.323000,L7,268.62,287.50,316.64,322.27,323.28,313.20,303.04
2002-11-13 22:05:30.425000,L7,307.70,303.57,324.84,329.78,333.14,323.11,321.95
2002-11-22 21:59:33.639000,L7,311.63,524.71,534.63,331.51,343.72,339.43,340.87
2002-12-31 22:05:56.221000,L7,,282.54,316.12,320.73,320.63,311.64,309.02
2003-01-16 22:06:02.914000,L7,,,,,306.77,265.93,291.28
2003-03-21 22:06:15.912000,L7,,241.22,305.54,312.68,315.16,304.01,300.68
2003-05-08 22:06:20.773000,L7,276.43,253.52,308.36,317.57,316.29,311.14,306.33
2003-05-24 22:06:17.162000,L7,274.57,244.29,301.63,321.30,309.60,310.20,297.12
2003-07-28 21:48:04.987000,L5,240.56,235.44,249.17,263.63,266.20,277.42,260.75
2003-08-29 21:48:38.429000,L5,238.97,233.59,239.89,246.47,261.45,269.92,272.56
2003-09-30 21:49:06.317000,L5,405.96,401.68,389.32,373.28,395.46,339.06,341.35
2003-12-26 21:56:18.593000,L5,338.30,322.66,333.76,345.81,347.63,347.20,340.26
2004-04-16 21:57:19.749000,L5,271.80,259.21,260.62,237.87,,265.53,265.55
2004-07-30 21:54:04.170000,L5,235.24,226.30,241.03,249.46,,,
2004-08-06 22:00:22.463000,L5,269.72,255.78,261.01,266.13,,,
2004-09-16 21:55:17.605000,L5,311.28,307.49,316.76,339.05,344.96,351.22,345.31
2004-10-18 21:55:59.918000,L5,311.49,306.61,316.33,330.52,336.61,347.55,338.81
2004-11-03 21:56:19.004000,L5,276.17,268.48,285.25,299.28,306.78,303.56,306.37
2004-11-19 21:56:31.297000,L5,,,,,213.90,258.45,265.09
2005-01-13 22:03:41.143000,L5,295.95,275.21,290.48,287.04,298.73,288.59,310.42
2005-02-14 22:04:09.465000,L5,324.64,308.10,315.14,324.71,327.46,335.38,306.89
2005-02-23 21:58:07.648000,L5,248.23,233.92,246.02,242.52,258.24,275.25,285.18
2005-03-02 22:04:24.338000,L5,458.50,345.09,350.83,359.17,359.45,370.64,357.79
2005-04-03 22:04:40.528000,L5,320.67,298.34,312.81,319.17,321.61,321.54,328.98
2005-04-19 22:04:43.597000,L5,302.14,273.01,294.55,287.53,298.91,292.88,293.25
2005-06-06 22:05:05.724000,L5,,,254.04,253.68,,,
2005-08-25 22:05:41.221000,L5,280.20,266.46,276.76,,,272.64,272.18
2005-09-03 21:59:32.312000,L5,,,,,255.44,272.07,270.34
2005-09-26 22:05:42.687000,L5,301.95,282.89,290.71,314.92,313.23,309.78,310.76
2005-11-22 21:59:59.141000,L5,308.69,302.62,314.59,327.56,333.64,,
2006-02-17 22:08:11.136000,L5,286.88,269.29,284.76,274.96,283.49,285.28,284.20
2006-04-06 22:09:08.139000,L5,257.53,251.29,246.47,239.23,,,
2006-05-08 22:09:38.251000,L5,273.49,262.84,263.09,241.31,,279.90,273.27
2006-06-25 22:10:20.606000,L5,277.97,266.14,272.13,270.68,,,
2006-08-28 22:11:11.674000,L5,285.94,274.04,280.23,281.78,291.16,290.46,296.62
2006-09-29 22:11:34.525000,L5,290.28,278.03,285.66,297.23,290.26,284.21,280.36
2006-10-24 22:05:38.832000,L5,248.14,236.92,245.65,254.04,268.29,264.10,273.46
2006-11-25 22:06:19.953000,L5,337.56,343.60,363.87,380.41,400.54,411.25,409.78
2006-12-02 22:12:34.352000,L5,372.99,363.88,375.65,386.56,388.57,405.28,400.05
2006-12-11 22:06:28.205000,L5,443.58,445.52,476.09,478.55,496.81,497.26,494.18
2007-01-03 22:12:49.248000,L5,353.22,346.40,362.48,362.82,361.09,368.47,366.44
2007-01-19 22:12:30.924000,L5,279.76,266.39,276.76,268.55,266.18,269.92,269.19
2007-02-13 22:06:23.395000,L5,276.96,274.08,298.00,305.32,312.16,325.77,325.13
2007-10-02 22:10:31.289000,L5,355.30,339.31,346.96,352.48,346.28,336.53,331.54
2008-11-21 22:01:05.982000,L5,324.78,311.87,316.64,318.23,326.25,319.96,323.46
2008-12-16 21:55:41.804000,L5,239.86,230.48,246.01,241.15,255.38,270.15,276.51
2009-01-01 21:56:07.642000,L5,245.60,234.75,243.71,246.00,254.86,269.43,273.76
2009-01-24 22:02:55.057000,L5,328.56,304.89,314.21,317.01,323.63,329.58,326.88
2009-12-03 22:01:55.950000,L5,250.30,248.17,301.32,302.65,315.87,321.76,328.78
2010-01-27 22:08:26.527000,L5,385.00,341.86,352.61,342.70,354.51,365.26,362.15
2010-02-05 22:02:17.935000,L5,276.21,266.02,278.55,281.49,293.20,293.25,306.45
2010-02-12 22:08:30.110000,L5,325.62,304.84,319.00,320.29,325.41,325.29,312.12
2010-10-03 22:01:28.836000,L5,251.05,247.60,266.48,282.10,292.33,296.85,309.39
2010-10-10 22:07:36.102000,L5,350.74,330.92,343.33,336.58,332.93,337.71,327.33
2010-11-27 22:07:24.215000,L5,351.27,327.95,342.29,339.42,347.25,350.98,353.49
2011-01-14 22:07:31.728000,L5,362.06,337.22,337.44,343.04,341.33,344.91,340.98
2011-02-15 22:07:34.670000,L5,277.77,257.57,252.70,237.67,,,
2011-03-12 22:01:19.581000,L5,,,,201.64,186.75,271.79,277.25
2013-04-25 22:19:21.025000,L8,317.41,305.23,317.19,320.00,304.20,318.13,307.58
2013-05-11 22:19:31.249000,L8,313.64,303.41,317.06,322.42,325.90,317.90,312.61
2013-05-20 22:13:26.604000,L8,295.75,287.11,305.64,316.63,324.83,319.93,321.54
2013-06-28 22:19:33.252000,L8,314.51,304.03,320.82,322.71,323.84,318.20,318.07
2013-07-14 22:19:34.707000,L8,318.06,308.04,324.26,325.37,329.68,324.01,320.24
2013-08-31 22:19:38.558000,L8,432.94,345.82,354.63,356.91,360.88,367.04,374.73
2013-10-02 22:19:28.820000,L8,346.62,340.07,347.21,354.17,357.62,366.28,373.03
