dates,satname,nzd0040-0000,nzd0040-0004,nzd0040-0005,nzd0040-0006,nzd0040-0008,nzd0040-0009,nzd0040-0010,nzd0040-0011,nzd0040-0012,nzd0040-0013,nzd0040-0014,nzd0040-0015,nzd0040-0016,nzd0040-0017,nzd0040-0018,nzd0040-0001,nzd0040-0002,nzd0040-0003,nzd0040-0007,nzd0040-0019
1999-07-25 22:04:15.362000,L7,299.09,276.16,286.29,264.66,233.04,235.98,243.38,285.52,284.81,297.83,300.44,296.22,270.35,306.06,311.81,,,,,
1999-08-17 22:10:26.276000,L7,361.66,319.78,323.91,222.14,292.12,298.96,286.10,291.77,296.68,302.71,,,,,,347.39,347.43,323.10,326.59,
1999-09-27 22:04:25.056000,L7,505.18,313.00,327.45,335.90,323.46,330.88,347.02,344.23,343.93,356.77,365.43,427.60,377.07,364.43,392.11,368.83,356.71,336.23,328.50,358.32
1999-10-04 22:10:38.131000,L7,362.41,319.81,325.91,317.31,287.18,287.22,283.59,287.58,281.38,297.99,298.19,298.20,206.35,280.62,292.84,355.70,357.14,315.03,276.27,286.40
1999-10-13 22:04:24.936000,L7,360.70,280.54,288.84,280.58,269.26,283.94,289.61,288.45,297.03,282.04,309.12,296.28,292.60,311.37,315.93,330.72,321.88,285.30,274.55,312.36
1999-11-14 22:04:18.343000,L7,469.06,282.28,292.72,277.56,272.76,283.51,290.44,300.32,298.59,310.34,314.11,285.45,283.25,307.55,311.57,330.26,324.35,288.04,246.74,314.74
1999-11-21 22:10:24.244000,L7,379.98,261.65,317.42,326.18,,,,,,279.98,296.05,275.63,232.48,281.14,265.40,358.10,353.05,315.20,303.38,
1999-12-07 22:10:30.042000,L7,384.84,,,,,,,,,229.15,287.93,276.31,209.85,284.55,284.37,326.55,,,,277.55
2000-01-17 22:04:11.868000,L7,523.90,321.35,341.46,329.29,288.43,326.27,338.79,331.52,459.31,356.26,412.17,368.45,354.03,354.30,390.55,373.52,358.99,310.54,333.13,335.79
2000-02-09 22:10:19.398000,L7,399.31,328.76,333.19,327.06,300.82,301.73,295.35,298.09,302.58,310.69,304.47,299.59,306.22,296.78,296.80,380.37,385.97,326.86,299.30,290.14
2000-03-28 22:10:07.233000,L7,395.46,323.72,323.51,334.81,259.91,345.00,292.31,313.11,290.64,232.83,362.68,,461.85,416.03,299.02,361.19,351.11,320.65,302.13,362.54
2000-04-29 22:09:53.797000,L7,271.66,309.04,319.55,,276.16,,220.55,256.79,241.86,233.40,293.88,292.25,293.14,298.47,290.28,260.46,340.24,312.98,245.68,294.81
2000-05-24 22:03:22.722000,L7,365.83,278.81,289.64,269.58,271.95,283.18,289.68,291.56,293.79,307.16,309.97,318.54,269.20,315.24,315.73,244.04,311.73,275.12,251.17,255.04
2000-08-03 22:08:44.137000,L7,378.36,316.83,309.20,316.30,256.32,,,,,280.26,277.80,288.63,262.62,287.58,287.99,365.83,345.24,288.20,323.28,
