dates,satname,nzd0004-0000,nzd0004-0001,nzd0004-0002,nzd0004-0003,nzd0004-0004,nzd0004-0005,nzd0004-0006,nzd0004-0007,nzd0004-0008,nzd0004-0009,nzd0004-0010,nzd0004-0011,nzd0004-0012,nzd0004-0013,nzd0004-0014,nzd0004-0015,nzd0004-0016,nzd0004-0017,nzd0004-0018,nzd0004-0019,nzd0004-0020,nzd0004-0021,nzd0004-0022,nzd0004-0023,nzd0004-0024,nzd0004-0025,nzd0004-0026,nzd0004-0027,nzd0004-0028,nzd0004-0029,nzd0004-0030,nzd0004-0031,nzd0004-0032,nzd0004-0033,nzd0004-0034,nzd0004-0035,nzd0004-0036,nzd0004-0037,nzd0004-0038,nzd0004-0039,nzd0004-0040,nzd0004-0041,nzd0004-0042,nzd0004-0043,nzd0004-0044,nzd0004-0045,nzd0004-0046,nzd0004-0047,nzd0004-0048,nzd0004-0049,nzd0004-0050,nzd0004-0051,nzd0004-0052,nzd0004-0053,nzd0004-0054,nzd0004-0055,nzd0004-0056,nzd0004-0057,nzd0004-0058,nzd0004-0059,nzd0004-0060,nzd0004-0061,nzd0004-0062,nzd0004-0063,nzd0004-0064,nzd0004-0065,nzd0004-0066,nzd0004-0067,nzd0004-0068,nzd0004-0069,nzd0004-0070,nzd0004-0071,nzd0004-0072,nzd0004-0073,nzd0004-0074,nzd0004-0075,nzd0004-0076,nzd0004-0077,nzd0004-0078,nzd0004-0079,nzd0004-0080,nzd0004-0081,nzd0004-0082,nzd0004-0083
1999-08-17 22:10:26.276000,L7,,,,,,,,,,,,,,,,,,,,,,,,,408.95,,,,,,,,,,339.11,351.83,384.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.11,355.67,363.80,,,,,
1999-10-04 22:10:38.131000,L7,230.07,232.09,235.61,223.49,229.51,233.46,230.66,224.22,230.73,214.33,184.75,237.19,242.25,247.11,242.85,249.86,258.55,264.44,271.61,275.04,258.08,242.48,226.77,226.59,214.50,220.37,193.52,321.99,321.66,316.34,331.02,287.32,299.82,298.54,310.65,308.75,314.52,315.04,322.56,329.02,332.59,215.88,239.23,201.49,220.45,432.20,438.96,449.42,458.44,296.91,276.32,288.58,277.37,253.35,291.87,284.66,289.08,301.62,285.62,267.57,277.17,275.85,282.34,271.11,273.41,274.59,280.47,284.31,307.72,284.45,268.33,384.71,383.44,358.35,348.61,330.94,204.92,202.27,200.90,206.58,275.72,290.39,306.55,344.07
1999-11-21 22:10:24.244000,L7,408.97,367.31,336.33,331.15,227.80,221.40,338.20,220.31,221.98,200.26,244.57,241.16,228.38,238.35,242.33,261.21,265.71,264.51,417.06,443.20,364.63,361.50,354.51,342.24,445.80,395.73,320.07,329.17,361.24,329.58,,,,,,,327.86,352.87,387.66,344.51,384.97,184.03,231.33,191.45,211.18,215.79,232.61,247.51,296.19,294.69,270.11,267.27,268.57,250.23,241.75,272.48,278.64,259.54,270.31,262.75,274.77,266.28,271.90,261.49,330.79,346.05,330.20,272.71,,,,,,236.34,280.28,370.81,363.74,404.32,434.98,346.10,410.13,417.99,409.93,445.68
2000-03-28 22:10:07.233000,L7,227.95,434.23,419.26,218.40,230.87,233.55,228.19,400.87,424.90,474.70,436.02,452.47,483.77,450.24,420.28,411.80,441.29,465.51,464.26,456.33,431.35,465.01,464.50,484.52,454.49,506.54,469.89,437.80,408.81,435.45,411.59,384.47,426.82,445.23,420.38,415.58,438.92,443.60,433.73,459.94,460.09,376.02,383.08,381.89,385.71,395.88,418.34,435.66,447.91,450.58,464.28,462.90,455.20,484.26,414.71,446.54,448.30,466.77,275.93,385.83,376.99,412.31,379.74,296.33,336.54,343.88,350.96,368.54,371.71,351.57,326.64,391.32,464.37,448.78,425.57,320.15,348.19,369.04,339.57,382.71,368.53,402.00,408.12,435.30
2000-04-29 22:09:53.797000,L7,448.83,234.99,231.77,225.15,225.95,229.81,347.30,356.98,361.89,341.35,345.13,238.09,238.61,247.21,241.33,248.78,258.89,268.81,291.06,273.55,264.58,251.40,231.20,228.71,217.93,234.34,203.07,187.19,195.05,394.72,373.92,369.87,368.75,372.10,390.23,383.77,394.07,383.16,385.56,394.69,415.82,222.52,237.55,194.56,234.42,254.55,241.70,292.28,316.07,313.82,276.67,306.69,294.48,293.31,288.92,294.38,289.78,301.89,289.37,278.33,279.39,283.60,278.20,270.28,272.73,273.96,279.96,281.75,300.81,276.85,435.22,368.67,400.78,380.03,194.53,206.17,207.84,189.44,388.45,397.85,411.88,423.65,437.20,465.10
2000-06-16 22:09:26.713000,L7,210.76,223.06,208.07,213.56,210.14,218.92,220.63,211.13,204.24,352.45,335.72,310.03,358.09,344.46,230.88,236.61,244.58,256.67,389.03,396.55,372.78,371.26,373.60,396.43,353.99,369.46,387.29,355.07,293.29,338.69,312.59,357.70,337.40,306.78,337.99,345.57,341.90,354.22,326.14,325.80,328.02,354.66,358.76,183.92,200.43,202.08,223.37,247.69,286.69,282.48,264.48,274.65,263.97,242.63,223.46,274.65,274.98,249.78,230.65,257.73,261.28,257.16,260.06,254.64,261.84,250.23,266.09,267.43,286.87,261.80,228.17,343.38,324.97,305.83,304.81,312.63,337.37,331.09,381.09,404.14,441.55,471.49,380.45,396.94
2000-08-03 22:08:44.137000,L7,216.37,224.68,223.04,212.80,213.54,217.76,218.07,215.00,220.88,208.22,184.01,226.40,229.70,237.65,234.13,238.53,247.70,260.55,266.78,256.65,212.73,230.27,218.59,219.50,207.07,205.24,406.87,371.54,418.23,403.78,390.67,267.80,373.00,384.58,384.60,333.54,325.57,357.04,288.09,394.66,388.07,413.11,418.28,184.57,204.45,205.96,231.57,247.71,300.23,289.89,269.65,281.50,266.54,245.44,238.70,272.16,277.59,253.89,268.39,265.32,263.60,264.29,269.01,264.78,265.82,265.70,271.11,274.25,291.91,269.31,246.16,229.04,220.50,212.57,201.95,191.26,311.08,327.56,367.41,365.02,325.94,345.17,348.37,372.61
2000-09-04 22:08:22.800000,L7,,509.72,493.18,463.17,468.96,410.40,473.90,394.20,467.36,350.06,358.88,400.50,424.71,445.56,454.46,205.09,231.02,245.42,239.48,225.04,472.13,474.52,377.06,373.28,378.18,420.51,358.06,404.69,408.26,345.48,360.79,413.70,334.31,322.77,332.35,341.20,404.86,341.03,348.27,307.33,433.87,394.31,356.92,396.53,390.53,392.08,483.79,434.74,470.26,531.00,546.73,471.02,419.99,424.29,521.91,521.28,404.93,387.89,501.01,,,,,,,,,,,,409.59,410.64,436.13,385.88,362.03,392.46,401.13,416.09,449.05,454.17,484.02,,,
2000-09-20 22:08:03.348000,L7,237.26,378.79,378.21,427.66,405.25,439.17,447.41,454.01,381.41,479.34,466.38,337.97,425.76,379.91,412.55,377.59,375.44,401.42,460.52,477.07,261.35,249.85,353.27,431.20,405.71,419.30,386.07,395.74,320.71,312.67,336.31,314.35,336.61,315.25,286.14,208.55,187.65,198.21,197.33,210.85,213.81,216.03,238.90,216.85,237.94,222.23,246.12,309.64,323.20,302.86,282.53,302.82,291.14,493.04,492.26,498.63,487.87,503.49,472.09,504.30,504.18,516.83,466.21,481.71,442.67,442.37,442.90,474.51,476.94,491.01,424.82,450.52,291.24,381.14,403.58,391.06,383.82,352.78,371.53,411.04,388.04,383.69,361.22,429.58
2000-10-06 22:07:59.689000,L7,229.13,230.14,228.14,221.00,224.48,238.22,216.71,221.21,221.91,209.47,184.54,232.38,235.47,246.48,237.22,245.97,254.09,260.11,270.66,267.31,252.67,238.92,223.42,224.14,213.06,209.77,180.55,417.13,422.23,419.04,434.64,419.80,409.02,393.97,401.96,406.63,405.80,372.08,434.09,412.63,456.96,194.22,235.08,202.53,219.00,219.06,239.10,275.58,305.02,297.35,274.04,289.25,477.20,453.12,467.08,432.26,482.96,487.52,477.18,265.13,273.74,271.37,272.39,268.32,270.67,273.12,277.70,280.55,301.90,276.45,257.97,242.73,222.56,218.63,206.14,200.26,199.21,193.17,196.95,198.83,390.71,352.46,421.87,437.55
