dates,satname,nzd0363-0000,nzd0363-0001,nzd0363-0002,nzd0363-0003,nzd0363-0004,nzd0363-0005,nzd0363-0006,nzd0363-0007,nzd0363-0008,nzd0363-0009,nzd0363-0010,nzd0363-0011,nzd0363-0012,nzd0363-0013,nzd0363-0014,nzd0363-0015,nzd0363-0016,nzd0363-0017,nzd0363-0018,nzd0363-0019,nzd0363-0020,nzd0363-0021,nzd0363-0022,nzd0363-0023,nzd0363-0024,nzd0363-0025,nzd0363-0026,nzd0363-0027,nzd0363-0028,nzd0363-0029,nzd0363-0030,nzd0363-0031,nzd0363-0032,nzd0363-0033,nzd0363-0034,nzd0363-0035,nzd0363-0036,nzd0363-0037,nzd0363-0038,nzd0363-0039
1999-08-17 22:12:26.065000,L7,358.04,365.59,402.24,362.06,342.88,344.97,338.90,421.51,444.75,453.13,340.74,356.39,342.26,337.06,340.79,344.52,338.71,336.35,328.57,329.16,315.24,322.57,346.49,524.58,530.30,523.27,505.97,484.13,499.58,496.47,512.89,525.82,523.16,551.09,339.02,248.12,243.34,250.22,225.65,228.90
1999-08-26 22:06:20.800000,L7,,,208.55,329.38,304.09,243.30,296.85,306.39,305.76,299.28,290.57,288.04,289.46,289.54,289.57,295.47,284.56,282.27,283.29,286.70,274.73,271.97,281.87,273.45,298.87,295.51,293.66,298.60,282.29,309.52,327.59,305.28,307.66,302.65,257.20,213.03,,,,
1999-10-13 22:06:24.714000,L7,356.63,368.80,366.03,357.06,348.69,338.46,353.37,540.34,535.24,530.73,547.36,544.42,337.84,334.90,511.25,416.88,423.07,377.29,423.84,431.30,341.84,390.41,366.59,407.84,413.55,392.78,427.03,413.94,421.73,428.04,396.08,404.00,415.12,484.59,498.43,296.42,293.59,280.30,247.84,239.80
1999-11-21 22:12:24.026000,L7,366.53,421.42,420.70,406.29,400.48,392.63,406.36,384.65,389.75,408.07,417.22,405.44,375.66,361.68,367.57,369.29,394.50,411.53,392.22,379.62,367.17,361.83,379.39,358.30,404.37,422.27,372.58,369.12,370.35,408.84,374.45,385.01,374.61,392.37,422.84,416.81,427.79,406.35,306.03,301.41
2000-01-17 22:06:11.705000,L7,334.36,348.28,379.47,372.32,367.01,364.61,331.24,352.23,346.20,330.99,337.28,332.73,341.94,330.94,320.88,324.08,306.28,313.24,381.72,386.50,400.84,412.46,423.49,465.88,429.70,484.08,444.15,324.81,370.14,325.37,337.59,339.98,330.71,327.57,325.44,330.53,276.92,221.71,220.95,232.88
2000-03-21 22:06:01.097000,L7,315.57,321.54,335.27,335.92,333.19,319.92,313.99,317.26,315.95,311.30,307.21,304.99,310.45,309.71,313.16,271.89,304.74,304.19,262.03,305.16,300.65,291.71,297.17,303.08,306.21,305.20,299.38,305.58,308.23,234.64,299.77,300.76,308.83,305.03,293.79,233.67,237.82,221.63,219.61,214.09
2000-05-24 22:05:22.488000,L7,380.11,384.75,400.76,402.47,534.57,539.29,527.25,525.78,519.67,497.45,488.68,502.95,506.63,506.77,505.75,519.61,533.75,536.88,345.35,362.79,380.53,378.85,504.65,479.04,479.98,480.00,481.20,483.26,358.07,366.87,354.51,350.62,361.13,351.77,330.05,337.97,345.02,367.94,385.66,320.51
2000-08-03 22:10:43.917000,L7,355.65,371.11,380.18,366.92,356.80,368.99,385.31,355.97,346.91,349.70,507.49,513.52,510.27,520.54,519.21,329.01,344.67,540.73,540.10,541.83,484.74,407.32,421.39,407.83,333.09,390.20,501.33,503.83,504.84,497.76,485.37,500.09,506.75,469.62,533.66,341.59,384.13,300.86,280.44,259.54
2000-08-19 22:10:38.028000,L7,,310.29,327.49,323.96,275.78,,268.07,301.01,306.36,301.60,295.92,296.68,297.24,297.63,299.14,304.15,293.34,296.17,295.27,279.14,285.09,,,269.42,228.43,261.52,293.88,301.94,271.86,278.47,270.97,304.55,216.13,190.39,266.53,236.18,233.77,216.17,218.24,215.94
2000-09-04 22:10:22.552000,L7,,418.42,426.35,434.09,479.88,505.79,498.06,509.37,518.84,527.24,519.69,521.53,537.22,522.19,521.67,512.46,511.91,509.97,502.29,532.15,532.24,521.97,525.82,508.62,518.23,498.57,509.89,513.10,500.80,497.14,315.57,533.27,520.79,520.99,510.10,519.34,504.02,508.95,528.31,314.25
2000-09-13 22:04:02.015000,L7,294.97,474.11,487.62,498.93,357.24,306.39,312.84,314.31,310.29,306.97,302.41,295.65,298.09,300.68,302.69,315.19,303.84,303.38,306.91,310.30,311.20,323.28,323.33,319.62,333.93,298.12,351.50,354.57,377.58,369.75,285.25,283.61,333.12,357.51,308.32,267.10,237.04,226.31,190.92,214.70
2000-09-20 22:10:03.047000,L7,382.02,366.98,371.93,369.64,365.05,337.16,364.24,367.70,340.43,361.26,362.11,347.64,348.15,352.02,345.89,353.68,354.17,337.54,352.03,335.24,373.11,348.22,399.29,411.30,422.84,427.62,324.20,350.33,348.40,546.65,510.37,480.66,496.61,513.14,522.32,532.23,523.54,537.08,527.40,242.22
2000-11-07 22:09:53.335000,L7,498.48,529.96,540.86,496.80,496.02,462.86,424.75,427.60,429.79,444.59,394.15,396.13,392.41,399.60,334.94,393.78,441.61,449.24,354.96,365.65,353.57,409.24,375.16,349.09,357.02,351.17,418.32,412.20,397.50,382.91,398.28,395.92,397.39,401.18,404.72,502.31,433.86,492.16,220.74,214.03
2001-01-03 22:03:48.276000,L7,338.94,344.66,342.08,339.15,335.62,325.97,324.32,323.20,314.55,308.24,310.95,308.24,311.38,306.93,308.11,297.22,296.05,290.89,286.51,291.34,287.66,289.35,366.93,247.33,282.36,301.91,275.40,270.03,288.26,295.93,280.82,277.11,267.61,471.14,389.05,234.35,448.64,378.65,369.12,515.54
2001-01-10 22:10:03.706000,L7,,,318.89,331.28,329.70,313.53,307.52,300.51,299.22,302.17,304.42,306.78,308.14,302.55,301.67,293.33,286.89,283.57,284.32,281.33,252.12,277.34,287.81,284.35,286.91,298.48,295.01,322.86,286.82,296.63,232.05,294.96,297.06,295.14,269.59,228.28,202.10,184.73,,
2001-02-20 22:03:48.640000,L7,412.02,440.86,417.73,402.66,427.50,418.62,419.75,404.34,402.92,402.45,384.75,398.14,401.32,412.85,417.84,416.37,428.40,437.99,421.86,402.09,421.19,393.92,397.36,416.14,443.12,441.62,423.09,379.30,405.66,403.09,436.69,427.06,439.09,431.91,445.85,422.41,427.69,392.88,403.86,388.51
2001-03-08 22:03:44.911000,L7,,,,279.22,301.58,276.45,278.48,277.29,280.51,278.70,263.28,,275.64,271.66,188.61,283.35,277.49,277.56,277.95,277.67,273.02,264.29,272.14,269.73,240.66,257.35,243.44,175.84,,,269.08,251.37,,,,,,,,
2001-03-31 22:09:43.621000,L7,374.93,398.17,403.74,382.00,378.13,383.83,402.21,409.23,410.08,399.76,366.45,357.87,527.01,507.20,502.97,507.42,514.70,511.86,504.35,509.47,519.99,394.01,404.97,419.64,413.81,525.19,520.58,524.93,528.96,529.86,526.57,363.95,361.55,370.07,441.96,418.56,280.60,405.14,411.98,395.36
2001-05-27 22:03:12.319000,L7,404.62,399.45,421.41,449.01,380.03,397.54,388.15,392.94,403.78,408.63,523.40,541.42,538.00,534.37,348.73,489.28,525.48,500.55,509.17,515.40,527.55,526.84,516.65,519.69,534.91,535.91,525.40,525.44,539.94,542.29,544.52,539.30,510.50,504.57,516.15,525.57,520.25,534.03,453.73,479.32
2001-06-03 22:09:16.498000,L7,280.27,,,,,,,,309.09,315.33,306.51,176.74,219.88,219.86,190.64,197.43,196.89,268.34,269.88,247.45,294.75,288.86,277.64,283.76,285.05,275.53,284.03,291.52,261.01,240.54,289.55,277.76,269.80,304.36,273.61,244.43,201.01,188.40,,
2001-06-19 22:09:05.508000,L7,,,,,,,,,,,,,,,268.19,270.95,264.88,246.65,232.96,204.09,199.15,,250.67,271.17,210.36,,,,,230.79,197.28,246.63,,,,,,,,
2001-07-05 22:08:57.615000,L7,,327.01,342.16,341.16,,,,318.20,222.49,312.42,309.25,306.97,309.17,311.79,325.58,317.85,315.07,308.93,310.11,310.61,310.23,305.76,299.63,305.66,280.48,278.95,301.23,305.72,313.54,295.54,271.25,364.71,353.18,355.79,313.81,342.29,,,,
2001-07-14 22:02:45.650000,L7,495.78,509.17,419.24,482.21,373.61,395.77,362.86,389.04,367.44,385.56,344.53,362.38,378.78,367.53,390.48,397.07,407.07,494.47,482.35,488.79,489.23,499.44,507.64,509.51,393.71,409.69,397.27,393.72,399.55,406.55,385.63,386.04,389.86,373.20,387.61,389.28,382.56,376.60,401.32,423.08
2001-08-15 22:02:14.505000,L7,,272.97,320.17,314.33,,,,284.24,291.79,220.11,279.61,278.90,282.65,283.27,290.67,290.20,285.55,287.05,288.61,286.10,283.90,279.57,280.24,294.79,,,288.37,293.77,256.68,197.79,171.99,241.54,263.83,290.03,268.96,,,,,
2001-08-31 22:02:05.221000,L7,,326.28,335.96,335.57,,,,313.26,313.90,304.26,303.23,301.14,301.68,297.48,307.35,307.36,307.21,310.74,311.17,307.49,308.79,297.01,304.98,306.06,309.62,310.55,301.82,306.52,221.39,196.44,258.23,287.12,313.03,307.12,236.89,,,,,
2001-09-23 22:08:02.998000,L7,348.78,362.77,365.45,353.16,349.64,345.98,344.46,340.94,345.29,329.77,332.67,329.63,331.01,325.81,330.37,334.70,329.22,536.93,527.11,530.36,527.59,523.90,525.18,527.64,527.43,519.42,521.98,516.33,526.62,529.12,535.00,514.89,337.46,317.45,302.97,274.60,220.89,199.79,213.63,228.38
2001-10-02 22:01:40.483000,L7,333.12,349.25,360.56,374.68,369.62,330.12,324.98,325.37,328.64,319.94,388.64,349.33,350.24,324.06,335.20,318.43,373.68,319.85,331.72,390.19,368.23,377.29,382.16,356.85,378.17,359.30,345.51,353.24,334.46,351.87,324.82,385.67,370.81,377.15,401.78,392.55,381.34,357.93,257.74,402.14
2001-11-03 22:01:46.660000,L7,336.78,349.66,442.96,415.36,460.65,510.17,490.64,417.36,471.34,493.77,318.26,313.08,314.26,315.90,317.04,313.82,418.58,415.25,395.06,413.39,426.71,464.78,459.83,486.18,487.67,434.58,466.60,467.08,484.23,508.49,530.19,314.21,318.07,306.08,298.59,275.37,239.10,292.97,284.18,282.78
2001-12-21 22:02:05.831000,L7,353.51,391.01,355.56,377.52,366.10,359.56,348.41,338.09,346.84,337.51,333.89,329.38,317.91,320.40,324.56,321.48,329.19,347.16,336.94,327.89,329.67,316.86,312.94,320.84,322.87,320.53,321.02,326.58,324.04,307.53,326.67,322.85,338.04,320.82,316.04,310.89,317.11,319.54,327.54,344.64
2002-02-07 22:02:17.936000,L7,335.22,348.20,363.37,365.01,347.85,341.63,336.52,335.79,333.62,325.87,331.32,407.27,416.55,429.93,417.96,376.37,401.23,393.90,401.84,354.84,352.18,419.71,398.64,396.68,426.51,436.50,338.18,320.29,321.09,318.63,322.34,366.03,263.89,263.58,186.72,322.11,309.10,308.08,317.65,195.33
2002-02-14 22:08:29.220000,L7,340.61,354.93,376.82,372.59,360.84,349.38,349.71,439.35,340.05,335.69,332.72,339.11,340.75,333.24,333.79,344.49,391.10,390.87,335.89,363.93,336.63,322.80,323.20,328.71,326.15,329.44,355.90,403.59,380.32,328.83,412.36,397.34,428.78,379.52,329.42,274.33,322.31,,,
2002-03-02 22:08:32.970000,L7,339.44,361.90,374.33,389.15,362.27,338.49,362.84,337.00,525.20,531.98,522.32,517.63,501.87,484.67,484.69,497.07,480.64,457.44,447.43,463.25,480.41,486.01,497.86,499.69,513.99,500.18,541.11,526.14,535.96,498.42,509.73,524.87,527.81,518.64,508.09,497.57,509.79,508.60,534.65,523.13
2002-03-11 22:02:19.622000,L7,311.43,334.84,346.89,347.69,334.38,389.96,425.06,346.60,395.81,346.76,420.25,367.66,420.35,415.59,432.39,372.48,312.41,376.94,346.57,317.71,315.99,316.50,379.77,465.90,397.28,310.99,324.01,461.12,439.55,352.96,302.07,449.75,390.54,408.36,360.78,397.31,406.11,,,
2002-07-17 22:01:44.458000,L7,461.32,505.06,414.33,530.04,517.80,504.41,517.42,516.89,522.40,518.26,362.44,349.30,533.66,529.92,519.05,487.10,486.99,533.19,533.38,535.18,531.32,533.07,538.11,542.70,546.56,502.43,485.62,485.74,468.40,466.15,461.30,468.56,482.41,488.12,522.33,520.04,506.03,505.65,520.71,546.27
2002-07-24 22:07:50.432000,L7,,312.31,333.77,333.65,220.86,,299.63,312.34,308.15,309.46,300.51,307.46,305.25,301.36,318.23,319.73,324.53,301.40,278.25,302.15,296.04,288.92,291.46,296.65,298.69,305.53,308.36,312.21,290.45,348.57,317.06,323.22,296.41,236.59,,,,,,
2002-08-18 22:01:33.502000,L7,,,319.82,322.95,,,,308.76,308.56,309.16,304.12,300.22,295.82,290.39,301.28,274.38,298.66,293.31,260.16,301.34,302.49,291.97,287.09,267.31,255.11,282.93,294.58,,,,,,,,,,,,,
2002-08-25 22:07:36.489000,L7,253.81,320.54,312.31,311.70,,,285.74,292.35,299.72,293.08,288.46,283.70,288.84,269.08,279.23,284.60,277.08,290.24,228.47,199.31,207.11,278.19,272.86,262.53,216.11,187.52,,,,,,,,,,,,,,
2002-10-05 22:01:07.311000,L7,357.46,355.85,356.44,339.89,319.47,330.19,330.29,332.02,342.93,357.28,304.92,299.06,306.00,311.52,307.02,318.44,321.99,324.78,327.18,330.77,337.96,357.86,301.95,318.96,309.86,297.74,319.03,326.62,319.28,304.79,312.85,320.71,317.15,316.98,313.13,265.56,205.55,192.72,192.57,195.06
2002-12-31 22:07:56.130000,L7,,,,314.83,307.95,295.05,298.60,299.07,304.52,296.10,294.91,294.48,295.15,294.25,295.44,290.01,291.44,292.29,260.73,285.82,288.41,278.78,290.04,292.08,283.70,287.72,288.06,294.13,218.19,292.51,265.33,251.89,,,,,,,,
2003-02-01 22:08:09.844000,L7,,,,312.70,304.46,294.97,298.84,291.30,303.72,297.25,312.28,285.30,290.35,287.00,294.38,293.07,292.13,294.56,244.92,203.96,290.99,277.17,282.91,246.68,244.80,219.16,201.74,214.25,,294.29,293.85,251.85,,,,,,,,
2003-02-26 22:02:04.470000,L7,533.23,524.90,516.38,487.78,480.21,485.21,492.24,504.82,458.78,332.65,325.33,331.80,333.66,339.31,361.24,455.82,432.22,358.95,348.50,345.75,355.82,375.92,342.60,338.88,355.15,351.05,353.13,342.64,371.13,355.42,406.59,414.40,343.03,451.09,441.26,323.97,289.43,243.73,366.46,422.82
2003-03-05 22:08:19.474000,L7,251.79,296.37,315.07,320.95,315.92,309.27,307.07,306.73,306.87,298.67,301.89,293.81,287.67,299.42,283.66,285.38,284.45,287.24,293.39,289.80,267.94,284.83,270.36,249.27,242.06,234.18,,,,,,,,,,,,,,
