dates,satname,nzd0283-0000,nzd0283-0001,nzd0283-0002,nzd0283-0003,nzd0283-0004,nzd0283-0005,nzd0283-0006,nzd0283-0007,nzd0283-0008,nzd0283-0009,nzd0283-0010,nzd0283-0011,nzd0283-0012,nzd0283-0013,nzd0283-0014,nzd0283-0015,nzd0283-0016,nzd0283-0017,nzd0283-0018,nzd0283-0019,nzd0283-0020,nzd0283-0021,nzd0283-0022,nzd0283-0023,nzd0283-0024,nzd0283-0025,nzd0283-0026,nzd0283-0027,nzd0283-0028,nzd0283-0029,nzd0283-0030,nzd0283-0031,nzd0283-0032,nzd0283-0033,nzd0283-0034,nzd0283-0035,nzd0283-0036,nzd0283-0037,nzd0283-0038,nzd0283-0039,nzd0283-0040,nzd0283-0041,nzd0283-0042,nzd0283-0043,nzd0283-0044,nzd0283-0045,nzd0283-0046,nzd0283-0047,nzd0283-0048,nzd0283-0049,nzd0283-0050,nzd0283-0051,nzd0283-0052,nzd0283-0053,nzd0283-0054,nzd0283-0055,nzd0283-0056,nzd0283-0057,nzd0283-0058,nzd0283-0059,nzd0283-0060,nzd0283-0061,nzd0283-0062
1999-08-21 21:46:56.985000,L7,351.68,338.38,322.99,300.26,301.53,197.84,263.82,250.23,221.63,231.41,267.04,262.13,246.27,231.76,236.27,220.62,208.83,227.36,231.61,258.93,266.13,246.57,252.78,241.59,237.51,234.30,235.16,235.70,238.29,244.19,249.28,259.20,248.43,244.03,467.55,489.13,525.60,344.17,279.64,290.86,262.27,274.05,264.57,259.99,251.98,246.83,241.11,414.09,444.34,463.03,452.52,494.01,474.20,461.53,255.68,267.07,273.00,281.11,276.16,258.02,237.79,247.84,224.64
1999-09-22 21:47:00.785000,L7,250.65,264.47,245.17,227.54,218.49,,262.65,215.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.03,180.20,186.18,188.72,186.90,175.33,,,,,,,,,,
1999-10-24 21:46:56.203000,L7,392.14,369.81,371.45,375.11,384.56,389.16,383.13,368.75,362.25,362.32,372.25,356.28,346.96,338.75,333.40,339.08,342.91,354.64,366.63,368.22,372.42,361.96,360.06,363.45,353.12,346.78,349.45,358.00,368.20,361.33,367.82,362.16,352.22,354.27,349.43,348.86,355.08,387.94,414.67,415.80,402.79,502.61,495.57,485.38,472.64,521.46,466.95,304.10,306.72,297.68,333.56,335.46,365.23,352.40,363.29,381.32,451.98,506.72,463.91,508.21,511.31,488.21,511.30
2000-02-13 21:46:48.016000,L7,357.92,345.01,338.53,,,201.10,199.47,202.86,215.81,,,228.57,219.76,230.71,211.90,231.93,231.12,181.38,247.06,257.54,265.07,249.85,252.00,237.46,237.21,241.05,230.45,220.62,241.10,241.12,257.01,257.56,251.44,244.38,247.96,252.84,268.29,271.58,279.84,290.89,274.01,263.00,272.78,276.27,237.49,221.16,217.36,220.46,216.40,219.02,214.31,291.52,310.72,306.42,314.47,321.36,307.83,324.38,308.61,302.42,306.71,290.82,320.82
2000-05-19 21:46:07.873000,L7,353.11,335.04,327.45,287.66,283.81,286.84,268.22,255.75,214.09,231.88,262.12,251.63,229.51,220.67,217.01,215.00,222.68,229.13,237.79,244.78,256.72,254.11,246.17,238.26,234.25,226.73,231.23,241.22,233.58,243.03,253.42,251.51,241.99,240.00,250.32,252.50,420.14,419.84,491.28,284.92,275.51,271.21,271.17,258.39,250.78,255.55,237.18,243.26,234.16,237.04,239.81,240.57,246.27,256.85,266.33,264.92,266.84,274.87,233.56,227.07,233.41,239.01,227.76
2000-08-07 21:45:08.975000,L7,356.46,334.87,343.52,338.59,323.22,359.80,351.55,329.32,304.14,285.59,291.66,306.43,288.10,274.90,271.56,257.93,285.76,287.33,303.04,295.30,321.55,307.75,303.99,274.37,299.24,293.44,244.10,258.97,248.43,285.74,304.45,264.14,259.29,262.13,263.02,264.93,276.83,339.15,360.41,369.18,362.32,357.90,405.18,440.25,414.86,426.58,435.13,423.28,510.93,509.62,504.32,498.40,476.35,468.11,477.50,493.75,493.87,491.18,474.90,275.55,229.81,245.62,229.00
2000-11-27 21:44:26.720000,L7,338.84,330.53,265.44,223.05,268.33,262.13,271.15,451.41,529.03,493.34,413.87,230.99,196.31,184.74,220.23,209.76,218.91,223.98,228.47,241.76,256.41,242.85,238.47,232.07,234.48,234.63,233.01,232.03,242.24,244.28,246.08,252.61,250.98,249.12,252.27,234.27,269.53,266.89,279.20,297.17,277.54,274.49,249.75,249.10,264.46,211.20,201.98,213.23,240.80,235.11,237.94,276.84,285.35,271.61,290.86,283.18,309.63,313.23,319.15,288.22,315.83,348.86,388.80
2000-12-13 21:44:28.287000,L7,374.94,356.28,359.21,354.79,347.54,354.51,347.30,334.54,337.73,342.38,334.05,316.01,306.55,305.68,297.70,299.19,304.88,307.97,323.37,330.74,343.86,330.81,331.70,325.57,323.44,321.86,316.24,324.26,334.33,342.72,342.17,336.65,350.03,338.18,343.69,338.57,355.77,355.45,373.13,376.02,382.53,375.35,356.37,345.83,357.07,358.75,351.29,358.95,346.79,341.38,339.34,345.06,351.87,362.07,347.20,356.46,366.90,377.62,370.81,364.62,362.09,368.02,383.21
2001-01-14 21:44:33.150000,L7,322.78,312.05,311.49,312.87,311.99,310.78,303.46,290.30,,,,,205.57,191.91,205.71,202.58,204.09,207.37,261.96,233.52,259.78,279.56,258.25,239.09,225.71,258.21,230.48,230.68,229.44,238.25,279.63,275.51,246.40,239.65,281.87,298.82,238.43,253.69,266.03,271.95,263.18,236.91,265.01,278.27,294.30,304.58,233.00,222.55,247.70,525.77,522.88,530.46,521.96,527.38,538.61,525.48,288.75,506.74,507.12,513.71,287.99,303.82,309.46
2001-04-04 21:44:06.948000,L7,341.69,319.59,314.14,310.36,301.74,233.34,272.00,233.05,204.44,223.95,251.22,240.19,223.10,219.84,218.47,215.68,228.47,234.39,246.22,250.82,265.24,259.99,251.49,241.52,240.60,504.30,520.40,522.90,539.09,243.61,256.27,254.45,249.09,246.96,255.07,257.33,264.06,270.17,288.07,298.55,284.83,272.84,267.17,259.29,252.60,241.89,239.52,239.01,237.17,236.57,235.81,514.18,516.84,501.59,500.60,514.50,520.28,540.92,299.72,198.55,215.14,237.34,212.10
2001-04-20 21:44:10.657000,L7,351.21,323.05,299.49,297.65,298.28,307.45,295.12,280.48,267.61,279.03,278.40,262.28,248.92,240.03,246.35,248.80,248.55,264.38,271.62,274.24,279.90,270.31,264.20,253.42,251.43,247.38,248.06,246.89,244.54,257.61,267.56,261.55,254.96,269.11,262.41,265.54,276.28,275.52,306.22,313.17,298.71,381.60,374.85,354.44,353.55,351.03,340.57,339.78,346.34,345.74,340.70,336.04,351.45,341.69,347.15,345.28,345.01,360.49,360.53,344.92,356.34,366.23,374.50
2001-05-22 21:43:54.652000,L7,317.82,308.40,237.77,235.88,274.32,,,,,,236.92,227.46,208.32,205.99,200.96,202.44,208.70,218.18,224.30,227.81,228.55,221.15,185.48,216.65,211.56,173.21,208.41,187.92,194.70,211.78,240.60,237.70,227.64,232.73,228.04,249.49,254.05,257.65,260.56,269.98,246.72,261.76,259.20,245.21,233.03,221.57,204.94,209.14,205.82,209.89,215.17,231.97,244.93,250.73,248.34,176.45,184.15,196.65,186.66,201.96,204.09,221.81,199.12
