dates,satname,nzd0398-0000,nzd0398-0001,nzd0398-0002,nzd0398-0003,nzd0398-0004,nzd0398-0005,nzd0398-0006,nzd0398-0007,nzd0398-0008,nzd0398-0010,nzd0398-0011,nzd0398-0012,nzd0398-0013,nzd0398-0014,nzd0398-0015,nzd0398-0016,nzd0398-0017,nzd0398-0018,nzd0398-0019,nzd0398-0020,nzd0398-0021,nzd0398-0022,nzd0398-0023,nzd0398-0024,nzd0398-0025,nzd0398-0026,nzd0398-0027,nzd0398-0028,nzd0398-0029,nzd0398-0030,nzd0398-0031,nzd0398-0032,nzd0398-0033,nzd0398-0034,nzd0398-0035,nzd0398-0036,nzd0398-0037,nzd0398-0038,nzd0398-0039,nzd0398-0040,nzd0398-0041,nzd0398-0042,nzd0398-0043,nzd0398-0044,nzd0398-0045,nzd0398-0046,nzd0398-0047,nzd0398-0048,nzd0398-0049,nzd0398-0050,nzd0398-0051,nzd0398-0052,nzd0398-0053,nzd0398-0054,nzd0398-0055,nzd0398-0056,nzd0398-0057,nzd0398-0058,nzd0398-0059,nzd0398-0060,nzd0398-0061,nzd0398-0062,nzd0398-0063,nzd0398-0064,nzd0398-0065,nzd0398-0066,nzd0398-0067,nzd0398-0068,nzd0398-0069,nzd0398-0070,nzd0398-0071,nzd0398-0072,nzd0398-0073,nzd0398-0074,nzd0398-0075,nzd0398-0076,nzd0398-0077,nzd0398-0078,nzd0398-0079,nzd0398-0080,nzd0398-0081,nzd0398-0082,nzd0398-0083,nzd0398-0084,nzd0398-0085,nzd0398-0086,nzd0398-0087,nzd0398-0088,nzd0398-0089,nzd0398-0090,nzd0398-0091,nzd0398-0092,nzd0398-0093,nzd0398-0094,nzd0398-0095,nzd0398-0096,nzd0398-0097,nzd0398-0098,nzd0398-0099,nzd0398-0100,nzd0398-0101,nzd0398-0102,nzd0398-0103,nzd0398-0104,nzd0398-0105,nzd0398-0106,nzd0398-0107,nzd0398-0108,nzd0398-0109,nzd0398-0110,nzd0398-0111,nzd0398-0112,nzd0398-0113,nzd0398-0114,nzd0398-0115,nzd0398-0116,nzd0398-0117,nzd0398-0118,nzd0398-0119,nzd0398-0120,nzd0398-0121,nzd0398-0122,nzd0398-0123,nzd0398-0124,nzd0398-0125,nzd0398-0126,nzd0398-0127,nzd0398-0128,nzd0398-0129,nzd0398-0130,nzd0398-0131,nzd0398-0132,nzd0398-0133,nzd0398-0134,nzd0398-0135,nzd0398-0136,nzd0398-0137,nzd0398-0138,nzd0398-0139,nzd0398-0140,nzd0398-0141,nzd0398-0142,nzd0398-0143,nzd0398-0144,nzd0398-0145,nzd0398-0146,nzd0398-0147,nzd0398-0148,nzd0398-0149,nzd0398-0150,nzd0398-0151,nzd0398-0152,nzd0398-0153,nzd0398-0154,nzd0398-0155,nzd0398-0156,nzd0398-0157,nzd0398-0158,nzd0398-0159,nzd0398-0160,nzd0398-0161,nzd0398-0162,nzd0398-0163,nzd0398-0164,nzd0398-0165,nzd0398-0166,nzd0398-0167,nzd0398-0168,nzd0398-0169,nzd0398-0170,nzd0398-0171,nzd0398-0172,nzd0398-0173,nzd0398-0174,nzd0398-0175,nzd0398-0176,nzd0398-0177,nzd0398-0178,nzd0398-0009
1999-08-17 22:12:50.033000,L7,,,,,,167.54,245.34,294.79,325.86,322.41,323.75,318.80,315.18,314.16,319.11,312.96,321.61,322.86,315.35,302.58,307.67,299.06,304.48,302.94,301.06,300.28,308.05,308.84,315.89,319.92,324.10,321.47,315.25,308.02,303.43,279.73,297.41,295.09,348.03,368.49,375.72,377.30,395.34,280.07,273.62,275.00,270.33,267.73,263.83,257.69,263.74,259.89,257.84,262.11,273.87,202.07,257.09,,208.30,247.35,253.20,253.90,255.74,251.23,207.26,219.10,212.30,217.58,222.52,223.85,235.99,232.02,239.14,189.62,207.44,186.26,223.35,225.67,231.18,245.23,247.42,231.56,244.61,268.59,203.10,215.85,224.57,217.81,236.38,233.88,222.97,204.61,209.78,196.37,229.00,209.79,229.53,222.90,266.58,425.66,426.68,431.76,437.65,436.93,386.45,398.62,398.51,387.24,392.34,403.67,410.46,422.63,430.75,451.79,462.15,452.53,,383.53,431.88,445.20,436.50,,,,419.90,421.38,403.25,436.09,449.22,441.49,,,,,,,,,188.75,202.45,214.05,434.88,422.85,405.81,392.09,214.86,239.07,247.95,241.89,234.02,234.52,234.84,193.47,195.38,288.73,307.49,321.24,330.72,324.27,319.08,322.76,323.98,345.27,213.19,244.33,231.76,423.05,447.85,481.29,479.49,511.67,313.82,307.32,314.17,291.71,282.06,224.43,,326.85
1999-08-26 22:06:44.761000,L7,,,,,,,,265.57,290.92,283.01,283.14,186.88,279.85,203.65,288.92,261.06,256.56,,267.18,288.55,283.17,272.87,276.16,277.73,280.52,274.42,270.61,275.62,280.70,289.60,288.50,265.03,279.61,272.75,255.60,276.83,271.32,246.37,234.89,,,,,,,,219.14,200.10,211.35,213.63,224.75,229.01,220.38,257.02,262.89,,,,,,217.82,242.31,264.06,207.94,,,183.77,199.88,211.13,206.00,191.57,198.81,191.46,195.03,183.69,188.50,185.06,175.06,213.92,210.32,218.95,216.25,228.46,233.01,209.14,225.42,222.43,236.76,227.95,223.80,218.25,186.90,196.78,194.51,212.46,233.71,250.08,241.16,242.19,212.80,224.79,250.05,252.28,234.04,226.97,241.84,208.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.65,265.94,263.11,264.18,263.71,168.39,201.39,232.29,206.27,,,,,,233.02,233.38,175.32,,,,,,,220.35,222.94,238.15,239.52,269.30,289.75,292.26,226.87,266.65,228.12,,,298.41
1999-11-21 22:12:47.994000,L7,,,228.41,260.15,273.02,282.92,288.30,300.14,319.81,326.13,315.38,311.59,305.27,306.55,308.71,312.21,313.70,317.01,307.68,303.75,303.43,296.94,300.62,297.44,298.69,297.28,302.99,309.62,313.20,314.56,317.53,312.74,306.52,302.89,298.69,298.02,291.95,290.66,294.24,294.10,233.40,225.27,216.29,268.96,272.92,271.52,271.88,208.59,194.78,213.66,255.32,254.83,261.83,255.48,258.06,,,239.33,247.47,260.42,255.91,249.60,252.62,230.22,185.92,189.19,213.49,209.84,213.23,218.57,211.41,205.33,228.02,235.30,209.90,226.80,219.34,214.18,226.15,240.82,280.47,223.09,258.66,265.03,270.07,271.09,321.25,307.15,308.44,311.28,292.55,300.10,290.16,289.59,300.85,292.15,286.41,295.04,299.20,305.26,283.62,275.87,275.86,,260.57,275.93,269.67,240.41,201.89,,,,,,,,,,,,,,,,,,,,,,,,,,166.54,172.13,178.14,164.37,193.66,208.16,210.29,219.31,232.77,257.26,259.29,254.28,262.03,256.71,207.84,258.42,199.48,261.35,251.57,252.19,257.98,257.45,268.29,266.33,259.94,249.93,,,,,,,,,,,315.84,342.44,250.12,336.78,291.68,269.89,279.33,303.94,318.66
1999-12-07 22:12:53.785000,L7,,,,,,,273.46,290.99,316.27,313.68,308.70,304.27,302.84,298.79,299.60,304.29,307.92,311.83,306.40,301.91,296.55,291.68,296.33,288.75,292.02,291.83,295.60,301.02,303.66,311.19,318.33,312.13,301.32,300.67,293.66,294.73,288.13,285.42,,,,,,268.30,276.99,271.21,273.69,245.22,255.18,277.41,292.16,245.77,288.16,276.04,266.13,267.38,255.61,255.95,269.93,275.88,264.30,265.53,282.23,244.50,,,192.60,212.86,219.73,220.65,216.74,217.41,214.24,221.16,201.18,209.08,181.29,213.17,225.86,238.43,244.97,240.06,249.33,259.25,261.05,270.85,268.68,271.82,266.96,269.50,258.14,269.90,,,298.04,312.01,303.16,254.47,292.00,295.12,263.95,231.66,238.87,239.37,241.82,244.32,242.95,245.14,199.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.59,199.69,208.81,214.81,251.80,261.85,268.87,276.60,234.77,252.71,254.28,256.72,261.12,262.95,202.14,260.25,259.20,273.48,292.50,280.47,280.40,271.28,,168.63,171.46,222.40,227.79,238.19,228.68,245.22,292.63,292.65,295.86,306.63,362.23,347.59,290.03,251.05,,,313.55
2000-01-17 22:06:35.665000,L7,320.13,466.89,430.39,415.28,453.02,463.16,426.95,515.73,526.31,494.47,466.88,429.94,526.19,512.08,511.30,499.31,472.90,461.36,477.83,487.05,496.47,488.59,468.79,469.15,452.32,469.66,480.24,490.55,494.82,504.55,516.14,518.20,499.62,481.85,493.96,483.17,467.27,438.97,451.75,446.03,502.35,408.69,455.39,421.14,410.93,388.74,414.90,435.00,433.16,429.16,369.30,386.83,369.80,388.44,344.82,361.07,350.66,380.82,392.62,400.16,401.64,393.51,370.00,358.93,394.01,410.31,423.71,435.35,414.26,408.62,417.68,395.33,399.42,407.77,372.89,388.70,389.36,420.66,453.31,400.44,390.07,396.96,434.84,423.12,437.78,420.77,371.42,400.58,390.02,432.24,407.71,391.38,379.62,423.25,430.57,452.35,540.40,529.00,420.00,463.16,427.92,401.69,408.83,439.70,426.98,468.78,489.40,479.34,445.51,425.67,423.79,403.60,405.67,395.37,414.73,401.12,465.93,444.38,424.93,422.47,428.97,435.10,457.23,481.79,428.99,410.25,524.86,460.86,419.07,415.06,432.00,444.60,434.21,403.47,367.76,391.92,381.70,356.76,359.34,386.95,430.46,400.69,383.09,349.43,342.42,348.48,347.67,369.37,348.12,379.88,387.44,453.65,455.62,386.83,398.38,406.44,430.24,418.42,452.21,410.55,398.34,372.57,416.42,389.69,401.94,416.72,422.18,369.43,421.67,405.65,412.46,415.72,408.74,402.75,404.15,407.83,427.11,442.37,
2000-03-21 22:06:25.053000,L7,,,236.32,266.95,285.66,296.20,307.32,305.18,329.20,324.70,326.31,319.04,314.75,311.77,309.22,314.43,320.23,324.26,317.21,311.12,306.55,301.62,302.34,298.83,298.32,302.40,306.86,312.50,311.62,321.64,321.19,325.02,317.74,374.08,345.18,361.02,359.88,327.48,314.07,317.81,310.13,304.43,297.20,306.40,304.64,305.99,295.12,292.08,288.74,279.09,284.14,287.10,281.73,276.52,275.52,273.50,265.94,267.68,241.97,266.49,275.60,268.38,283.55,287.25,,199.40,210.20,228.46,224.58,227.82,221.28,216.87,212.00,217.63,204.19,219.30,197.60,211.75,308.04,292.07,298.21,317.25,257.94,263.53,316.16,323.44,308.53,316.09,310.75,291.46,325.94,302.88,323.85,282.55,308.80,305.96,313.36,309.71,308.98,314.27,313.08,313.38,315.93,309.60,325.97,309.07,291.44,287.17,269.93,297.03,316.40,331.12,,319.24,338.03,498.90,502.31,504.81,501.39,,,,,,,,,,,,,,,,,,355.81,353.56,350.18,348.89,205.59,212.29,260.22,271.60,269.59,286.49,274.09,271.65,258.53,265.70,264.17,262.74,263.81,269.38,272.12,285.56,283.37,279.97,299.06,233.11,182.25,196.50,256.84,255.89,263.54,271.57,288.51,301.29,318.56,287.84,309.58,329.04,310.49,317.87,306.01,295.27,298.34,309.15,364.78
2000-04-13 22:12:18.119000,L7,,,258.88,295.44,308.43,319.63,323.63,322.82,336.49,332.21,328.16,323.13,320.63,317.86,316.65,322.15,327.18,331.15,328.94,323.02,318.87,311.04,314.81,311.50,310.65,314.00,314.90,319.33,320.09,329.31,328.78,327.59,320.67,320.18,314.37,313.99,305.26,304.25,296.97,291.66,289.46,286.60,280.28,277.99,274.78,272.62,270.25,263.90,264.54,262.93,261.99,261.15,257.61,260.03,254.17,252.81,254.57,247.07,257.03,248.59,250.73,259.28,257.40,255.96,182.06,201.96,224.38,243.67,242.08,242.80,237.21,227.15,227.63,226.98,218.01,225.47,216.60,226.35,241.57,249.84,258.86,267.38,266.71,271.78,277.11,279.06,283.36,281.11,285.37,284.81,280.24,284.04,287.58,286.86,286.24,286.25,282.87,278.03,279.34,271.78,274.64,269.16,270.73,264.53,301.11,310.39,321.20,327.78,339.64,335.93,,,,,,,,,,,,,,,,,,,,,,,,,,169.93,173.20,181.22,205.12,213.78,216.14,222.61,228.04,250.89,255.62,253.32,281.75,250.56,256.37,253.05,256.59,257.87,254.10,255.30,259.29,261.47,265.15,264.37,258.32,241.18,183.89,201.21,231.26,237.74,262.13,265.09,251.06,259.63,275.66,296.57,314.00,327.60,325.07,327.33,320.71,315.26,314.69,324.22,334.39
2000-08-03 22:11:07.870000,L7,458.62,,253.01,290.12,314.22,323.02,332.23,323.91,339.03,346.20,331.87,329.21,327.30,330.30,330.19,331.08,335.51,342.70,327.92,328.63,322.66,314.85,311.79,312.06,302.81,307.74,312.06,320.87,326.42,334.38,330.62,324.88,323.16,321.63,315.19,318.15,312.05,304.31,296.65,288.75,287.33,289.67,282.31,285.16,281.96,268.15,282.24,276.05,274.95,266.43,276.33,265.81,267.27,267.70,259.27,259.57,254.13,251.55,255.76,252.86,252.86,258.40,262.99,258.08,176.13,196.01,224.31,228.29,226.57,228.18,240.38,234.04,223.74,234.65,246.08,234.31,235.95,228.39,243.92,264.91,265.95,269.53,274.21,276.59,288.85,289.11,290.04,282.85,285.47,290.34,286.34,291.92,290.99,288.35,292.93,285.74,277.88,284.14,383.32,336.44,394.88,394.82,403.96,363.49,304.80,328.95,378.90,350.04,375.53,375.12,380.33,354.70,362.73,361.31,365.05,369.06,398.41,409.38,418.94,422.28,425.62,428.20,237.88,253.20,,,,,,,,406.59,419.25,413.88,398.40,180.72,226.30,188.84,186.80,206.78,215.35,222.43,240.22,261.81,269.07,275.11,258.28,305.20,308.57,326.81,342.95,256.92,253.57,253.11,258.63,265.98,266.51,330.48,313.12,310.67,311.06,318.93,302.47,294.45,301.16,315.20,325.04,344.15,353.62,362.10,309.75,316.15,326.79,327.15,319.24,307.28,328.82,314.60,336.98
2000-08-19 22:11:01.988000,L7,174.65,221.78,266.81,306.70,314.38,340.35,334.06,337.92,352.17,339.60,333.92,332.99,392.01,385.25,389.71,400.22,416.65,442.14,432.93,431.51,439.01,435.62,435.98,430.26,412.15,416.74,423.56,425.95,405.53,390.92,345.37,427.42,418.58,409.17,408.65,359.52,354.92,357.41,348.65,336.19,296.86,295.89,296.35,289.00,317.54,320.80,314.55,288.02,304.85,301.87,293.98,293.34,298.28,297.13,351.44,305.24,329.21,339.42,345.83,335.86,338.61,329.99,354.09,283.80,293.17,297.07,299.78,304.43,305.26,320.64,372.44,381.51,378.60,369.01,378.18,366.13,384.09,354.27,345.27,344.27,348.01,318.90,323.10,309.65,348.84,377.45,357.17,361.11,364.63,304.78,331.71,336.05,324.63,297.78,389.18,379.79,380.12,358.70,366.43,362.20,367.95,378.32,365.62,367.06,375.16,370.18,345.24,280.70,307.07,314.77,318.37,272.15,277.46,318.39,330.64,336.70,345.24,346.30,354.04,368.72,366.85,389.77,413.27,409.23,355.85,285.95,281.90,287.96,287.98,271.50,223.24,190.62,183.56,228.82,188.07,209.09,221.44,203.04,215.84,218.07,368.99,334.24,354.75,340.85,285.59,334.11,318.92,318.92,342.34,346.18,271.95,278.54,287.14,286.47,296.21,360.35,349.11,351.65,356.35,355.29,329.67,343.36,281.01,318.32,276.91,287.00,292.73,296.41,309.82,331.39,330.13,460.69,440.32,417.70,369.91,366.03,378.24,382.47,338.71
2000-09-04 22:10:46.607000,L7,,543.78,495.39,358.00,396.07,541.02,,,,,,,,,,503.77,479.00,515.33,514.87,481.87,,,,,,,,,,502.79,,431.88,387.58,264.96,262.38,246.27,245.84,,,,,,,,,,365.55,380.65,391.59,409.85,412.67,435.51,434.75,407.44,,390.13,393.62,459.32,496.23,487.89,509.60,506.71,516.01,507.30,501.46,489.26,473.32,405.21,426.74,416.26,454.88,491.77,502.98,426.61,,,,414.36,430.06,435.56,431.87,375.65,438.12,449.14,504.74,501.22,510.71,493.52,458.17,510.77,522.77,506.04,435.18,443.27,454.70,427.55,427.49,418.26,409.50,533.24,541.91,544.57,530.39,509.89,502.86,517.64,549.82,422.48,430.04,415.50,377.42,425.19,424.85,450.67,463.12,,447.06,419.00,454.10,540.40,422.06,413.10,548.98,534.07,526.76,425.96,536.68,521.62,534.14,527.19,515.43,517.26,516.32,517.22,527.38,538.13,502.13,496.87,501.49,510.02,519.78,475.72,476.29,465.88,452.98,461.94,482.71,504.86,515.17,510.40,502.41,525.75,519.00,529.01,512.10,507.03,502.90,500.64,488.94,463.07,500.05,510.64,508.76,485.66,489.32,471.45,480.14,472.09,498.93,515.34,539.27,541.40,456.33,490.46,515.51,510.15,390.39,388.28,
