dates,satname,nzd0048-0000,nzd0048-0001,nzd0048-0002,nzd0048-0003,nzd0048-0004
1999-08-17 22:10:26.276000,L7,366.64,340.47,361.75,333.14,322.78
1999-09-27 22:04:25.056000,L7,377.83,366.32,386.00,325.26,354.81
1999-10-04 22:10:38.131000,L7,404.44,338.59,357.88,336.61,326.53
1999-11-14 22:04:18.343000,L7,370.91,344.45,378.74,344.91,355.78
1999-11-21 22:10:24.244000,L7,407.36,347.53,364.61,330.97,329.28
1999-11-30 22:04:11.332000,L7,355.50,,,,
2000-01-01 22:04:13.486000,L7,519.88,452.11,409.59,398.94,376.53
2000-02-09 22:10:19.398000,L7,386.81,340.46,366.30,246.68,323.44
2000-04-29 22:09:53.797000,L7,342.25,329.13,354.49,286.88,318.87
2000-05-24 22:03:22.722000,L7,309.25,,312.67,286.51,319.05
2000-06-16 22:09:26.713000,L7,348.19,336.09,350.22,264.79,305.75
2000-08-03 22:08:44.137000,L7,343.90,332.87,349.20,310.46,278.56
2000-08-12 22:02:30.151000,L7,317.37,302.26,354.34,318.12,335.56
2000-08-19 22:08:38.248000,L7,456.04,482.93,393.83,406.14,367.78
2000-09-04 22:08:22.800000,L7,348.73,331.33,353.63,326.09,307.60
2000-10-15 22:01:32.252000,L7,368.87,352.80,364.40,334.58,346.16
2000-11-07 22:07:53.532000,L7,530.04,420.67,417.45,414.03,396.08
2001-02-27 22:07:54.461000,L7,,513.21,376.26,571.87,378.58
2001-03-08 22:01:45.126000,L7,442.83,503.94,404.70,431.01,399.11
2001-03-15 22:07:52.114000,L7,408.70,289.80,367.21,362.56,345.29
2001-03-24 22:01:35.778000,L7,390.18,346.70,377.63,344.19,361.57
2001-06-03 22:07:16.736000,L7,336.47,316.20,347.97,305.25,268.18
2001-06-19 22:07:05.722000,L7,345.58,332.61,354.69,338.80,321.23
2001-08-15 22:00:14.727000,L7,362.05,356.68,387.94,331.98,356.51
2001-09-07 22:06:11.116000,L7,525.00,510.03,466.09,369.95,365.02
2001-10-02 21:59:40.713000,L7,362.14,353.11,370.77,364.74,362.90
2001-11-03 21:59:47.008000,L7,365.04,352.01,366.57,344.65,352.91
2001-11-19 21:59:56.393000,L7,366.48,357.82,380.37,344.86,373.16
2001-12-05 21:59:55.034000,L7,346.56,297.91,203.34,282.30,292.70
2001-12-12 22:06:14.960000,L7,539.84,389.68,399.12,393.98,364.05
2001-12-21 22:00:05.972000,L7,370.62,361.47,203.94,270.06,375.99
2001-12-28 22:06:14.106000,L7,,391.89,397.27,400.39,372.30
2002-01-22 22:00:16.971000,L7,350.72,355.71,371.10,359.45,367.33
