dates,satname,nzd0075-0000,nzd0075-0001,nzd0075-0002,nzd0075-0003,nzd0075-0004,nzd0075-0006,nzd0075-0007,nzd0075-0008,nzd0075-0009,nzd0075-0010,nzd0075-0011,nzd0075-0012,nzd0075-0013,nzd0075-0014,nzd0075-0015,nzd0075-0016,nzd0075-0017,nzd0075-0018,nzd0075-0005
1999-08-26 22:04:44.971000,L7,311.06,322.64,368.20,381.21,348.07,357.68,363.78,368.66,344.63,333.38,287.43,304.32,300.48,335.24,341.44,339.56,314.97,282.47,
1999-09-27 22:04:48.949000,L7,364.72,310.62,360.33,382.00,348.30,360.60,361.81,357.66,333.39,306.84,286.63,291.21,232.52,336.04,340.39,329.83,308.88,282.72,343.99
1999-11-14 22:04:42.286000,L7,366.13,365.33,382.78,388.84,356.60,360.03,364.34,359.76,351.29,346.70,339.19,286.76,226.09,337.13,341.52,330.86,316.55,295.58,352.49
2000-01-01 22:04:37.439000,L7,364.68,357.59,362.96,376.73,354.44,357.01,361.19,354.58,346.63,345.27,328.58,292.88,238.34,329.43,339.81,330.67,311.22,285.92,342.74
2000-01-17 22:04:35.821000,L7,441.33,361.42,361.82,382.80,354.70,365.16,361.25,354.18,334.19,345.45,326.84,346.18,336.77,336.10,341.35,338.16,316.84,297.02,344.47
2000-05-24 22:03:46.662000,L7,,384.12,376.47,377.81,376.79,372.77,370.10,364.06,362.83,359.90,355.10,363.27,361.38,354.00,363.34,355.41,323.12,312.00,358.04
2000-07-11 22:03:17.779000,L7,321.33,371.03,355.07,366.50,274.01,359.93,361.13,358.42,323.84,339.93,335.96,340.03,337.69,326.17,334.89,288.46,305.72,231.98,341.39
2000-08-12 22:02:54.094000,L7,323.74,388.08,364.31,383.51,270.96,371.80,366.70,363.55,355.03,348.68,351.27,363.11,352.25,351.44,343.87,342.44,318.89,289.69,371.90
2000-09-13 22:02:26.190000,L7,355.44,334.03,173.30,165.33,218.83,168.75,362.23,354.57,348.18,339.07,286.18,297.90,294.05,327.80,331.52,302.12,295.96,225.10,220.80
2000-10-15 22:01:56.204000,L7,398.21,387.67,379.94,378.42,360.40,384.22,369.72,363.21,355.87,353.27,347.02,356.89,353.39,346.55,345.00,342.06,314.85,292.23,352.41
2001-01-03 22:02:12.432000,L7,367.69,367.72,351.68,354.87,349.85,357.04,355.63,356.21,332.11,338.72,328.20,342.39,332.81,326.63,331.52,285.18,269.34,237.27,338.11
2001-03-24 22:01:59.719000,L7,366.74,375.05,383.86,371.65,352.30,355.92,360.69,354.55,236.33,,,,,,538.56,547.46,559.27,560.70,337.00
2001-06-12 22:01:24.980000,L7,310.95,159.74,,,,,,,309.12,226.28,249.22,,232.28,259.82,265.71,,,,
2001-08-15 22:00:38.680000,L7,326.51,411.57,380.49,384.75,308.35,365.15,365.54,366.23,339.99,346.23,339.31,352.68,346.41,385.42,387.92,375.90,322.25,271.95,348.68
2001-10-02 22:00:04.650000,L7,420.30,380.81,372.78,344.09,201.93,,425.26,482.52,430.91,472.07,483.25,439.82,380.89,378.88,376.03,343.19,318.13,268.82,
2001-12-05 22:00:18.987000,L7,409.03,410.67,372.58,425.83,395.60,369.74,378.29,374.68,369.12,352.32,283.55,287.72,242.23,405.52,392.27,358.86,320.44,282.01,357.42
