dates,satname,nzd0111-0000,nzd0111-0001,nzd0111-0002,nzd0111-0003,nzd0111-0004,nzd0111-0005
1999-08-26 22:04:44.971000,L7,314.98,311.37,331.84,322.80,332.46,318.54
1999-09-27 22:04:48.949000,L7,,,,,522.19,420.17
1999-11-14 22:04:42.286000,L7,316.52,314.31,317.33,329.40,325.09,319.34
2000-01-01 22:04:37.439000,L7,,,,,,521.51
2000-01-17 22:04:35.821000,L7,468.89,440.57,470.43,535.62,400.70,393.69
2000-02-18 22:04:29.218000,L7,284.82,369.78,439.39,,447.70,355.37
2000-07-11 22:03:17.779000,L7,488.59,414.42,411.75,416.28,411.72,418.04
2000-09-13 22:02:26.190000,L7,320.90,314.15,314.51,267.31,312.42,300.85
2000-10-15 22:01:56.204000,L7,421.34,381.95,375.57,374.27,379.32,374.51
2001-01-03 22:02:12.432000,L7,426.91,384.82,388.26,384.34,380.73,352.05
2001-08-15 22:00:38.680000,L7,479.61,437.30,431.35,433.41,420.91,437.28
2001-10-02 22:00:04.650000,L7,311.57,264.89,268.44,305.67,306.81,287.27
2001-11-03 22:00:10.954000,L7,407.57,404.82,400.02,465.29,359.43,354.99
2001-12-05 22:00:18.987000,L7,424.59,370.18,357.18,357.64,357.73,359.98
2002-01-22 22:00:40.906000,L7,362.70,360.89,354.82,346.43,390.86,390.85
2002-02-23 22:00:43.620000,L7,412.74,340.80,344.23,480.16,440.66,
2002-03-27 22:00:37.575000,L7,465.68,489.63,467.75,434.35,432.19,405.89
2002-04-28 22:00:38.357000,L7,316.95,265.19,263.95,194.02,300.80,301.64
2002-06-15 22:00:19.658000,L7,319.28,269.82,268.36,,,
2002-07-01 22:00:15.186000,L7,338.43,327.49,336.45,342.00,343.03,336.22
2002-07-17 22:00:08.747000,L7,319.99,315.34,321.80,344.01,344.85,213.82
2002-08-02 22:00:01.321000,L7,263.02,295.76,320.08,224.19,218.00,214.20
2002-08-18 21:59:57.690000,L7,433.35,329.59,389.63,390.71,347.63,341.96
2002-09-19 21:59:35.083000,L7,,,253.53,249.74,247.03,
2002-10-14 21:53:19.813000,L7,400.76,315.51,309.76,332.14,345.26,326.32
2002-12-24 22:00:09.147000,L7,406.38,383.01,376.73,378.39,369.84,372.94
2003-01-25 22:00:18.779000,L7,316.24,306.62,311.70,314.75,327.69,314.83
2003-03-30 22:00:31.029000,L7,445.16,435.13,427.27,424.78,410.83,400.79
