dates,satname,nzd0251-0000,nzd0251-0001,nzd0251-0002,nzd0251-0003,nzd0251-0004,nzd0251-0005,nzd0251-0006,nzd0251-0007,nzd0251-0008,nzd0251-0009,nzd0251-0010,nzd0251-0011,nzd0251-0012,nzd0251-0013,nzd0251-0014,nzd0251-0015,nzd0251-0016,nzd0251-0017,nzd0251-0018,nzd0251-0019,nzd0251-0020,nzd0251-0021,nzd0251-0022,nzd0251-0023,nzd0251-0024,nzd0251-0025,nzd0251-0026,nzd0251-0027,nzd0251-0028,nzd0251-0029,nzd0251-0030,nzd0251-0031,nzd0251-0032,nzd0251-0033,nzd0251-0034,nzd0251-0035,nzd0251-0036,nzd0251-0037
1999-08-21 21:46:33.053000,L7,445.38,450.80,388.06,433.26,387.07,401.94,440.96,288.04,384.76,296.00,399.65,391.15,486.41,521.91,532.26,516.43,455.52,470.98,495.68,489.27,469.06,479.11,481.46,469.16,423.54,446.10,432.21,413.53,316.54,353.01,336.36,348.83,321.22,362.80,357.81,351.57,401.02,322.72
1999-09-06 21:46:35.553000,L7,281.39,379.10,362.98,394.17,410.18,447.30,442.80,449.36,539.60,484.81,520.92,508.62,453.51,504.11,513.84,521.37,425.44,479.40,473.30,472.84,481.18,525.36,529.15,484.16,460.02,454.65,439.55,431.31,431.55,458.81,454.70,428.60,497.99,294.10,394.39,418.78,388.08,343.27
1999-09-22 21:46:36.849000,L7,270.19,258.85,257.78,258.16,261.46,277.83,260.22,320.52,237.11,280.75,323.92,,,,282.22,282.60,293.41,303.53,297.52,288.94,292.51,301.46,256.49,324.60,319.88,315.33,288.66,312.78,319.46,302.44,277.62,282.53,303.42,315.59,296.22,295.43,268.37,286.82
2000-02-13 21:46:48.016000,L7,230.35,215.67,215.74,216.90,230.98,236.71,230.94,214.22,210.23,263.86,302.47,301.27,302.06,259.43,274.36,,,,,,281.90,232.42,211.09,194.59,203.48,301.81,281.88,296.71,298.80,280.22,263.81,297.16,322.99,327.41,312.54,316.82,321.76,276.05
2000-04-01 21:46:10.627000,L7,282.14,262.94,262.70,261.85,262.50,276.99,267.31,240.28,239.93,284.77,327.49,328.12,331.70,320.68,284.64,259.66,299.00,303.34,292.01,302.93,209.84,,,314.69,326.07,324.21,291.05,302.31,302.09,276.20,278.03,279.01,284.64,315.27,297.44,298.27,276.03,290.63
2000-04-01 21:46:34.573000,L7,295.08,266.31,266.37,263.45,264.58,278.32,292.77,242.85,242.38,288.06,329.88,330.52,333.51,322.45,290.72,263.45,302.04,305.79,294.04,305.27,265.29,291.26,274.17,324.77,328.78,340.42,333.78,311.29,304.52,278.46,280.27,282.75,304.25,317.13,299.48,300.23,301.61,298.31
2000-05-19 21:45:43.918000,L7,183.03,263.48,279.47,308.17,283.91,286.79,296.13,260.14,255.01,188.91,237.65,286.94,286.10,279.49,256.23,311.76,316.41,319.74,319.09,320.99,332.79,348.92,353.88,348.54,337.73,350.76,310.06,314.53,316.86,303.65,296.55,295.97,321.40,326.47,312.16,311.38,341.06,294.70
2000-05-19 21:46:07.873000,L7,183.00,263.49,279.40,307.72,283.76,286.76,295.92,259.86,255.00,299.17,341.31,337.90,336.49,324.99,364.68,311.69,316.26,319.75,319.16,321.77,332.21,348.80,352.35,348.99,337.81,350.69,312.14,314.43,317.58,302.94,296.43,295.05,322.04,327.25,312.19,312.37,338.71,294.63
2000-08-07 21:44:45.034000,L7,233.41,269.69,266.86,275.67,289.20,292.28,292.07,250.57,260.54,293.49,340.59,330.70,336.94,327.64,298.92,299.24,309.17,310.61,320.84,327.40,335.08,345.18,349.97,337.60,338.91,327.15,318.70,304.30,283.34,298.55,284.69,290.09,313.24,317.75,301.92,303.62,291.41,278.04
2000-08-07 21:45:08.975000,L7,226.14,269.84,267.08,275.29,289.38,293.10,289.38,250.74,260.62,293.48,339.83,330.99,337.11,325.17,288.46,298.99,308.87,310.43,320.20,327.43,335.00,343.26,349.71,337.60,338.84,326.08,318.64,304.12,281.14,299.18,283.74,289.14,313.26,317.57,301.87,303.72,289.45,278.76
2000-10-26 21:44:22.850000,L7,269.56,258.12,253.36,250.85,262.57,279.05,261.87,240.14,228.30,280.39,220.69,294.94,293.30,275.96,244.99,285.23,295.86,296.90,281.80,169.91,222.28,335.26,337.06,322.86,242.66,304.09,287.72,306.05,209.01,221.58,291.81,281.88,309.04,316.40,295.46,298.78,307.45,287.04
2000-11-27 21:44:26.720000,L7,327.21,258.91,250.11,251.41,262.56,277.85,266.80,241.73,225.35,283.66,327.85,328.95,322.41,315.19,285.08,274.05,297.30,299.70,298.75,308.74,230.26,239.77,286.85,306.78,321.00,304.76,298.14,310.24,215.62,219.55,285.09,284.58,307.83,311.35,289.75,296.40,288.40,277.45
2000-12-13 21:44:28.287000,L7,226.48,256.66,256.37,259.05,,,,,,,,,,,286.62,273.21,227.98,291.06,,,,337.30,336.13,319.08,322.91,294.72,295.41,289.08,216.39,225.73,265.66,275.69,308.26,317.49,310.72,310.28,286.13,264.55
2001-01-14 21:44:09.210000,L7,277.89,260.70,257.60,258.53,256.12,278.53,268.69,242.42,225.43,283.01,325.17,326.85,329.12,316.33,289.39,259.70,294.92,300.95,295.24,193.42,327.22,337.21,329.87,323.02,322.34,284.73,292.27,267.19,251.84,237.19,278.47,276.73,,190.25,305.95,300.59,250.91,
2001-01-14 21:44:33.150000,L7,271.32,258.00,254.49,254.45,254.37,277.39,267.45,239.91,207.01,278.94,321.42,326.54,329.39,312.76,285.43,259.98,294.52,302.03,284.93,215.72,303.46,335.70,329.77,323.10,317.34,282.38,286.61,,,,,,,,,,,
2001-04-04 21:43:43.008000,L7,288.18,272.95,279.68,289.70,278.13,281.44,276.43,253.01,251.47,283.03,337.94,340.10,332.51,321.02,282.99,271.26,454.07,308.05,309.78,318.44,325.68,342.31,343.51,344.16,331.11,366.93,344.45,307.72,356.42,307.09,291.13,285.10,312.41,329.39,322.54,295.90,292.84,279.26
2001-04-04 21:44:06.948000,L7,288.10,273.19,277.49,273.85,278.06,279.87,275.64,252.58,249.74,527.42,410.59,495.70,419.31,435.38,527.40,536.01,453.56,307.38,213.23,267.69,302.30,281.42,307.80,299.31,246.95,206.72,201.39,307.54,356.22,304.72,290.05,283.87,266.12,225.06,317.93,295.35,283.80,278.41
2001-04-20 21:43:46.702000,L7,288.91,276.68,266.62,276.21,286.75,292.44,290.83,257.80,254.53,292.66,341.28,341.67,335.75,327.74,280.07,307.02,313.03,316.42,234.13,191.05,307.74,302.54,273.36,276.66,196.73,204.99,196.41,309.81,313.53,290.50,282.01,294.06,327.57,322.39,312.09,296.93,287.66,287.55
