dates,satname,nzd0371-0000,nzd0371-0001,nzd0371-0002,nzd0371-0003,nzd0371-0004,nzd0371-0005,nzd0371-0006,nzd0371-0007,nzd0371-0008,nzd0371-0009,nzd0371-0010,nzd0371-0011,nzd0371-0012,nzd0371-0013,nzd0371-0014,nzd0371-0015,nzd0371-0016,nzd0371-0017,nzd0371-0018,nzd0371-0019,nzd0371-0020,nzd0371-0021,nzd0371-0022,nzd0371-0023,nzd0371-0024,nzd0371-0025,nzd0371-0026,nzd0371-0027,nzd0371-0028,nzd0371-0029,nzd0371-0030,nzd0371-0031,nzd0371-0032,nzd0371-0033,nzd0371-0034,nzd0371-0035,nzd0371-0036,nzd0371-0037,nzd0371-0038,nzd0371-0039,nzd0371-0040,nzd0371-0041,nzd0371-0042,nzd0371-0043,nzd0371-0044,nzd0371-0045,nzd0371-0046,nzd0371-0047,nzd0371-0048,nzd0371-0049,nzd0371-0050,nzd0371-0051
1999-08-17 22:12:26.065000,L7,329.61,350.22,345.85,323.86,324.84,322.52,312.12,295.74,292.86,291.03,292.04,296.18,297.91,294.37,306.42,301.03,296.06,307.72,308.89,309.22,311.29,310.12,314.58,313.89,308.60,310.39,305.89,307.63,308.42,301.34,302.56,303.64,298.15,298.90,305.19,295.43,294.07,299.38,299.87,297.06,293.58,294.43,293.88,288.99,287.87,291.09,290.45,300.96,304.80,306.12,353.68,466.55
1999-08-26 22:06:20.800000,L7,339.11,309.52,313.69,309.28,313.26,303.34,296.37,301.85,295.85,301.31,302.90,307.97,306.94,414.06,419.61,348.52,342.21,344.63,325.69,338.69,325.96,330.60,327.48,322.85,314.35,302.30,302.70,303.41,304.22,298.48,328.87,324.14,307.61,327.87,342.35,336.90,331.52,327.68,295.47,296.62,288.56,337.65,319.47,282.82,277.52,286.96,274.09,284.79,290.19,294.63,301.27,449.11
1999-10-13 22:06:24.714000,L7,322.52,332.93,339.70,327.86,336.91,325.83,321.86,306.96,298.14,297.42,297.22,329.46,301.88,303.92,313.22,312.08,309.76,312.58,309.09,309.81,321.96,326.12,318.59,523.79,469.50,502.39,516.74,493.16,318.49,316.62,311.72,530.92,512.89,513.45,501.49,356.07,357.34,375.12,534.95,517.73,537.80,536.18,299.26,292.21,297.44,298.83,298.07,336.73,343.16,337.14,349.31,487.24
1999-11-21 22:12:24.026000,L7,,262.77,251.17,194.89,290.90,215.58,,,,217.07,198.73,225.53,245.58,,,,,,,,,,193.60,204.53,226.49,181.83,210.45,190.30,,,,,,,,279.11,283.67,288.34,201.98,204.69,224.47,206.91,209.66,198.40,204.49,199.19,211.75,212.90,295.88,296.83,302.76,333.29
2000-01-17 22:06:11.705000,L7,264.68,273.18,256.80,257.19,283.67,215.36,,,,,188.45,216.87,239.89,231.45,237.75,235.30,,,,,262.72,264.29,260.44,268.98,275.56,208.72,214.45,218.59,283.81,280.66,271.80,200.15,271.99,275.06,272.56,267.40,264.79,268.16,276.89,278.40,239.78,239.31,270.77,263.70,265.94,262.43,265.58,245.28,291.84,290.28,296.54,447.31
2000-02-25 22:12:13.451000,L7,332.64,402.11,413.57,426.15,410.40,418.46,419.88,394.69,400.16,392.30,403.57,394.77,383.95,379.00,374.04,361.36,370.78,384.05,382.31,387.35,387.72,404.43,412.14,399.10,396.31,393.12,352.05,353.66,356.87,367.24,348.71,390.11,335.37,340.93,348.49,341.14,338.96,391.23,380.45,419.56,375.04,350.75,345.40,389.16,389.76,301.28,398.59,384.35,339.60,394.84,392.96,477.13
2000-03-21 22:06:01.097000,L7,307.11,309.10,316.63,309.44,315.43,291.47,297.32,292.72,286.17,283.37,271.38,290.39,294.34,269.50,287.83,293.02,283.59,289.57,307.64,297.79,297.93,301.57,302.16,303.64,309.78,303.00,298.38,300.56,305.48,304.19,306.87,303.74,301.99,304.37,309.19,311.28,304.13,304.29,299.28,299.76,305.14,310.59,302.14,299.69,292.46,286.10,287.15,297.85,318.08,320.80,340.21,424.13
2000-05-15 22:11:42.302000,L7,,,,,,,,179.37,182.68,217.35,197.94,220.59,230.77,,,,,,,,,,,,,,,,,,,,,,171.79,188.71,197.81,264.20,192.81,186.70,186.97,214.64,186.75,182.64,194.15,183.81,188.23,197.99,260.55,267.49,274.63,317.55
2000-08-19 22:10:38.028000,L7,324.58,344.66,336.87,330.92,342.14,386.20,368.61,369.82,336.34,359.09,350.12,309.26,507.11,470.50,515.81,502.67,504.64,514.37,526.39,313.48,318.98,357.57,377.72,395.38,401.76,353.11,398.76,355.62,359.66,352.99,308.63,340.15,488.32,530.18,363.03,344.23,325.20,460.86,395.92,514.41,473.37,469.05,488.03,543.68,333.95,297.49,328.02,462.62,522.95,433.55,370.03,492.68
2000-09-04 22:10:22.552000,L7,336.19,351.09,334.99,332.55,334.34,337.77,386.93,382.03,342.40,367.18,376.24,363.10,359.12,330.31,354.77,365.76,365.61,368.92,356.97,356.95,379.65,376.24,396.19,372.91,353.68,329.94,320.26,315.26,309.05,312.56,321.41,315.97,369.77,386.89,312.78,308.31,304.45,303.28,511.03,522.44,472.78,402.51,297.15,296.69,293.97,299.14,333.71,314.91,317.86,325.06,315.26,491.14
2000-09-13 22:04:02.015000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.94,191.12,194.43,190.76,185.97,181.41,204.27,,,203.65,423.92
2000-09-20 22:10:03.047000,L7,346.16,402.93,421.46,392.69,403.52,388.12,389.09,376.47,384.35,373.83,365.50,377.68,381.93,359.82,359.88,364.57,378.77,375.98,386.52,388.69,385.02,396.02,407.50,407.36,400.94,387.66,398.60,446.56,490.36,425.33,415.76,382.36,379.43,384.93,372.56,370.90,501.38,389.61,427.87,427.03,463.48,406.93,354.06,365.45,375.54,366.10,360.73,353.08,374.27,331.80,376.74,491.51
