dates,satname,nzd0080-0000,nzd0080-0002,nzd0080-0003,nzd0080-0001
1999-08-26 22:04:44.971000,L7,258.55,222.55,238.97,
2000-05-24 22:03:46.662000,L7,254.55,264.40,253.59,228.64
2000-08-12 22:02:54.094000,L7,250.11,259.41,267.99,232.91
2000-09-13 22:02:26.190000,L7,240.00,347.24,368.99,227.62
2000-10-15 22:01:56.204000,L7,227.67,238.18,273.99,201.65
2001-03-24 22:01:59.719000,L7,,200.65,264.61,185.95
2001-08-15 22:00:38.680000,L7,340.45,231.81,348.97,261.88
2001-12-05 22:00:18.987000,L7,243.89,211.93,246.18,224.87
2001-12-21 22:00:29.925000,L7,219.01,197.61,185.53,185.14
2002-08-18 21:59:57.690000,L7,234.11,253.03,239.10,218.40
2002-09-19 21:59:35.083000,L7,227.15,207.04,192.19,198.29
2003-07-28 21:48:28.960000,L5,253.45,224.70,250.29,186.65
2003-09-14 21:49:18.766000,L5,273.37,253.77,264.48,249.84
2003-09-30 21:49:30.432000,L5,279.04,256.55,265.06,254.67
2004-02-21 21:50:47.082000,L5,283.59,241.93,257.02,250.76
2004-06-12 21:53:11.618000,L5,268.52,263.60,270.60,260.56
2004-07-30 21:54:28.143000,L5,261.20,247.85,257.23,244.32
2004-11-19 21:56:55.269000,L5,277.85,250.97,264.62,253.21
2005-02-23 21:58:31.621000,L5,257.77,230.90,241.36,227.34
2005-03-11 21:58:44.158000,L5,259.74,234.54,236.17,235.39
2005-04-12 21:58:55.193000,L5,249.32,234.69,240.34,224.37
2005-05-30 21:59:15.499000,L5,249.64,240.69,248.49,230.08
2005-07-17 21:59:35.576000,L5,255.56,244.39,253.68,240.14
2006-04-15 22:03:30.798000,L5,295.82,275.33,285.78,275.81
2006-05-17 22:03:57.969000,L5,273.39,258.05,267.95,255.24
2006-07-04 22:04:41.660000,L5,260.73,238.37,249.07,236.76
2006-11-25 22:06:19.953000,L5,240.66,235.20,249.09,232.72
2009-01-01 21:56:31.615000,L5,266.32,216.66,233.66,232.01
2009-02-02 21:57:22.411000,L5,289.62,263.00,273.82,266.76
2011-01-07 22:01:44.406000,L5,306.90,284.91,296.31,287.35
2011-03-12 22:01:43.554000,L5,277.58,244.95,257.87,249.88
