dates,satname,nzd0301-0000,nzd0301-0001,nzd0301-0002,nzd0301-0003,nzd0301-0004,nzd0301-0005,nzd0301-0006,nzd0301-0007,nzd0301-0008,nzd0301-0009,nzd0301-0010,nzd0301-0011,nzd0301-0012,nzd0301-0013,nzd0301-0014,nzd0301-0015,nzd0301-0016,nzd0301-0017,nzd0301-0018,nzd0301-0019,nzd0301-0020,nzd0301-0021,nzd0301-0022,nzd0301-0023,nzd0301-0024,nzd0301-0025,nzd0301-0026,nzd0301-0027,nzd0301-0028,nzd0301-0029,nzd0301-0030,nzd0301-0031,nzd0301-0032,nzd0301-0033,nzd0301-0034,nzd0301-0035,nzd0301-0036,nzd0301-0037,nzd0301-0038,nzd0301-0039,nzd0301-0040,nzd0301-0041,nzd0301-0042,nzd0301-0043,nzd0301-0044,nzd0301-0045,nzd0301-0046,nzd0301-0047,nzd0301-0048,nzd0301-0049,nzd0301-0050,nzd0301-0051,nzd0301-0052,nzd0301-0053,nzd0301-0054,nzd0301-0055,nzd0301-0056,nzd0301-0057,nzd0301-0058,nzd0301-0059,nzd0301-0060,nzd0301-0061,nzd0301-0062,nzd0301-0063,nzd0301-0064,nzd0301-0065,nzd0301-0066,nzd0301-0067,nzd0301-0068,nzd0301-0069,nzd0301-0070,nzd0301-0071,nzd0301-0072,nzd0301-0073,nzd0301-0074,nzd0301-0075,nzd0301-0076,nzd0301-0077
1999-08-03 21:59:44.522000,L7,529.64,521.29,520.83,521.51,512.02,510.53,499.10,503.15,501.85,492.45,487.17,486.13,477.84,484.84,495.19,484.73,486.23,481.86,494.55,490.90,501.88,504.88,508.26,540.26,510.83,540.07,458.35,497.95,488.16,460.07,456.79,507.13,501.34,334.16,334.55,330.39,333.59,338.63,271.93,268.52,259.21,532.29,493.34,515.23,464.55,450.07,467.11,477.00,531.30,535.85,286.97,279.19,477.31,507.55,495.52,502.11,488.29,527.19,520.12,475.51,522.67,250.12,249.77,257.27,266.10,274.93,284.49,271.89,287.91,291.44,273.55,294.28,303.04,311.08,307.51,315.80,332.56,330.75
1999-08-28 21:53:35.950000,L7,481.79,463.77,478.00,480.45,454.49,358.27,347.91,340.60,344.92,282.16,290.53,285.40,292.51,289.54,322.90,332.27,341.22,334.76,334.04,333.70,318.64,333.86,335.22,331.65,343.14,339.68,348.59,349.05,354.24,357.49,348.69,456.60,454.48,471.30,331.34,450.96,451.38,447.43,441.56,476.12,434.12,344.90,347.69,354.26,349.31,342.62,274.53,271.65,270.37,457.81,465.84,462.51,459.38,460.73,465.12,468.75,467.97,422.21,465.60,466.10,358.12,461.27,470.01,471.83,443.54,470.66,498.09,508.70,487.76,488.73,401.17,411.64,341.40,409.80,399.01,403.90,473.78,469.77
1999-09-29 21:53:40.155000,L7,341.05,352.62,353.16,357.40,348.69,322.39,331.98,327.47,238.58,274.96,282.00,248.65,282.27,280.38,306.74,316.96,328.47,312.45,318.21,321.14,303.96,327.11,314.50,319.37,338.52,333.49,338.32,341.24,341.34,338.36,271.21,275.15,251.50,281.43,318.00,323.50,324.51,320.61,265.42,250.97,242.86,262.42,343.80,331.83,334.78,333.64,334.65,333.09,328.96,328.36,314.76,275.01,263.07,260.85,266.21,297.36,306.30,250.20,245.81,357.97,341.43,330.02,251.15,522.11,,523.18,499.87,357.00,370.52,394.06,390.03,385.78,419.78,459.67,,471.61,397.03,394.58
1999-11-16 21:53:32.114000,L7,392.37,390.49,389.67,385.48,385.92,385.40,372.90,371.92,368.25,314.60,307.01,296.47,314.51,334.20,355.69,349.83,362.08,353.53,353.37,358.34,342.14,356.90,356.88,347.80,356.36,362.22,364.91,364.69,377.03,380.94,379.06,365.62,362.31,364.26,359.25,353.11,361.58,361.11,361.00,366.23,361.98,372.82,370.93,372.37,372.04,363.73,363.35,363.12,520.74,514.38,463.14,490.98,452.40,477.22,477.88,487.42,491.05,537.06,531.41,529.09,372.77,375.84,,509.88,506.52,506.90,532.83,407.80,409.09,412.14,411.74,420.41,418.78,426.47,420.41,421.56,424.00,421.23
1999-12-09 21:59:45.569000,L7,359.31,372.76,365.14,371.84,365.41,353.75,347.71,347.34,347.21,282.11,289.96,254.45,294.01,292.51,328.52,334.92,350.09,338.22,338.32,341.54,318.71,341.60,337.61,334.48,347.34,344.33,349.63,347.18,356.78,357.70,346.16,327.36,341.58,340.40,338.99,332.67,340.97,343.97,345.77,344.75,345.22,353.90,352.95,357.20,354.16,346.58,346.03,344.31,338.20,338.24,340.21,332.64,333.59,332.17,330.83,331.83,333.61,344.31,344.61,343.16,350.47,351.34,359.62,363.00,371.51,361.40,376.51,381.18,365.17,392.73,399.48,402.47,405.15,404.66,400.33,399.78,409.27,417.85
1999-12-25 21:59:40.109000,L7,533.81,530.99,533.39,524.26,527.53,409.40,409.26,405.60,384.10,401.89,396.44,398.88,402.40,391.64,398.82,351.64,404.11,411.99,404.18,408.80,404.07,400.49,407.43,405.52,439.94,474.24,477.87,484.00,424.29,432.39,426.93,418.55,414.69,366.55,421.08,421.01,416.53,415.47,400.09,433.35,437.05,435.64,429.70,430.63,485.72,503.10,501.82,503.15,417.53,461.44,474.73,427.93,466.35,476.26,434.15,466.94,430.15,490.58,489.22,502.65,496.37,508.59,259.91,341.72,470.72,486.11,494.83,533.23,532.66,494.72,520.45,533.61,529.85,510.09,,497.48,509.61,416.55
2000-01-26 21:59:38.265000,L7,367.52,379.03,377.99,388.60,379.81,378.33,371.28,366.81,372.25,298.68,295.59,272.33,301.94,299.82,348.44,341.76,348.95,331.95,344.14,344.33,316.53,350.51,353.81,369.14,354.13,356.26,358.83,355.47,366.05,370.10,360.93,349.33,356.84,350.29,351.84,346.25,355.66,361.95,375.79,368.29,372.03,379.50,378.81,365.09,377.73,381.04,368.32,374.56,373.64,388.68,408.92,354.91,336.27,305.70,291.64,294.95,261.92,327.02,347.94,374.73,357.17,352.35,384.90,403.09,398.47,399.15,401.04,404.57,401.54,406.70,406.92,420.42,417.29,413.64,418.13,421.40,419.89,413.58
2000-03-14 21:59:23.204000,L7,,459.21,444.85,454.43,390.58,428.05,434.23,424.14,524.72,376.44,511.67,404.91,430.72,434.40,523.96,442.38,510.51,487.04,361.87,361.55,355.47,368.27,364.86,359.31,359.17,367.22,365.45,368.90,375.65,381.33,371.53,362.16,366.41,366.03,391.08,389.77,386.96,385.26,386.46,363.24,361.35,365.40,368.06,374.21,372.88,366.00,361.77,361.55,357.93,349.50,353.50,341.83,342.66,341.40,345.43,349.63,350.09,360.40,366.06,374.47,379.10,375.05,378.98,381.12,390.34,401.47,411.04,435.80,414.10,412.35,413.45,419.94,416.56,415.71,412.64,416.89,419.64,419.07
2000-03-30 21:59:21.444000,L7,390.43,399.77,393.06,392.65,389.90,396.89,384.53,383.74,380.97,331.91,341.47,303.98,307.28,320.07,358.77,364.02,365.82,360.56,357.03,358.53,351.70,359.28,356.02,351.07,360.42,360.65,361.95,368.31,372.46,377.72,368.25,360.05,362.67,361.39,361.75,351.49,361.14,357.07,356.42,360.77,356.08,360.66,532.03,469.46,472.07,499.78,361.42,361.32,361.74,347.19,347.72,340.44,342.15,340.05,346.83,346.88,352.16,358.88,359.62,365.01,367.57,370.49,376.03,383.66,386.94,394.32,405.31,407.58,411.79,410.84,411.82,416.70,415.09,411.72,416.37,407.28,413.26,408.98
2000-05-26 21:52:36.566000,L7,371.33,379.88,372.32,384.89,372.09,375.10,383.61,367.49,369.96,316.64,292.47,276.69,284.79,277.25,339.01,332.01,346.22,341.48,334.23,349.69,342.16,347.44,350.62,338.31,351.28,350.75,358.87,356.95,357.83,360.91,344.85,336.96,343.02,335.57,337.99,324.83,329.74,476.94,490.25,472.99,526.22,264.08,243.73,217.76,263.48,270.98,276.29,267.59,263.54,269.93,271.67,266.04,259.82,263.15,258.30,257.06,248.49,242.04,239.28,243.50,236.56,234.59,253.29,257.18,266.94,274.90,280.95,268.57,277.79,292.23,257.61,277.31,289.49,305.68,302.42,310.62,311.30,321.79
