dates,satname,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0013,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043
1999-08-28 21:53:35.950000,L7,,,,,,,,,,,,,,,,,,,,,,,,,208.58,220.88,209.83,245.56,227.33,193.75,212.48,213.70,214.56,217.76,235.82,247.28,210.89,225.38,235.61,221.28,255.48,245.26,260.15,277.76
1999-09-22 21:47:48.716000,L7,338.42,320.10,308.81,310.39,313.89,309.67,320.21,332.58,363.49,342.53,348.84,338.25,275.07,438.19,466.06,418.36,455.56,441.05,331.40,335.45,329.16,328.72,326.65,328.91,326.16,327.61,309.48,323.91,335.68,335.17,341.31,325.06,309.32,327.79,331.93,332.07,314.18,313.90,315.12,316.35,315.62,312.44,318.24,325.37
1999-09-29 21:53:40.155000,L7,,,,,,,,256.17,251.11,230.76,263.52,254.61,235.04,159.04,221.92,295.26,240.01,282.61,288.95,291.60,280.36,274.89,277.39,277.95,264.53,266.98,269.26,271.64,272.03,263.18,273.34,268.46,268.93,290.34,315.64,321.05,308.02,270.66,279.85,289.35,309.54,301.29,298.35,306.20
1999-10-24 21:47:44.121000,L7,351.85,442.54,469.91,464.94,424.55,331.89,472.00,480.31,495.76,484.69,480.31,483.23,448.34,423.30,427.44,513.44,471.35,479.16,332.08,419.09,392.09,490.71,489.96,506.66,335.86,329.27,321.12,331.79,527.50,412.86,416.20,394.01,468.66,479.81,481.44,470.48,471.84,516.40,437.92,389.30,396.53,398.74,500.83,330.00
1999-12-11 21:47:48.967000,L7,392.97,380.27,385.87,394.96,392.76,397.28,448.07,451.05,452.64,453.31,411.46,421.14,416.05,410.05,421.17,417.60,423.24,430.56,447.03,384.02,378.48,380.11,369.13,384.04,472.75,375.50,366.96,388.77,428.07,412.54,413.61,394.96,363.57,412.24,393.35,402.92,396.77,382.64,398.66,372.80,365.15,385.49,382.34,422.53
2000-01-12 21:47:42.353000,L7,163.59,151.97,232.89,241.18,150.58,262.62,245.18,269.04,269.13,255.73,281.33,295.68,249.44,187.81,218.19,273.57,244.15,264.77,296.75,319.15,280.36,282.09,290.86,287.56,267.71,275.43,304.45,293.08,287.29,272.31,307.60,293.92,283.65,293.10,317.60,310.77,291.29,279.09,289.32,305.92,307.68,317.33,307.54,317.56
2000-01-19 21:53:25.812000,L7,362.28,343.99,336.98,332.21,333.83,341.58,350.55,367.57,391.15,380.18,377.06,371.09,366.74,370.55,374.53,379.55,362.34,347.95,340.13,334.17,335.79,328.59,327.76,327.17,333.02,323.35,317.70,334.67,342.14,345.63,349.28,337.35,330.39,330.00,338.23,333.89,326.64,318.74,320.66,470.60,451.79,316.68,319.31,322.60
2000-01-19 21:53:49.771000,L7,365.38,346.56,338.97,334.36,336.15,343.50,352.79,371.32,393.07,380.59,378.85,373.47,471.98,459.50,517.07,379.27,364.47,349.12,340.65,335.49,336.00,332.03,328.49,328.70,332.62,325.98,319.40,335.60,343.85,347.17,351.28,339.48,334.51,330.48,339.55,334.76,328.65,320.83,322.25,338.08,323.56,318.20,320.16,323.60
2000-05-26 21:52:36.566000,L7,244.57,204.54,263.30,267.26,201.79,270.14,255.98,274.40,286.28,285.47,311.36,298.47,256.10,206.74,283.39,297.81,170.44,263.67,299.74,310.11,325.73,309.84,314.63,371.08,292.33,277.65,285.81,295.86,265.88,265.28,265.11,259.08,267.25,284.82,297.66,290.82,273.83,267.17,280.86,287.41,293.89,298.89,302.69,361.07
2000-05-26 21:53:00.524000,L7,,,,,,257.82,237.58,263.52,271.89,261.46,300.23,287.29,247.10,170.11,258.23,269.27,152.25,247.99,276.07,294.52,299.71,301.19,302.38,301.64,276.82,270.67,278.49,281.98,259.40,256.76,259.44,251.83,259.28,269.66,289.95,283.29,268.69,260.64,273.18,279.83,282.38,289.36,285.23,320.77
2000-06-20 21:46:40.813000,L7,277.25,231.41,261.70,263.43,222.32,288.66,253.00,264.33,293.61,278.52,304.70,285.78,232.19,174.45,270.48,300.65,231.18,295.19,298.43,311.44,293.98,320.56,305.57,301.95,276.36,272.15,288.15,291.07,263.84,262.23,281.88,282.08,274.56,290.61,309.30,292.77,274.26,269.51,278.36,277.25,280.53,285.87,307.96,308.07
