dates,satname,nzd0296-0000,nzd0296-0001,nzd0296-0002,nzd0296-0003,nzd0296-0004,nzd0296-0005,nzd0296-0006,nzd0296-0007,nzd0296-0008,nzd0296-0009,nzd0296-0010,nzd0296-0011,nzd0296-0012,nzd0296-0013,nzd0296-0014,nzd0296-0015,nzd0296-0016,nzd0296-0017,nzd0296-0018,nzd0296-0019,nzd0296-0020,nzd0296-0021,nzd0296-0022,nzd0296-0023,nzd0296-0024,nzd0296-0025,nzd0296-0026,nzd0296-0027,nzd0296-0028,nzd0296-0029,nzd0296-0030,nzd0296-0031,nzd0296-0032,nzd0296-0033,nzd0296-0034,nzd0296-0035,nzd0296-0036,nzd0296-0037,nzd0296-0038,nzd0296-0039,nzd0296-0040,nzd0296-0041,nzd0296-0042,nzd0296-0043,nzd0296-0044,nzd0296-0045,nzd0296-0046,nzd0296-0047,nzd0296-0048,nzd0296-0049,nzd0296-0050,nzd0296-0051,nzd0296-0052
1999-08-05 21:47:23.016000,L7,369.44,320.70,311.44,288.77,302.36,311.00,305.99,302.15,303.45,285.50,280.69,284.28,282.76,277.71,272.11,259.33,266.62,261.50,278.79,217.51,212.25,221.58,244.99,222.81,223.98,222.51,214.08,220.90,213.74,264.61,277.00,290.28,276.81,283.16,284.68,289.59,309.51,249.43,304.29,256.32,317.63,316.51,308.96,285.69,286.26,280.10,279.83,281.86,314.45,320.93,328.81,330.77,340.38
1999-08-21 21:47:20.968000,L7,321.72,302.48,306.84,300.81,291.48,342.71,299.26,299.91,301.48,320.32,271.78,281.81,272.41,273.41,264.75,252.12,246.63,245.91,246.50,232.64,287.32,455.19,471.86,478.60,507.63,252.48,247.31,262.25,266.88,272.80,271.92,264.93,259.68,275.99,276.31,273.00,334.75,340.56,335.28,341.37,335.48,325.55,322.44,332.37,319.89,320.14,317.48,319.95,328.17,332.65,348.95,365.58,359.48
1999-09-22 21:47:24.746000,L7,335.56,311.96,314.05,513.19,517.57,510.74,491.38,343.76,352.53,342.12,343.86,318.44,342.28,467.74,466.43,475.16,477.84,479.33,493.39,340.39,287.14,335.99,328.43,339.78,336.93,337.40,337.46,343.73,347.23,348.36,349.37,365.31,320.40,350.91,362.53,349.07,348.10,315.82,346.75,350.27,344.06,332.23,329.84,330.75,328.28,329.76,328.97,333.10,339.77,346.03,360.64,368.21,372.41
1999-09-29 21:53:16.190000,L7,405.18,414.50,383.25,371.49,372.21,364.52,391.68,363.70,349.30,343.00,340.98,350.47,338.18,345.31,413.51,369.22,399.06,350.98,323.61,320.58,288.61,323.26,394.24,375.59,348.78,336.98,326.95,333.11,338.33,350.58,347.61,351.63,351.27,353.49,357.20,364.98,339.30,478.39,500.34,440.80,390.21,335.00,325.06,326.13,352.44,337.20,331.14,359.11,338.51,339.84,353.67,367.23,377.63
1999-09-29 21:53:40.155000,L7,401.39,409.68,379.25,367.43,367.90,341.15,329.46,326.17,346.79,335.47,336.53,343.44,332.57,337.61,361.08,387.01,394.89,340.90,318.94,314.45,282.37,315.19,345.14,333.97,331.28,330.27,320.57,329.30,330.97,341.41,341.47,346.04,345.12,344.84,345.49,358.05,333.35,316.63,345.01,341.44,378.81,327.59,320.10,321.69,350.26,334.42,324.98,322.50,331.75,335.79,348.89,360.80,365.31
1999-10-24 21:47:20.173000,L7,310.04,294.29,,,,,,262.39,224.42,267.10,154.76,236.60,233.17,210.73,226.49,218.01,225.25,170.39,,,,,,,,,239.25,256.12,261.83,241.67,237.13,222.36,250.81,271.11,,,,,231.35,211.07,225.42,246.67,255.23,255.59,257.87,256.79,249.58,258.35,267.69,262.26,243.63,231.82,288.68
1999-10-31 21:53:08.082000,L7,361.52,367.04,371.05,340.80,296.25,322.64,308.38,312.52,309.77,313.45,319.01,326.61,303.03,286.35,300.46,280.88,328.81,319.10,327.14,329.67,301.38,354.18,362.25,300.04,347.41,342.80,340.09,350.23,353.18,349.60,357.08,357.26,347.58,349.72,347.43,352.42,467.50,340.38,471.40,488.53,465.86,460.77,439.11,400.70,418.71,409.35,423.60,410.66,385.70,416.40,442.63,462.74,466.36
1999-11-16 21:53:32.114000,L7,460.14,514.11,451.41,450.19,456.62,439.25,439.27,428.12,438.13,439.82,442.00,455.36,469.69,430.43,459.32,445.07,468.40,479.77,447.87,450.74,467.58,309.56,310.37,311.63,315.63,308.58,313.34,321.86,325.60,340.93,332.08,336.65,335.04,299.82,337.19,327.12,378.08,273.50,331.65,322.60,315.95,436.48,462.14,454.67,456.52,446.63,431.40,462.99,471.85,404.06,494.67,505.81,449.39
2000-01-19 21:53:01.775000,L7,318.57,297.43,309.79,299.21,290.61,273.71,261.55,270.01,274.47,269.12,267.99,288.36,265.65,276.24,265.64,251.43,243.76,244.04,243.16,215.98,168.53,217.19,207.56,259.00,347.23,356.34,361.97,365.47,329.55,364.75,364.25,363.51,384.11,366.66,400.53,378.79,279.05,285.89,323.15,320.72,311.76,261.55,295.85,327.14,328.42,330.34,336.22,329.39,340.54,346.47,368.55,363.02,370.48
2000-01-19 21:53:25.812000,L7,318.62,297.72,308.75,299.11,288.66,270.33,260.94,269.77,274.28,268.65,269.13,286.78,264.78,276.19,264.45,250.70,244.37,243.59,241.09,212.24,246.52,215.61,206.15,260.26,326.50,354.19,362.39,361.54,330.44,366.61,361.78,359.93,383.61,390.40,396.88,379.96,277.96,289.20,377.47,373.66,378.64,361.33,347.70,293.99,328.59,332.00,337.17,329.17,342.16,344.63,362.64,363.50,370.63
