dates,satname,nzd0390-0000,nzd0390-0001,nzd0390-0002,nzd0390-0003,nzd0390-0004,nzd0390-0005,nzd0390-0006,nzd0390-0012,nzd0390-0013,nzd0390-0014,nzd0390-0015,nzd0390-0016,nzd0390-0017,nzd0390-0018,nzd0390-0019,nzd0390-0020,nzd0390-0021,nzd0390-0022,nzd0390-0023,nzd0390-0024,nzd0390-0025,nzd0390-0026,nzd0390-0027,nzd0390-0028,nzd0390-0029,nzd0390-0030,nzd0390-0031,nzd0390-0032,nzd0390-0033,nzd0390-0034,nzd0390-0035,nzd0390-0011,nzd0390-0036,nzd0390-0037,nzd0390-0038,nzd0390-0039,nzd0390-0040,nzd0390-0041,nzd0390-0042,nzd0390-0043,nzd0390-0044,nzd0390-0045,nzd0390-0046,nzd0390-0047,nzd0390-0048,nzd0390-0049,nzd0390-0050,nzd0390-0051,nzd0390-0052,nzd0390-0053,nzd0390-0054,nzd0390-0055,nzd0390-0056,nzd0390-0057,nzd0390-0058,nzd0390-0059,nzd0390-0060,nzd0390-0061,nzd0390-0062,nzd0390-0008,nzd0390-0009,nzd0390-0010,nzd0390-0007,nzd0390-0072,nzd0390-0073,nzd0390-0074,nzd0390-0081,nzd0390-0082,nzd0390-0083,nzd0390-0084,nzd0390-0085,nzd0390-0086,nzd0390-0087,nzd0390-0088,nzd0390-0089,nzd0390-0123,nzd0390-0124,nzd0390-0125,nzd0390-0063,nzd0390-0064,nzd0390-0065,nzd0390-0066,nzd0390-0067,nzd0390-0068,nzd0390-0069,nzd0390-0070,nzd0390-0071,nzd0390-0079,nzd0390-0080,nzd0390-0090,nzd0390-0091,nzd0390-0092,nzd0390-0093,nzd0390-0099,nzd0390-0100,nzd0390-0101,nzd0390-0102,nzd0390-0103,nzd0390-0104,nzd0390-0105,nzd0390-0106,nzd0390-0107,nzd0390-0108,nzd0390-0109,nzd0390-0110,nzd0390-0111,nzd0390-0112,nzd0390-0113,nzd0390-0114,nzd0390-0115,nzd0390-0116,nzd0390-0119,nzd0390-0120,nzd0390-0121,nzd0390-0122,nzd0390-0126,nzd0390-0127,nzd0390-0128,nzd0390-0129,nzd0390-0130,nzd0390-0131,nzd0390-0132,nzd0390-0133,nzd0390-0134,nzd0390-0135,nzd0390-0136,nzd0390-0137,nzd0390-0138,nzd0390-0139,nzd0390-0140,nzd0390-0075,nzd0390-0094,nzd0390-0095,nzd0390-0096,nzd0390-0097,nzd0390-0098,nzd0390-0117,nzd0390-0118,nzd0390-0141,nzd0390-0076,nzd0390-0077,nzd0390-0078,nzd0390-0142
1999-09-04 22:00:09.953000,L7,,,,,,449.11,412.51,404.47,409.56,341.48,396.65,248.31,241.00,275.50,,192.76,234.89,260.11,,,,,,,,311.96,323.65,339.63,348.34,352.27,352.59,411.21,350.61,355.65,356.63,313.83,322.43,327.05,357.57,360.18,,,,,,337.45,252.87,288.71,300.03,305.56,314.44,322.75,321.10,338.08,335.78,,316.95,361.26,360.51,426.41,382.51,418.87,430.53,397.24,327.36,399.73,371.61,370.63,358.47,337.67,304.14,278.65,329.16,427.52,431.75,280.74,274.10,294.99,267.78,158.36,177.95,388.56,402.68,402.28,362.63,417.05,424.33,381.83,379.86,449.27,444.86,325.05,379.47,369.65,,,,,292.12,327.77,314.20,312.91,309.08,297.51,270.63,242.41,268.29,281.51,273.56,280.20,264.81,235.53,246.56,282.49,296.81,281.84,277.03,270.10,271.01,165.26,199.65,344.02,393.35,404.81,,,,320.74,349.61,,241.42,252.86,290.07,282.10,286.74,377.36,252.69,247.08,,190.77,236.04,373.10,372.05
1999-10-22 22:00:04.598000,L7,467.62,467.92,460.15,480.29,487.17,498.53,501.75,494.49,490.42,488.65,462.84,472.66,477.98,473.26,477.82,484.32,490.77,501.69,496.85,503.52,505.66,508.46,511.10,513.01,508.96,515.28,509.82,518.48,518.09,516.34,521.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:09.551000,L7,460.36,460.03,457.35,518.62,515.82,521.22,524.48,484.25,499.04,506.01,519.01,463.84,520.90,521.88,462.35,477.20,481.47,489.83,489.15,492.55,495.00,497.43,500.99,506.05,504.11,509.49,507.36,512.14,505.38,513.38,507.18,476.01,504.04,504.19,512.25,508.44,502.89,489.11,475.38,481.11,476.13,482.29,511.87,510.59,515.54,517.20,521.40,517.89,518.47,515.88,503.43,483.01,472.71,493.04,499.66,508.81,497.52,516.90,523.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-25 22:00:04.067000,L7,,,,,,494.60,491.85,,,504.95,501.28,525.87,467.64,462.76,465.57,479.38,482.89,488.59,489.98,494.15,494.47,497.96,501.66,,,,,,,522.95,503.27,,503.29,505.73,510.95,509.69,503.59,488.97,477.59,480.93,479.59,488.10,515.84,511.74,,,,519.79,514.49,513.73,501.75,478.99,474.39,493.57,499.98,508.18,500.30,518.46,524.59,500.91,497.34,,491.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26 22:00:02.226000,L7,428.26,435.69,426.29,515.38,499.50,512.20,520.77,494.18,496.03,433.26,518.46,523.24,522.24,453.04,455.60,465.89,473.92,480.39,483.79,484.70,488.25,486.49,491.49,492.08,494.20,496.74,496.68,496.85,496.40,499.80,498.25,446.51,496.70,501.65,505.67,505.70,502.24,488.44,475.39,479.59,478.46,486.27,510.18,522.10,,,,,,519.63,506.76,486.99,478.32,494.83,501.75,507.63,499.49,515.31,522.01,499.83,500.07,494.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11 21:59:57.866000,L7,455.68,452.98,439.91,513.22,515.41,490.97,,492.42,499.16,507.22,517.91,460.90,462.81,458.53,464.86,479.26,482.01,489.23,488.90,493.62,516.21,501.81,502.28,506.74,508.05,513.87,508.58,516.05,,510.72,502.31,486.69,504.30,506.92,512.83,512.29,504.25,494.50,477.44,480.31,477.05,481.71,508.91,508.70,514.25,518.37,519.63,515.81,519.46,513.02,504.23,484.13,476.60,495.80,502.18,504.69,496.56,513.89,523.37,,,489.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:59:52.393000,L7,456.39,454.94,442.25,511.99,519.77,,,506.15,506.63,511.29,524.95,459.49,466.95,464.50,467.97,484.76,482.03,490.39,490.48,495.40,500.94,498.13,498.41,501.45,504.83,506.78,507.13,528.87,502.40,509.50,504.67,504.19,509.63,507.08,510.48,510.57,492.68,458.67,448.96,449.96,445.27,455.23,480.96,484.22,498.39,518.60,521.84,514.93,516.91,511.81,501.99,481.65,474.62,491.70,496.80,501.71,493.11,511.07,519.75,,512.18,508.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:45.397000,L7,480.69,502.08,492.48,480.93,483.86,502.78,499.61,455.57,450.86,456.43,456.92,469.06,476.44,473.83,497.76,487.25,514.09,503.31,519.54,509.65,508.59,507.83,511.88,512.06,511.24,510.38,508.88,513.87,512.42,512.52,511.73,486.10,511.90,517.39,519.81,,513.41,500.05,497.89,489.16,493.26,492.06,513.62,515.68,,,,,,520.17,512.36,497.81,484.95,512.25,504.75,515.33,504.02,525.63,,511.43,513.99,518.41,500.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-15 21:59:31.785000,L7,504.80,519.94,,,,,,507.02,516.85,523.64,460.18,469.73,477.56,470.17,475.96,488.07,513.88,495.03,500.08,499.87,501.14,502.95,504.45,509.18,508.67,514.69,512.15,511.99,509.86,511.47,508.55,465.53,510.95,515.82,521.65,519.89,514.97,499.20,491.89,493.70,486.92,493.61,512.64,513.95,,,,,,520.58,515.44,491.56,490.10,502.58,507.74,514.32,508.33,522.99,,,,512.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:30.586000,L7,,,,,428.04,468.65,467.21,411.06,415.36,417.46,412.34,378.18,437.82,419.81,403.33,443.20,440.22,441.29,459.91,455.92,418.29,447.59,465.12,472.29,457.52,447.22,450.77,457.35,458.37,459.78,365.19,422.60,400.11,477.08,460.25,467.67,416.22,417.17,449.84,450.76,448.50,448.17,478.86,480.04,475.93,481.87,490.80,478.74,486.56,481.29,475.39,457.44,452.24,443.58,445.56,307.79,347.68,302.73,338.50,452.62,448.36,434.69,456.99,414.63,420.05,407.81,361.72,368.96,348.50,329.67,309.03,391.22,420.62,436.12,467.81,302.87,286.37,323.17,402.49,453.96,402.88,410.52,424.88,421.10,413.31,427.73,427.62,367.88,369.73,476.90,485.50,489.87,505.24,389.41,282.65,323.63,323.35,332.10,385.88,353.93,331.56,329.72,331.85,337.86,377.95,269.68,286.77,304.47,285.21,321.89,301.72,283.35,353.72,379.91,357.63,190.58,186.24,200.95,170.17,394.33,374.89,390.71,424.05,418.09,301.82,253.47,506.68,480.88,491.25,498.20,399.91,487.17,529.86,515.69,456.20,386.48,328.74,272.43,518.97,403.54,394.73,370.96,508.45
