dates,satname,nzd0505-0000,nzd0505-0001,nzd0505-0002,nzd0505-0003,nzd0505-0004,nzd0505-0005,nzd0505-0006
2017-02-08 22:14:34.654000,L8,291.76,301.70,312.04,306.04,317.13,324.24,322.40
2017-02-15 22:20:43.526000,L8,292.18,300.07,312.07,308.93,313.43,328.59,326.02
2017-04-04 22:20:20.280000,L8,277.67,279.29,163.75,,,,
2017-04-20 22:20:11.117000,L8,212.56,300.31,310.16,303.83,313.31,321.26,319.26
2017-07-02 22:14:23.696000,L8,338.01,351.92,312.84,340.17,349.71,357.03,346.40
2017-08-03 22:14:35.682000,L8,197.39,277.64,306.94,267.63,304.82,313.07,310.05
2017-12-25 22:14:47.702000,L8,297.87,304.71,316.78,314.33,326.61,331.39,327.84
2018-02-11 22:14:26.201000,L8,295.48,307.61,317.32,316.93,325.42,330.07,324.73
2018-03-06 22:20:26.446000,L8,287.80,305.40,314.57,311.45,322.74,325.98,321.53
2018-03-15 22:14:10.086000,L8,289.56,295.24,312.73,305.65,321.86,325.53,321.49
2018-04-16 22:13:54.370000,L8,197.92,279.60,296.54,293.31,305.45,309.41,308.65
2018-05-02 22:13:45.572000,L8,,,,,,,184.22
2018-05-18 22:13:34.690000,L8,179.26,149.57,,,,,179.38
2018-07-21 22:13:49.390000,L8,,,308.28,174.52,314.85,233.88,310.06
2018-09-07 22:14:12.130000,L8,449.43,407.09,376.65,371.19,374.45,381.67,361.80
2018-11-10 22:14:32.733000,L8,284.81,285.43,305.00,300.18,305.37,313.36,312.20
2018-12-28 22:14:29.227000,L8,285.45,287.77,308.62,303.88,315.04,316.03,314.51
2019-01-13 22:14:27.136000,L8,286.28,289.23,304.11,300.70,310.64,317.96,313.73
2019-02-05 22:20:33.244000,L8,280.55,289.83,305.15,302.16,312.41,315.85,315.48
2019-02-14 22:14:21.185000,L8,289.96,304.78,314.37,306.96,319.56,325.36,320.58
2019-02-21 22:20:30.485000,L8,275.06,278.31,315.00,315.59,349.83,364.02,406.15
2019-03-02 22:14:17.011000,L8,292.29,318.21,319.76,318.23,326.75,330.57,327.94
2019-06-22 22:14:28.716000,L8,,,,303.27,334.68,271.78,308.64
2019-09-10 22:14:51.565000,L8,291.04,289.76,305.46,298.94,307.69,314.24,310.48
2019-09-26 22:14:56.917000,L8,308.36,314.81,326.23,340.70,353.85,379.02,358.35
2019-11-13 22:14:57.837000,L8,306.71,322.41,328.58,324.31,330.91,345.63,334.99
2019-11-29 22:14:55.870000,L8,284.60,232.87,249.22,244.04,307.42,313.67,310.18
2020-01-23 22:20:55.593000,L8,295.35,310.60,317.72,318.98,327.35,332.89,329.18
2020-03-04 22:14:32.767000,L8,292.64,316.42,318.29,317.50,326.84,338.39,329.94
2020-03-11 22:20:40.527000,L8,294.13,329.98,360.09,363.99,369.34,379.88,374.94
2020-06-08 22:14:11.756000,L8,189.44,152.43,139.71,321.92,327.45,328.28,320.67
2020-07-10 22:14:27.456000,L8,190.70,151.61,290.45,327.02,327.86,328.64,321.70
2020-07-26 22:14:32.385000,L8,197.49,148.50,167.73,309.85,318.98,325.55,317.31
2020-08-27 22:14:44.105000,L8,258.40,297.60,309.56,304.47,316.02,319.51,316.48
2020-10-14 22:14:56.808000,L8,298.63,319.28,322.75,319.81,328.27,336.14,334.93
2021-02-19 22:14:39.648000,L8,,,289.06,305.85,316.52,325.84,320.54
2021-05-26 22:14:18.793000,L8,227.34,158.04,319.63,332.69,326.43,334.17,331.67
2021-06-11 22:14:25.766000,L8,,,,315.57,349.43,328.35,323.02
2021-06-27 22:14:29.908000,L8,197.36,150.24,134.78,316.95,352.38,339.67,331.38
2021-07-13 22:14:31.246000,L8,157.17,141.91,,305.28,309.51,319.81,309.86
2021-08-14 22:14:45.391000,L8,203.88,154.25,307.98,305.23,314.22,324.88,319.70
2021-08-30 22:14:49.951000,L8,199.44,147.78,148.44,249.91,302.01,309.21,254.92
2021-11-02 22:15:01.893000,L8,286.46,299.00,307.21,303.22,313.37,323.33,318.22
2021-11-18 22:14:56.496000,L8,294.68,309.19,314.89,313.71,322.76,329.43,324.24
2021-12-12 22:14:55.412000,L9,284.32,297.79,304.32,300.24,311.87,318.98,314.54
2022-01-13 22:14:50.477000,L9,300.66,316.90,320.24,315.63,326.80,332.33,331.55
2022-01-28 22:20:55.692000,L8,275.10,291.59,298.21,293.77,305.11,314.86,311.14
2022-02-06 22:14:44.088000,L8,287.81,304.18,311.36,306.98,316.30,322.32,319.18
2022-02-22 22:14:38.338000,L8,313.50,331.09,355.17,362.35,368.62,376.03,344.69
2022-03-02 22:14:37.725000,L9,290.05,317.15,316.94,313.29,324.65,332.17,323.22
2022-05-05 22:14:18.830000,L9,,,307.94,303.03,315.05,318.59,245.95
2022-05-21 22:14:07.318000,L9,313.29,329.57,341.77,347.72,367.20,377.53,366.78
2022-06-22 22:14:26.439000,L9,,,,306.62,327.94,325.09,315.72
2022-06-30 22:14:51.348000,L8,,,,241.69,339.40,328.72,321.61
2022-08-09 22:14:46.212000,L9,210.82,311.87,351.34,313.65,326.44,330.00,324.28
2022-09-10 22:14:51.402000,L9,283.23,292.31,303.90,298.71,305.35,319.21,314.56
2023-01-08 22:15:00.142000,L8,274.09,284.69,291.38,279.38,300.82,309.14,311.74
2023-02-17 22:15:01.258000,L9,288.51,307.25,316.03,315.34,325.68,333.25,323.88
2023-02-25 22:14:39.957000,L8,272.19,154.97,289.82,290.44,201.48,312.47,309.89
2023-03-05 22:14:49.135000,L9,289.50,311.28,316.51,316.18,326.06,333.18,323.37
2023-04-06 22:14:33.046000,L9,200.87,285.62,291.64,291.80,301.16,309.53,296.09
2023-04-14 22:14:09.763000,L8,200.18,158.80,303.56,223.69,299.12,302.76,297.78
2023-05-24 22:14:04.912000,L9,190.05,151.16,130.34,300.39,315.89,318.20,303.35
2023-06-01 22:13:55.021000,L8,,,,324.24,309.25,319.01,304.57
2023-06-09 22:14:00.612000,L9,200.61,161.84,142.81,325.18,330.21,327.84,321.25
2023-07-03 22:14:15.167000,L8,233.11,169.36,290.90,325.08,366.80,388.04,367.52
2023-07-11 22:14:12.102000,L9,,,,315.20,314.60,316.77,304.16
2023-07-27 22:14:14.688000,L9,189.36,145.31,,,,,287.79
2023-08-12 22:14:23.119000,L9,,,304.03,295.70,307.38,306.78,291.63
2023-09-05 22:14:34.496000,L8,235.40,153.19,,,,,296.29
2023-09-29 22:14:38.579000,L9,281.26,293.49,305.68,299.94,311.11,315.25,311.19
2023-11-24 22:14:51.719000,L8,297.88,311.43,318.06,318.25,327.22,332.36,326.40
2023-12-10 22:14:45.117000,L8,297.26,306.86,316.95,317.04,324.89,336.23,325.19
2024-01-11 22:14:44.166000,L8,288.92,303.88,313.38,311.08,320.76,327.10,320.81
