dates,satname,nzd0231-0000,nzd0231-0001,nzd0231-0002,nzd0231-0003,nzd0231-0004,nzd0231-0005,nzd0231-0006,nzd0231-0007,nzd0231-0008,nzd0231-0009,nzd0231-0010,nzd0231-0011,nzd0231-0012,nzd0231-0013,nzd0231-0014,nzd0231-0015,nzd0231-0016,nzd0231-0017,nzd0231-0018,nzd0231-0019,nzd0231-0020,nzd0231-0021,nzd0231-0022,nzd0231-0023,nzd0231-0024,nzd0231-0025,nzd0231-0026,nzd0231-0027,nzd0231-0028,nzd0231-0029,nzd0231-0030,nzd0231-0031,nzd0231-0032,nzd0231-0033,nzd0231-0034,nzd0231-0035,nzd0231-0041,nzd0231-0042,nzd0231-0048,nzd0231-0049,nzd0231-0050,nzd0231-0051,nzd0231-0052,nzd0231-0053,nzd0231-0054,nzd0231-0055,nzd0231-0056,nzd0231-0057,nzd0231-0058,nzd0231-0059,nzd0231-0060,nzd0231-0061,nzd0231-0062,nzd0231-0063,nzd0231-0064,nzd0231-0065,nzd0231-0066,nzd0231-0067,nzd0231-0068,nzd0231-0069,nzd0231-0070,nzd0231-0071,nzd0231-0072,nzd0231-0073,nzd0231-0074,nzd0231-0075,nzd0231-0076,nzd0231-0077,nzd0231-0078,nzd0231-0079,nzd0231-0080,nzd0231-0081,nzd0231-0082,nzd0231-0083,nzd0231-0084,nzd0231-0085,nzd0231-0086,nzd0231-0087,nzd0231-0088,nzd0231-0089,nzd0231-0090,nzd0231-0091,nzd0231-0092,nzd0231-0093,nzd0231-0094,nzd0231-0095,nzd0231-0096,nzd0231-0097,nzd0231-0098,nzd0231-0099,nzd0231-0100,nzd0231-0101,nzd0231-0102,nzd0231-0103,nzd0231-0036,nzd0231-0037,nzd0231-0038,nzd0231-0039,nzd0231-0040,nzd0231-0043,nzd0231-0044,nzd0231-0045,nzd0231-0046,nzd0231-0047,nzd0231-0104,nzd0231-0105
1999-08-12 21:52:44.265000,L7,266.76,241.73,241.56,286.45,321.52,302.41,331.57,329.26,331.98,336.99,329.64,340.78,326.35,336.78,334.15,341.01,364.95,391.00,321.09,318.81,329.62,314.83,322.67,334.71,324.34,361.15,357.69,321.51,401.64,341.01,387.00,335.94,348.41,391.12,379.59,507.74,350.93,353.36,368.91,394.29,400.51,403.69,317.43,203.43,529.22,443.34,308.51,299.52,302.41,293.11,303.20,311.48,303.35,305.57,306.05,319.24,313.46,310.93,308.59,299.41,295.93,293.82,297.66,301.28,295.78,305.14,289.11,288.35,287.37,279.94,288.67,343.66,288.33,302.01,293.30,298.83,298.96,298.39,298.00,302.07,298.89,300.37,295.91,289.96,286.07,286.63,280.10,278.43,285.85,278.75,273.55,270.63,270.34,262.48,,,,,,,,,,,,
1999-09-29 21:52:52.243000,L7,363.57,364.85,339.17,347.60,357.38,359.17,359.08,362.86,362.61,361.10,370.97,380.26,378.00,373.18,368.93,364.21,369.14,370.61,363.16,371.66,365.42,365.15,368.29,364.81,362.40,363.17,356.14,357.57,351.89,352.03,357.58,358.90,370.53,368.53,368.24,357.07,361.21,372.42,365.40,367.37,367.40,384.57,373.07,363.23,362.30,363.93,366.62,364.54,369.85,359.74,370.17,369.28,369.45,369.35,379.48,386.33,378.46,375.79,363.46,353.89,356.22,359.44,350.36,355.28,349.16,349.25,359.08,350.32,350.17,349.08,355.16,341.53,352.60,346.24,348.44,347.75,360.42,353.44,360.01,363.43,366.70,359.90,361.44,359.20,349.75,348.99,335.44,341.29,341.14,338.11,325.07,324.81,310.84,304.93,359.87,351.00,366.10,365.98,360.88,373.13,366.54,392.31,395.75,372.14,316.48,307.31
1999-10-15 21:52:49.322000,L7,354.91,354.13,347.43,345.58,350.99,353.08,359.87,362.09,363.64,380.66,370.05,385.12,360.80,367.95,355.57,367.30,367.57,369.27,362.04,364.46,360.57,359.60,359.00,356.81,362.02,361.10,359.30,352.14,354.51,350.97,356.88,354.58,361.44,355.46,359.53,356.76,372.16,372.27,372.50,364.13,367.98,367.51,368.45,367.76,366.52,372.54,373.86,365.62,371.17,358.32,370.41,381.73,369.83,409.88,372.93,375.21,372.55,371.47,367.75,363.24,359.16,358.18,351.46,354.65,352.50,352.48,356.65,347.54,346.08,339.13,342.83,335.48,345.58,338.47,343.72,345.28,344.74,347.96,354.74,360.67,357.87,363.59,362.81,359.57,350.16,350.52,347.78,345.73,340.21,333.70,328.43,322.09,311.26,306.26,353.66,355.60,360.42,363.24,361.90,370.13,364.61,365.78,361.44,363.65,321.81,331.00
2000-02-04 21:52:37.377000,L7,375.76,364.89,361.30,358.63,358.92,362.61,370.09,369.66,378.51,366.32,373.11,370.74,368.39,375.70,380.67,389.40,388.91,387.65,366.16,373.26,364.38,362.38,363.49,375.38,379.27,372.65,379.62,365.36,374.38,377.59,375.94,380.97,384.28,381.03,378.44,372.67,368.49,361.82,378.39,375.42,384.07,413.18,377.07,363.71,363.29,365.50,367.73,364.33,374.36,383.35,392.28,403.95,400.79,386.47,389.71,387.42,384.25,383.44,376.25,378.67,368.04,375.20,364.34,364.08,366.15,360.63,366.88,365.05,365.19,359.27,364.68,361.09,363.66,360.34,369.99,372.29,368.02,367.19,368.79,373.45,376.33,378.26,370.46,380.60,376.43,373.23,356.20,357.18,365.87,359.84,357.47,365.67,355.65,348.76,379.86,356.50,365.54,380.35,378.32,363.53,367.29,362.09,358.24,372.01,333.36,289.11
2000-02-20 21:52:29.720000,L7,293.37,316.66,318.33,294.14,288.23,282.71,293.29,332.41,308.42,325.60,320.08,329.92,322.15,324.04,308.01,305.70,302.93,347.11,340.07,327.43,319.28,323.74,314.02,307.77,308.50,310.26,309.97,336.55,310.31,309.60,327.19,312.61,312.30,359.72,330.58,300.25,387.41,224.48,,407.05,401.63,371.38,225.54,219.48,256.62,247.14,375.30,363.79,344.46,212.20,169.44,,,411.44,389.59,,346.89,522.01,505.06,382.23,362.28,535.77,331.73,313.22,410.09,536.61,462.63,364.87,514.70,530.40,313.44,324.64,292.89,295.96,298.07,324.48,513.02,304.30,499.10,442.40,,,437.32,552.51,319.05,310.89,325.65,298.43,291.39,290.45,308.37,334.50,332.73,272.25,293.21,289.43,291.55,292.32,350.66,,,,,,296.29,
2000-04-24 21:52:10.308000,L7,459.75,449.59,473.14,466.10,453.42,446.56,461.14,451.25,520.02,,477.20,451.77,451.60,452.31,444.82,449.99,454.53,459.02,464.35,463.33,471.37,457.62,432.16,476.67,488.98,497.93,474.31,505.56,504.83,506.48,485.53,492.00,490.63,470.34,492.76,509.86,503.83,506.81,418.81,476.74,521.55,496.25,467.87,483.86,523.98,467.38,487.71,475.07,476.85,483.36,499.63,490.81,468.79,488.11,476.79,491.95,508.50,469.84,478.52,434.19,472.53,445.87,421.38,447.99,435.57,439.11,441.20,437.56,424.69,394.71,383.31,422.51,386.43,442.49,366.31,410.88,408.38,413.36,429.75,410.94,413.63,434.00,436.10,432.79,418.66,428.10,416.40,415.44,414.25,399.72,401.12,391.55,407.95,369.49,506.85,519.07,496.72,464.21,481.72,500.88,497.65,511.30,521.11,414.92,424.33,425.60
2000-05-26 21:51:48.668000,L7,426.88,404.42,390.91,404.58,420.90,404.35,402.98,400.16,406.12,396.29,400.78,400.07,391.70,402.19,410.61,403.14,401.70,406.04,414.75,417.61,409.68,408.74,408.55,404.12,423.35,424.84,423.54,419.74,411.52,419.65,424.57,454.85,456.91,442.25,507.97,412.19,513.70,482.79,517.19,433.47,454.04,516.82,533.07,527.76,521.23,520.20,496.63,493.21,469.69,424.12,434.47,417.58,490.85,491.71,514.09,479.23,499.16,428.73,465.82,423.96,408.00,424.79,404.24,400.31,391.53,389.57,413.62,410.34,410.40,404.02,390.39,386.94,382.79,419.39,428.70,447.40,381.51,372.39,440.22,426.57,390.47,436.64,388.43,381.72,417.21,416.49,411.23,411.01,407.47,392.94,413.46,407.72,359.45,357.22,412.27,471.05,408.89,401.06,508.45,418.19,427.14,431.87,508.20,486.94,341.51,455.19
2000-08-14 21:50:56.232000,L7,363.06,367.93,368.14,372.63,374.44,376.08,393.42,389.29,384.87,387.90,389.80,381.23,378.30,372.76,378.90,375.50,373.48,376.76,367.74,379.81,372.73,376.16,374.74,380.00,376.20,382.41,384.77,391.64,378.27,379.31,388.98,397.36,391.34,387.95,390.67,382.06,363.92,365.39,370.03,372.81,371.02,392.44,380.45,391.87,386.77,374.59,371.20,377.79,372.96,379.45,385.83,378.47,377.34,373.97,380.47,388.10,380.74,381.08,380.18,376.51,375.73,372.93,373.04,375.64,362.57,362.72,357.25,366.87,352.82,361.02,369.77,368.43,364.34,360.43,371.20,370.14,371.23,362.52,376.92,365.96,380.14,377.69,377.09,361.05,366.73,363.70,361.60,354.78,360.93,357.28,346.31,354.93,343.36,348.39,392.68,361.26,367.62,367.20,382.83,374.66,379.72,373.23,374.49,373.45,338.52,341.08
2000-09-15 21:50:25.712000,L7,344.81,353.64,357.11,355.89,358.97,367.95,367.40,369.36,368.76,364.82,368.14,368.17,363.92,371.57,361.50,369.20,369.15,366.70,364.34,369.11,361.35,366.83,369.10,371.17,368.36,371.68,370.17,365.82,368.82,363.97,368.17,366.54,372.85,372.51,373.85,362.59,358.34,352.03,358.30,365.34,364.46,378.26,378.93,372.25,360.77,361.60,365.82,363.42,361.60,360.46,372.39,367.39,374.91,367.36,369.51,371.40,379.43,383.41,375.56,367.81,361.88,357.89,350.66,356.90,350.54,351.42,344.17,341.71,340.62,344.98,340.85,347.53,350.08,350.18,351.09,349.97,359.82,359.14,363.52,360.75,359.72,348.59,345.18,343.45,350.64,348.11,346.29,344.05,338.28,339.46,338.72,335.44,322.08,326.74,365.32,352.06,351.82,346.75,353.71,363.84,366.52,371.48,356.14,356.47,319.32,312.64
2000-10-17 21:50:01.277000,L7,362.04,359.87,349.73,349.60,348.49,354.75,364.02,363.92,374.23,370.92,384.41,370.49,371.11,359.07,355.08,354.46,354.21,355.41,357.39,357.70,352.52,354.82,350.48,361.17,365.20,371.09,370.93,369.15,372.86,371.11,376.79,359.10,355.00,353.74,361.22,365.91,358.98,356.82,340.15,354.03,357.96,369.01,369.50,371.69,370.14,363.00,366.42,361.36,365.16,369.36,367.25,369.48,363.85,361.24,366.04,362.63,379.69,376.45,377.28,370.82,373.45,375.24,372.84,369.79,365.28,369.69,360.97,354.26,350.76,349.71,348.11,355.23,363.13,375.08,358.04,358.45,363.92,360.97,375.39,374.31,419.42,434.02,451.02,444.08,396.57,363.94,349.73,341.00,339.90,345.99,335.19,336.18,324.04,338.85,361.47,350.06,359.58,359.28,362.30,358.43,354.12,354.46,347.65,338.70,348.48,354.59
