dates,satname,nzd0178-0000,nzd0178-0004,nzd0178-0001,nzd0178-0002,nzd0178-0003
2000-02-18 22:04:53.186000,L7,,213.82,,,
2001-03-01 21:56:21.596000,L7,279.58,526.29,,,
2002-01-31 21:54:50.570000,L7,383.17,476.49,361.27,353.09,396.83
2002-12-01 21:54:16.937000,L7,256.89,226.86,,,
2003-08-13 21:48:45.123000,L5,,182.67,,,
2003-09-30 21:49:54.405000,L5,,276.88,,,
2003-10-25 21:44:04.226000,L5,245.01,293.76,264.04,290.44,296.42
2003-11-17 21:50:09.452000,L5,233.56,,252.03,,
2004-01-04 21:50:58.245000,L5,249.24,279.11,250.44,,
2004-02-14 21:44:57.678000,L5,,254.38,,,
2004-07-14 21:54:07.355000,L5,,189.46,,,
2004-11-03 21:56:42.977000,L5,251.77,291.60,268.22,307.44,
2004-11-19 21:56:55.269000,L5,246.38,,257.83,270.05,
2005-01-22 21:58:02.481000,L5,,276.46,,,
2005-02-23 21:58:55.594000,L5,,284.65,,,
2005-03-04 21:52:52.217000,L5,,264.75,,,
2005-04-12 21:59:19.166000,L5,,274.89,,,
2005-11-15 21:54:26.309000,L5,237.72,,258.03,293.51,
2005-11-22 22:00:23.113000,L5,239.02,290.44,255.04,296.23,281.13
2006-02-03 21:56:19.035000,L5,248.78,,269.76,271.51,
2006-02-19 21:56:39.909000,L5,,255.39,,,
2006-04-15 22:03:54.771000,L5,,276.49,,,
2006-11-25 22:06:43.926000,L5,268.47,378.33,288.55,311.48,297.48
2007-02-13 22:07:11.341000,L5,256.25,298.55,264.80,,
2007-09-25 22:05:12.918000,L5,254.85,291.77,267.95,251.36,278.56
2008-02-16 22:02:22.163000,L5,248.96,,260.38,,
2008-10-29 21:55:48.424000,L5,,307.34,,,
2008-11-14 21:55:28.444000,L5,,304.68,,,
2009-01-17 21:57:20.846000,L5,,385.72,,,249.26
2009-02-02 21:57:46.384000,L5,,289.74,,,
2010-12-22 22:02:05.586000,L5,255.74,305.00,269.19,,163.35
2011-01-07 22:01:44.406000,L5,228.90,266.31,245.86,,
2011-03-12 22:02:07.527000,L5,,393.23,,,183.56
2011-03-28 22:02:02.349000,L5,,405.94,,,197.18
2011-09-04 22:00:51.576000,L5,,388.75,,,183.96
2013-04-27 22:07:47.557000,L8,265.10,,256.99,,
2013-05-13 22:07:59.284000,L8,,189.09,,,
2013-05-20 22:14:14.522000,L8,247.06,192.24,252.23,,
2013-06-05 22:14:15.215000,L8,,197.33,,,
2013-06-21 22:14:07.263000,L8,,168.49,,,
2013-08-08 22:14:13.655000,L8,,200.16,,,
2013-09-02 22:08:04.598000,L8,295.27,284.14,272.76,248.33,294.43
2013-09-09 22:13:49.699000,L8,,192.46,,,
2013-10-11 22:13:41.596000,L8,295.98,264.76,314.45,314.95,298.00
2013-11-05 22:07:46.855000,L8,328.89,,262.12,240.01,
2013-11-12 22:13:32.202000,L8,357.94,298.58,328.39,320.31,298.82
2013-11-12 22:13:56.157000,L8,234.73,282.31,,,
2013-11-21 22:07:37.752000,L8,348.26,294.04,321.78,317.40,
2013-11-28 22:13:25.971000,L8,280.66,281.53,262.62,,
2013-11-28 22:13:49.926000,L8,220.05,246.24,,,
2013-12-14 22:13:21.591000,L8,339.11,288.72,318.05,300.48,
2013-12-14 22:13:45.545000,L8,227.39,,262.93,,
2013-12-30 22:13:13.343000,L8,348.03,295.82,320.99,306.68,
2013-12-30 22:13:37.297000,L8,253.77,205.60,261.82,,
2014-01-31 22:12:52.806000,L8,266.15,204.85,262.79,,
2014-01-31 22:13:16.756000,L8,244.94,208.00,264.15,,
2014-02-09 22:06:57.254000,L8,274.92,223.56,187.22,195.01,
2014-03-04 22:12:46.982000,L8,,175.58,,,
2014-03-20 22:12:37.744000,L8,261.31,269.10,264.94,,
2014-04-05 22:12:22.648000,L8,,256.02,,,279.41
2014-04-21 22:12:06.129000,L8,238.67,259.69,261.25,,
2014-07-26 22:11:43.162000,L8,230.14,183.91,239.50,,
2014-07-26 22:12:07.121000,L8,,188.30,,,
2014-08-20 22:06:06.726000,L8,227.40,,254.47,,
2014-11-08 22:06:16.124000,L8,266.74,210.84,262.89,,
2014-12-01 22:12:00.318000,L8,232.91,211.99,261.98,,
2014-12-01 22:12:24.268000,L8,254.75,283.39,266.03,312.89,282.51
2015-01-18 22:11:48.696000,L8,235.34,201.30,259.95,,
2015-02-12 22:05:51.250000,L8,261.04,203.81,262.46,,
2015-02-28 22:05:48.437000,L8,266.03,204.80,266.52,,
2015-03-23 22:11:45.092000,L8,238.24,200.45,262.63,,
2015-04-24 22:11:08.401000,L8,198.17,188.99,250.30,,
2015-04-24 22:11:32.351000,L8,234.82,198.49,254.23,,
2015-06-27 22:11:34.253000,L8,,170.28,,,
2015-08-23 22:05:48.569000,L8,263.96,,257.47,,
2015-12-20 22:11:57.501000,L8,206.85,208.68,,,
2015-12-20 22:12:21.455000,L8,229.58,277.83,264.12,,
2016-01-05 22:12:17.235000,L8,,270.07,,,
2016-02-22 22:11:42.580000,L8,276.15,,264.85,240.61,
2016-02-22 22:12:06.535000,L8,216.73,273.66,,,
2016-03-09 22:11:40.902000,L8,269.07,,264.53,,
2016-03-25 22:11:32.353000,L8,272.08,,256.43,235.52,
2016-06-13 22:11:30.674000,L8,,176.88,,,
2016-08-16 22:11:53.694000,L8,,179.48,,,
2016-09-10 22:06:15.488000,L8,,269.44,,,
