dates,satname,nzd0372-0000,nzd0372-0001,nzd0372-0002,nzd0372-0003,nzd0372-0004,nzd0372-0005,nzd0372-0006,nzd0372-0007,nzd0372-0008,nzd0372-0009,nzd0372-0010,nzd0372-0011,nzd0372-0016,nzd0372-0017,nzd0372-0018,nzd0372-0019,nzd0372-0020,nzd0372-0024,nzd0372-0025,nzd0372-0026,nzd0372-0038,nzd0372-0039,nzd0372-0040,nzd0372-0041,nzd0372-0042,nzd0372-0043,nzd0372-0044,nzd0372-0045,nzd0372-0046,nzd0372-0047,nzd0372-0048,nzd0372-0049,nzd0372-0050,nzd0372-0051,nzd0372-0052,nzd0372-0053,nzd0372-0054,nzd0372-0055,nzd0372-0056,nzd0372-0012,nzd0372-0013,nzd0372-0014,nzd0372-0015,nzd0372-0021,nzd0372-0022,nzd0372-0023,nzd0372-0027,nzd0372-0028,nzd0372-0029,nzd0372-0030,nzd0372-0031,nzd0372-0032,nzd0372-0033,nzd0372-0034,nzd0372-0035,nzd0372-0036,nzd0372-0037,nzd0372-0057,nzd0372-0058,nzd0372-0059,nzd0372-0060,nzd0372-0061,nzd0372-0062,nzd0372-0063,nzd0372-0064,nzd0372-0065,nzd0372-0066,nzd0372-0067
2001-12-21 22:02:05.831000,L7,300.75,295.07,273.34,255.81,276.60,271.02,243.13,244.77,228.05,230.80,237.63,240.85,263.10,262.99,268.51,265.89,266.50,270.90,269.03,237.51,267.58,275.91,202.24,247.90,262.42,264.68,259.84,264.61,256.64,260.71,258.91,257.71,259.35,257.99,250.99,234.12,212.33,230.69,181.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-28 21:50:04.710000,L5,247.72,256.21,270.20,263.99,272.57,286.33,283.93,288.41,274.56,266.15,271.60,268.30,273.24,277.43,276.83,281.24,276.69,287.11,283.69,287.69,300.15,295.09,283.81,291.59,282.46,285.24,280.35,289.92,277.95,286.28,291.32,279.96,289.90,287.96,282.13,289.62,282.47,284.77,279.17,262.79,269.87,265.12,271.32,286.85,290.48,286.67,285.10,284.40,286.37,286.69,286.03,286.99,288.27,284.70,286.20,289.43,287.34,285.93,276.78,283.14,295.31,293.63,287.36,283.55,288.27,289.17,284.62,
2003-08-29 21:50:38.152000,L5,243.92,239.57,261.77,255.10,268.92,290.21,288.15,274.72,271.57,259.54,260.25,265.36,268.60,273.69,277.17,281.08,276.52,281.67,279.79,287.76,284.51,284.92,286.35,287.26,289.48,283.16,289.95,284.99,282.21,278.12,281.02,276.18,279.34,282.93,279.07,283.72,276.18,277.53,277.78,260.80,265.17,265.64,267.39,279.16,283.33,283.59,284.30,287.51,284.36,288.01,284.63,285.45,283.29,281.30,282.03,279.48,285.16,273.42,273.36,274.19,275.52,161.65,266.27,252.60,,,,
2003-09-14 21:50:54.515000,L5,252.10,242.88,260.77,259.12,273.79,296.63,289.89,281.82,270.54,268.61,263.61,270.05,283.47,282.93,285.98,283.27,283.63,290.19,289.13,290.32,294.29,296.74,293.82,295.03,291.48,291.68,294.05,292.65,289.83,284.24,287.98,287.63,284.61,291.55,292.84,289.78,289.93,284.40,287.47,271.41,275.07,280.28,277.73,284.55,291.25,289.25,293.34,295.44,295.09,292.14,293.54,293.99,289.84,287.23,286.51,287.00,295.40,277.61,282.06,283.70,287.34,287.61,274.30,265.71,,,,
2003-10-16 21:51:19.969000,L5,244.04,236.81,246.79,249.92,265.19,286.02,290.31,289.36,282.73,275.25,274.67,271.72,277.90,286.06,281.57,285.15,285.77,298.63,298.98,300.76,299.95,302.19,300.02,296.36,296.14,294.36,294.52,292.32,290.17,290.76,294.61,294.52,294.94,295.41,299.89,294.63,289.31,286.89,286.99,279.58,279.26,273.01,278.28,295.37,295.61,300.64,299.58,291.11,292.26,295.66,294.71,293.43,288.90,295.94,298.41,299.97,301.10,282.36,282.34,282.82,283.86,289.18,280.37,215.37,,,,
2003-10-23 21:57:36.620000,L5,261.42,243.32,252.47,256.26,269.26,294.36,291.16,283.55,280.99,276.70,278.87,278.23,281.16,284.76,286.79,285.71,298.61,305.19,305.62,303.97,307.34,308.68,310.89,307.48,291.35,294.50,288.30,289.31,285.69,283.40,290.31,299.50,297.87,302.20,304.92,306.75,309.06,291.85,285.46,285.21,289.69,286.21,278.05,348.63,338.61,317.51,304.08,299.99,302.12,309.72,300.60,293.74,292.36,290.55,301.64,303.35,306.82,279.20,283.78,281.54,293.37,291.32,300.34,301.32,304.68,288.97,283.27,328.91
2003-11-17 21:51:45.201000,L5,244.54,233.70,241.92,245.57,265.34,281.45,285.45,280.76,286.11,276.03,278.52,276.47,275.05,275.47,279.11,277.22,279.99,297.41,297.33,298.92,295.32,301.18,301.06,297.74,289.12,288.34,287.27,285.11,286.24,278.97,290.80,291.32,292.79,292.80,294.12,296.30,292.43,282.12,281.99,279.11,282.10,283.15,274.10,289.63,295.30,296.41,298.28,288.13,285.42,287.25,284.63,286.04,283.81,286.33,295.78,295.40,297.99,278.69,274.34,284.26,282.80,286.17,282.36,217.81,,,,
2003-12-03 21:51:55.424000,L5,246.01,236.62,246.58,253.48,275.07,295.05,302.59,293.90,285.93,274.67,277.42,276.41,273.12,280.03,285.65,287.84,289.13,294.98,285.67,289.18,292.21,292.23,291.87,295.09,290.82,291.82,290.23,298.61,294.98,292.15,292.11,293.88,293.01,292.40,286.56,287.04,285.74,283.67,283.60,266.08,269.89,268.80,273.64,295.45,293.86,298.17,288.65,290.83,287.71,290.48,293.95,293.02,295.39,289.01,293.56,292.82,296.34,279.93,280.99,288.87,291.86,288.50,277.85,,,,,
2003-12-10 21:58:05.829000,L5,244.45,233.58,241.15,249.64,274.49,294.44,302.21,296.69,288.59,276.96,279.56,265.33,271.25,276.77,294.46,294.39,294.27,292.99,279.47,284.04,283.60,285.02,284.35,289.38,290.16,290.55,290.09,297.63,299.38,293.51,296.73,293.24,295.49,282.07,282.17,283.75,282.46,281.83,276.99,266.44,265.24,266.89,269.75,297.22,297.45,300.66,286.41,285.76,288.21,287.79,300.47,299.27,298.71,296.76,297.50,297.99,295.41,275.71,287.28,296.98,292.85,291.01,283.91,265.08,,,,
2004-01-04 21:52:10.021000,L5,260.01,246.26,253.22,254.21,261.92,280.56,284.55,277.88,269.44,262.16,264.20,271.64,282.33,281.76,275.61,274.50,275.86,287.88,294.51,291.41,288.96,295.53,297.72,297.19,296.86,295.74,289.77,288.44,284.38,277.38,284.15,279.24,280.81,286.00,287.72,291.38,291.27,291.28,288.95,276.52,272.94,280.21,278.52,280.24,278.39,283.05,297.25,295.82,299.20,296.88,288.99,284.92,286.90,280.42,280.37,281.86,283.85,282.25,269.85,275.31,277.96,275.80,264.78,,,,,
2004-04-25 21:53:23.341000,L5,227.54,216.99,219.78,221.64,229.31,258.14,274.83,272.49,266.42,260.05,260.56,262.81,268.10,270.82,270.88,270.55,275.03,281.99,279.05,287.94,277.02,282.11,281.10,283.02,284.23,274.16,278.08,275.83,279.04,269.43,275.15,271.39,275.22,277.19,279.19,278.80,280.20,271.28,270.03,261.22,264.93,262.66,265.46,272.58,278.26,275.83,280.44,275.78,282.63,277.80,285.56,276.68,280.23,272.52,273.66,272.78,276.61,270.05,266.69,274.35,275.86,159.22,273.18,260.17,244.82,,,
2004-05-18 22:00:14.650000,L5,241.64,225.75,238.97,241.31,249.27,269.91,286.75,281.94,278.22,275.04,273.60,270.18,280.17,283.66,280.46,284.92,284.63,287.86,290.13,289.18,289.17,291.48,294.04,294.15,295.03,294.67,292.96,293.28,290.27,281.57,288.14,284.55,287.37,288.74,287.18,294.85,293.63,290.64,290.12,269.69,275.24,277.97,278.45,281.93,283.54,288.86,291.30,291.61,290.26,289.97,290.65,285.97,288.91,284.34,290.18,288.36,289.83,290.98,290.29,292.24,299.21,302.72,295.10,296.97,285.31,271.29,,
2004-10-02 21:57:38.853000,L5,241.32,225.52,228.34,217.91,227.64,253.94,278.30,273.58,271.14,259.90,262.89,263.13,298.64,285.15,291.25,285.74,281.13,289.28,312.59,292.61,282.08,293.40,295.53,298.71,294.57,295.59,295.58,293.06,281.23,279.32,280.84,275.89,284.45,282.84,284.67,280.72,291.94,290.59,286.31,265.69,272.30,280.20,279.16,283.44,293.31,299.73,302.48,292.11,296.28,290.34,291.24,288.72,287.39,280.07,274.18,266.26,278.43,283.73,283.13,284.53,283.37,276.21,277.52,253.83,,,,
2004-11-10 22:04:35.857000,L5,244.74,230.90,231.64,226.38,232.63,262.95,287.89,289.20,268.74,261.91,263.91,263.79,286.69,288.03,289.44,290.03,289.37,283.29,284.76,285.60,280.58,288.12,284.64,295.73,299.80,298.82,295.96,297.91,296.72,294.85,280.65,281.55,283.55,281.34,282.75,282.23,287.56,295.56,294.02,264.68,269.08,270.54,282.62,290.55,280.91,284.98,285.89,295.14,301.00,299.10,301.48,296.40,299.30,295.17,282.16,280.79,282.40,293.13,289.39,291.75,293.75,292.36,274.76,256.92,258.17,,,
2005-02-23 22:00:07.370000,L5,245.59,228.83,232.80,225.99,235.10,258.85,281.38,281.28,275.50,267.70,268.10,267.75,278.05,279.19,281.91,280.89,280.81,286.00,290.47,290.32,281.94,287.45,288.67,292.11,292.27,288.25,289.05,289.62,286.01,278.53,285.03,282.66,284.35,281.39,287.49,286.51,289.56,289.40,283.20,267.14,268.72,275.29,275.60,284.34,283.27,286.67,290.87,289.42,289.83,291.24,293.87,288.29,286.31,279.32,281.75,282.05,282.37,283.12,277.01,280.47,281.48,285.87,277.35,266.34,,,,
2005-03-02 22:06:24.060000,L5,240.94,225.32,229.97,222.99,230.25,256.96,279.27,282.06,281.71,276.89,278.41,278.53,271.58,276.13,278.45,276.09,277.99,291.36,290.42,295.47,291.55,296.97,297.11,292.36,290.15,289.72,285.56,288.62,281.67,281.67,290.42,290.64,293.27,291.55,293.33,293.06,289.17,282.17,274.86,277.85,278.50,280.02,271.91,284.92,287.62,291.78,289.79,284.02,283.49,280.94,285.79,281.69,284.18,285.87,287.00,290.10,291.23,275.20,271.54,274.87,279.04,287.98,284.39,276.06,274.20,,,
2005-03-18 22:06:34.540000,L5,,,,,,,,,,,,,236.50,243.74,239.07,245.43,227.95,,240.78,233.05,222.46,237.86,242.88,245.74,246.27,249.26,243.75,251.13,248.15,243.11,232.47,216.24,224.12,,,,,,,,,,175.97,209.24,,,242.75,240.64,260.12,259.34,261.80,259.29,256.25,244.81,234.85,228.51,231.85,,,,,,,,,,,
2005-04-12 22:00:30.943000,L5,,,,,,,,,,,,,247.03,257.45,259.65,260.26,253.01,265.05,266.03,265.74,258.67,266.77,266.40,271.49,267.12,255.14,197.83,,232.43,211.99,251.25,257.63,257.76,256.69,259.44,253.26,252.87,256.47,259.92,,,189.52,227.71,263.71,264.99,266.33,266.74,267.33,266.30,268.11,268.72,268.57,266.50,261.55,259.59,261.99,263.18,172.61,250.22,257.48,258.37,264.12,252.33,,,,,
2005-06-15 22:00:58.430000,L5,224.27,194.94,216.83,202.08,206.23,227.90,263.80,272.37,261.02,250.79,254.28,255.95,263.33,269.90,269.53,267.16,261.80,271.17,274.76,275.14,266.95,274.01,280.14,279.14,281.61,274.56,284.72,274.06,275.78,268.22,268.13,265.69,267.04,271.46,268.48,273.67,267.89,275.25,272.15,248.37,259.16,256.41,264.46,270.87,269.49,273.03,279.06,277.68,278.58,274.71,279.80,272.77,270.41,267.82,271.33,266.40,269.73,268.19,267.06,269.67,270.43,280.47,275.25,258.05,247.20,,,
2005-09-10 22:07:43.789000,L5,238.40,215.70,220.22,208.67,217.76,240.04,270.94,273.69,268.47,270.25,271.47,272.36,270.76,271.98,277.66,278.41,276.96,291.07,289.14,293.35,288.48,297.56,295.69,296.16,286.96,282.41,284.15,283.02,278.14,277.18,277.83,286.31,286.70,289.77,289.06,290.28,290.14,282.41,276.04,274.91,271.66,275.04,269.74,278.80,288.12,291.03,294.40,289.90,281.10,287.15,281.54,280.95,281.72,276.85,279.64,285.21,286.91,277.96,270.27,277.15,281.81,164.98,283.99,267.70,258.13,,,
2005-09-19 22:01:32.820000,L5,257.38,251.17,250.74,236.96,243.59,268.27,284.70,290.24,282.60,279.95,277.59,268.78,283.76,292.18,306.96,292.09,302.28,291.17,290.93,302.67,286.83,295.48,299.41,296.93,306.06,299.84,303.29,301.61,302.20,299.53,300.24,298.68,292.99,294.47,295.90,294.74,292.58,292.62,290.79,274.73,277.65,272.57,281.99,295.13,306.21,294.46,294.03,297.40,298.71,298.86,298.92,303.04,299.09,296.30,304.17,294.59,287.74,294.50,293.19,301.17,300.11,302.10,300.05,287.35,200.37,266.33,,
