dates,satname,nzd0355-0000,nzd0355-0001,nzd0355-0002,nzd0355-0003,nzd0355-0004,nzd0355-0005,nzd0355-0006,nzd0355-0007,nzd0355-0008,nzd0355-0009,nzd0355-0010,nzd0355-0011,nzd0355-0012,nzd0355-0013,nzd0355-0014,nzd0355-0015,nzd0355-0016,nzd0355-0017,nzd0355-0018,nzd0355-0019,nzd0355-0020,nzd0355-0021,nzd0355-0022,nzd0355-0023,nzd0355-0024,nzd0355-0025,nzd0355-0026,nzd0355-0027,nzd0355-0028,nzd0355-0029,nzd0355-0030,nzd0355-0031,nzd0355-0032,nzd0355-0033,nzd0355-0034,nzd0355-0035,nzd0355-0036,nzd0355-0037,nzd0355-0038,nzd0355-0039,nzd0355-0040,nzd0355-0041,nzd0355-0042,nzd0355-0043,nzd0355-0044,nzd0355-0045,nzd0355-0046,nzd0355-0047,nzd0355-0048,nzd0355-0049,nzd0355-0050,nzd0355-0051,nzd0355-0052,nzd0355-0053,nzd0355-0054,nzd0355-0055,nzd0355-0056,nzd0355-0057,nzd0355-0058,nzd0355-0059,nzd0355-0060,nzd0355-0061,nzd0355-0062,nzd0355-0063,nzd0355-0064,nzd0355-0065,nzd0355-0066,nzd0355-0067,nzd0355-0068,nzd0355-0069,nzd0355-0070,nzd0355-0071,nzd0355-0072,nzd0355-0073,nzd0355-0074,nzd0355-0075,nzd0355-0076,nzd0355-0077,nzd0355-0078,nzd0355-0079,nzd0355-0080,nzd0355-0081,nzd0355-0082,nzd0355-0083,nzd0355-0084,nzd0355-0096,nzd0355-0097,nzd0355-0098,nzd0355-0099,nzd0355-0100,nzd0355-0101,nzd0355-0102,nzd0355-0085,nzd0355-0086,nzd0355-0087,nzd0355-0088,nzd0355-0089,nzd0355-0090,nzd0355-0091,nzd0355-0092,nzd0355-0093,nzd0355-0094,nzd0355-0095
2000-06-18 21:59:03.789000,L7,439.47,465.03,450.27,495.33,495.71,485.15,495.74,486.32,478.88,466.92,463.70,458.98,436.76,426.99,429.55,390.76,378.68,391.75,333.44,379.54,373.79,315.52,334.36,332.19,328.88,343.07,327.43,329.28,333.20,315.13,302.34,303.45,317.62,317.32,312.36,280.40,283.09,293.55,288.57,299.41,304.20,303.59,274.03,278.18,275.98,290.69,288.19,276.25,279.17,284.57,257.82,238.44,234.24,258.89,270.80,229.41,269.80,228.77,254.95,223.51,238.59,232.18,199.65,198.40,220.91,217.87,222.17,215.19,216.69,202.19,218.83,197.94,172.18,,,,,178.10,181.44,186.85,186.64,203.94,203.56,213.19,171.75,,,,,,,,,,,,,,,,,,
2000-08-05 21:58:20.584000,L7,449.99,467.89,460.23,468.66,496.59,482.12,505.64,462.11,481.26,479.40,455.05,455.65,439.85,430.61,400.76,396.60,361.98,369.29,344.65,368.83,388.01,339.37,332.72,328.96,330.23,347.69,318.97,325.29,339.35,329.53,319.38,317.23,318.80,319.32,310.76,311.27,311.99,312.58,299.42,312.21,305.50,306.22,296.62,283.25,309.91,288.77,285.97,295.14,288.44,282.05,267.66,267.56,247.09,252.78,251.13,229.26,230.83,259.40,254.76,237.16,229.11,217.24,218.26,191.43,218.19,219.66,196.07,214.48,208.08,200.03,189.34,166.81,177.03,,,,168.93,171.66,184.64,204.35,190.07,198.27,198.00,198.88,173.31,,,,,,,,,,,,,,,,,,
2000-10-24 21:57:29.684000,L7,,,,,,,,,,,,514.41,513.02,494.08,492.05,491.39,482.23,485.71,488.50,475.12,467.18,453.97,484.09,454.44,449.07,433.63,429.81,415.89,408.69,407.70,397.91,400.33,381.87,392.36,381.12,386.01,396.45,379.87,370.76,368.58,369.49,361.66,354.76,383.54,417.82,387.86,354.10,377.72,318.98,334.72,340.86,332.55,334.58,324.61,320.94,309.73,298.07,298.97,294.70,283.62,327.44,323.93,291.58,315.43,285.69,270.63,284.93,284.32,302.92,281.16,303.48,382.53,386.00,434.40,290.88,295.46,281.32,268.84,286.49,274.40,268.28,269.37,297.05,288.99,288.14,,,,,,,,219.33,191.66,188.61,197.81,202.50,174.37,172.69,,,,
2000-11-25 21:57:34.931000,L7,,,,,,,,,,,,,,,,,,,515.32,506.28,499.49,487.16,479.85,485.54,478.28,469.89,460.88,459.43,450.33,443.65,444.49,429.21,423.67,421.97,427.28,408.20,405.17,401.32,406.25,400.51,396.55,390.76,384.77,375.80,371.63,362.56,361.32,352.28,346.09,342.35,341.92,334.34,337.06,338.31,335.31,321.01,310.78,306.94,305.21,301.14,291.05,286.76,283.20,270.41,265.60,264.91,270.95,279.16,276.39,267.04,261.12,248.14,240.24,238.56,233.78,237.68,245.92,253.91,271.79,256.48,253.83,259.93,256.22,252.26,237.33,,,,,,,,190.33,185.32,190.40,192.00,181.01,167.41,,,,,
2000-12-11 21:57:36.803000,L7,,,,,,,,526.00,520.21,509.85,500.12,488.11,482.46,477.90,471.34,470.45,470.88,472.71,489.97,463.85,462.60,459.93,451.86,422.63,442.14,432.17,418.60,410.94,407.80,411.86,394.82,401.19,389.71,379.30,373.67,366.92,367.28,362.57,361.09,355.82,365.89,359.86,333.34,325.11,327.40,344.20,313.10,307.92,307.33,305.39,300.35,296.60,297.92,305.04,299.33,285.83,273.33,270.78,259.30,267.27,249.71,252.55,246.76,235.39,253.64,242.63,239.72,249.40,245.44,237.04,224.56,214.56,207.79,200.28,198.93,234.90,206.55,214.38,226.03,212.20,221.55,229.72,226.03,224.04,199.52,,,,,,,,,,,,,,,,,,
2001-02-13 21:57:39.607000,L7,458.03,529.02,,,,,,,,499.32,487.32,509.64,481.33,445.04,436.70,433.31,386.95,388.56,406.16,368.24,355.65,378.44,398.16,387.73,406.99,401.95,395.16,361.73,390.17,324.90,334.44,336.73,309.06,362.32,316.99,305.83,300.71,316.23,314.29,311.23,331.96,318.39,296.55,299.92,303.20,271.95,289.43,278.87,276.47,253.03,265.09,252.14,262.98,262.84,253.61,250.90,240.85,225.76,206.51,236.15,216.66,222.14,234.01,204.41,220.58,180.42,226.33,205.80,223.81,221.39,204.05,188.84,189.90,174.09,162.15,168.59,176.48,196.99,199.79,209.47,211.81,208.42,214.22,213.59,192.88,,,,,,,,,,,,,,,,,,
2001-04-02 21:57:18.479000,L7,345.82,413.08,424.34,359.80,464.62,460.89,471.16,386.16,446.66,446.50,376.99,384.53,368.47,389.88,377.80,383.56,355.38,358.02,356.89,327.03,395.17,342.47,303.32,303.92,337.06,381.73,363.93,360.86,321.36,330.03,295.82,290.32,291.20,295.44,296.04,351.31,336.70,301.30,295.46,303.10,304.52,311.38,296.99,278.86,267.17,295.61,271.76,268.63,270.55,281.30,273.70,269.86,238.17,219.07,243.08,250.30,239.06,243.72,241.35,225.13,213.93,221.03,225.22,210.45,198.92,222.52,219.75,211.86,214.87,204.80,203.56,186.04,176.79,160.48,172.22,175.31,174.29,194.73,190.85,192.98,197.16,204.51,207.89,207.61,185.15,,,,,,,,,,,,,,,,,,
2001-05-20 21:57:04.892000,L7,458.76,503.41,497.66,494.23,,447.55,506.41,522.98,503.67,,504.75,522.47,441.46,441.06,461.37,454.09,402.09,448.53,416.21,411.88,402.80,354.45,297.57,339.86,327.26,382.53,364.05,380.53,391.75,325.85,318.49,320.21,271.39,320.12,306.62,338.78,348.82,317.74,343.20,323.73,318.56,328.99,298.17,308.12,301.04,286.82,288.89,288.51,301.94,292.31,273.94,255.35,272.24,260.44,269.08,259.46,227.24,209.45,249.98,213.37,226.00,209.79,206.57,194.65,226.91,237.06,216.36,229.84,197.32,218.91,185.87,183.91,160.03,184.26,165.55,173.54,166.01,214.28,188.80,205.07,194.44,211.04,201.30,212.23,201.12,,,,,,,,,,,,,,,,,,
2001-06-05 21:56:52.440000,L7,438.87,469.20,435.99,430.65,307.17,318.31,494.19,401.44,459.07,394.45,293.08,294.12,280.59,375.71,281.06,332.93,259.83,264.73,275.67,266.48,242.79,240.30,250.59,268.19,257.90,247.42,246.45,263.46,260.65,249.52,236.00,207.54,211.22,224.81,210.79,173.99,181.50,170.00,185.66,178.50,227.76,248.70,194.52,195.95,235.77,184.67,,,267.39,287.33,288.45,,,,,,,227.22,210.62,217.98,212.67,207.86,200.75,189.45,210.13,194.16,191.34,224.51,222.72,194.07,179.52,171.66,162.20,,,165.24,172.28,190.20,182.39,192.81,199.48,216.34,221.13,222.81,204.58,,,,,,,,,,,,,,,,,,
2001-07-07 21:56:36.067000,L7,408.78,341.50,372.16,353.55,331.34,356.20,357.78,344.57,340.72,347.45,352.14,372.93,320.59,399.51,323.09,334.89,284.79,276.86,274.13,279.20,263.15,244.79,281.85,247.12,260.73,272.08,244.91,283.39,272.96,249.44,238.42,236.75,216.58,234.99,199.55,213.29,219.72,187.64,216.45,202.87,262.99,196.69,218.04,159.19,,,,,,,,,,,,,,,,,,,,,,182.88,190.89,194.31,193.93,170.68,180.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
