dates,satname,nzd0376-0000,nzd0376-0001,nzd0376-0002,nzd0376-0003,nzd0376-0004,nzd0376-0005,nzd0376-0006,nzd0376-0007,nzd0376-0008,nzd0376-0009,nzd0376-0010,nzd0376-0011,nzd0376-0012,nzd0376-0013,nzd0376-0014,nzd0376-0015,nzd0376-0016,nzd0376-0017,nzd0376-0018,nzd0376-0019,nzd0376-0020,nzd0376-0021,nzd0376-0022,nzd0376-0023,nzd0376-0024,nzd0376-0025,nzd0376-0026,nzd0376-0027,nzd0376-0028,nzd0376-0029,nzd0376-0030,nzd0376-0031,nzd0376-0032,nzd0376-0033,nzd0376-0034,nzd0376-0035,nzd0376-0036,nzd0376-0037,nzd0376-0038,nzd0376-0039,nzd0376-0040,nzd0376-0041,nzd0376-0042,nzd0376-0043,nzd0376-0044,nzd0376-0045,nzd0376-0046,nzd0376-0047
1999-08-17 22:12:26.065000,L7,,543.60,527.03,517.89,509.32,523.19,529.83,541.17,323.97,331.52,517.02,527.26,540.15,511.98,521.07,507.31,505.22,528.05,535.97,516.74,511.89,508.03,317.08,327.12,337.99,334.45,540.88,503.32,491.98,485.37,490.10,499.02,507.09,540.69,514.96,443.21,439.07,427.70,313.69,311.21,314.71,317.18,322.01,305.03,289.52,304.07,339.42,367.68
1999-09-18 22:12:27.821000,L7,539.80,388.64,318.76,339.21,316.05,320.62,367.73,338.91,333.82,362.19,365.34,352.45,330.63,314.75,308.85,308.43,325.58,337.98,330.96,349.00,335.21,510.18,511.51,397.32,477.72,336.78,337.49,343.96,341.35,303.77,302.62,303.95,476.16,404.37,349.90,316.85,331.24,535.57,455.51,454.89,524.56,533.29,312.67,327.74,298.53,304.85,337.99,323.07
1999-10-13 22:06:24.714000,L7,475.02,265.44,223.89,241.99,258.73,256.48,199.35,212.58,232.87,215.96,225.43,199.20,193.40,235.42,280.79,248.51,280.74,297.71,194.70,253.75,252.66,290.95,238.23,209.66,246.69,518.85,511.19,512.45,520.33,499.55,218.63,217.47,199.72,225.15,232.29,229.72,243.04,276.37,183.39,175.06,191.66,214.93,183.60,189.36,223.33,211.72,180.60,
1999-11-21 22:12:24.026000,L7,379.92,279.35,291.40,304.27,486.46,269.04,213.47,217.77,238.95,219.27,207.42,204.79,207.41,273.47,294.99,256.29,235.18,258.19,248.15,311.88,313.97,311.91,298.96,300.67,315.73,312.18,276.37,298.01,292.34,245.26,217.82,269.58,271.43,326.22,315.68,295.42,180.14,171.30,182.89,191.88,198.98,217.25,281.81,263.11,229.58,220.40,201.50,
2000-03-21 22:06:01.097000,L7,,305.54,177.08,277.52,286.67,254.29,197.08,206.17,223.20,222.73,225.34,215.33,190.31,184.46,293.44,278.80,287.86,279.07,297.06,283.63,291.48,292.85,245.16,240.08,258.20,218.75,198.04,271.68,177.64,,,,,235.64,224.38,268.64,248.46,223.92,313.08,244.75,231.86,233.44,278.64,254.69,242.72,234.67,214.61,
2000-08-03 22:10:43.917000,L7,538.84,330.58,327.49,317.16,312.71,299.51,296.39,303.35,293.81,299.78,305.60,309.73,305.20,541.78,545.33,520.56,501.22,508.39,513.68,507.12,503.03,297.48,494.05,489.63,485.96,488.93,478.75,478.40,480.32,467.39,462.48,527.81,535.23,545.27,516.95,443.70,439.91,481.70,507.92,524.42,485.06,514.49,530.93,533.07,269.82,254.18,271.11,276.40
2000-08-19 22:10:38.028000,L7,555.34,367.18,358.30,368.33,348.35,343.50,314.94,319.65,309.56,320.92,339.36,305.94,317.14,324.59,320.67,321.37,311.34,320.09,330.33,323.18,320.56,318.32,309.74,319.05,481.69,481.29,476.97,474.24,464.98,468.32,459.36,406.45,385.31,523.87,525.26,538.68,552.87,302.27,324.93,308.98,320.11,338.70,322.41,339.78,309.81,336.68,368.61,373.83
2000-09-13 22:04:02.015000,L7,,,,,,,,,,,,172.49,170.05,161.03,205.32,179.83,168.59,181.34,186.33,185.33,169.20,219.54,194.81,173.67,184.21,191.11,191.82,196.84,,,,,,,,,,,,,,,,,,,,
2000-09-20 22:10:03.047000,L7,506.81,353.43,301.82,316.07,296.83,290.62,298.25,286.15,295.51,269.48,275.61,272.24,266.74,310.22,291.78,308.54,303.34,317.61,322.26,318.51,310.41,311.51,310.83,311.57,314.85,320.13,317.80,311.11,303.77,292.25,283.90,286.83,290.16,293.18,291.94,294.56,297.47,289.20,303.11,293.61,298.36,300.74,301.58,297.69,275.44,283.83,288.43,289.85
2000-11-07 22:09:53.335000,L7,473.36,320.08,310.02,318.30,299.12,290.14,303.30,292.08,295.28,297.64,306.97,302.85,304.49,297.83,309.71,310.69,303.82,315.08,316.97,318.61,314.59,310.01,302.55,312.06,313.53,319.78,322.25,312.88,302.04,289.08,506.13,511.72,492.31,491.83,486.82,493.55,500.40,286.40,301.52,287.24,297.50,291.28,299.41,280.44,251.98,230.73,210.84,198.53
2000-12-18 22:03:49.828000,L7,343.03,230.58,,,,,,,,,,,,,,258.70,254.12,194.38,191.38,273.30,251.74,247.89,233.17,256.96,258.89,213.26,223.81,252.47,196.36,172.02,,,,239.79,229.86,217.92,243.66,240.43,232.77,232.34,234.32,235.97,242.96,231.75,173.82,168.41,,
2001-01-03 22:03:48.276000,L7,484.12,343.74,313.88,350.21,313.78,297.34,296.20,430.92,421.55,471.74,548.08,304.44,400.96,371.24,,,,,393.58,405.88,527.92,302.88,547.52,538.71,326.77,423.36,389.30,320.53,321.16,307.22,298.28,313.66,296.68,299.31,325.08,337.80,312.92,302.49,321.08,277.72,282.61,274.19,290.20,287.94,291.63,225.34,213.23,183.25
2001-01-10 22:10:03.706000,L7,399.55,281.60,276.97,291.43,273.16,270.26,241.56,210.33,228.68,225.46,263.02,223.86,272.18,277.90,268.14,291.62,264.35,272.09,288.41,289.79,289.26,289.09,265.75,278.76,293.22,287.45,289.75,288.35,190.02,229.63,257.65,238.44,229.30,276.50,258.77,261.94,267.60,264.53,256.65,265.69,242.19,257.75,273.86,257.91,233.76,225.54,,
2001-02-20 22:03:48.640000,L7,220.16,254.69,,235.84,229.54,266.29,179.59,213.81,214.24,226.04,238.14,222.74,230.12,195.42,228.34,267.70,256.80,274.46,280.24,279.78,273.70,275.03,251.50,276.45,281.66,214.41,207.22,254.52,240.35,211.56,241.78,172.60,185.15,254.24,243.46,232.31,236.55,247.38,241.41,225.01,262.13,239.97,252.22,242.49,214.81,207.81,,
2001-03-08 22:03:44.911000,L7,467.01,287.31,280.80,296.93,425.24,440.15,462.76,477.42,482.11,500.86,284.41,283.27,297.21,294.28,279.05,292.79,297.53,287.00,287.40,288.96,290.10,289.25,274.26,292.48,501.79,516.02,481.82,508.60,220.64,230.06,251.02,247.70,238.69,260.08,294.88,292.35,298.39,305.06,319.88,264.35,271.38,251.60,275.47,258.82,237.47,230.05,218.39,
2001-03-31 22:09:43.621000,L7,499.36,347.70,314.90,319.31,306.13,308.87,306.44,280.32,298.62,311.44,311.42,306.55,307.11,305.57,308.69,310.09,305.54,314.27,316.04,318.15,314.94,313.57,318.51,320.78,337.07,549.90,534.09,519.78,516.22,493.06,497.13,491.35,501.68,517.40,531.24,289.35,296.32,285.25,309.53,304.32,310.82,321.52,324.76,308.54,298.74,257.98,283.45,284.76
2001-07-05 22:08:57.615000,L7,,,,,,,209.05,199.40,201.15,193.58,190.05,,,,,,,,,,,,,,185.77,204.21,186.99,191.10,170.92,,,,,,,,,,,,,,,,,,,
2001-08-15 22:02:14.505000,L7,531.40,276.92,209.72,252.12,263.56,270.19,229.16,210.50,216.83,202.88,271.32,217.23,233.63,178.36,232.23,276.91,272.00,236.13,226.20,288.88,284.56,284.65,238.11,263.79,297.11,241.71,303.44,259.74,452.55,439.84,444.20,448.29,469.87,220.47,218.56,233.10,243.24,248.63,244.71,245.33,237.78,231.09,241.61,250.99,227.39,225.48,219.05,194.31
2001-08-31 22:02:05.221000,L7,487.95,441.82,463.83,463.22,472.45,270.62,244.55,336.74,355.49,356.61,360.87,353.14,334.68,333.84,358.55,504.20,495.18,496.11,484.67,288.06,285.34,289.09,250.08,236.97,301.94,250.24,255.68,260.51,243.14,216.36,213.54,,172.09,221.81,221.62,248.87,271.84,254.74,273.22,249.16,248.99,248.61,258.49,253.43,229.19,228.08,218.13,205.82
2001-09-23 22:08:02.998000,L7,495.38,280.19,211.82,240.10,243.92,258.71,192.07,210.93,216.22,202.02,196.28,220.36,195.68,175.13,281.31,263.06,283.72,195.73,208.00,263.30,264.75,293.47,291.16,270.64,300.62,247.85,230.82,202.54,182.31,,,,,227.44,225.79,269.46,413.46,410.59,429.96,432.21,250.20,238.24,250.87,244.22,224.81,218.65,191.46,176.59
