dates,satname,nzd0535-0000,nzd0535-0001,nzd0535-0002,nzd0535-0003,nzd0535-0004,nzd0535-0005,nzd0535-0006,nzd0535-0007,nzd0535-0008,nzd0535-0009,nzd0535-0010,nzd0535-0011
1999-11-05 22:13:40.966000,L7,405.46,433.55,429.70,390.74,392.45,415.36,418.98,393.79,391.06,409.67,414.26,399.33
1999-11-21 22:13:35.965000,L7,345.55,303.13,292.46,286.28,265.17,300.47,336.36,335.24,347.80,352.67,352.43,363.26
1999-12-07 22:13:41.663000,L7,346.83,389.58,393.04,397.72,399.56,289.13,330.27,330.26,336.45,342.42,339.59,357.57
1999-12-30 22:19:45.690000,L7,342.21,318.29,297.62,255.74,262.52,261.23,269.36,254.20,301.77,200.58,312.53,291.64
2000-04-20 22:19:15.385000,L7,152.73,228.70,264.87,237.71,228.06,259.91,264.01,,274.32,291.00,269.29,232.46
2000-09-20 22:11:14.930000,L7,286.01,280.96,265.37,235.12,192.33,264.23,291.51,309.23,317.51,311.24,276.56,329.77
2000-09-27 22:17:24.534000,L7,332.44,301.97,274.89,266.07,236.81,266.46,282.53,279.23,307.27,296.92,289.61,283.29
2000-10-29 22:17:19.582000,L7,378.28,326.73,305.91,237.48,268.19,222.32,316.19,265.18,288.27,317.67,309.46,321.28
2001-02-11 22:11:12.788000,L7,,,,,,,,167.12,311.91,139.94,242.26,339.61
2001-03-22 22:17:09.568000,L7,357.66,327.32,307.59,285.39,269.58,292.29,301.89,318.82,314.08,303.39,305.54,311.06
2001-11-01 22:15:17.839000,L7,371.99,356.97,313.31,295.86,281.02,298.32,316.74,321.50,313.83,320.04,311.60,314.60
2001-11-26 22:09:21.320000,L7,346.23,335.90,331.69,333.61,281.22,328.86,335.82,340.15,346.66,348.65,346.46,360.18
2001-12-19 22:15:37.819000,L7,288.51,283.64,253.19,252.87,272.39,287.14,320.18,257.09,303.56,309.91,312.10,299.19
2002-02-14 22:09:41.178000,L7,267.53,297.44,285.41,282.87,260.71,296.16,332.87,175.87,334.88,238.11,341.39,358.50
2002-03-25 22:15:47.156000,L7,320.74,309.43,293.58,188.62,,,,140.55,200.66,199.67,266.26,264.19
2002-12-31 22:09:08.026000,L7,,,,,244.94,286.63,317.38,306.29,324.04,334.98,330.45,339.53
2003-02-24 22:15:37.262000,L7,357.98,322.50,307.41,292.31,274.60,292.16,,292.88,306.77,257.44,271.30,216.39
2003-03-21 22:09:27.545000,L7,265.91,299.82,282.59,151.34,182.71,291.17,321.70,163.25,326.40,315.67,321.50,316.81
2003-08-11 22:03:51.447000,L5,309.06,286.75,283.57,275.55,260.24,293.35,301.30,,302.16,282.36,228.24,
2003-10-07 21:58:35.519000,L5,408.69,415.74,409.78,424.84,435.64,421.57,405.84,408.23,410.33,422.37,421.25,417.38
2004-01-27 21:59:38.149000,L5,370.55,359.33,343.46,343.91,344.38,344.93,356.86,363.89,361.17,362.79,361.47,378.03
2004-03-31 21:59:59.745000,L5,284.05,268.47,253.76,237.34,225.16,268.67,259.78,162.34,314.64,312.33,308.97,317.71
2004-04-23 22:06:53.682000,L5,313.60,283.96,269.66,265.14,240.82,275.20,303.04,168.90,303.78,298.00,283.16,259.16
2004-05-09 22:07:21.512000,L5,,,247.84,256.42,223.13,231.89,248.95,155.40,302.06,290.63,134.44,226.96
2004-05-18 22:01:26.569000,L5,,,225.35,226.30,215.38,219.58,246.87,,317.40,309.04,273.21,
2004-07-21 22:03:15.748000,L5,,,234.66,235.12,220.62,221.64,246.63,,305.98,302.35,279.29,226.92
2004-08-29 22:10:22.051000,L5,315.87,298.49,282.27,267.20,239.04,265.31,297.13,292.49,305.12,294.32,270.04,281.88
2004-11-01 22:11:49.961000,L5,329.76,314.66,290.72,280.50,245.32,278.46,298.85,289.90,296.90,287.69,278.62,290.99
2005-05-12 22:14:14.883000,L5,309.11,281.04,268.20,270.89,250.49,285.85,306.35,149.28,299.07,298.50,278.87,241.55
2005-08-09 22:08:46.932000,L5,268.44,241.33,243.15,251.30,233.58,276.59,298.77,304.39,324.06,325.41,312.63,290.75
2005-08-16 22:15:00.645000,L5,192.51,259.14,270.15,243.67,236.13,223.78,290.40,278.93,301.75,291.68,271.85,263.04
2005-09-10 22:08:55.708000,L5,331.80,315.58,299.46,296.08,287.28,310.74,331.47,330.98,341.77,341.40,336.44,349.95
2005-09-17 22:15:06.506000,L5,306.86,293.51,274.97,265.47,228.00,267.42,291.43,150.31,298.49,288.96,281.71,292.77
2005-11-13 22:09:08.414000,L5,315.97,299.01,288.79,279.71,270.11,298.74,318.39,316.30,327.94,328.47,328.95,342.04
2006-01-23 22:16:59.639000,L5,406.82,387.41,383.74,378.33,371.62,362.38,360.40,357.59,353.59,353.09,340.37,347.70
2006-04-13 22:18:38.042000,L5,,,,,,,,143.06,288.04,286.52,262.91,217.37
2006-07-27 22:13:58.731000,L5,,,213.31,224.31,211.30,214.47,262.13,,313.24,313.92,255.93,151.09
2006-08-28 22:14:23.601000,L5,292.19,289.97,273.52,264.87,242.37,278.08,307.08,304.15,330.07,326.55,310.27,321.59
2007-01-26 22:21:54.849000,L5,332.83,301.42,292.62,285.53,255.02,282.72,291.68,286.54,295.94,301.92,294.52,294.87
2007-02-04 22:15:45.266000,L5,282.02,255.13,267.46,263.51,245.11,284.12,291.58,185.45,323.65,327.05,328.67,338.97
2007-02-11 22:21:56.518000,L5,313.05,302.20,294.18,280.33,259.42,279.65,291.77,283.71,296.65,300.15,294.80,298.04
2007-10-02 22:13:42.645000,L5,291.28,266.16,274.45,272.24,221.30,268.85,266.67,153.98,318.41,317.31,303.32,314.20
2009-01-31 22:12:28.607000,L5,336.95,316.24,292.66,291.31,261.59,284.69,295.91,165.66,294.05,299.94,289.92,294.37
2010-11-02 22:16:48.420000,L5,343.37,326.34,308.21,296.22,279.03,288.80,298.00,293.24,304.16,302.60,286.19,296.95
2010-11-27 22:10:35.713000,L5,,,,284.67,274.31,302.75,329.18,328.21,340.27,342.40,339.00,351.08
2010-12-20 22:16:50.270000,L5,320.24,294.55,287.03,283.29,265.79,268.99,288.52,281.05,212.80,297.46,289.06,297.25
2011-01-21 22:16:54.354000,L5,407.71,396.54,397.57,391.53,390.02,382.79,376.69,376.68,371.76,385.91,350.82,351.23
2011-02-06 22:16:56.485000,L5,339.08,305.81,189.13,,,,,144.97,287.76,289.32,283.24,289.14
2013-08-22 22:29:00.806000,L8,328.16,313.45,299.99,297.06,278.72,283.35,298.64,298.57,305.05,301.33,284.06,282.93
2013-08-31 22:22:50.245000,L8,302.42,293.23,284.09,281.74,272.96,282.92,303.12,183.58,319.19,318.92,302.55,312.39
2013-09-23 22:28:51.997000,L8,336.76,317.55,305.28,297.79,284.52,283.58,304.63,303.31,306.69,301.73,267.91,281.10
2013-10-02 22:22:40.460000,L8,295.29,269.01,277.69,267.84,259.80,264.89,291.41,149.86,307.86,308.22,281.50,303.08
2013-11-03 22:22:32.045000,L8,406.69,419.56,407.18,419.81,429.73,420.19,432.24,422.30,431.55,434.17,414.95,422.12
2013-11-26 22:28:34.840000,L8,351.62,331.50,309.79,137.18,242.61,,,,,215.19,167.54,229.13
2013-12-28 22:28:23.669000,L8,355.16,342.11,313.82,308.46,292.95,297.60,312.74,310.62,308.54,307.15,300.60,300.67
2014-02-23 22:21:32.043000,L8,276.56,291.82,282.43,279.82,255.65,270.46,288.07,,305.22,311.25,303.97,303.43
2014-04-12 22:20:49.109000,L8,297.59,295.55,184.45,194.91,195.03,275.12,303.13,303.57,315.74,319.40,311.85,314.80
2014-08-18 22:20:51.886000,L8,297.41,295.86,233.27,262.59,255.30,259.07,275.31,304.39,315.62,321.10,313.61,315.23
2014-09-19 22:20:54.477000,L8,296.28,299.31,272.44,268.32,247.32,274.26,268.36,196.28,314.71,319.12,307.44,315.88
2014-10-12 22:27:11.441000,L8,322.39,319.91,293.85,286.08,268.17,267.10,275.57,288.78,301.95,301.10,287.47,292.78
2014-10-28 22:27:08.358000,L8,371.89,359.90,346.56,326.39,318.57,324.38,327.56,326.66,325.54,323.79,302.82,316.00
2014-11-06 22:21:01.126000,L8,342.69,336.80,328.88,307.71,314.80,322.31,326.96,328.29,333.22,339.08,332.36,334.61
2014-12-15 22:27:04.889000,L8,373.47,359.92,346.12,330.83,325.48,324.65,326.23,324.28,318.31,326.26,312.14,318.33
2015-03-14 22:20:23.206000,L8,277.87,309.51,285.01,287.01,272.06,279.11,305.25,309.13,309.31,320.67,317.73,316.57
2015-04-06 22:26:20.815000,L8,326.22,330.66,301.36,295.74,275.98,285.44,300.64,296.91,300.09,302.33,292.11,288.84
2015-04-15 22:20:10.505000,L8,202.78,275.01,272.24,275.36,258.62,261.40,297.92,302.72,307.60,316.58,314.03,313.24
2015-05-01 22:20:00.344000,L8,218.57,294.29,258.80,277.37,267.41,263.84,293.46,300.71,250.92,315.77,297.59,308.36
2015-08-21 22:20:33.210000,L8,,,,157.02,194.16,223.89,253.67,260.74,309.04,317.35,308.90,312.99
2015-09-29 22:26:59.056000,L8,354.40,339.16,309.57,306.63,285.50,297.11,299.81,304.17,304.30,305.48,292.79,297.44
2015-10-08 22:20:48.527000,L8,264.81,200.36,200.51,,,,,177.18,317.54,321.95,316.16,325.37
2015-10-31 22:27:04.990000,L8,332.30,332.61,300.02,294.19,269.98,261.47,287.35,289.42,298.60,298.74,286.80,290.99
2015-12-27 22:20:55.079000,L8,372.53,360.27,350.60,347.13,339.60,334.01,340.91,346.65,362.51,362.53,353.12,361.89
2016-01-19 22:27:03.476000,L8,436.08,408.10,390.42,422.85,409.44,406.92,403.80,385.46,377.79,401.48,358.87,357.39
2016-02-04 22:27:00.087000,L8,306.32,330.94,304.98,301.91,273.87,264.30,298.94,293.79,301.05,302.91,295.53,293.37
2016-03-16 22:20:36.438000,L8,278.41,309.72,288.61,286.46,273.32,281.19,301.60,302.62,311.91,320.21,316.43,316.22
2016-04-08 22:26:35.612000,L8,312.29,323.80,299.44,294.97,272.50,286.86,293.35,287.44,301.69,297.60,284.83,281.08
2016-05-10 22:26:31.116000,L8,345.66,338.53,283.25,306.14,289.59,228.66,255.09,,286.66,305.45,290.61,281.44
2016-06-11 22:26:39.882000,L8,,205.58,230.22,180.47,210.78,197.83,251.82,,302.58,276.63,257.56,227.65
2016-08-30 22:27:09.042000,L8,388.32,368.88,365.31,364.46,366.46,349.31,346.46,344.64,339.96,336.59,324.42,321.76
2016-09-08 22:21:00.541000,L8,277.51,294.92,282.08,240.20,260.38,220.46,263.38,276.63,311.90,312.77,301.82,311.87
2016-11-27 22:21:07.723000,L8,268.19,269.02,270.73,,,,,,,301.03,306.83,316.71
2016-12-04 22:27:17.474000,L8,374.21,359.60,346.38,331.26,322.46,322.98,326.01,322.94,321.50,322.04,310.38,310.57
2016-12-29 22:21:01.343000,L8,272.37,310.87,289.25,291.15,278.29,276.50,298.75,194.31,296.97,316.61,316.42,317.20
2017-02-06 22:26:57.495000,L8,,164.89,256.13,310.20,290.96,301.83,306.52,304.61,302.10,301.86,293.35,295.60
2017-02-15 22:20:43.526000,L8,349.88,343.91,333.86,326.32,322.77,325.98,333.64,333.21,337.79,341.68,336.82,339.84
2017-02-22 22:26:52.098000,L8,393.86,388.16,361.00,350.76,341.67,335.52,337.73,333.21,341.83,339.13,319.51,320.18
2017-03-26 22:26:34.721000,L8,247.23,263.27,297.14,290.02,263.72,191.23,291.15,288.65,231.45,297.77,287.93,283.87
2017-04-04 22:20:20.280000,L8,215.05,225.97,284.46,144.47,189.62,230.66,297.31,304.05,314.61,320.91,312.43,311.89
2017-04-20 22:20:11.117000,L8,214.99,283.36,286.95,287.24,271.16,237.08,300.74,307.77,315.75,320.71,313.03,314.14
2017-05-06 22:20:07.089000,L8,,204.54,224.61,252.70,189.67,224.83,291.20,,312.91,317.70,185.05,216.41
2017-08-17 22:27:01.961000,L8,332.14,284.01,272.21,270.08,266.10,189.99,251.78,,276.62,289.03,255.25,254.65
2017-09-02 22:27:04.783000,L8,346.19,328.67,307.72,300.56,289.50,297.59,294.18,303.88,304.63,302.91,291.13,296.52
2017-09-18 22:27:06.940000,L8,285.93,,,,,,,143.01,300.49,292.12,,
2017-09-27 22:21:00.343000,L8,322.27,307.42,291.90,283.24,282.55,288.93,,186.61,309.80,317.49,310.48,317.82
2017-10-04 22:27:13.567000,L8,354.43,341.05,314.66,307.39,292.86,297.47,300.91,303.77,303.61,305.73,296.44,299.83
