dates,satname,nzd0124-0000,nzd0124-0001,nzd0124-0002,nzd0124-0003,nzd0124-0004,nzd0124-0005,nzd0124-0006,nzd0124-0007,nzd0124-0008,nzd0124-0009,nzd0124-0010,nzd0124-0011,nzd0124-0012,nzd0124-0013,nzd0124-0014,nzd0124-0015,nzd0124-0016,nzd0124-0017,nzd0124-0018,nzd0124-0019,nzd0124-0020,nzd0124-0021,nzd0124-0022,nzd0124-0023,nzd0124-0024,nzd0124-0025,nzd0124-0026,nzd0124-0027,nzd0124-0028,nzd0124-0029,nzd0124-0030,nzd0124-0031,nzd0124-0032,nzd0124-0033,nzd0124-0034,nzd0124-0035,nzd0124-0036,nzd0124-0037,nzd0124-0038,nzd0124-0039,nzd0124-0040
1999-08-26 22:04:44.971000,L7,,,,,,,,,,,,,,221.75,271.85,,,,,,,285.51,289.30,264.09,287.11,293.23,298.12,300.94,213.72,254.33,,,,,259.25,302.18,300.30,297.10,290.75,233.20,277.12
1999-09-27 22:04:48.949000,L7,477.39,444.71,446.86,318.43,165.31,262.00,210.85,290.31,234.95,269.02,259.14,319.90,297.77,301.67,303.21,250.57,245.90,257.91,273.68,315.42,292.58,281.42,293.41,297.95,294.61,299.17,302.26,303.47,310.35,285.81,238.25,220.92,315.14,316.14,254.88,237.40,218.80,239.49,222.65,283.90,280.62
1999-10-22 21:58:28.758000,L7,247.29,257.23,265.50,321.25,307.36,296.34,323.10,326.15,337.22,329.91,268.54,322.47,303.90,310.63,302.93,284.50,287.07,256.41,270.90,315.69,292.10,289.07,301.41,301.69,299.47,304.75,305.17,306.80,311.69,314.53,301.23,311.66,314.68,316.61,314.75,314.80,306.32,301.92,295.05,345.35,336.58
1999-11-14 22:04:42.286000,L7,306.23,318.17,313.49,,,,230.24,203.68,231.44,266.80,257.53,315.15,295.69,291.16,280.18,246.90,249.35,253.18,244.76,309.15,289.27,267.47,285.98,290.31,286.00,293.43,299.46,301.28,307.23,315.16,287.23,310.85,308.60,316.22,312.32,312.19,306.62,301.95,293.18,283.75,278.55
2000-01-01 22:04:37.439000,L7,,,285.95,314.91,279.94,289.71,451.12,362.39,347.05,370.95,427.86,422.74,413.06,408.19,395.33,386.58,393.60,261.40,278.47,323.37,302.18,298.45,308.19,308.60,306.60,315.08,314.10,316.20,321.80,325.98,309.66,319.01,323.24,323.84,323.28,324.84,322.83,281.95,249.26,183.96,309.83
2000-03-14 21:58:11.336000,L7,,303.84,,464.23,461.14,280.22,215.23,454.13,443.56,261.32,280.58,314.31,425.26,297.37,272.34,242.16,268.29,189.18,,309.98,188.60,279.04,286.56,292.19,290.60,292.93,301.45,303.30,304.35,312.59,294.43,310.78,313.42,316.01,307.63,315.26,304.83,301.43,294.33,286.24,282.02
2000-03-30 21:58:09.573000,L7,324.86,373.45,282.10,,308.77,305.29,359.73,363.42,378.63,,166.43,259.46,295.69,303.91,281.21,244.02,276.77,254.18,269.18,317.16,296.79,284.58,296.63,264.87,201.34,306.17,307.66,308.41,311.09,319.31,302.59,311.95,317.64,319.55,316.85,317.28,311.44,309.64,301.34,292.56,289.92
2000-04-15 21:57:55.957000,L7,527.11,454.23,463.19,451.14,513.61,462.26,441.43,440.38,524.01,399.17,455.77,481.35,420.43,396.20,313.36,323.42,309.57,331.69,325.38,284.31,308.83,313.89,297.79,315.10,297.68,311.07,308.24,307.88,309.82,321.13,301.54,316.17,317.85,323.29,318.35,319.08,313.22,306.90,300.53,291.60,286.56
2000-07-11 22:03:17.779000,L7,304.99,313.89,313.23,312.13,293.02,283.08,313.33,284.25,216.93,258.76,216.44,319.82,285.90,290.36,280.48,231.11,192.89,234.14,269.31,254.09,289.79,288.30,293.70,290.46,283.39,289.14,298.84,300.19,297.41,310.98,286.58,309.55,311.51,308.75,298.64,302.55,299.48,298.54,290.80,283.21,266.19
2000-07-20 21:56:59.837000,L7,319.55,320.73,326.49,318.97,266.13,292.23,317.65,275.61,235.27,220.46,199.83,319.53,302.87,316.38,282.43,229.22,217.87,262.13,297.63,311.89,292.71,289.71,304.22,300.07,299.93,301.19,308.03,309.79,309.73,315.68,303.52,317.11,323.60,319.24,315.11,306.95,306.44,299.45,297.47,297.96,269.58
