dates,satname,nzd0433-0000,nzd0433-0001,nzd0433-0002,nzd0433-0003,nzd0433-0004,nzd0433-0005,nzd0433-0006,nzd0433-0007,nzd0433-0008,nzd0433-0009,nzd0433-0010,nzd0433-0011,nzd0433-0012,nzd0433-0013,nzd0433-0014,nzd0433-0015,nzd0433-0016,nzd0433-0050,nzd0433-0051,nzd0433-0052,nzd0433-0053,nzd0433-0054,nzd0433-0055,nzd0433-0056,nzd0433-0057,nzd0433-0058,nzd0433-0059,nzd0433-0060,nzd0433-0061,nzd0433-0062,nzd0433-0063,nzd0433-0064,nzd0433-0065,nzd0433-0066,nzd0433-0067,nzd0433-0049,nzd0433-0017,nzd0433-0018,nzd0433-0019,nzd0433-0020,nzd0433-0021,nzd0433-0022,nzd0433-0023,nzd0433-0024,nzd0433-0025,nzd0433-0026,nzd0433-0027,nzd0433-0028,nzd0433-0029,nzd0433-0030,nzd0433-0031,nzd0433-0032,nzd0433-0033,nzd0433-0034,nzd0433-0035,nzd0433-0036,nzd0433-0037,nzd0433-0038,nzd0433-0039,nzd0433-0040,nzd0433-0041,nzd0433-0042,nzd0433-0043,nzd0433-0044,nzd0433-0045,nzd0433-0046,nzd0433-0047,nzd0433-0048
2001-01-26 22:10:30.842000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.11,220.56,216.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-20 22:15:01.686000,L7,,,,,,,,,,,,,,,,,224.91,,,,,,,,,177.10,200.86,229.47,226.94,227.02,224.47,229.01,203.45,222.81,204.44,,214.22,172.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-29 22:08:45.213000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.62,202.90,224.58,217.30,224.44,219.05,209.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-14 22:08:53.179000,L7,,,,215.43,240.74,235.24,239.12,253.03,237.24,209.52,246.64,246.58,254.96,251.49,252.20,237.64,234.52,247.75,250.94,223.41,246.31,246.84,248.22,256.55,255.98,222.43,200.28,223.03,226.71,243.08,231.44,227.93,222.10,242.54,222.39,239.44,232.03,228.17,229.93,233.65,235.21,231.37,231.00,233.75,235.30,,,,,,,,,,,,,,,,213.74,209.18,,,222.20,236.11,221.42,246.01
2002-12-31 22:08:20.096000,L7,,,,,,,,,,,,,247.81,242.71,246.19,207.31,228.79,,,,,,,,169.92,178.24,198.42,228.55,223.86,236.23,227.36,232.14,206.39,216.10,207.89,,222.96,229.12,225.92,181.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-24 22:14:49.328000,L7,,,,,,,,,,,224.75,190.54,233.02,255.16,228.08,225.13,,,,,,,,,,,192.70,175.46,226.07,241.39,214.84,235.81,216.29,240.31,207.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-20 21:57:03.003000,L5,260.94,245.21,250.18,241.61,223.13,220.20,223.92,239.30,232.00,249.67,237.64,219.80,191.53,245.25,237.99,186.24,199.31,217.24,222.87,224.70,211.60,219.35,220.73,226.77,237.01,239.27,237.04,234.86,240.22,240.62,239.34,235.03,233.17,231.85,223.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-27 22:03:21.662000,L5,261.32,238.64,240.04,246.34,221.38,219.96,222.19,237.76,247.58,253.10,241.53,180.45,174.57,,,,,228.62,232.51,234.98,223.23,229.02,232.07,203.86,,,234.34,240.08,242.14,238.86,241.85,246.13,236.53,238.94,225.97,216.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-10 21:58:29.659000,L5,283.56,257.66,259.98,252.96,247.64,243.72,242.80,259.79,269.91,265.32,264.15,278.45,292.88,290.87,286.53,277.88,266.08,266.45,264.44,258.33,257.34,257.51,260.22,261.44,265.80,265.18,269.57,273.54,272.97,273.90,274.11,270.62,271.56,269.39,250.45,266.28,267.56,272.50,268.98,265.89,257.11,254.88,252.67,248.90,247.28,244.98,243.36,241.53,235.51,241.41,240.80,243.41,243.92,246.49,249.05,245.80,241.20,243.28,239.70,242.28,241.46,238.28,244.32,253.75,259.62,259.78,264.45,265.68
2003-12-26 21:58:42.145000,L5,279.56,259.98,261.78,257.57,255.09,254.59,257.83,272.30,280.80,269.19,269.27,274.04,290.68,287.31,288.32,276.58,267.03,263.86,271.12,272.37,270.23,271.95,270.48,278.11,275.26,270.52,265.41,265.70,267.10,266.19,267.15,264.28,267.42,272.69,261.81,257.30,265.59,273.40,273.66,277.36,274.64,271.88,269.47,264.28,264.21,261.77,257.66,241.05,232.14,230.73,232.86,235.67,236.00,236.81,241.64,253.07,258.27,261.85,254.81,258.64,256.95,254.80,245.71,246.00,251.41,253.25,255.46,259.48
