dates,satname,nzd0417-0000,nzd0417-0001,nzd0417-0002,nzd0417-0003,nzd0417-0004,nzd0417-0005,nzd0417-0006,nzd0417-0007,nzd0417-0008,nzd0417-0009,nzd0417-0011,nzd0417-0012,nzd0417-0013,nzd0417-0014,nzd0417-0025,nzd0417-0026,nzd0417-0027,nzd0417-0030,nzd0417-0031,nzd0417-0032,nzd0417-0010,nzd0417-0015,nzd0417-0016,nzd0417-0017,nzd0417-0018,nzd0417-0019,nzd0417-0020,nzd0417-0021,nzd0417-0022,nzd0417-0023,nzd0417-0024,nzd0417-0028,nzd0417-0029,nzd0417-0033
1999-08-26 22:06:44.761000,L7,353.35,337.67,320.26,272.19,329.08,318.76,328.88,299.50,302.01,316.73,267.93,220.63,247.77,186.00,293.65,195.23,278.57,303.09,247.29,217.05,,,,,,,,,,,,,,
1999-09-04 22:00:33.926000,L7,,347.76,314.51,268.47,319.39,298.40,321.16,281.82,289.52,296.64,268.25,295.68,298.90,306.44,271.52,270.59,248.76,297.33,269.70,222.66,215.98,,,,,,,,,303.93,285.92,,,
1999-09-27 22:06:48.795000,L7,364.70,355.50,343.65,332.26,343.98,332.91,346.81,335.57,364.41,360.31,377.44,379.14,373.90,362.32,420.46,428.99,431.54,431.01,363.33,464.71,340.24,363.63,285.69,388.09,257.04,369.14,339.77,337.96,339.38,360.96,365.06,422.36,433.82,450.71
1999-10-22 22:00:28.631000,L7,485.08,464.45,465.88,457.34,466.61,468.45,459.29,459.36,459.50,468.94,438.16,440.74,458.03,457.64,433.40,424.66,420.37,451.67,431.42,427.40,452.87,451.01,446.67,443.47,436.80,444.62,463.53,433.20,402.35,439.02,440.11,439.41,461.57,432.03
1999-11-30 22:06:35.082000,L7,,,,,,,300.55,286.26,303.84,308.74,,,,,,,258.63,,,,163.21,,,,,,,290.46,270.34,232.44,,204.89,193.15,
1999-12-09 22:00:33.510000,L7,,329.72,318.06,274.24,320.05,233.63,317.61,312.07,338.63,344.11,350.93,344.40,342.13,301.17,282.77,266.14,288.99,326.68,286.54,320.48,319.83,342.49,273.38,352.88,230.85,319.08,314.31,317.89,290.64,337.91,316.64,303.29,213.20,340.85
2000-01-26 22:00:26.187000,L7,340.61,274.10,317.89,316.17,332.26,317.52,335.46,323.19,356.38,359.38,385.59,417.18,403.35,377.22,387.19,382.14,399.53,357.79,398.13,399.55,337.85,375.88,403.19,388.54,387.39,403.19,400.47,388.67,386.64,377.61,393.12,388.56,370.70,370.21
2000-02-11 22:00:21.827000,L7,299.00,333.45,320.82,325.91,331.61,315.24,332.34,323.50,351.04,351.69,363.45,360.46,354.45,369.71,306.55,275.69,319.46,332.91,338.58,349.53,331.67,355.79,288.38,353.72,220.19,353.30,344.79,338.00,342.92,354.29,328.51,338.76,354.51,360.02
2000-02-27 22:00:16.353000,L7,,328.75,311.75,273.64,321.47,309.19,324.52,307.51,342.57,345.52,355.87,357.88,351.87,337.20,294.47,260.69,286.04,339.22,288.23,340.09,321.65,239.38,254.82,366.59,203.40,328.56,326.72,318.20,339.35,350.54,312.60,321.20,332.80,403.96
2000-03-30 22:00:09.363000,L7,299.98,258.56,317.10,275.03,321.65,311.39,325.31,303.64,325.41,330.51,328.50,353.72,352.56,298.54,293.22,281.52,279.84,314.86,293.02,271.95,303.22,348.62,287.51,314.75,235.45,151.96,,284.08,282.59,293.18,289.56,276.06,266.68,285.88
2000-04-15 21:59:55.745000,L7,368.52,360.17,353.97,347.43,343.59,346.49,345.72,362.74,352.08,359.94,355.06,378.04,365.28,337.18,305.55,375.89,323.26,347.34,338.87,338.07,361.41,355.58,300.18,373.20,339.50,367.04,344.53,328.69,338.87,355.80,321.52,346.18,351.04,355.00
2000-05-01 21:59:54.563000,L7,377.64,369.09,354.51,361.58,348.23,368.23,371.63,355.55,363.07,369.73,361.62,400.57,377.69,344.48,331.48,347.21,338.23,362.52,367.98,478.63,371.93,370.44,343.21,378.79,357.27,368.73,343.80,337.76,351.63,359.34,344.11,359.44,370.09,476.37
2000-05-08 22:05:56.985000,L7,,,324.61,264.17,317.40,317.68,299.44,283.39,284.71,289.02,247.01,242.63,275.93,293.77,291.43,270.96,288.13,298.41,242.41,211.94,221.28,258.48,,,,,,,,236.30,261.00,,,
2000-05-24 22:05:46.512000,L7,412.11,386.96,372.32,407.73,397.30,366.88,363.08,351.89,355.95,365.82,392.02,431.59,394.51,379.68,365.89,377.07,371.78,362.14,367.22,347.81,405.78,401.21,386.47,381.86,382.03,376.04,384.46,381.93,370.73,392.59,346.68,398.27,413.64,371.02
2000-06-18 21:59:27.736000,L7,393.76,366.13,360.71,382.37,360.83,420.32,416.93,412.91,354.39,485.74,506.81,473.17,485.96,444.98,462.85,466.13,387.04,396.63,358.41,403.49,445.35,351.67,380.92,395.04,340.74,378.87,354.18,409.05,340.76,357.97,435.90,469.58,455.25,311.02
2000-07-11 22:05:17.570000,L7,,337.93,295.24,268.09,320.51,298.01,303.91,282.00,295.52,291.69,276.31,291.66,320.52,302.16,276.20,284.60,252.90,303.04,269.57,227.45,229.16,304.15,169.58,298.98,205.82,,314.98,192.01,300.94,314.30,301.91,222.85,250.62,
2000-07-27 22:05:00.333000,L7,373.60,361.54,347.43,341.88,348.17,346.74,349.43,345.46,339.08,355.70,356.56,369.85,368.40,337.65,302.29,328.49,310.96,351.76,326.83,315.71,350.50,351.20,293.32,359.81,358.61,161.51,340.05,339.43,327.46,345.20,321.35,330.97,342.06,329.04
