dates,satname,nzd0400-0000,nzd0400-0001,nzd0400-0002,nzd0400-0003,nzd0400-0004,nzd0400-0005,nzd0400-0006,nzd0400-0007,nzd0400-0008,nzd0400-0009,nzd0400-0010,nzd0400-0011,nzd0400-0012,nzd0400-0013,nzd0400-0014,nzd0400-0015,nzd0400-0016,nzd0400-0017,nzd0400-0018,nzd0400-0019,nzd0400-0020,nzd0400-0021,nzd0400-0022,nzd0400-0023,nzd0400-0024,nzd0400-0025,nzd0400-0026,nzd0400-0027,nzd0400-0028,nzd0400-0029,nzd0400-0030,nzd0400-0031,nzd0400-0032,nzd0400-0033,nzd0400-0034,nzd0400-0035,nzd0400-0036,nzd0400-0037,nzd0400-0038,nzd0400-0039,nzd0400-0040,nzd0400-0041,nzd0400-0042,nzd0400-0043,nzd0400-0044,nzd0400-0045,nzd0400-0046,nzd0400-0047,nzd0400-0048,nzd0400-0049,nzd0400-0050,nzd0400-0051,nzd0400-0052,nzd0400-0053,nzd0400-0054,nzd0400-0055,nzd0400-0056,nzd0400-0057,nzd0400-0058,nzd0400-0059,nzd0400-0060,nzd0400-0061,nzd0400-0062,nzd0400-0063,nzd0400-0064,nzd0400-0065,nzd0400-0066,nzd0400-0067,nzd0400-0068,nzd0400-0069,nzd0400-0070,nzd0400-0071,nzd0400-0072,nzd0400-0073,nzd0400-0074,nzd0400-0075,nzd0400-0076,nzd0400-0077,nzd0400-0078,nzd0400-0079,nzd0400-0080,nzd0400-0081,nzd0400-0082,nzd0400-0083,nzd0400-0084,nzd0400-0085,nzd0400-0086,nzd0400-0087,nzd0400-0088,nzd0400-0089,nzd0400-0090,nzd0400-0091,nzd0400-0092,nzd0400-0093,nzd0400-0094,nzd0400-0095,nzd0400-0096,nzd0400-0097,nzd0400-0098,nzd0400-0099,nzd0400-0100,nzd0400-0101,nzd0400-0102,nzd0400-0103,nzd0400-0104,nzd0400-0105,nzd0400-0106,nzd0400-0107,nzd0400-0108,nzd0400-0109,nzd0400-0110,nzd0400-0111,nzd0400-0112,nzd0400-0113,nzd0400-0114,nzd0400-0115,nzd0400-0116,nzd0400-0117
1999-08-17 22:12:50.033000,L7,,,,174.52,230.41,245.32,247.21,235.43,232.36,240.35,458.66,474.72,498.78,507.81,337.46,340.92,363.25,365.34,404.48,328.11,334.51,413.99,404.48,455.44,472.80,312.91,326.53,467.23,441.31,482.84,490.28,506.05,512.62,511.58,514.40,516.01,506.17,542.92,525.44,351.68,346.68,352.18,313.33,356.72,338.87,378.83,373.71,377.64,373.96,356.10,356.37,343.65,349.17,353.95,353.87,358.33,363.51,371.74,365.12,230.92,227.22,250.60,238.54,336.21,358.37,367.58,373.98,466.02,504.39,503.41,481.44,490.32,486.31,483.27,499.72,506.85,518.72,263.12,257.60,281.67,501.63,473.38,506.63,465.11,499.42,513.66,483.17,478.49,409.98,426.96,414.85,416.98,428.37,453.73,441.18,351.15,363.99,392.38,390.95,404.43,400.02,405.09,419.36,438.92,387.31,366.82,401.70,384.41,491.29,509.44,522.93,509.35,373.17,366.39,358.99,340.57,,
1999-08-26 22:06:44.761000,L7,,,,,,217.27,206.28,197.27,192.93,215.31,237.73,238.70,,,,,247.02,244.66,239.75,237.15,232.23,,,,,256.53,245.78,297.43,310.10,257.52,310.02,343.82,281.98,270.31,254.58,264.43,256.11,263.24,267.49,243.57,239.71,262.13,222.73,258.73,254.14,211.30,251.48,232.18,236.85,,,,,,,,,215.66,217.01,184.23,182.83,207.22,207.09,,,182.93,210.93,225.37,216.81,223.39,205.35,225.05,219.77,211.76,230.36,278.51,287.93,289.90,293.83,257.88,268.56,276.83,279.07,241.83,237.16,286.32,285.28,302.38,297.40,282.73,217.52,188.72,237.75,266.19,288.59,289.77,308.50,299.73,308.21,310.57,303.74,322.48,323.58,320.61,320.04,361.00,355.89,354.10,359.85,364.98,361.13,307.18,315.43,357.99,309.17,,,
1999-11-05 22:12:52.965000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.43,291.07,254.31,223.80,248.93,238.14,238.80,243.68,228.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.27,260.11,220.10,219.40,225.28,210.33,212.29,213.06,202.89,218.99,275.73,236.85,,,269.52,202.18,294.40,285.83,286.43,284.00,286.89,283.98,283.87,289.36,306.57,259.12,255.44,225.00,195.20,314.54,310.78,303.53,260.48,266.43,300.09,302.18,,,
1999-11-21 22:12:47.994000,L7,,,,,,201.48,233.87,206.71,220.42,224.12,207.20,199.19,,,,,222.04,221.86,244.02,217.64,240.80,232.44,232.78,248.07,243.27,236.94,291.06,288.68,297.78,289.38,304.65,327.43,270.25,246.51,245.61,244.94,242.24,249.28,225.61,226.09,221.98,213.94,222.72,,,,,,,,,,,,264.54,241.33,271.60,207.29,213.73,,,,,,,,,,,,,,,,,,,,,252.98,261.23,260.09,226.82,224.42,210.79,256.59,303.87,306.40,305.12,273.66,262.39,241.10,274.18,271.46,293.66,295.37,263.80,283.64,287.91,282.45,281.15,284.40,283.14,311.34,301.61,289.65,310.82,311.57,292.67,311.11,304.10,297.77,259.26,349.78,329.93,306.70,,
1999-12-07 22:12:53.785000,L7,,,,,,,,,,,,,,,,,226.05,222.63,221.82,223.63,,,,,,,,,,,,,,207.72,249.83,243.22,229.20,249.12,189.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.51,218.59,224.46,212.40,192.77,210.36,193.87,206.59,218.94,229.84,235.73,253.09,228.17,211.92,206.92,280.52,268.89,,,,236.02,290.85,284.32,237.09,273.95,277.14,281.64,283.37,278.59,278.88,260.50,254.45,245.16,208.60,346.25,348.42,303.76,298.17,290.16,295.49,263.37,355.36,,,
2000-01-17 22:06:35.665000,L7,444.40,329.09,354.03,350.15,330.10,320.44,327.11,307.29,289.66,290.10,262.90,289.39,272.57,297.83,305.91,316.17,348.76,342.51,353.29,366.00,370.14,393.71,396.30,415.05,424.75,425.19,420.69,424.77,424.80,437.22,424.10,407.28,391.77,383.13,376.74,392.76,394.31,398.87,382.50,378.58,398.65,388.64,380.66,389.87,386.50,383.69,373.45,363.74,374.60,395.84,360.67,346.23,345.35,336.89,344.28,343.28,358.39,357.37,340.02,375.33,352.47,366.26,351.96,360.97,368.72,360.22,376.80,384.03,382.49,361.32,356.59,361.71,393.99,401.68,422.37,430.34,426.70,438.46,432.44,446.84,435.64,442.90,426.20,411.61,442.62,433.65,429.21,436.47,456.24,437.54,472.01,461.66,447.54,447.20,450.34,446.87,489.50,456.14,448.42,447.54,435.53,446.13,459.77,454.09,464.17,481.68,443.95,439.06,467.73,439.31,427.64,502.29,503.81,499.14,454.02,438.19,400.72,407.14
2000-02-18 22:06:29.014000,L7,,329.43,438.72,,359.83,521.63,497.59,345.80,402.24,296.22,279.80,294.27,307.84,285.32,287.99,300.73,314.87,322.93,329.47,334.46,350.69,357.97,362.33,366.25,393.32,388.82,406.04,423.30,399.82,408.80,418.92,408.44,397.21,391.56,404.20,377.48,375.30,375.92,374.18,371.51,381.29,377.44,367.06,356.46,367.61,374.99,396.82,406.06,363.75,343.00,342.30,353.73,337.30,336.09,324.46,346.80,334.96,318.03,322.28,322.45,332.26,326.93,319.22,315.99,333.56,339.10,360.36,354.18,372.15,378.34,354.85,347.55,361.45,360.52,361.56,367.99,382.13,386.99,408.58,394.71,404.20,386.49,388.99,408.05,515.61,494.93,,,,,,,,,,,,,,,,,,,,,,,,,503.09,480.83,,,,,,
2000-03-21 22:06:25.053000,L7,,,,246.64,227.51,235.56,240.61,224.70,222.59,227.97,453.84,487.24,221.19,231.88,224.50,249.49,271.18,277.47,301.50,290.78,291.68,295.51,304.41,318.37,337.08,353.04,409.16,425.15,431.96,442.75,467.51,489.73,512.51,337.86,350.22,350.20,338.00,333.59,303.27,278.84,320.97,329.03,329.20,273.76,265.62,275.96,274.80,264.54,252.76,245.25,239.21,310.93,,236.12,296.86,291.60,281.70,273.03,277.92,290.60,218.57,221.04,225.39,,199.92,226.94,237.55,290.80,282.60,307.60,324.30,334.56,443.35,443.58,457.22,306.03,359.78,365.98,355.65,360.62,375.59,386.56,391.81,304.87,357.48,379.07,396.58,405.56,319.57,316.35,304.90,373.60,395.61,420.57,419.31,336.78,358.67,354.02,373.63,328.63,328.24,361.07,355.67,369.96,366.58,357.95,351.22,349.49,355.45,353.54,343.63,354.48,345.78,356.23,358.60,353.13,,
2000-04-13 22:12:18.119000,L7,,,,248.64,242.65,245.57,245.10,236.01,232.29,234.53,239.83,263.62,231.24,244.04,244.89,254.82,268.93,265.37,286.54,297.44,303.09,311.84,334.70,284.17,290.48,296.89,306.90,317.75,330.98,336.53,336.86,343.73,349.66,349.25,324.40,296.74,295.58,291.49,330.48,333.77,324.29,319.43,325.07,281.06,277.68,278.25,276.96,267.62,263.97,261.38,260.94,240.96,226.38,238.69,234.82,258.77,266.61,247.76,230.28,351.76,357.76,341.80,358.70,374.95,221.87,231.78,237.13,248.29,244.44,248.54,252.75,238.09,252.87,237.48,267.45,311.15,318.55,327.65,331.16,330.04,319.11,306.19,307.35,307.72,302.82,313.78,320.72,326.80,321.04,317.08,309.12,318.84,327.38,332.41,336.38,346.73,349.22,334.59,343.03,347.21,339.91,353.27,354.29,351.09,343.28,355.52,355.14,355.08,354.65,357.54,372.03,355.71,353.76,350.41,356.06,230.14,,
2000-05-24 22:05:46.512000,L7,,,,,,233.79,216.03,200.97,211.10,209.13,214.69,,,,,219.27,226.79,232.42,233.16,224.84,234.30,,250.85,253.07,251.84,270.35,276.94,298.01,299.61,220.22,259.57,301.55,273.27,258.69,251.96,238.83,249.48,255.21,278.86,241.14,234.56,226.85,231.25,244.35,255.20,222.85,233.23,254.72,,,,,,,,,,,,,,,,,,,,,,,,,,,224.56,249.38,248.49,261.07,265.12,247.23,,,248.39,263.72,263.54,256.64,,,,,,,,,,,293.68,296.73,307.31,314.36,304.23,319.13,318.51,306.59,310.88,258.40,276.98,317.72,328.40,309.14,309.67,299.00,309.08,311.34,,,,
