dates,satname,nzd0450-0000,nzd0450-0001,nzd0450-0002,nzd0450-0003,nzd0450-0004,nzd0450-0005,nzd0450-0006,nzd0450-0007,nzd0450-0008,nzd0450-0009,nzd0450-0010,nzd0450-0011,nzd0450-0012,nzd0450-0013,nzd0450-0014,nzd0450-0018,nzd0450-0019,nzd0450-0020,nzd0450-0021,nzd0450-0022,nzd0450-0023,nzd0450-0024,nzd0450-0025,nzd0450-0026,nzd0450-0027,nzd0450-0028,nzd0450-0029,nzd0450-0030,nzd0450-0031,nzd0450-0032,nzd0450-0033,nzd0450-0034,nzd0450-0035,nzd0450-0036,nzd0450-0037,nzd0450-0038,nzd0450-0039,nzd0450-0040,nzd0450-0041,nzd0450-0042,nzd0450-0043,nzd0450-0044,nzd0450-0045,nzd0450-0046,nzd0450-0047,nzd0450-0048,nzd0450-0049,nzd0450-0050,nzd0450-0051,nzd0450-0052,nzd0450-0053,nzd0450-0054,nzd0450-0055,nzd0450-0056,nzd0450-0057,nzd0450-0058,nzd0450-0059,nzd0450-0060,nzd0450-0061,nzd0450-0062,nzd0450-0063,nzd0450-0064,nzd0450-0065,nzd0450-0066,nzd0450-0067,nzd0450-0068,nzd0450-0069,nzd0450-0070,nzd0450-0071,nzd0450-0072,nzd0450-0073,nzd0450-0074,nzd0450-0075,nzd0450-0076,nzd0450-0077,nzd0450-0078,nzd0450-0079,nzd0450-0080,nzd0450-0081,nzd0450-0082,nzd0450-0083,nzd0450-0084,nzd0450-0085,nzd0450-0086,nzd0450-0087,nzd0450-0088,nzd0450-0089,nzd0450-0090,nzd0450-0091,nzd0450-0092,nzd0450-0093,nzd0450-0094,nzd0450-0095,nzd0450-0096,nzd0450-0097,nzd0450-0098,nzd0450-0099,nzd0450-0100,nzd0450-0101,nzd0450-0102,nzd0450-0103,nzd0450-0104,nzd0450-0105,nzd0450-0106,nzd0450-0107,nzd0450-0108,nzd0450-0109,nzd0450-0110,nzd0450-0111,nzd0450-0112,nzd0450-0113,nzd0450-0114,nzd0450-0115,nzd0450-0116,nzd0450-0117,nzd0450-0118,nzd0450-0119,nzd0450-0120,nzd0450-0121,nzd0450-0122,nzd0450-0123,nzd0450-0124,nzd0450-0125,nzd0450-0126,nzd0450-0127,nzd0450-0128,nzd0450-0129,nzd0450-0130,nzd0450-0131,nzd0450-0132,nzd0450-0133,nzd0450-0134,nzd0450-0135,nzd0450-0136,nzd0450-0137,nzd0450-0138,nzd0450-0139,nzd0450-0140,nzd0450-0141,nzd0450-0142,nzd0450-0143,nzd0450-0144,nzd0450-0145,nzd0450-0146,nzd0450-0147,nzd0450-0148,nzd0450-0149,nzd0450-0150,nzd0450-0151,nzd0450-0152,nzd0450-0153,nzd0450-0015,nzd0450-0016,nzd0450-0017
1999-11-12 22:19:27.510000,L7,364.75,383.05,366.97,362.48,370.88,209.93,225.76,194.87,272.39,271.16,370.71,327.19,271.82,222.73,222.41,172.03,174.80,171.69,181.23,180.18,181.67,176.79,181.51,182.79,184.29,190.44,168.16,176.81,186.65,190.52,194.59,216.40,199.54,184.66,191.58,182.94,189.95,186.58,171.42,191.36,221.36,196.92,205.15,186.42,214.43,220.65,228.02,222.57,235.85,245.03,266.60,258.34,259.91,248.45,234.97,237.76,247.51,246.83,238.99,229.16,244.20,239.86,284.39,286.96,297.48,293.70,304.92,272.01,283.35,329.98,318.88,332.33,324.37,317.83,319.46,316.24,278.33,326.75,329.78,345.79,315.66,329.55,318.54,339.96,360.81,353.97,313.89,314.22,324.20,345.85,332.83,358.10,409.44,375.01,259.84,303.56,324.88,232.15,216.84,243.28,269.04,400.95,492.46,452.59,277.17,291.79,284.33,285.92,284.95,285.32,295.12,283.96,294.81,281.57,253.55,261.00,248.35,249.42,248.02,379.59,356.55,335.02,340.41,336.55,330.98,324.00,315.10,319.39,312.49,326.11,327.47,300.40,319.17,367.59,353.72,349.92,327.14,315.43,357.49,368.28,365.24,359.98,411.91,402.64,348.31,376.36,344.21,372.93,370.95,342.18,314.06,,,
1999-11-28 22:18:56.993000,L7,386.05,388.67,416.04,420.12,428.59,424.36,412.95,404.68,380.29,334.21,363.99,359.12,302.01,267.21,253.37,284.47,334.54,287.96,269.04,274.00,317.20,323.91,311.12,296.65,285.71,310.82,328.60,299.53,288.38,191.82,206.92,196.95,201.37,200.62,220.76,261.92,255.35,262.99,294.56,316.87,290.99,250.94,280.63,252.52,297.21,336.19,346.55,345.36,323.33,343.08,358.92,344.68,311.80,285.39,273.85,283.72,233.43,231.56,238.10,336.13,299.40,252.41,262.39,264.52,303.20,334.35,397.30,257.32,266.85,272.89,275.50,296.43,281.65,276.17,274.74,280.12,268.00,264.52,263.42,265.70,264.51,334.77,334.88,332.89,327.23,339.85,347.09,464.59,441.89,453.06,476.52,442.62,444.27,379.37,413.21,208.32,230.90,231.94,258.82,271.73,335.02,422.64,470.31,443.53,529.78,391.80,470.45,431.02,456.46,475.05,384.72,375.12,405.21,351.21,342.32,358.02,403.62,347.55,341.79,377.91,324.69,340.73,325.91,340.91,324.30,322.70,325.48,299.36,315.77,315.26,305.29,302.15,339.26,343.35,297.31,320.96,307.40,309.95,314.86,325.79,324.93,339.44,434.45,476.67,492.79,478.69,368.17,400.69,389.02,416.29,410.74,223.80,242.80,345.35
1999-11-28 22:19:20.962000,L7,376.55,387.94,416.96,419.78,429.09,425.03,413.62,400.46,380.26,329.46,362.78,359.22,302.38,267.38,253.76,324.79,332.54,287.00,260.57,263.23,307.59,322.92,310.17,295.82,283.56,305.28,325.54,301.08,278.67,286.48,308.75,275.51,238.31,265.84,217.66,262.22,252.32,259.83,292.03,312.37,291.63,255.75,281.46,250.03,294.06,334.27,340.86,344.32,319.55,340.89,357.71,314.08,311.44,279.83,271.28,283.50,232.85,228.25,236.45,336.18,302.03,313.07,300.99,285.69,299.00,330.01,391.46,256.10,264.64,271.15,274.18,291.25,279.88,275.20,272.89,276.94,262.12,263.74,260.63,262.02,333.64,332.09,277.27,324.76,319.81,335.89,348.13,364.10,437.97,446.05,470.43,439.77,444.60,373.27,406.19,373.81,341.85,424.99,487.52,425.22,449.96,181.47,193.49,196.26,208.80,217.78,221.54,226.00,230.55,231.45,238.85,239.40,241.20,216.31,208.91,203.40,198.91,349.70,329.70,375.78,322.52,343.08,326.92,341.79,323.14,322.34,323.73,302.65,314.76,313.41,304.59,295.62,341.21,343.43,328.72,320.06,307.90,309.45,313.54,323.19,324.26,337.54,425.13,481.24,490.75,476.28,363.85,397.02,390.43,408.54,405.18,225.07,241.30,215.74
1999-12-07 22:13:17.706000,L7,,,,,,,,,,,,,,,,,,,,,,,,,181.51,193.97,209.20,200.79,209.04,213.29,232.81,225.33,245.03,235.64,223.39,225.83,237.31,218.93,211.91,213.07,212.51,209.43,220.39,226.90,234.53,234.49,240.78,271.95,276.05,274.60,301.80,312.14,276.10,268.05,262.89,271.83,267.82,258.11,269.65,283.54,273.85,275.86,289.10,310.47,299.56,319.89,326.72,303.16,295.61,308.63,318.93,318.61,319.78,311.22,314.22,332.55,297.64,337.39,295.15,323.13,331.46,311.41,290.20,290.00,296.02,306.89,302.39,288.86,290.91,300.52,303.67,287.31,427.12,382.49,256.78,248.97,265.83,240.83,279.35,277.73,278.24,300.33,339.08,357.39,319.50,301.28,343.38,333.41,334.20,325.85,237.37,236.62,234.69,225.82,215.95,226.44,204.30,255.19,263.85,270.94,277.59,294.70,288.96,321.93,292.86,281.02,299.75,253.06,306.06,286.13,270.25,269.38,276.27,219.38,278.97,210.42,283.42,287.30,282.04,281.92,294.29,296.09,304.29,296.51,294.46,301.90,303.47,288.66,308.14,312.53,229.48,,,
1999-12-14 22:19:07.664000,L7,320.30,323.17,346.01,356.84,364.43,338.09,353.35,343.72,259.73,259.04,262.37,228.18,193.34,177.73,,,,,,,,,,514.06,505.00,497.70,187.32,187.37,247.20,254.16,268.99,281.46,501.54,442.38,496.11,258.37,282.89,247.57,169.64,176.68,185.04,178.32,182.36,180.06,197.88,193.38,204.61,214.57,219.76,218.16,213.17,231.50,231.71,212.90,219.08,219.22,224.37,223.99,231.65,230.25,232.09,224.22,227.91,239.80,241.75,252.50,261.00,248.55,260.11,268.90,228.89,231.54,229.49,223.58,223.31,217.00,204.68,215.07,264.15,268.36,251.86,243.89,258.42,268.32,278.42,298.88,305.22,384.93,370.76,414.58,387.15,402.56,412.63,371.06,229.73,287.37,336.96,348.13,438.29,273.86,371.46,397.53,202.27,540.84,384.89,453.26,222.68,235.32,235.03,240.29,243.05,241.77,242.22,237.33,229.63,216.88,201.15,333.00,183.80,249.32,220.52,368.96,316.12,225.58,305.51,345.64,329.58,316.56,316.50,307.74,242.66,299.94,314.52,317.06,302.91,317.87,326.21,331.10,238.30,171.72,180.90,357.47,347.47,358.36,305.75,312.25,372.72,376.81,400.11,164.86,293.99,,,
1999-12-14 22:19:31.626000,L7,322.89,323.63,346.87,356.89,366.00,336.70,361.18,299.97,259.95,259.08,263.32,228.95,195.40,183.38,163.77,,,,,,,,,532.78,507.09,503.15,226.11,187.72,246.75,253.69,268.30,278.99,276.74,257.67,,257.91,283.70,248.40,170.25,176.81,185.43,179.34,183.39,179.99,197.83,193.73,172.53,182.61,188.92,192.16,200.37,177.54,178.20,191.30,190.47,218.13,224.16,223.87,231.35,231.03,231.11,224.02,227.56,239.50,241.49,251.51,256.40,247.77,259.49,268.77,229.08,233.04,231.22,223.80,222.23,217.38,217.17,215.92,263.10,268.12,250.83,243.16,258.53,261.60,283.27,299.78,302.23,339.00,413.24,402.83,386.67,402.76,405.37,315.29,229.99,283.30,335.77,346.76,247.97,272.60,368.69,334.19,202.42,529.49,385.20,453.59,222.38,235.17,233.12,240.22,242.40,241.58,242.57,237.60,229.03,217.36,204.94,229.82,235.23,247.09,261.16,263.89,254.96,248.81,253.30,249.61,242.02,218.33,246.51,307.07,241.61,299.46,313.19,314.97,302.56,317.69,326.71,278.08,314.96,224.60,267.56,267.45,265.59,267.29,266.97,265.66,269.50,272.30,255.82,250.22,441.32,,,
2000-09-27 22:16:36.610000,L7,359.70,317.11,332.20,328.13,298.43,362.48,278.29,351.99,362.84,336.89,284.29,265.07,289.64,230.21,247.69,198.79,219.47,196.75,218.35,232.79,224.29,223.99,213.86,197.80,251.60,212.25,201.90,176.95,220.32,205.01,219.30,235.60,283.64,294.17,242.45,220.46,281.86,240.23,220.28,239.16,250.00,240.06,220.08,235.59,259.43,239.72,257.19,243.83,265.91,298.75,255.93,267.93,327.33,295.57,283.80,310.43,297.89,283.58,268.35,252.62,263.77,265.38,263.80,281.03,284.13,294.28,287.10,342.62,299.41,336.76,347.38,346.82,337.73,316.17,336.92,315.23,306.27,355.87,351.47,314.19,314.20,345.69,314.40,348.88,334.04,335.43,323.98,288.56,292.32,289.49,323.34,274.04,385.23,386.16,295.96,219.73,238.72,297.25,271.22,282.35,292.45,324.49,296.31,296.25,328.42,337.02,324.61,329.90,357.72,319.75,323.59,262.69,296.89,293.53,282.13,285.10,307.14,250.51,228.02,210.16,226.02,223.35,224.54,219.62,220.08,217.37,213.38,211.52,204.58,212.96,216.13,283.69,262.49,266.66,464.60,526.98,528.00,491.09,260.20,436.37,440.24,253.09,273.03,417.58,386.96,355.99,361.57,320.13,331.14,373.60,342.15,243.29,246.18,210.54
2000-09-27 22:17:00.586000,L7,293.94,323.33,316.74,330.86,296.05,341.24,276.68,311.21,363.66,296.35,293.60,258.40,288.18,228.71,220.44,199.54,197.77,193.40,227.27,228.99,172.53,235.62,207.61,201.07,195.30,205.29,200.91,177.91,215.53,201.28,222.76,219.38,234.13,252.64,216.38,226.67,204.35,239.79,209.23,240.19,214.97,248.06,220.14,231.28,244.82,243.12,249.91,251.80,245.15,269.08,262.09,266.65,297.89,290.54,285.67,312.21,300.65,270.18,226.87,254.98,269.34,265.94,265.46,277.70,283.85,287.57,283.40,338.78,306.64,339.90,346.01,346.56,316.25,316.23,327.55,315.26,305.46,373.23,344.64,265.09,303.11,307.10,251.65,317.22,330.12,334.50,326.66,287.48,294.02,287.91,319.45,277.15,289.76,380.88,259.46,208.46,246.11,253.92,282.44,266.12,288.55,322.27,282.06,281.43,318.84,333.52,261.72,326.39,346.02,313.61,321.13,242.58,262.52,233.92,254.30,281.90,239.24,202.62,228.33,205.91,227.77,223.54,225.89,219.92,222.05,221.45,215.50,212.87,205.54,215.64,219.86,221.96,229.67,249.99,267.43,222.28,227.90,236.35,239.96,238.38,244.63,237.22,251.95,249.41,252.88,253.70,252.11,251.52,249.15,249.27,248.70,243.79,234.88,207.55
2000-11-14 22:16:30.766000,L7,264.77,274.23,223.08,221.95,224.80,211.80,197.51,192.86,182.57,175.66,201.65,453.67,482.49,514.32,186.57,,,,,,441.94,431.14,477.47,423.72,,,,,,,,,,539.04,520.75,452.02,483.15,,,,,,175.28,224.88,243.37,239.88,247.79,238.06,233.59,248.72,247.97,253.22,251.66,252.95,261.90,261.16,258.37,286.82,253.74,253.34,198.18,195.28,196.50,253.92,285.96,308.31,299.76,283.30,361.00,213.33,230.75,240.07,235.05,240.67,238.98,233.83,232.92,214.28,347.36,366.51,248.25,252.97,243.35,240.09,230.55,232.53,227.00,334.46,377.71,427.84,388.26,353.87,274.79,359.07,239.16,170.29,,465.71,380.61,408.69,304.61,488.22,520.42,437.66,255.17,266.32,189.64,208.01,175.90,174.34,231.12,227.49,451.85,443.49,443.84,446.17,243.60,230.31,236.23,468.64,405.53,253.81,258.54,243.42,416.87,428.65,232.82,229.41,225.57,424.35,448.20,454.54,445.47,397.19,227.18,190.13,194.40,196.86,195.05,194.00,195.95,309.41,428.39,402.29,404.29,364.48,384.35,304.33,263.64,272.20,274.78,,,
2000-11-14 22:16:54.735000,L7,265.36,277.03,224.19,224.85,226.34,218.92,202.74,195.09,187.16,177.15,207.44,195.69,201.39,210.36,187.09,,,,,,,435.77,477.54,417.55,,,,,,,,440.60,516.78,518.38,522.66,458.03,438.55,,,,,,175.55,226.14,241.90,241.76,248.61,264.51,262.30,265.57,226.71,223.83,220.84,225.52,230.27,224.97,222.49,225.18,277.83,297.82,271.59,291.64,284.08,282.09,288.11,299.75,300.69,318.81,360.58,326.13,345.66,332.07,339.33,329.95,323.49,365.45,340.82,306.94,313.94,400.68,247.88,253.51,245.19,242.19,230.63,231.96,231.42,229.30,250.75,246.09,386.15,281.80,276.62,359.30,239.21,171.14,171.43,387.82,381.92,185.32,205.16,227.47,221.46,234.92,214.46,224.57,223.12,241.65,246.37,263.02,263.08,263.70,271.97,272.55,251.89,245.49,245.84,231.45,236.71,243.50,259.09,256.59,265.61,245.05,253.60,243.08,234.97,229.99,227.58,239.37,236.53,239.79,243.97,236.69,230.90,245.85,248.26,243.53,239.12,252.94,257.44,248.92,265.11,266.64,266.58,259.42,261.50,262.97,269.29,273.33,276.00,462.19,,
