dates,satname,nzd0474-0000,nzd0474-0001,nzd0474-0002,nzd0474-0003,nzd0474-0004,nzd0474-0005,nzd0474-0006,nzd0474-0007,nzd0474-0008,nzd0474-0009,nzd0474-0010,nzd0474-0011,nzd0474-0012,nzd0474-0013,nzd0474-0014,nzd0474-0015,nzd0474-0016,nzd0474-0017,nzd0474-0018,nzd0474-0019,nzd0474-0020,nzd0474-0021,nzd0474-0022,nzd0474-0023,nzd0474-0024,nzd0474-0025,nzd0474-0026,nzd0474-0027,nzd0474-0028,nzd0474-0029,nzd0474-0030,nzd0474-0031,nzd0474-0032,nzd0474-0033,nzd0474-0034,nzd0474-0035,nzd0474-0036,nzd0474-0037,nzd0474-0038,nzd0474-0039,nzd0474-0040,nzd0474-0041,nzd0474-0042,nzd0474-0043,nzd0474-0044,nzd0474-0045,nzd0474-0046,nzd0474-0047,nzd0474-0048,nzd0474-0049,nzd0474-0050,nzd0474-0051,nzd0474-0052,nzd0474-0053,nzd0474-0054,nzd0474-0055,nzd0474-0056,nzd0474-0057,nzd0474-0058,nzd0474-0059,nzd0474-0060,nzd0474-0061,nzd0474-0062,nzd0474-0063,nzd0474-0064,nzd0474-0065,nzd0474-0066,nzd0474-0067,nzd0474-0068,nzd0474-0069,nzd0474-0070,nzd0474-0071,nzd0474-0072
1999-08-26 22:07:08.722000,L7,298.49,312.29,295.19,334.15,322.20,324.21,305.32,307.12,342.51,350.75,343.47,346.16,345.68,352.22,348.47,343.15,328.35,317.57,415.94,432.41,517.31,520.07,386.37,368.98,367.65,362.57,450.29,479.02,372.87,371.57,373.04,385.54,369.70,374.39,352.03,383.18,290.81,302.38,309.74,297.79,296.38,302.66,312.40,305.49,321.88,333.16,335.81,335.82,340.28,258.89,248.80,243.10,251.05,314.75,323.50,336.56,319.63,262.88,273.05,278.16,276.92,308.74,286.44,283.90,284.48,286.22,277.37,284.66,279.38,276.46,282.90,360.32,271.74
1999-11-30 22:06:59.059000,L7,295.11,302.33,273.11,284.87,285.81,274.22,269.28,276.91,276.23,272.11,294.66,284.40,283.12,291.12,279.87,277.58,268.47,266.50,272.30,264.33,266.73,264.87,260.88,269.79,268.07,265.41,265.08,262.78,259.19,260.24,253.82,262.83,264.70,267.81,270.27,275.26,294.66,289.25,266.84,266.40,275.88,267.86,285.01,273.62,288.16,293.91,299.66,311.93,318.66,292.10,279.54,277.50,287.41,299.69,305.03,322.90,303.59,296.26,303.22,303.42,306.56,316.92,310.54,332.48,323.58,327.95,332.68,332.54,332.35,325.71,320.93,317.69,
1999-12-16 22:07:09.748000,L7,453.13,438.05,420.52,447.65,459.18,451.03,458.17,454.22,472.86,492.66,495.97,491.50,450.07,468.11,461.92,428.33,389.90,411.90,418.30,399.09,390.22,381.38,381.23,391.25,375.48,318.98,321.97,327.75,323.75,371.73,369.42,364.92,359.04,316.67,310.87,319.34,386.16,318.44,324.13,337.39,339.01,333.89,334.78,335.16,341.25,351.88,346.42,355.89,360.72,354.47,347.56,349.90,349.89,351.32,355.80,358.16,397.04,381.10,386.77,386.14,397.36,357.15,365.09,366.42,369.56,368.45,410.87,418.27,414.41,414.41,407.64,410.29,406.19
2000-03-21 22:06:49.022000,L7,496.13,,508.41,248.04,252.10,279.42,474.55,399.85,474.07,485.98,,,458.41,391.62,389.04,386.26,463.74,469.92,463.23,440.14,445.58,435.36,429.12,420.41,426.58,436.56,440.89,415.20,405.41,421.01,386.09,402.13,398.40,413.95,395.63,379.58,373.53,406.66,407.01,409.54,387.98,340.41,408.88,381.03,367.67,376.73,361.22,360.67,380.93,374.16,365.46,348.34,350.74,345.13,354.56,361.84,360.13,345.40,322.93,353.94,366.46,375.81,380.63,378.55,370.77,386.98,383.19,388.16,395.48,398.25,378.80,382.47,389.72
2000-05-08 22:06:20.956000,L7,250.10,300.96,254.94,312.70,307.74,291.95,291.30,294.15,294.41,305.14,313.59,307.38,307.52,307.50,298.38,314.89,285.95,377.21,379.38,408.62,379.98,,291.88,300.67,297.79,298.26,301.46,298.76,287.77,301.60,289.30,296.88,293.44,293.03,299.11,304.41,297.13,304.85,301.63,299.47,306.25,304.42,310.39,303.74,313.61,317.96,321.32,326.68,327.09,300.85,268.90,274.98,206.22,311.86,313.23,316.30,319.42,309.56,312.68,355.94,315.73,325.27,331.11,340.40,340.09,341.95,337.17,345.69,343.20,339.42,336.23,338.08,337.26
2000-06-25 22:05:55.844000,L7,,,252.39,322.62,301.34,298.24,309.36,305.09,314.94,316.08,341.17,330.95,320.78,301.14,292.27,319.20,287.94,312.20,270.42,316.75,248.76,277.69,278.19,307.89,306.29,295.31,302.44,287.84,299.88,302.34,313.82,281.99,295.58,303.71,333.05,301.80,292.84,257.52,260.01,181.90,245.53,184.69,150.35,317.96,318.41,335.01,343.23,335.64,350.15,272.64,260.78,260.82,271.91,317.99,323.77,327.27,315.96,313.38,317.20,313.58,,344.06,307.93,338.32,341.88,342.72,343.04,339.13,368.16,342.91,337.03,329.36,336.45
2000-07-27 22:05:24.302000,L7,,244.46,244.16,306.22,303.59,293.08,292.63,293.68,295.66,296.98,308.91,299.53,298.94,301.72,294.22,294.31,285.05,289.91,267.58,288.16,284.19,269.49,,294.22,289.86,289.14,289.70,286.58,286.43,298.34,288.57,280.96,279.52,284.62,288.99,290.50,290.26,299.56,292.42,299.79,302.89,292.65,303.61,293.60,303.47,306.55,316.66,322.27,332.21,303.42,,,,315.84,317.52,333.13,257.73,,,,,,,339.06,336.68,338.95,344.90,331.70,364.75,292.09,337.06,330.34,341.61
2000-08-12 22:05:17.927000,L7,417.38,437.73,431.57,430.43,418.48,287.19,288.32,373.20,396.66,406.58,399.67,301.65,294.44,397.24,392.24,377.44,374.78,381.42,378.98,379.88,257.67,248.18,240.18,297.20,293.39,300.22,296.75,290.74,294.51,304.49,349.36,332.74,358.01,366.76,363.86,364.35,357.87,294.45,293.72,301.92,311.53,313.62,304.69,306.14,295.07,307.83,319.89,322.93,325.22,181.78,,,308.99,309.22,323.58,321.46,315.86,,,,,,,,,,,,,172.36,228.83,339.46,334.14
2000-12-18 22:04:37.758000,L7,457.53,462.88,460.77,427.91,406.73,386.63,383.13,421.66,438.02,447.56,442.09,422.93,411.24,422.33,411.24,386.28,386.59,379.23,385.95,388.26,406.54,377.67,388.37,395.74,386.17,372.05,376.98,382.73,376.20,372.99,367.99,373.48,363.03,367.91,364.24,373.94,369.70,369.07,374.72,382.40,381.45,385.00,381.65,395.53,395.43,401.63,392.70,403.83,397.12,385.75,385.90,384.48,389.11,388.32,386.09,393.77,384.64,379.22,386.68,394.76,407.36,433.85,414.05,437.82,417.99,420.62,425.47,435.02,446.99,460.91,459.22,486.68,514.54
2001-01-03 22:04:36.218000,L7,294.70,293.56,276.68,280.43,286.21,267.30,266.21,275.76,275.84,273.97,294.99,289.51,282.03,289.97,281.71,,268.27,361.78,360.20,367.59,190.14,,,,260.74,263.32,260.60,258.80,255.85,258.56,251.99,261.00,260.54,263.72,266.37,298.90,271.35,272.98,267.47,266.24,281.03,291.85,281.67,273.69,292.98,300.41,306.12,305.78,327.49,358.74,353.48,296.58,309.63,311.97,305.38,313.37,179.24,,,,,,,,,,,,,,,345.04,389.76
