dates,satname,nzd0269-0000,nzd0269-0001,nzd0269-0002,nzd0269-0003,nzd0269-0004,nzd0269-0005,nzd0269-0006,nzd0269-0007,nzd0269-0008,nzd0269-0009,nzd0269-0010,nzd0269-0011,nzd0269-0012,nzd0269-0013,nzd0269-0014,nzd0269-0015,nzd0269-0016,nzd0269-0017,nzd0269-0018,nzd0269-0019,nzd0269-0020,nzd0269-0021,nzd0269-0022,nzd0269-0023,nzd0269-0024,nzd0269-0025,nzd0269-0026,nzd0269-0027,nzd0269-0028,nzd0269-0029,nzd0269-0030,nzd0269-0031,nzd0269-0032,nzd0269-0033,nzd0269-0034,nzd0269-0035,nzd0269-0036,nzd0269-0037,nzd0269-0038,nzd0269-0039,nzd0269-0040,nzd0269-0041,nzd0269-0042,nzd0269-0043,nzd0269-0044,nzd0269-0045,nzd0269-0046,nzd0269-0047,nzd0269-0048,nzd0269-0049,nzd0269-0050,nzd0269-0051,nzd0269-0052,nzd0269-0053,nzd0269-0054,nzd0269-0066,nzd0269-0067,nzd0269-0068,nzd0269-0069,nzd0269-0071,nzd0269-0072,nzd0269-0073,nzd0269-0075,nzd0269-0076,nzd0269-0077,nzd0269-0078,nzd0269-0079,nzd0269-0082,nzd0269-0083,nzd0269-0084,nzd0269-0085,nzd0269-0086,nzd0269-0087,nzd0269-0088,nzd0269-0089,nzd0269-0090,nzd0269-0091,nzd0269-0092,nzd0269-0093,nzd0269-0094,nzd0269-0095,nzd0269-0096,nzd0269-0097,nzd0269-0098,nzd0269-0099,nzd0269-0100,nzd0269-0101,nzd0269-0102,nzd0269-0103,nzd0269-0104,nzd0269-0105,nzd0269-0106,nzd0269-0107,nzd0269-0108,nzd0269-0109,nzd0269-0110,nzd0269-0111,nzd0269-0112,nzd0269-0113,nzd0269-0114,nzd0269-0115,nzd0269-0116,nzd0269-0117,nzd0269-0118,nzd0269-0119,nzd0269-0120,nzd0269-0121,nzd0269-0122,nzd0269-0123,nzd0269-0124,nzd0269-0125,nzd0269-0126,nzd0269-0055,nzd0269-0056,nzd0269-0057,nzd0269-0058,nzd0269-0064,nzd0269-0065,nzd0269-0070,nzd0269-0074,nzd0269-0080,nzd0269-0081,nzd0269-0063,nzd0269-0059,nzd0269-0060,nzd0269-0061,nzd0269-0062
1999-12-25 21:59:16.152000,L7,289.52,320.12,311.77,323.54,329.15,374.35,375.91,390.34,315.23,315.38,300.62,305.34,419.65,391.79,386.46,394.81,398.09,368.23,305.72,421.76,426.82,431.19,434.22,436.25,434.94,289.14,383.34,366.52,364.44,283.46,287.31,235.15,232.91,264.58,236.75,239.85,233.07,271.32,231.27,243.70,251.14,272.04,268.19,272.09,264.62,272.23,271.66,273.65,265.59,266.95,277.45,273.50,274.76,274.56,258.90,291.21,303.14,291.95,278.76,255.28,281.77,275.20,270.62,217.14,269.18,261.45,213.71,361.65,351.74,358.18,365.56,355.72,360.05,367.81,271.90,286.09,388.22,390.70,376.98,392.20,380.16,384.13,307.65,309.22,304.00,295.58,300.49,308.41,292.85,295.01,303.27,313.52,315.76,321.80,317.82,284.46,264.35,256.79,286.90,287.92,306.97,315.22,321.38,313.87,323.24,300.64,315.49,305.61,317.22,297.52,271.50,298.42,,,,,,,,,,,,,,,
2000-01-10 21:59:16.407000,L7,,549.47,485.66,440.05,478.69,456.78,487.87,,522.42,489.22,514.10,447.55,448.87,490.21,481.03,471.13,463.71,489.83,469.08,482.32,472.12,488.99,486.81,485.01,488.44,408.06,410.29,445.00,473.95,450.64,450.99,422.45,404.14,437.29,465.80,444.21,449.31,443.65,444.66,465.84,427.21,435.84,451.27,455.84,446.34,412.72,418.84,483.64,473.28,469.03,475.73,487.24,485.68,505.05,548.50,192.15,182.84,455.87,437.75,475.01,417.31,438.89,436.25,481.39,449.99,432.89,433.13,430.65,377.87,388.01,338.26,428.09,433.55,425.77,452.91,455.49,449.67,424.90,423.70,459.61,391.92,403.24,430.58,445.05,442.01,406.86,390.80,418.13,417.31,464.12,483.93,459.54,434.87,428.89,457.51,445.61,345.66,364.05,495.57,464.34,405.16,396.43,386.21,384.83,369.21,419.05,483.82,376.26,391.08,416.31,427.05,430.72,545.32,516.22,530.00,522.55,237.65,238.76,447.50,437.64,430.55,490.93,230.14,527.99,180.33,190.49,220.11
2000-01-26 21:59:14.283000,L7,429.32,449.30,467.07,462.61,311.83,422.03,337.99,337.93,339.45,347.01,332.81,335.11,331.12,297.88,312.38,306.23,317.37,325.58,313.44,480.43,526.73,470.76,281.71,,,333.28,447.03,424.75,255.18,413.22,441.53,401.03,318.71,198.23,174.90,428.48,360.70,338.89,427.06,456.44,260.20,252.82,276.70,286.75,440.85,445.02,456.81,464.21,474.05,282.63,281.80,258.27,262.37,278.66,272.91,310.76,309.85,306.65,282.47,446.02,432.97,179.18,319.06,180.37,466.46,268.92,430.12,433.95,249.45,275.48,270.17,278.46,285.08,290.18,274.86,287.98,289.88,295.31,295.28,290.07,273.11,217.19,307.01,309.16,299.91,301.04,305.56,316.69,293.93,293.73,312.01,320.70,318.85,316.38,302.04,284.78,272.64,275.94,293.08,289.66,311.99,314.53,319.08,317.49,311.40,305.98,311.68,296.98,309.80,293.46,271.38,308.39,513.96,524.55,541.04,539.89,287.93,294.77,453.75,215.67,441.70,439.56,,,,,
2000-03-14 21:58:59.247000,L7,301.51,332.12,334.62,330.86,330.95,328.56,323.74,326.17,435.83,422.87,513.35,433.94,411.38,455.33,473.88,382.35,494.81,522.91,,348.12,419.23,381.02,388.48,371.77,337.17,345.00,547.24,488.65,367.25,363.76,353.24,405.40,420.36,414.09,417.65,415.32,264.17,408.96,428.71,424.26,426.76,429.04,378.48,421.02,470.14,506.71,469.21,,,,,,,,,197.66,182.91,196.66,214.72,213.46,450.87,475.90,434.08,440.14,440.78,444.41,431.95,428.95,372.49,402.72,370.38,454.73,461.19,461.75,419.03,412.33,462.71,443.13,446.47,498.24,483.48,455.98,420.77,418.11,458.03,439.42,430.91,430.45,426.27,426.12,438.73,447.99,343.25,356.86,334.83,311.08,282.92,289.14,309.41,312.82,322.72,339.93,329.72,324.68,314.15,318.42,331.32,321.21,315.81,323.90,294.81,309.82,,445.13,487.99,486.96,244.91,239.33,214.51,443.62,435.15,435.48,371.09,,,,
2000-03-30 21:58:57.484000,L7,527.47,531.44,529.83,449.44,401.51,389.34,391.46,393.33,346.72,364.61,379.92,376.83,385.46,373.63,383.36,381.79,374.15,375.41,362.53,370.62,464.46,466.44,470.19,476.69,356.82,358.96,374.05,370.55,353.71,373.16,341.83,374.51,322.18,330.25,366.11,368.66,392.35,383.83,393.63,399.80,298.79,376.86,387.69,351.97,355.33,355.01,367.00,375.29,392.61,404.75,410.93,421.67,298.84,413.21,453.77,379.69,380.95,394.14,399.37,431.01,420.12,403.86,392.93,395.16,396.83,403.77,412.03,393.72,400.22,411.81,417.50,420.32,412.72,451.58,426.92,437.08,429.26,443.22,444.39,449.77,445.34,433.09,421.50,393.11,402.40,395.21,394.56,395.14,384.51,360.99,410.33,417.17,453.40,442.08,457.96,456.79,284.63,295.65,310.71,314.18,329.56,501.61,546.42,542.61,498.25,417.91,437.91,415.43,395.76,371.55,323.65,354.20,410.96,409.01,412.95,237.38,366.99,364.42,420.49,396.21,409.50,420.23,360.51,272.03,286.87,290.75,309.50
2000-05-01 21:58:42.678000,L7,,,274.13,304.06,289.72,304.42,296.49,299.46,299.48,306.87,271.45,218.15,270.56,288.15,251.77,183.74,282.24,276.14,290.09,289.17,282.99,233.36,,288.64,291.17,252.01,254.01,266.91,239.56,250.21,244.13,230.62,228.92,261.18,246.11,214.77,245.89,253.11,214.88,,177.40,189.49,199.54,208.88,204.50,189.59,238.06,235.14,196.69,216.30,261.46,258.48,,,,275.39,281.15,222.22,269.30,273.75,249.28,254.27,,,,,,,,254.07,220.61,319.39,317.38,287.06,265.49,277.96,255.37,263.02,284.70,274.86,260.82,198.38,285.07,286.75,277.10,261.27,270.67,284.81,264.40,278.32,265.98,246.32,301.54,305.53,292.25,264.81,225.97,243.22,268.15,278.79,283.92,297.29,305.12,276.68,275.23,265.54,292.87,269.72,317.98,327.03,,,,,,,,265.82,,,,,,,,,
2000-07-04 21:58:02.420000,L7,275.02,324.04,325.94,408.23,408.33,407.36,383.04,310.69,289.64,263.02,261.87,288.64,214.08,218.66,239.36,273.26,299.78,280.51,,,,,289.98,303.16,298.80,267.47,253.83,283.25,272.65,264.87,383.99,409.59,414.09,397.12,410.53,407.37,411.76,408.82,405.41,266.65,395.11,388.03,387.93,379.60,357.63,402.11,376.49,402.07,388.95,408.85,415.53,419.08,424.99,417.11,443.11,301.11,299.10,292.57,285.77,277.40,287.95,284.64,,,,,,,,189.46,227.81,246.44,262.10,279.23,264.00,272.54,247.31,271.44,283.46,376.62,381.79,379.91,302.61,315.12,296.67,280.13,275.87,290.18,275.85,277.23,282.88,299.31,315.13,325.51,313.23,290.66,260.10,255.35,262.22,284.62,280.91,306.38,300.44,258.87,280.87,297.48,296.64,304.91,319.98,273.78,,,435.95,425.79,500.57,493.41,,341.19,283.28,,,,291.45,252.97,258.24,271.35,286.73
2000-08-05 21:57:32.751000,L7,319.52,331.71,331.51,342.10,342.25,341.30,340.82,332.23,516.67,474.61,523.73,522.83,484.51,467.96,457.10,436.73,447.38,472.60,486.38,489.62,494.13,492.26,488.11,493.06,466.62,472.68,467.77,467.88,449.42,466.46,459.22,404.58,305.67,462.05,460.17,261.87,421.38,366.64,442.09,373.91,431.89,467.93,477.39,464.45,352.94,476.21,447.62,452.17,452.04,458.77,456.51,458.84,471.78,462.95,462.98,415.14,363.50,347.68,354.67,368.05,378.89,366.64,347.21,351.81,354.24,352.44,357.42,348.04,370.16,369.06,357.46,416.50,399.41,403.63,411.91,412.08,393.70,377.03,384.98,374.83,408.20,376.23,384.37,392.08,395.41,370.95,353.52,364.60,369.13,374.20,384.63,390.66,396.34,409.64,426.32,507.04,558.91,528.58,437.94,432.34,424.48,426.94,445.28,451.78,419.56,406.24,429.73,461.27,446.70,402.42,384.82,300.44,435.04,466.92,471.43,486.82,420.45,411.11,354.20,366.78,358.99,354.63,438.82,441.75,426.94,436.72,431.73
2000-09-22 21:56:53.357000,L7,339.53,395.54,332.24,338.75,330.21,325.73,385.44,429.52,491.73,,,,,,,501.99,497.76,490.49,517.08,507.93,501.86,529.36,468.78,315.68,533.23,507.29,492.79,498.69,545.37,,,,,,,,,,,,,,,,533.28,503.25,491.00,403.61,407.59,430.42,415.74,410.02,411.67,401.01,427.94,517.44,472.23,324.17,422.85,378.92,387.23,363.16,339.74,346.18,355.22,379.34,292.16,185.65,275.70,443.64,497.50,,,386.57,385.76,367.24,515.72,522.93,355.36,372.75,382.28,353.16,473.18,464.11,483.13,490.76,549.41,403.73,492.36,394.57,485.89,466.97,414.63,362.45,508.93,520.08,295.90,273.50,286.22,278.05,280.50,299.09,305.05,305.92,535.98,526.91,468.13,470.99,449.23,,,,439.39,464.26,483.39,489.41,507.94,541.70,377.60,337.09,350.95,366.03,473.18,289.54,295.35,509.42,415.41
2000-11-09 21:56:45.337000,L7,518.44,493.18,431.51,407.76,404.18,404.06,402.68,390.14,388.53,379.24,401.48,420.12,423.41,422.02,403.82,388.53,398.82,394.81,394.86,385.37,387.65,392.96,416.56,428.74,440.08,479.27,482.88,385.02,432.17,401.39,409.66,365.05,340.24,426.17,398.24,403.67,371.32,370.52,355.41,334.09,361.62,335.46,350.94,352.18,365.24,371.89,371.71,396.02,373.88,352.33,363.70,375.08,414.75,399.07,344.62,372.01,345.77,352.58,389.75,366.57,396.26,334.31,321.71,356.89,359.57,375.06,394.56,317.85,328.55,339.23,397.99,407.85,418.75,390.89,383.86,361.64,360.81,338.32,350.61,387.76,392.16,399.84,376.45,375.23,377.32,375.49,364.53,376.50,379.39,381.83,385.12,386.71,405.64,395.65,398.44,384.75,372.34,388.61,397.44,397.40,399.03,379.43,388.64,382.23,378.13,366.28,395.45,372.78,379.07,383.93,387.91,378.75,505.33,492.37,445.14,386.95,351.97,366.30,375.81,310.86,351.23,355.81,363.71,382.20,389.74,366.17,377.51
