dates,satname,nzd0270-0000,nzd0270-0001,nzd0270-0002,nzd0270-0003,nzd0270-0004,nzd0270-0005,nzd0270-0006,nzd0270-0007,nzd0270-0008,nzd0270-0009,nzd0270-0010,nzd0270-0011,nzd0270-0012,nzd0270-0013,nzd0270-0014,nzd0270-0015,nzd0270-0016,nzd0270-0017,nzd0270-0018,nzd0270-0019,nzd0270-0020,nzd0270-0021,nzd0270-0022,nzd0270-0023,nzd0270-0024,nzd0270-0025,nzd0270-0026,nzd0270-0027,nzd0270-0028,nzd0270-0029,nzd0270-0030,nzd0270-0031,nzd0270-0032,nzd0270-0033,nzd0270-0034,nzd0270-0035,nzd0270-0036,nzd0270-0037,nzd0270-0038,nzd0270-0039,nzd0270-0040,nzd0270-0041,nzd0270-0042,nzd0270-0043,nzd0270-0044,nzd0270-0045,nzd0270-0046,nzd0270-0047,nzd0270-0048,nzd0270-0049,nzd0270-0050,nzd0270-0051,nzd0270-0052,nzd0270-0053
1999-08-21 21:46:56.985000,L7,287.64,286.36,299.90,469.67,454.64,459.05,450.94,461.31,469.28,460.88,450.97,448.66,443.66,430.58,297.29,300.26,302.97,315.91,332.08,339.05,454.73,440.32,458.45,464.69,323.98,342.23,319.14,284.13,315.99,314.62,338.44,377.75,394.18,387.69,390.82,503.05,488.28,340.32,338.44,263.31,321.93,323.06,319.41,296.09,285.94,310.79,331.49,315.29,314.53,323.60,312.11,374.69,376.15,382.66
1999-09-22 21:47:00.785000,L7,324.64,312.58,350.38,353.97,354.56,364.73,360.13,306.94,316.11,367.21,353.20,365.11,344.84,322.22,316.70,329.16,335.26,346.72,357.05,358.04,383.21,388.11,371.75,379.56,380.22,367.04,345.75,375.87,358.77,362.63,380.47,383.64,378.18,354.58,390.52,384.26,361.03,411.70,397.43,332.98,338.59,330.92,325.41,323.45,354.81,398.33,398.01,376.08,390.27,378.32,372.06,401.25,416.34,420.41
1999-10-24 21:46:56.203000,L7,314.85,315.63,301.77,346.68,317.55,311.77,305.25,314.59,316.85,320.53,316.84,313.66,312.94,294.77,299.47,301.19,303.29,318.98,333.86,344.45,443.13,418.96,440.02,352.08,323.25,352.32,327.72,309.02,327.68,262.94,279.59,300.36,325.46,335.31,330.80,330.57,335.83,343.42,345.57,404.28,399.20,390.98,403.70,432.80,450.07,348.55,357.40,356.60,360.31,352.68,354.63,407.14,407.71,419.58
2000-02-13 21:46:48.016000,L7,264.74,256.31,254.45,244.51,224.88,265.05,252.83,257.24,266.39,226.78,265.21,215.58,254.29,196.43,192.99,257.00,255.03,408.43,413.15,427.66,301.83,285.22,299.64,292.70,232.37,304.10,285.53,268.73,223.84,,234.26,250.76,207.20,205.76,369.00,365.24,375.03,296.16,498.12,514.28,498.14,504.26,469.92,490.42,447.90,470.43,461.99,476.37,469.37,478.69,470.91,459.98,461.13,392.06
2000-04-01 21:46:34.573000,L7,435.52,469.00,448.77,,437.77,498.38,350.54,323.78,345.54,491.60,319.69,343.39,335.24,458.39,449.16,434.84,427.42,503.10,520.69,515.77,529.52,482.62,467.92,451.17,449.57,450.09,465.79,456.46,432.52,471.27,463.44,506.00,515.71,439.23,451.86,500.02,501.04,506.64,519.63,518.65,520.03,528.84,500.90,451.21,449.22,471.74,398.95,477.06,,,,481.23,484.86,514.36
2000-05-03 21:46:19.161000,L7,303.42,295.00,355.92,329.76,355.21,484.77,471.21,496.51,484.76,480.64,479.29,517.08,462.09,452.28,452.03,454.42,342.65,353.62,369.96,364.70,367.95,406.43,398.92,402.83,398.71,409.05,488.98,454.50,498.22,401.82,384.16,365.89,363.29,362.32,361.84,361.53,359.60,365.45,416.30,422.41,418.51,441.09,421.89,406.63,402.32,417.11,413.10,399.47,363.50,379.53,392.27,377.47,391.82,399.17
2000-05-19 21:46:07.873000,L7,447.56,464.95,468.65,457.40,449.25,350.71,338.27,358.19,352.31,348.00,360.82,354.88,296.13,296.20,340.25,306.70,363.61,335.41,404.64,446.19,367.63,388.92,348.16,365.49,360.80,338.96,243.98,323.35,301.62,266.82,280.33,298.19,404.36,437.91,456.36,463.97,476.19,491.29,442.59,473.72,415.16,389.31,387.39,390.96,369.97,363.38,367.29,380.59,388.96,363.91,387.23,395.73,400.77,405.28
2000-07-06 21:45:39.035000,L7,,,,,,,,,,,,,279.19,292.72,291.73,,,,,,,,,313.19,316.07,333.02,,261.76,211.08,278.38,252.09,241.49,246.07,245.53,260.15,259.09,242.72,200.64,265.53,232.03,250.12,213.08,251.26,249.16,215.85,,,,,,172.94,182.88,280.69,301.91
2000-08-07 21:45:08.975000,L7,292.46,287.77,340.78,335.45,331.14,317.30,315.99,308.96,324.18,328.32,337.13,340.40,321.51,335.93,301.35,302.75,306.31,322.91,479.20,481.36,475.48,475.84,495.61,477.90,496.08,462.31,486.02,458.39,459.62,270.75,280.12,298.59,325.97,328.64,326.77,326.54,334.45,386.66,387.03,367.34,386.45,420.44,414.90,373.50,365.25,372.41,372.64,376.41,382.58,364.06,368.24,383.56,388.52,394.36
2000-10-26 21:44:22.850000,L7,467.31,466.28,488.68,513.67,182.20,313.23,343.23,356.86,345.49,324.28,316.26,322.36,347.57,346.11,346.72,419.16,454.82,498.09,516.40,383.28,386.38,465.28,501.72,503.38,500.59,494.53,480.69,369.01,316.91,354.08,361.97,371.31,370.16,377.78,376.78,378.49,383.57,390.25,393.99,402.94,400.81,390.32,386.89,381.39,379.75,373.01,380.40,380.89,390.40,401.15,383.09,395.44,401.08,429.94
2000-11-27 21:44:26.720000,L7,419.76,428.32,291.90,276.59,288.37,303.61,295.93,313.79,299.99,321.37,333.92,361.83,285.23,283.22,435.96,465.43,457.94,311.47,342.99,436.43,455.16,520.25,407.81,470.64,464.62,389.20,406.69,396.19,524.30,464.32,178.20,258.06,336.94,350.16,313.03,321.35,337.63,341.41,341.13,328.32,348.39,357.09,360.83,372.66,323.76,305.22,363.93,379.76,382.77,373.22,349.70,318.04,345.36,363.26
