dates,satname,nzd0310-0000,nzd0310-0001,nzd0310-0002,nzd0310-0003,nzd0310-0010,nzd0310-0011,nzd0310-0012,nzd0310-0013,nzd0310-0014,nzd0310-0015,nzd0310-0016,nzd0310-0017,nzd0310-0018,nzd0310-0019,nzd0310-0020,nzd0310-0021,nzd0310-0022,nzd0310-0023,nzd0310-0024,nzd0310-0025,nzd0310-0026,nzd0310-0027,nzd0310-0029,nzd0310-0030,nzd0310-0031,nzd0310-0032,nzd0310-0035,nzd0310-0036,nzd0310-0037,nzd0310-0038,nzd0310-0039,nzd0310-0040,nzd0310-0041,nzd0310-0042,nzd0310-0043,nzd0310-0044,nzd0310-0045,nzd0310-0046,nzd0310-0047,nzd0310-0048,nzd0310-0049,nzd0310-0050,nzd0310-0051,nzd0310-0052,nzd0310-0053,nzd0310-0054,nzd0310-0055,nzd0310-0056,nzd0310-0057,nzd0310-0058,nzd0310-0059,nzd0310-0060,nzd0310-0061,nzd0310-0062,nzd0310-0063,nzd0310-0064,nzd0310-0065,nzd0310-0066,nzd0310-0067,nzd0310-0068,nzd0310-0069,nzd0310-0070,nzd0310-0071,nzd0310-0072,nzd0310-0073,nzd0310-0074,nzd0310-0075,nzd0310-0076,nzd0310-0077,nzd0310-0078,nzd0310-0079,nzd0310-0080,nzd0310-0081,nzd0310-0082,nzd0310-0083,nzd0310-0084,nzd0310-0085,nzd0310-0086,nzd0310-0087,nzd0310-0088,nzd0310-0089,nzd0310-0090,nzd0310-0092,nzd0310-0093,nzd0310-0094,nzd0310-0095,nzd0310-0096,nzd0310-0097,nzd0310-0098,nzd0310-0099,nzd0310-0100,nzd0310-0101,nzd0310-0102,nzd0310-0103,nzd0310-0104,nzd0310-0105,nzd0310-0106,nzd0310-0107,nzd0310-0108,nzd0310-0109,nzd0310-0110,nzd0310-0111,nzd0310-0112,nzd0310-0113,nzd0310-0114,nzd0310-0115,nzd0310-0116,nzd0310-0117,nzd0310-0118,nzd0310-0119,nzd0310-0120,nzd0310-0121,nzd0310-0122,nzd0310-0124,nzd0310-0125,nzd0310-0126,nzd0310-0127,nzd0310-0128,nzd0310-0129,nzd0310-0130,nzd0310-0131,nzd0310-0132,nzd0310-0133,nzd0310-0134,nzd0310-0135,nzd0310-0136,nzd0310-0137,nzd0310-0138,nzd0310-0139,nzd0310-0140,nzd0310-0141,nzd0310-0142,nzd0310-0143,nzd0310-0144,nzd0310-0145,nzd0310-0146,nzd0310-0147,nzd0310-0148,nzd0310-0149,nzd0310-0150,nzd0310-0151,nzd0310-0152,nzd0310-0153,nzd0310-0154,nzd0310-0155,nzd0310-0156,nzd0310-0157,nzd0310-0158,nzd0310-0159,nzd0310-0160,nzd0310-0161,nzd0310-0162,nzd0310-0163,nzd0310-0164,nzd0310-0165,nzd0310-0166,nzd0310-0167,nzd0310-0168,nzd0310-0169,nzd0310-0170,nzd0310-0171,nzd0310-0172,nzd0310-0173,nzd0310-0174,nzd0310-0175,nzd0310-0176,nzd0310-0177,nzd0310-0178,nzd0310-0179,nzd0310-0180,nzd0310-0181,nzd0310-0182,nzd0310-0183,nzd0310-0184,nzd0310-0185,nzd0310-0186,nzd0310-0187,nzd0310-0188,nzd0310-0189,nzd0310-0190,nzd0310-0004,nzd0310-0005,nzd0310-0006,nzd0310-0007,nzd0310-0008,nzd0310-0009,nzd0310-0028,nzd0310-0033,nzd0310-0034,nzd0310-0091,nzd0310-0123
1999-08-21 21:47:20.968000,L7,448.96,418.98,432.34,402.70,481.01,481.60,470.60,453.61,494.25,438.26,452.97,463.26,465.24,529.10,523.37,443.07,441.86,471.34,471.77,473.81,476.67,462.51,483.46,510.43,508.93,517.99,475.51,441.41,442.68,430.97,427.17,426.65,436.82,423.56,436.68,449.30,448.23,494.12,514.06,486.69,502.30,511.33,456.31,501.11,519.83,516.52,503.02,504.88,514.17,531.47,474.81,353.65,387.14,398.82,403.12,367.26,266.37,374.02,362.91,337.10,323.18,311.87,296.76,285.11,228.84,454.28,458.05,451.20,444.64,433.93,426.79,426.57,432.01,436.80,432.67,432.85,408.88,390.23,384.53,371.36,336.94,169.98,330.40,362.82,527.48,502.20,511.77,454.37,468.28,161.25,488.73,490.87,500.90,513.19,507.89,449.50,461.16,452.95,457.30,470.10,467.02,471.36,482.04,480.87,495.04,505.21,506.71,509.69,505.89,498.51,489.34,481.28,493.23,457.37,491.24,476.09,468.92,460.56,398.74,456.87,459.50,405.16,459.41,436.11,461.07,456.95,471.01,404.23,471.75,418.19,490.61,482.72,486.32,494.63,500.72,474.97,516.69,511.18,508.34,448.28,504.54,481.80,481.36,475.74,481.08,492.54,465.36,467.46,463.50,388.96,465.82,461.19,487.55,429.47,455.47,462.48,387.42,466.36,483.33,504.93,500.78,495.77,507.60,448.30,438.63,465.40,467.35,472.87,449.95,527.48,507.78,459.89,452.39,444.69,419.45,440.03,375.76,351.12,373.69,370.43,,,,,,,,,,,
1999-09-22 21:47:24.746000,L7,524.29,504.23,516.91,445.46,468.49,452.68,438.52,440.13,374.50,384.41,461.24,442.33,434.58,457.68,465.12,483.49,469.89,504.59,416.76,493.23,520.56,504.12,501.45,486.02,475.53,468.23,508.65,488.35,424.22,427.99,449.32,446.48,458.09,467.55,449.17,458.28,464.63,473.45,487.87,498.66,498.83,484.96,483.66,504.40,417.91,426.75,441.41,459.78,484.04,480.54,490.97,511.56,328.11,334.99,340.07,243.69,240.96,317.64,194.27,290.53,280.80,247.18,220.74,215.92,183.65,346.94,364.29,324.35,333.17,,,507.64,480.38,438.13,426.03,431.99,417.64,398.86,401.14,378.72,278.78,,357.73,395.17,402.39,416.62,424.77,499.84,504.37,478.18,502.33,507.52,496.08,492.71,493.91,501.44,514.63,519.60,523.67,524.27,477.68,508.54,498.59,507.62,509.85,519.89,525.80,260.68,247.34,219.50,186.58,499.64,468.52,453.10,453.49,443.69,420.39,425.67,420.73,440.15,425.81,423.60,422.76,424.64,429.52,425.37,423.47,421.97,430.25,443.39,449.86,467.49,455.72,455.55,461.87,461.82,467.55,462.59,520.77,450.23,515.58,488.31,508.57,490.35,484.30,479.14,499.86,481.88,477.90,486.48,485.69,486.43,452.14,464.48,485.26,494.72,498.35,498.78,489.90,482.10,475.99,477.85,483.19,491.94,490.86,510.39,519.87,511.77,514.76,507.79,516.15,506.26,480.35,447.10,513.24,504.83,474.03,407.77,402.15,526.26,379.42,378.28,490.89,477.00,463.99,450.14,421.23,459.20,460.20,320.69,468.74
1999-09-29 21:53:40.155000,L7,,,,,,,,,,,,,,,423.84,440.61,445.51,431.21,455.90,473.44,475.94,476.93,463.15,,,,501.50,488.69,497.35,485.39,491.42,500.12,496.21,480.55,490.03,472.64,504.24,517.83,523.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.19,517.83,495.61,462.04,459.10,485.01,498.10,498.69,487.68,447.78,482.15,,,494.17,287.92,,500.86,162.77,175.25,176.94,173.69,185.49,189.26,183.78,170.23,172.66,172.76,181.14,161.51,177.09,185.57,187.15,191.10,211.80,229.75,236.76,252.29,262.17,271.65,277.24,286.73,276.92,247.91,211.44,165.64,,,,,,523.91,475.14,441.46,493.24,501.68,436.33,442.96,442.33,465.12,471.53,504.92,462.60,504.38,,,,,,,,,,,,,514.42,481.53,496.03,476.90,475.71,513.76,,518.37,502.79,486.60,462.85,481.75,510.87,522.65,449.02,470.16,473.22,460.52,463.51,463.81,463.12,468.31,463.27,470.07,473.21,456.10,,,529.33,513.79,485.70,472.24,454.86,460.70,486.93,480.79,481.72,471.18,,,407.69,420.60,436.84,,469.34,516.76,495.37,345.19,
1999-10-24 21:47:20.173000,L7,396.89,379.23,378.46,386.43,374.51,513.90,480.53,498.91,483.61,523.86,370.84,374.91,378.00,500.19,509.00,498.60,499.10,510.34,413.10,522.16,501.46,518.27,520.77,496.00,500.11,494.63,380.29,381.15,380.61,383.06,481.21,486.86,467.92,493.61,500.11,484.29,376.95,383.87,391.91,398.90,400.01,408.45,421.94,419.25,426.43,431.67,443.06,448.39,458.07,476.37,485.01,502.37,500.42,517.55,530.84,,514.59,514.58,500.15,486.92,484.21,480.73,478.02,474.44,526.13,518.65,514.88,509.87,492.83,448.78,473.80,461.91,458.87,436.62,423.44,448.60,417.20,421.27,406.94,346.16,188.90,,368.75,383.46,411.10,399.68,414.67,427.11,522.69,504.80,499.06,502.56,499.95,493.49,522.48,511.39,470.54,482.76,511.32,520.84,489.72,493.81,527.64,517.72,514.04,525.41,277.89,279.91,270.26,524.13,516.68,490.32,526.31,501.73,491.66,487.59,470.57,472.34,472.11,463.30,466.28,459.79,462.93,478.16,485.41,474.77,473.87,463.94,496.20,489.63,487.85,485.77,510.74,502.37,520.81,454.71,475.61,458.43,452.12,446.47,441.00,432.82,421.59,429.53,417.33,415.72,407.53,402.15,419.22,401.14,395.89,390.81,397.41,407.16,413.91,413.27,421.58,425.11,427.50,409.73,415.63,425.05,414.24,420.02,417.55,436.22,458.70,448.80,440.85,426.16,411.17,399.56,396.78,395.69,393.23,400.49,390.18,383.07,382.02,365.79,397.50,388.77,374.53,369.06,362.80,365.36,517.20,406.38,396.27,250.09,470.25
2000-01-19 21:53:25.812000,L7,,288.13,281.81,293.41,226.43,273.18,278.01,278.94,282.47,278.98,283.49,283.43,194.46,277.72,223.48,223.60,313.85,311.84,242.67,319.48,325.31,318.11,318.80,303.44,303.21,301.63,283.42,291.89,281.43,279.40,284.44,273.38,280.00,283.06,291.09,300.09,300.73,303.62,304.75,311.11,305.30,308.34,314.53,327.91,341.95,348.03,355.66,360.85,375.10,388.08,389.66,412.67,412.31,417.50,427.97,426.67,418.68,416.06,396.14,393.99,392.52,386.99,376.76,368.84,365.26,362.05,356.22,354.44,349.87,351.01,338.99,340.03,333.53,335.62,332.11,320.79,318.24,274.26,230.69,263.71,478.51,496.15,284.57,311.89,320.33,337.16,337.42,346.19,347.54,350.12,354.54,349.76,356.07,356.97,270.75,370.16,369.22,371.03,372.97,381.17,390.64,397.93,401.26,410.84,418.73,425.68,432.17,345.50,437.09,428.35,409.96,399.06,384.93,362.55,289.93,337.55,324.06,324.93,325.09,313.77,326.91,326.98,330.22,319.53,332.01,333.47,333.09,332.29,337.99,337.32,342.64,354.19,358.63,361.06,364.00,368.75,371.64,369.25,358.95,356.96,263.41,340.98,332.36,331.48,327.66,320.22,316.50,307.64,308.16,310.12,231.01,241.89,303.49,294.18,298.46,296.29,303.34,303.20,313.68,313.72,316.13,315.82,318.53,270.75,336.25,349.35,363.90,340.39,341.21,333.77,279.35,295.45,276.75,267.12,,,494.07,464.60,443.50,460.62,280.99,289.27,217.99,221.14,281.62,278.49,229.30,305.91,292.81,178.04,375.95
2000-04-17 21:46:44.595000,L7,267.10,266.70,225.10,223.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.86,475.47,462.88,424.04,,,451.22,478.07,,,,,,,,,,,,,,,,,,,,387.22,401.73,406.91,407.75,413.55,461.99,515.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.66,308.29,299.50,306.18,455.04,466.05,470.03,468.60,478.57,488.67,489.19,495.08,511.39,522.94,535.95,459.95,452.70,468.69,480.13,510.41,525.32,495.98,508.11,487.90,481.59,534.83,512.64,499.14,496.81,514.69,503.71,,207.21,163.62,,,,,,,,383.70,
2000-05-03 21:46:43.127000,L7,510.19,488.26,440.22,450.20,507.17,517.14,473.96,471.08,478.79,494.68,418.93,461.41,475.55,469.47,502.29,435.55,447.94,429.07,433.18,462.88,466.51,445.15,508.81,509.37,502.63,497.57,513.89,502.58,506.94,501.93,502.68,500.85,508.94,510.42,517.23,520.17,518.67,264.96,319.61,310.48,513.42,463.94,509.50,,512.19,518.48,497.67,494.55,508.45,518.24,408.61,400.68,416.89,420.58,427.42,,,,403.91,393.14,,395.10,490.97,476.61,451.83,,,,508.79,523.03,473.49,456.50,361.13,345.60,341.29,422.54,407.00,360.96,267.33,326.41,392.80,400.13,190.70,468.80,444.81,479.18,484.18,477.57,485.99,484.12,489.70,482.92,483.50,503.15,358.87,373.13,495.62,505.14,474.21,476.74,482.63,506.01,519.83,513.37,515.01,240.52,249.12,261.94,249.64,227.91,199.84,530.19,513.31,504.37,493.99,510.77,482.84,486.68,478.71,493.53,474.63,467.41,317.27,300.97,310.40,331.20,488.83,489.92,501.50,341.07,324.71,314.25,337.79,343.07,,352.25,507.33,478.32,524.04,515.58,509.90,496.58,500.64,500.11,487.43,489.59,522.31,517.65,522.57,502.60,519.34,519.27,513.24,499.02,461.29,489.37,490.23,498.42,491.25,444.62,503.57,506.08,499.96,509.91,520.77,486.79,469.27,456.99,517.43,496.21,513.25,513.53,482.80,488.65,491.77,489.61,458.77,429.75,405.25,386.32,477.71,483.07,,505.93,523.16,519.85,431.76,494.52,482.11,511.79,520.31
2000-05-19 21:46:31.829000,L7,446.38,454.43,459.88,457.22,347.40,342.57,296.18,262.01,261.89,238.48,,,307.01,497.30,267.77,282.27,,,279.09,402.70,,477.67,,328.74,494.81,398.43,293.18,245.14,,,,,296.20,296.63,307.97,219.56,317.41,508.36,497.36,470.85,496.42,497.86,503.07,514.97,519.62,255.88,389.91,521.73,261.34,245.13,286.84,430.17,435.94,483.02,494.06,299.94,297.43,479.72,466.48,228.69,390.47,272.71,202.45,438.65,425.17,416.19,390.92,383.84,,320.26,409.66,421.53,411.88,412.05,411.17,395.68,357.98,243.48,,,280.07,332.06,366.62,,,,,,,,,,,,414.57,425.43,422.52,,,,,,,,,,430.25,449.72,480.29,490.66,478.71,463.40,471.88,411.30,,,,364.27,392.04,473.14,486.41,501.86,483.11,238.68,206.22,199.33,192.99,382.33,404.68,402.23,413.72,411.47,415.76,418.57,426.55,473.04,443.11,429.86,429.00,424.31,410.39,409.01,400.95,346.19,400.64,397.25,382.02,385.53,386.92,324.66,391.05,313.17,373.66,366.57,377.56,320.26,385.31,387.85,388.63,392.84,396.82,333.73,404.76,413.65,411.69,423.73,438.87,421.38,407.11,393.72,390.17,372.42,366.51,359.11,349.58,352.86,340.27,350.44,373.24,340.57,443.28,497.84,495.02,504.78,333.12,318.44,357.00,473.25,372.33,354.57,470.67
2000-05-26 21:52:36.566000,L7,485.36,472.07,271.18,309.57,259.41,298.16,298.07,293.82,291.29,302.46,274.50,474.72,303.74,293.74,294.32,301.98,327.30,320.07,324.42,336.24,345.36,336.41,335.74,323.50,311.63,299.20,204.02,298.91,295.06,303.91,303.37,269.46,295.47,299.31,323.72,300.21,296.25,319.54,307.19,319.63,317.30,307.40,329.85,347.84,360.17,364.05,367.00,298.30,400.16,306.44,416.90,417.48,421.44,412.17,440.96,437.47,416.95,390.62,409.93,395.84,388.30,382.25,388.40,382.47,381.55,371.74,368.81,367.75,346.29,362.70,371.02,364.83,353.88,259.76,344.16,338.12,308.40,192.19,174.82,,306.46,424.96,445.50,443.32,458.12,426.08,458.30,246.50,517.26,513.38,512.33,515.36,504.50,496.21,513.91,487.53,476.96,497.65,513.23,514.84,517.80,491.53,495.43,523.74,231.60,243.32,249.85,262.56,246.78,221.00,187.30,488.72,524.79,447.15,490.58,483.70,465.30,413.93,459.71,465.72,469.12,466.91,327.67,454.73,452.76,413.31,464.17,467.81,465.39,463.66,471.99,478.78,489.92,490.58,489.85,500.64,509.25,511.53,506.22,506.22,481.91,478.65,488.27,470.34,472.53,412.62,471.89,473.85,472.38,470.74,459.08,454.92,463.05,453.34,466.78,455.33,482.81,488.53,467.94,479.81,479.49,493.50,480.20,502.64,504.65,518.72,501.38,504.81,476.16,467.17,446.33,435.41,421.99,,518.50,494.73,488.34,446.66,434.73,459.55,304.26,254.60,298.83,284.32,302.66,296.37,311.46,298.65,277.37,421.60,511.49
2000-07-13 21:52:07.753000,L7,489.05,502.91,497.45,500.49,483.96,486.25,490.38,489.94,505.97,523.04,526.12,511.54,292.96,294.42,282.73,534.24,321.05,315.55,350.06,306.39,499.07,498.98,486.68,472.32,496.30,291.41,283.24,266.76,280.69,270.92,281.34,264.10,277.70,277.28,279.04,274.02,290.34,274.08,284.47,259.36,397.87,415.93,426.95,437.03,427.07,329.01,350.52,481.17,486.19,488.85,500.01,494.11,504.03,502.35,514.31,509.32,409.82,395.78,391.33,385.49,364.31,281.35,357.46,365.01,357.64,360.21,273.49,350.40,344.27,288.29,346.39,349.50,354.14,328.41,302.63,281.51,186.57,160.13,,317.39,304.11,318.49,409.53,230.22,439.87,406.40,409.62,410.56,423.77,419.40,420.76,438.09,431.86,467.97,477.84,470.86,462.35,452.32,451.82,461.73,500.49,502.43,500.78,488.65,488.53,504.67,442.51,451.82,434.25,424.77,405.53,499.82,443.40,514.28,497.34,488.59,486.98,486.67,483.23,491.51,487.91,485.04,486.61,484.49,489.88,492.02,499.72,498.99,497.91,507.05,514.82,521.36,520.66,532.38,191.74,219.26,210.16,227.48,218.09,221.19,187.38,199.05,206.85,181.34,155.00,173.43,175.52,157.18,158.93,161.83,177.68,164.87,486.97,483.70,484.98,389.75,494.86,499.60,501.41,509.62,508.17,412.67,534.83,475.31,478.74,502.69,504.63,459.40,508.31,404.55,490.86,496.21,486.49,411.72,418.12,345.20,400.91,408.26,390.42,384.67,505.84,502.67,492.13,481.82,493.89,480.56,501.61,293.66,306.61,402.60,529.49
2000-07-29 21:51:50.349000,L7,408.68,403.07,498.20,530.77,442.10,438.62,461.46,472.03,463.75,466.75,472.38,480.28,500.14,296.91,294.17,201.40,416.86,435.89,487.37,493.16,328.62,304.47,301.65,296.34,247.47,295.27,212.39,205.61,192.20,206.12,278.04,282.30,272.29,283.88,278.82,274.65,278.99,282.66,286.91,287.32,294.86,296.82,311.07,322.77,331.01,336.30,338.14,342.42,361.09,368.53,359.34,382.05,415.36,421.95,421.35,409.72,398.15,370.55,356.80,372.35,381.43,372.59,366.19,356.65,360.76,371.02,341.88,353.42,347.59,333.79,333.78,341.09,328.04,343.72,323.75,273.91,204.91,168.02,,391.05,417.11,425.84,412.43,407.68,486.42,497.00,491.58,313.65,332.21,326.57,340.30,347.27,317.16,338.39,343.42,375.04,327.38,342.74,386.73,172.03,173.79,193.49,212.64,222.42,231.61,248.38,254.27,285.65,280.97,224.72,196.67,386.05,367.15,344.13,331.04,333.96,326.27,395.24,404.01,408.77,392.38,410.98,401.65,413.62,411.85,408.72,401.41,415.60,403.75,415.07,417.55,418.35,441.86,426.11,477.11,454.81,492.88,455.39,449.89,437.32,438.76,426.17,436.54,433.35,410.52,445.33,435.78,425.87,439.68,421.30,435.27,417.24,410.92,414.16,423.94,412.08,414.62,410.20,444.84,435.47,435.64,443.64,452.01,444.30,464.84,471.04,472.18,460.31,450.19,438.54,431.28,431.26,448.23,434.56,411.19,402.46,376.48,364.71,374.81,362.10,489.96,484.34,481.45,500.81,450.05,439.46,320.05,212.82,287.63,410.20,347.25
2000-08-07 21:45:32.940000,L7,472.73,468.33,458.12,448.88,446.53,427.75,427.73,269.00,265.30,269.15,455.87,485.41,496.56,500.11,505.32,495.81,513.76,517.59,480.24,497.16,474.57,463.72,526.64,501.07,500.85,495.82,505.50,488.29,277.24,278.16,267.12,251.68,456.25,254.35,271.79,480.96,466.83,461.98,452.77,454.48,461.24,462.49,465.81,502.91,494.91,407.95,415.24,425.68,466.00,475.64,498.13,517.14,,,,,,,,,527.43,516.91,507.67,495.42,351.89,342.82,353.63,356.87,455.90,452.33,432.30,431.08,449.36,426.81,450.79,389.99,253.35,,,307.72,374.50,387.43,385.83,403.19,447.94,387.95,397.50,391.37,385.82,382.40,387.42,404.68,444.86,436.85,434.32,437.93,436.34,460.80,459.69,452.75,468.43,480.52,488.07,470.11,239.15,253.11,255.80,267.65,256.37,527.20,460.81,487.98,439.16,515.83,511.70,497.50,480.82,463.63,435.32,426.89,424.23,427.56,471.46,500.96,493.66,472.79,466.75,478.60,476.21,485.02,486.74,502.21,495.42,520.69,462.95,488.86,490.75,496.50,347.91,348.79,339.55,338.55,316.57,528.69,449.24,446.57,443.95,496.52,497.49,492.80,485.97,476.12,478.90,476.34,272.80,260.94,262.66,261.84,406.18,395.82,409.45,275.34,283.18,311.64,408.66,492.93,503.47,502.79,518.65,519.85,441.76,481.41,511.04,503.47,516.62,508.07,492.89,470.09,462.90,488.15,431.33,456.79,456.61,439.09,450.56,437.62,435.54,494.65,497.41,389.05,503.77
2000-08-14 21:51:44.223000,L7,512.91,512.96,515.94,451.96,381.52,369.51,331.10,387.82,427.62,431.14,404.97,403.47,454.91,466.07,492.82,501.02,494.75,449.29,457.86,443.41,462.74,455.51,473.87,439.30,427.27,516.16,485.32,494.82,485.89,486.09,488.11,479.02,473.83,465.68,471.40,459.63,266.03,250.86,245.31,273.14,241.58,278.68,281.11,312.96,509.06,507.20,518.89,327.88,319.41,364.14,383.14,,,,,,,,,471.30,494.50,483.24,495.45,490.15,471.85,440.85,424.56,494.80,506.48,506.82,501.80,487.94,492.45,476.68,433.55,391.95,282.87,,,341.67,457.41,455.51,411.99,399.05,387.49,414.09,410.78,431.91,397.26,444.48,444.57,444.69,447.52,431.71,419.81,432.36,441.04,447.25,451.98,494.10,496.89,514.74,494.61,482.63,246.03,252.11,254.53,273.42,251.77,229.52,208.25,161.02,442.35,512.45,508.49,491.88,482.66,483.08,486.97,476.72,479.24,478.94,474.64,281.20,294.17,295.64,288.88,471.64,483.68,499.33,508.67,512.56,309.38,312.27,288.92,454.52,483.98,482.43,473.41,477.19,284.19,316.38,306.62,304.37,301.40,305.33,299.72,300.69,283.60,265.03,437.28,432.85,423.22,271.59,275.87,275.25,285.88,272.92,294.85,300.33,302.28,303.97,315.24,317.56,307.72,508.18,515.37,499.53,493.81,483.02,518.57,507.04,509.45,505.00,511.67,508.33,491.55,467.30,459.74,456.27,440.57,442.51,399.97,429.64,394.25,397.11,477.64,503.95,503.23,429.16,526.08
2000-09-15 21:51:13.624000,L7,405.59,434.64,427.56,427.55,480.76,511.02,506.93,506.78,481.22,478.20,485.11,485.67,496.63,488.07,508.96,516.10,526.50,386.63,459.47,478.05,437.84,401.79,416.07,463.79,413.98,450.94,467.29,476.65,476.65,373.32,365.90,382.97,348.34,408.52,468.95,462.61,438.88,451.91,458.80,471.32,481.43,480.89,497.39,506.67,506.71,516.40,468.60,320.88,326.52,338.43,350.32,349.43,523.79,508.70,516.95,520.19,514.15,506.97,493.67,508.06,530.89,513.87,494.98,508.35,498.03,429.23,424.03,469.24,444.98,447.82,469.69,303.38,485.95,514.99,398.03,324.20,,,,346.72,350.66,365.07,214.64,237.46,237.42,239.20,235.27,445.77,426.91,425.59,411.95,421.77,424.63,448.27,436.73,319.47,483.94,319.46,449.47,335.68,490.27,457.62,254.21,260.28,272.61,275.24,288.93,302.84,276.42,264.65,229.16,186.19,304.44,326.11,305.39,264.02,375.65,365.62,369.40,377.90,434.38,404.25,385.65,398.01,390.81,414.02,415.72,393.61,418.69,423.79,430.81,418.41,417.65,438.62,431.49,320.85,322.97,320.84,311.96,309.73,305.88,293.13,300.57,292.98,302.75,303.22,278.56,253.37,427.21,420.96,419.93,404.44,406.24,420.69,366.21,379.27,446.06,394.81,417.03,432.39,375.42,404.09,388.06,451.17,457.07,473.75,485.08,499.13,467.85,464.56,484.04,472.25,474.30,469.38,433.14,406.03,400.43,368.22,345.35,344.67,465.94,487.13,490.90,494.80,345.81,480.31,432.01,455.65,396.42,437.64,328.47
2000-10-26 21:44:46.815000,L7,395.54,375.63,361.99,360.69,352.20,345.58,321.12,351.04,354.90,355.69,352.11,355.14,365.45,374.11,380.19,384.21,399.20,390.52,393.53,407.16,419.63,425.32,405.95,391.47,390.02,409.79,377.02,369.63,382.67,377.82,373.33,374.98,371.50,372.71,372.92,376.98,376.99,377.05,380.62,389.04,383.20,381.85,386.81,393.77,401.43,407.54,422.67,438.69,453.35,463.79,469.66,488.93,493.01,506.26,507.12,506.25,509.07,503.81,491.46,484.04,484.76,474.51,508.29,,,,464.39,484.77,418.93,414.86,418.49,429.41,459.90,447.17,363.96,264.19,,310.54,375.20,491.24,483.03,489.38,193.24,289.35,301.15,309.74,305.44,304.25,277.01,165.03,510.98,502.21,507.65,497.05,473.20,,,,,506.23,506.09,518.92,485.52,492.29,498.91,499.92,524.28,527.94,517.16,503.21,494.22,476.91,466.31,439.33,411.65,401.55,401.93,391.59,390.49,391.34,388.53,391.29,394.18,389.46,394.48,402.98,401.67,408.89,415.14,418.57,431.00,447.54,435.76,440.42,432.02,439.38,450.78,485.27,438.81,425.35,418.77,416.10,411.09,407.19,406.31,399.06,402.91,388.07,381.45,392.48,388.25,390.91,376.15,371.31,379.13,390.51,386.94,387.83,396.02,395.88,407.93,457.74,439.84,424.23,414.21,424.55,429.31,417.88,416.99,409.13,419.57,407.12,396.38,381.27,370.73,369.05,363.94,349.07,336.92,332.46,358.19,350.73,353.67,358.00,360.23,355.15,417.39,400.10,386.23,462.96,456.40
