dates,satname,nzd0377-0000,nzd0377-0001,nzd0377-0002,nzd0377-0004,nzd0377-0005,nzd0377-0006,nzd0377-0007,nzd0377-0042,nzd0377-0043,nzd0377-0044,nzd0377-0045,nzd0377-0046,nzd0377-0047,nzd0377-0048,nzd0377-0049,nzd0377-0050,nzd0377-0051,nzd0377-0052,nzd0377-0053,nzd0377-0054,nzd0377-0055,nzd0377-0056,nzd0377-0057,nzd0377-0058,nzd0377-0059,nzd0377-0060,nzd0377-0061,nzd0377-0062,nzd0377-0063,nzd0377-0064,nzd0377-0065,nzd0377-0066,nzd0377-0067,nzd0377-0068,nzd0377-0069,nzd0377-0070,nzd0377-0071,nzd0377-0072,nzd0377-0073,nzd0377-0074,nzd0377-0075,nzd0377-0076,nzd0377-0077,nzd0377-0078,nzd0377-0079,nzd0377-0080,nzd0377-0081,nzd0377-0082,nzd0377-0083,nzd0377-0084,nzd0377-0085,nzd0377-0086,nzd0377-0087,nzd0377-0088,nzd0377-0089,nzd0377-0090,nzd0377-0091,nzd0377-0092,nzd0377-0093,nzd0377-0094,nzd0377-0095,nzd0377-0096,nzd0377-0097,nzd0377-0098,nzd0377-0099,nzd0377-0100,nzd0377-0101,nzd0377-0102,nzd0377-0103,nzd0377-0104,nzd0377-0105,nzd0377-0106,nzd0377-0107,nzd0377-0108,nzd0377-0109,nzd0377-0110,nzd0377-0003,nzd0377-0111,nzd0377-0112,nzd0377-0113,nzd0377-0014,nzd0377-0015,nzd0377-0016,nzd0377-0017,nzd0377-0018,nzd0377-0019,nzd0377-0020,nzd0377-0021,nzd0377-0022,nzd0377-0023,nzd0377-0024,nzd0377-0025,nzd0377-0026,nzd0377-0027,nzd0377-0028,nzd0377-0029,nzd0377-0031,nzd0377-0032,nzd0377-0033,nzd0377-0034,nzd0377-0038,nzd0377-0039,nzd0377-0040,nzd0377-0041,nzd0377-0009,nzd0377-0008,nzd0377-0010,nzd0377-0012,nzd0377-0013,nzd0377-0030,nzd0377-0036,nzd0377-0037,nzd0377-0114,nzd0377-0115,nzd0377-0011,nzd0377-0035
1999-09-04 22:00:09.953000,L7,302.32,273.82,365.49,316.62,428.99,447.21,483.32,500.90,457.77,470.15,477.81,326.98,327.24,274.29,201.71,255.12,270.30,302.69,310.20,318.19,301.08,291.14,319.91,326.14,500.35,485.81,470.13,459.58,414.24,406.26,362.29,354.13,333.53,354.12,377.82,339.52,322.03,273.63,377.03,355.45,342.65,336.86,340.42,336.21,325.98,340.57,346.42,345.11,334.54,325.22,320.71,310.92,299.91,296.88,290.41,283.49,284.30,270.89,265.98,261.24,251.94,252.46,255.09,254.95,238.24,236.31,232.48,221.20,233.89,240.80,218.70,199.62,191.39,177.45,170.78,158.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-20 22:00:08.403000,L7,331.79,469.52,383.07,292.65,299.46,299.96,306.89,500.07,453.13,484.13,482.53,500.67,476.76,481.02,479.48,496.03,460.00,444.34,460.64,464.61,454.74,438.72,418.98,484.07,497.65,463.73,437.47,455.41,455.72,407.68,371.54,360.87,351.58,364.02,442.56,433.13,323.02,352.81,374.18,353.40,335.66,342.49,348.02,349.35,338.30,344.95,348.22,373.35,339.36,323.05,331.43,336.31,338.82,296.59,308.15,311.91,303.68,272.77,281.67,285.13,284.62,264.68,265.51,255.78,246.47,250.83,245.53,238.29,244.92,309.97,305.29,286.09,278.00,321.09,264.00,243.27,218.34,210.61,160.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:04.598000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.47,508.73,482.42,473.13,464.97,485.76,482.21,458.70,462.67,466.45,488.92,510.69,502.03,487.11,480.13,467.15,429.89,429.11,420.43,428.63,443.09,426.64,403.22,395.43,367.27,360.24,354.19,335.87,317.61,338.60,366.95,376.27,427.26,413.38,343.01,314.78,243.14,,246.88,257.47,233.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.79,259.86,,
1999-12-09 22:00:09.551000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.43,509.03,503.57,478.74,476.46,465.90,471.30,473.09,440.82,445.95,438.69,442.94,431.41,431.23,428.07,428.61,447.04,411.34,403.22,399.85,394.32,383.30,371.43,365.62,356.32,358.61,340.59,329.42,317.01,317.93,312.20,302.26,302.37,317.51,297.90,272.83,269.43,254.77,258.23,234.02,,215.03,204.58,193.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.17,252.12,,
1999-12-25 22:00:04.067000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.03,491.74,495.00,487.68,451.53,480.58,470.98,468.54,464.18,452.20,434.74,426.04,415.76,422.08,419.66,413.28,403.59,394.51,397.91,393.81,386.16,377.85,,,360.47,357.37,526.04,396.70,329.33,297.69,309.00,350.50,333.75,323.57,325.21,309.17,314.93,299.49,298.67,293.66,321.41,296.63,278.77,222.71,212.81,207.38,242.37,,210.39,197.35,212.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.43,262.43,,
2000-01-26 22:00:02.226000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.84,463.43,454.89,449.56,431.26,415.72,,494.01,488.59,404.28,393.23,393.94,395.50,377.38,444.50,441.23,439.19,423.52,421.44,415.80,407.28,412.28,409.10,411.76,455.11,433.07,399.40,363.87,331.58,336.21,344.13,330.47,310.33,470.56,452.14,424.50,531.47,308.79,274.17,265.59,332.81,,263.14,214.63,202.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.41,270.42,,
2000-02-11 21:59:57.866000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.02,504.35,476.60,469.32,460.77,461.91,458.59,461.85,458.56,449.31,492.39,491.57,436.30,417.52,418.01,412.13,415.03,400.44,392.09,386.88,389.39,411.15,359.07,351.45,334.87,347.12,321.22,334.03,320.72,335.35,364.37,325.44,330.02,294.57,381.62,372.26,385.37,414.66,393.88,,356.73,455.64,454.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.60,469.89,,
2000-02-27 21:59:52.393000,L7,,,502.57,,,,,,492.52,470.51,480.88,318.57,291.89,256.81,161.26,269.91,229.24,228.46,304.88,312.07,321.15,280.31,338.26,313.93,331.96,429.03,420.19,409.10,393.18,427.33,372.02,357.42,360.68,334.25,405.23,437.56,349.78,433.66,409.08,355.00,333.73,337.69,345.83,343.36,317.09,340.06,352.80,398.99,422.54,424.40,411.00,418.90,417.50,406.56,406.08,385.47,377.06,364.12,374.01,420.84,399.00,369.08,323.84,242.55,239.90,240.86,231.40,221.56,224.01,256.00,244.29,214.31,193.20,176.31,184.22,168.24,242.54,149.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-14 21:59:47.162000,L7,,,,310.82,287.68,305.71,288.24,300.16,364.54,397.19,376.81,411.63,401.62,385.58,366.88,325.17,389.11,407.02,180.77,181.60,195.87,171.97,169.68,178.54,248.34,330.22,414.27,345.94,313.69,317.47,371.97,347.15,314.64,,,,,,,317.04,310.13,286.13,,,,,,,150.44,154.10,165.77,202.53,206.97,205.70,217.63,235.33,246.35,246.21,234.05,246.45,217.68,209.90,167.90,,,,,,,,,,,,,,418.37,,,,371.00,485.39,440.08,499.64,406.74,351.15,503.29,270.59,228.11,246.46,503.22,479.56,482.01,278.91,242.23,311.93,288.29,302.75,317.67,431.13,414.76,309.43,287.26,179.08,440.17,426.03,383.77,349.08,356.61,280.61,375.74,420.34,,,325.84,308.35
2000-03-30 21:59:45.397000,L7,325.87,,493.00,289.27,273.92,288.96,,,,,,,,,,,,,,519.60,482.82,469.25,487.43,487.68,,514.23,498.77,491.45,497.11,470.89,372.66,524.94,519.41,505.64,502.48,452.93,501.51,505.29,490.72,469.92,460.74,458.78,463.97,468.20,449.74,394.79,394.41,391.98,368.61,367.51,349.78,385.93,400.46,388.45,384.52,317.50,314.12,309.28,303.21,291.14,351.87,336.32,322.66,273.31,261.75,255.70,247.69,238.90,248.16,272.55,247.66,222.54,228.21,227.34,203.51,178.53,224.70,165.58,167.32,159.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
