dates,satname,nzd0055-0000,nzd0055-0001,nzd0055-0002,nzd0055-0003,nzd0055-0004,nzd0055-0005,nzd0055-0006,nzd0055-0007,nzd0055-0009,nzd0055-0010,nzd0055-0024,nzd0055-0025,nzd0055-0008,nzd0055-0011,nzd0055-0012,nzd0055-0013,nzd0055-0014,nzd0055-0015,nzd0055-0016,nzd0055-0017,nzd0055-0018,nzd0055-0019,nzd0055-0020,nzd0055-0021,nzd0055-0022,nzd0055-0023
1999-09-27 22:04:25.056000,L7,,463.97,416.07,408.31,407.35,,220.15,360.53,414.84,411.53,496.22,447.93,407.40,402.61,392.82,392.71,402.22,400.66,401.38,375.07,159.36,,452.22,487.50,506.79,501.60
1999-11-14 22:04:18.343000,L7,238.80,250.80,183.23,375.93,203.24,314.12,258.56,296.23,256.70,323.71,258.12,335.01,,,,,,,,,,,,,,
1999-11-30 22:04:11.332000,L7,424.28,415.12,392.73,332.41,376.20,401.08,259.56,299.59,256.73,326.26,281.47,357.75,232.02,288.78,328.49,340.87,329.79,183.69,,,,,,,,
2000-01-01 22:04:13.486000,L7,482.30,447.52,424.44,462.20,523.63,548.22,380.14,390.95,409.83,415.27,469.45,456.39,405.34,411.84,400.39,409.25,410.36,407.92,403.85,282.29,160.72,449.05,497.67,512.11,489.48,477.30
2000-05-24 22:03:22.722000,L7,417.11,434.21,447.87,375.49,309.35,479.71,489.41,407.66,477.67,460.95,528.60,332.66,467.66,488.01,458.87,412.21,457.07,474.12,480.98,309.28,180.44,,,,309.36,419.61
2000-08-12 22:02:30.151000,L7,404.27,412.46,404.16,377.38,418.34,354.27,268.81,288.73,330.02,357.72,220.56,323.73,288.86,357.61,501.34,530.89,475.37,441.15,442.99,443.45,447.91,394.09,,,,
2000-09-13 22:02:02.316000,L7,411.88,405.81,366.35,318.97,360.91,,,237.65,302.74,313.84,313.14,337.15,307.90,536.23,,318.39,349.78,297.82,170.82,,,,,,,
2000-09-20 22:08:03.348000,L7,301.38,266.38,358.41,307.42,401.95,286.12,278.29,321.55,319.68,340.16,443.28,447.99,271.82,225.84,247.83,230.48,457.00,497.55,440.16,417.98,421.64,315.52,439.58,445.57,455.28,454.88
2000-10-15 22:01:32.252000,L7,405.11,398.42,404.57,390.16,400.55,285.79,374.91,333.25,367.33,,333.81,360.76,415.60,530.11,370.30,368.38,397.74,374.56,541.26,472.65,394.78,338.79,283.95,234.51,251.95,196.22
2001-03-24 22:01:35.778000,L7,253.27,215.65,481.74,459.62,484.23,515.70,453.51,459.56,299.78,326.38,235.33,321.77,239.96,330.71,327.07,343.66,239.06,178.78,159.46,,,,,,,
