dates,satname,nzd0334-0000,nzd0334-0001,nzd0334-0002,nzd0334-0003,nzd0334-0004,nzd0334-0005,nzd0334-0006,nzd0334-0007,nzd0334-0008,nzd0334-0009,nzd0334-0010,nzd0334-0011,nzd0334-0012,nzd0334-0013,nzd0334-0014,nzd0334-0015,nzd0334-0016,nzd0334-0017,nzd0334-0018,nzd0334-0019,nzd0334-0020,nzd0334-0021,nzd0334-0022
2000-08-14 21:52:08.182000,L7,321.09,507.05,442.59,477.65,468.38,464.56,361.18,484.22,485.28,446.05,,419.81,400.25,465.81,353.58,358.20,357.36,373.35,369.72,366.41,360.20,364.06,371.39
2000-09-15 21:51:13.624000,L7,327.22,337.73,358.69,369.39,366.27,360.73,357.47,367.92,368.17,369.58,364.20,363.68,364.82,356.11,344.55,351.00,356.07,368.62,366.71,364.52,361.26,360.00,372.29
2000-10-26 21:45:10.779000,L7,,,,207.95,232.59,235.57,242.84,268.78,261.13,304.60,293.88,309.77,308.16,276.18,231.59,206.40,204.19,225.79,246.40,308.57,308.54,321.05,334.62
2000-12-04 21:50:58.069000,L7,,,,,,,163.66,174.10,204.16,244.43,287.06,307.80,312.77,301.25,292.81,234.09,219.12,241.19,256.29,209.55,191.81,224.69,226.47
2000-12-04 21:51:22.024000,L7,,,,,,,167.60,174.78,205.61,182.05,288.51,308.67,314.04,302.13,292.28,230.88,218.51,241.00,255.74,208.70,192.14,224.06,228.61
2001-01-05 21:51:04.492000,L7,458.43,385.47,493.58,536.89,454.34,492.09,524.41,,519.97,453.27,460.32,446.85,451.45,412.04,400.32,430.65,409.25,409.87,400.18,391.83,390.14,391.95,402.85
2001-01-05 21:51:28.457000,L7,453.96,385.67,492.26,,,,,,522.35,517.73,497.18,446.54,454.75,412.25,402.04,430.91,408.29,409.18,399.51,391.57,395.75,392.79,404.14
2001-01-21 21:51:34.318000,L7,324.34,347.97,372.84,392.24,380.38,374.86,386.09,403.95,397.38,414.55,401.90,399.85,383.16,416.80,439.87,426.27,480.86,501.45,,,,,
2001-02-06 21:51:02.555000,L7,289.98,289.74,310.89,322.00,344.79,339.88,334.14,327.68,339.02,336.63,334.66,339.58,342.18,339.56,333.97,342.93,351.52,360.51,360.97,359.77,349.08,357.33,374.53
2001-02-06 21:51:26.449000,L7,325.30,351.08,371.19,523.21,506.89,480.21,484.74,372.91,367.83,372.16,366.56,361.15,362.48,366.22,388.70,,439.97,427.30,433.14,395.54,401.61,465.97,475.66
2001-04-27 21:50:43.832000,L7,275.57,299.96,306.49,352.26,353.17,358.49,356.80,368.88,353.71,376.65,429.56,439.38,382.11,357.98,332.69,334.89,335.78,346.49,350.73,346.18,345.47,346.83,357.40
