dates,satname,nzd0542-0000,nzd0542-0001,nzd0542-0002,nzd0542-0003,nzd0542-0004,nzd0542-0005,nzd0542-0006,nzd0542-0007
1999-12-07 22:13:41.663000,L7,180.69,205.94,220.12,182.47,181.48,198.16,235.10,219.39
2000-09-20 22:11:14.930000,L7,,,167.47,175.83,173.21,186.60,207.88,
2001-01-03 22:05:00.181000,L7,380.84,390.42,360.73,337.77,313.69,327.95,307.76,340.54
2001-02-11 22:11:12.788000,L7,495.85,509.50,449.50,422.12,401.46,383.67,388.10,423.06
2001-02-20 22:05:00.525000,L7,180.44,207.44,201.38,186.79,176.78,194.92,227.80,242.78
2001-02-27 22:11:06.137000,L7,,,,189.23,174.20,200.57,226.21,242.15
2001-06-19 22:10:17.246000,L7,429.46,405.94,427.70,277.24,294.54,267.37,261.99,282.88
2001-11-03 22:02:58.699000,L7,,,,482.77,442.45,439.09,445.20,448.24
2001-11-26 22:09:21.320000,L7,426.92,411.11,309.28,413.16,405.35,385.59,305.96,327.95
2002-01-29 22:09:33.112000,L7,305.59,279.98,258.45,262.65,272.02,309.60,329.00,350.69
2002-03-11 22:03:31.366000,L7,171.74,170.91,172.42,184.40,180.64,191.63,228.40,225.66
2002-04-12 22:03:25.302000,L7,,,,180.39,173.92,180.61,194.51,156.25
2002-09-10 22:08:43.416000,L7,219.00,218.95,222.91,210.36,228.36,225.12,245.00,249.48
2002-11-22 22:02:45.529000,L7,207.56,205.38,196.81,181.03,182.54,203.83,224.65,233.14
2003-03-21 22:09:27.545000,L7,,,174.67,180.63,170.58,190.28,193.50,
2003-08-13 21:51:32.649000,L5,228.46,222.47,223.98,220.65,217.34,221.80,229.87,249.64
2003-10-07 21:58:35.519000,L5,229.07,214.23,220.48,216.71,213.87,219.67,237.60,254.44
2003-11-17 21:52:57.120000,L5,227.99,215.17,217.61,217.05,216.03,232.35,245.01,263.57
2003-12-26 21:59:30.091000,L5,202.88,181.38,190.90,188.50,181.65,195.58,205.00,239.45
2004-03-31 21:59:59.745000,L5,231.34,217.12,219.07,222.15,220.44,240.88,250.68,266.78
2004-05-02 22:00:57.398000,L5,158.79,166.69,156.05,169.31,157.17,171.18,169.72,196.75
2004-05-18 22:01:26.569000,L5,139.07,160.30,164.13,171.57,162.85,163.37,180.53,198.31
2004-06-12 21:55:59.429000,L5,,,,,,,147.83,189.49
2004-07-30 21:57:15.668000,L5,223.50,229.33,226.04,224.13,229.35,234.98,234.90,252.96
2005-01-13 22:06:52.927000,L5,216.92,206.20,192.58,184.93,179.44,191.36,201.34,215.23
