dates,satname,nzd0214-0000,nzd0214-0001,nzd0214-0002,nzd0214-0003,nzd0214-0004,nzd0214-0005,nzd0214-0006,nzd0214-0007,nzd0214-0008,nzd0214-0009,nzd0214-0010,nzd0214-0011,nzd0214-0012,nzd0214-0013
1999-09-29 21:52:52.243000,L7,349.99,351.77,350.40,317.77,323.67,331.40,335.61,327.71,333.98,325.88,306.70,297.84,289.42,304.02
1999-10-15 21:52:49.322000,L7,416.39,387.53,396.71,377.66,359.71,364.19,372.62,370.64,371.89,368.24,359.50,346.25,343.96,352.08
1999-12-09 21:58:57.676000,L7,384.59,387.18,393.62,362.15,348.70,357.34,364.57,365.35,371.35,362.44,348.13,341.25,339.71,347.65
2000-01-10 21:58:52.465000,L7,375.67,371.18,381.24,354.40,351.51,354.54,361.66,357.51,361.17,357.79,351.59,348.06,340.36,350.55
2000-02-04 21:52:37.377000,L7,355.59,342.64,344.63,311.67,319.30,324.79,326.77,322.84,332.08,321.92,305.13,283.39,264.86,301.09
2000-02-20 21:52:29.720000,L7,321.75,286.12,295.52,281.19,292.56,246.24,,,,,256.86,298.47,277.20,305.86
2000-03-14 21:58:35.291000,L7,326.29,187.85,,,,,,,,,247.30,231.19,256.36,295.57
2000-03-30 21:58:33.541000,L7,322.13,,,,,,,,,,,,,
2000-04-24 21:52:10.308000,L7,328.09,310.36,326.38,290.73,306.53,310.46,318.35,316.95,320.33,316.71,274.61,180.52,,
2000-05-17 21:58:07.485000,L7,312.63,307.16,322.25,272.48,286.20,300.48,315.19,316.17,322.73,312.92,259.41,,,
2000-05-26 21:51:48.668000,L7,370.76,364.54,360.86,330.73,333.66,349.40,349.00,359.12,375.58,379.32,355.85,333.27,433.19,446.83
2000-08-05 21:57:08.715000,L7,352.37,337.44,343.87,312.69,317.71,324.02,331.81,327.06,332.99,328.11,312.75,296.96,228.32,306.94
2000-08-14 21:50:56.232000,L7,348.15,343.96,344.47,313.99,318.46,329.49,331.78,335.11,330.05,326.21,313.93,224.60,276.47,317.58
2000-09-15 21:50:25.712000,L7,337.80,350.37,351.75,308.96,323.57,325.05,332.81,327.93,328.19,317.27,301.40,287.93,286.89,304.16
2000-10-17 21:50:01.277000,L7,330.83,339.23,342.68,304.15,315.04,317.71,326.77,325.27,324.39,321.18,270.11,290.30,282.58,303.84
2000-11-09 21:56:21.390000,L7,414.82,383.29,376.87,345.28,351.50,358.73,356.53,362.98,361.24,379.33,373.00,344.85,332.33,342.21
2000-12-04 21:50:10.162000,L7,385.81,376.04,375.34,338.69,347.45,350.55,353.53,357.50,362.04,363.34,353.95,337.80,332.81,339.35
2000-12-20 21:50:16.996000,L7,396.47,367.10,370.35,351.57,345.21,332.51,335.75,345.01,351.81,353.63,352.26,341.41,325.60,328.61
2001-01-05 21:50:16.585000,L7,401.45,377.22,379.55,350.45,347.54,352.40,352.27,358.56,356.25,359.58,354.25,334.58,325.71,335.78
2001-01-12 21:56:30.696000,L7,373.56,375.97,383.82,361.73,356.56,360.18,353.63,355.82,354.43,349.50,338.62,337.50,351.62,343.78
2001-03-10 21:50:10.732000,L7,329.39,345.44,348.51,316.48,322.17,323.83,329.50,328.68,333.11,323.12,305.80,303.06,296.42,310.26
2001-03-26 21:50:01.268000,L7,323.72,329.25,322.64,288.98,300.28,309.37,310.20,309.69,316.38,307.93,265.05,289.98,270.48,268.51
2001-06-21 21:55:29.297000,L7,342.07,337.74,343.15,311.29,319.75,326.28,332.72,329.32,337.08,330.39,313.00,209.57,230.26,300.65
2001-06-30 21:49:12.248000,L7,359.49,353.16,352.44,322.22,330.11,345.64,353.80,355.04,354.95,355.83,329.21,329.65,317.57,328.59
2001-09-09 21:54:36.880000,L7,351.83,347.58,348.53,319.71,327.17,330.01,335.60,331.41,337.47,333.91,314.61,294.59,264.37,308.99
2001-09-18 21:48:17.356000,L7,340.58,340.22,344.08,308.10,320.98,328.23,332.11,328.89,332.86,323.08,304.92,294.86,280.85,307.90
2001-10-20 21:48:09.707000,L7,329.05,330.42,336.53,297.75,306.73,311.58,320.20,314.85,325.01,314.81,268.21,286.80,273.14,298.61
2001-11-05 21:48:14.934000,L7,331.70,330.46,336.59,298.35,308.18,312.93,318.46,316.71,322.73,314.59,295.65,233.21,260.61,276.23
2001-12-30 21:54:37.254000,L7,334.51,340.83,343.91,311.45,319.86,323.49,330.36,328.36,336.21,326.16,306.93,302.79,265.80,300.22
2002-01-24 21:48:42.967000,L7,383.79,368.84,372.20,354.69,354.28,350.36,349.74,355.19,360.00,370.39,356.78,331.29,326.43,338.78
2002-01-31 21:54:50.570000,L7,333.43,340.70,342.08,302.67,315.38,323.88,333.31,320.13,332.04,319.07,278.62,290.93,266.55,209.54
2002-02-09 21:48:45.674000,L7,356.24,339.60,342.35,309.39,315.59,321.45,327.57,328.09,336.49,326.73,303.17,218.78,241.30,298.43
2002-02-16 21:54:54.191000,L7,348.66,345.53,348.10,318.24,322.46,326.53,330.06,327.12,333.75,324.18,307.66,295.06,279.99,304.09
2002-02-25 21:48:47.943000,L7,425.77,389.32,375.05,350.97,355.81,360.25,366.56,368.70,370.76,367.27,358.98,348.76,343.20,349.81
2002-03-20 21:54:48.224000,L7,351.74,340.18,344.61,309.35,314.43,321.53,324.87,321.75,329.99,323.96,305.91,214.13,233.65,298.38
2002-04-14 21:48:38.601000,L7,335.02,338.47,343.67,308.60,313.43,318.20,328.01,320.94,330.00,320.95,297.67,223.34,230.27,289.96
2002-05-16 21:48:34.178000,L7,335.62,345.24,348.31,318.06,322.19,326.16,325.68,330.84,335.83,329.04,308.85,294.36,274.78,310.06
2002-06-01 21:48:28.245000,L7,342.80,340.62,345.38,315.52,321.07,332.02,329.74,333.61,337.90,334.77,312.13,218.91,223.64,311.92
