dates,satname,nzd0384-0000,nzd0384-0001,nzd0384-0002,nzd0384-0003,nzd0384-0004,nzd0384-0005,nzd0384-0006,nzd0384-0007,nzd0384-0008,nzd0384-0009,nzd0384-0010,nzd0384-0011,nzd0384-0012,nzd0384-0013,nzd0384-0014,nzd0384-0015,nzd0384-0016,nzd0384-0017,nzd0384-0018,nzd0384-0019,nzd0384-0020,nzd0384-0021,nzd0384-0022,nzd0384-0023,nzd0384-0024,nzd0384-0025,nzd0384-0026,nzd0384-0027,nzd0384-0028,nzd0384-0029,nzd0384-0030,nzd0384-0031,nzd0384-0032,nzd0384-0033,nzd0384-0034,nzd0384-0035,nzd0384-0036,nzd0384-0037,nzd0384-0038,nzd0384-0039,nzd0384-0040,nzd0384-0041,nzd0384-0042,nzd0384-0043,nzd0384-0044,nzd0384-0045,nzd0384-0046,nzd0384-0047,nzd0384-0048,nzd0384-0049,nzd0384-0050,nzd0384-0051,nzd0384-0052,nzd0384-0053,nzd0384-0054,nzd0384-0055,nzd0384-0056,nzd0384-0057,nzd0384-0058,nzd0384-0059,nzd0384-0060,nzd0384-0061,nzd0384-0062,nzd0384-0063,nzd0384-0064,nzd0384-0065,nzd0384-0066,nzd0384-0067,nzd0384-0068,nzd0384-0069,nzd0384-0070,nzd0384-0071,nzd0384-0072,nzd0384-0073
1999-09-04 22:00:09.953000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.66,183.83,274.64,248.13,225.36,197.16,,,,223.25,242.14,268.23,228.05,250.23,250.37,209.55,269.18,262.41,235.53,263.39,312.35,227.56,,206.21,220.18,247.91,220.34,263.03,213.22,300.68,322.98,315.21,356.19,399.02,407.60,414.31
1999-09-20 22:00:08.403000,L7,236.03,250.61,331.87,288.94,270.65,214.21,202.12,205.04,199.89,435.71,440.67,443.20,243.95,226.11,218.73,219.59,200.92,199.08,241.12,249.89,261.12,267.38,273.54,265.15,264.43,262.11,258.96,282.76,291.91,283.24,276.39,275.68,283.66,280.05,266.81,298.35,300.67,300.30,300.99,285.02,313.11,334.33,340.63,317.43,291.09,303.75,303.59,306.13,316.04,329.69,326.87,318.13,342.83,353.45,367.70,368.05,363.05,357.59,358.86,369.18,370.44,376.31,388.12,385.23,386.90,382.99,385.29,381.15,386.60,400.52,416.84,437.05,455.08,465.76
1999-10-22 22:00:04.598000,L7,506.02,480.09,462.34,458.67,439.54,428.98,417.56,409.02,423.27,374.30,400.04,413.21,436.01,436.38,416.15,425.80,429.85,456.11,472.30,473.76,476.34,489.31,497.06,512.88,402.19,417.57,316.43,473.44,456.65,433.03,463.93,455.20,325.04,324.71,327.27,344.90,348.18,353.83,346.79,487.14,482.56,491.86,488.24,478.80,484.46,477.89,481.37,476.44,472.43,476.07,474.66,376.29,377.00,392.06,400.68,401.16,390.22,393.78,393.41,394.52,407.36,409.08,420.65,416.26,416.83,416.96,416.23,433.46,434.44,432.18,462.17,462.26,464.02,471.77
1999-12-09 22:00:09.551000,L7,239.78,221.75,180.55,192.49,200.26,203.27,400.93,402.37,401.39,407.26,409.78,404.32,231.15,403.71,424.14,418.00,415.17,397.66,261.63,270.78,278.73,419.65,437.45,438.43,439.71,444.00,450.58,456.19,452.66,461.12,448.45,461.55,457.11,321.21,459.27,443.09,467.32,467.67,480.68,476.88,475.10,451.28,478.02,469.68,468.58,468.68,464.98,460.77,460.93,469.97,479.28,489.55,491.10,490.28,501.76,503.44,498.78,498.27,491.13,500.17,500.71,495.24,501.94,517.98,508.22,513.45,495.36,402.33,403.69,419.59,466.49,461.52,460.08,475.81
1999-12-25 22:00:04.067000,L7,499.47,501.99,481.98,482.35,458.94,456.48,468.14,460.27,469.46,469.12,481.98,501.24,492.09,489.73,485.35,479.49,475.87,478.11,476.88,490.97,484.80,506.81,398.03,404.77,412.59,415.50,416.69,419.79,420.87,415.62,421.10,422.46,426.87,422.67,429.23,428.99,429.39,,,411.40,445.73,441.66,446.42,443.47,433.07,429.79,,,,,436.75,441.55,446.47,451.94,459.86,463.33,463.57,461.73,464.71,464.25,464.90,474.06,466.30,468.29,,,443.42,455.44,455.86,468.71,,,,
2000-01-26 22:00:02.226000,L7,433.77,446.78,441.04,434.34,430.30,420.21,412.81,417.87,423.95,429.32,443.57,432.75,459.35,491.98,527.25,387.74,387.79,390.35,384.59,384.23,385.48,389.71,396.84,410.44,410.94,415.28,407.77,416.21,421.12,533.94,506.31,475.47,489.87,482.43,492.94,495.57,471.97,484.68,488.65,503.67,490.48,488.20,486.03,483.76,471.16,466.77,466.60,459.95,459.99,464.97,479.54,489.50,487.98,493.64,508.38,496.72,493.30,493.78,487.69,499.05,515.44,503.77,514.95,516.14,509.02,512.81,499.61,486.19,485.11,497.37,506.48,496.72,458.91,469.20
2000-02-11 21:59:57.866000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.40,175.77,198.54,271.21,292.23,228.18,,,,251.88,240.98,244.32,266.90,284.57,274.92,218.88,211.88,200.42,231.84,306.73,321.11,330.96,,,,177.07,239.54,251.94,268.45,,298.33,302.10,352.98,388.17,396.97,410.59,428.49
2000-02-27 21:59:52.393000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.70,179.53,246.43,260.25,206.05,,,,176.69,224.85,240.85,259.54,253.91,258.09,268.51,274.54,301.51,299.61,251.22,316.56,325.73,,,,,204.32,214.23,263.86,154.87,294.96,332.31,321.45,381.10,318.02,391.24,393.18
2000-03-30 21:59:45.397000,L7,249.23,239.04,190.29,207.76,218.15,225.75,418.60,417.85,426.78,429.71,437.14,433.99,436.10,430.57,424.28,421.12,420.21,420.20,422.00,430.06,441.19,438.89,408.58,441.85,451.69,465.61,463.32,460.39,322.47,321.93,332.72,456.41,465.31,475.80,486.78,488.27,483.56,485.67,490.21,488.43,492.27,495.42,494.89,496.88,473.23,463.18,338.66,324.40,473.24,476.42,483.29,498.08,459.35,496.70,483.87,509.46,476.89,498.96,504.81,489.76,509.03,489.88,504.31,511.39,514.02,516.77,509.08,505.05,408.03,419.43,457.78,466.22,472.94,477.89
2000-04-15 21:59:31.785000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.72,251.32,258.72,242.28,241.50,,219.23,280.84,273.93,275.55,262.64,195.59,283.31,298.46,251.15,256.85,199.63,195.20,243.13,242.77,228.01,273.23,268.80,262.45,267.21,284.30,309.26,269.87,264.77,311.79,335.19,265.93,343.88,188.83,173.29,244.49,234.84,255.66,281.70,296.50,329.49,328.94,348.26,396.47,407.47,419.46
2000-05-01 21:59:30.586000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.55,252.42,264.72,204.37,,143.01,209.96,277.11,278.13,286.35,185.65,164.04,295.89,293.87,229.54,209.41,177.78,230.94,248.74,231.75,241.42,267.63,262.36,180.30,247.79,240.56,312.98,244.74,247.63,317.60,264.62,,,334.72,350.36,198.73,264.08,256.31,289.60,296.71,336.26,316.26,369.09,398.82,414.86,420.28
2000-06-18 21:59:03.789000,L7,414.31,408.11,413.80,410.64,393.44,381.26,395.58,403.91,403.68,214.29,231.06,243.00,240.39,239.79,257.88,257.90,259.47,261.54,265.47,277.31,282.17,291.04,304.57,300.45,302.81,306.90,308.73,316.19,316.19,311.65,324.80,313.09,318.45,326.09,324.35,337.16,339.29,344.89,327.33,307.80,328.42,354.10,355.86,334.54,313.45,321.31,331.64,315.57,341.20,360.23,362.74,365.70,374.48,438.92,448.15,450.72,432.01,425.52,422.68,426.95,453.22,452.47,444.28,458.30,474.42,470.87,506.31,500.28,509.20,516.01,520.09,526.94,,
2000-08-05 21:58:20.584000,L7,490.68,479.16,455.27,482.63,477.36,452.84,429.21,433.14,349.04,346.36,358.65,356.80,445.52,452.91,441.75,434.67,450.52,434.10,424.11,438.19,462.28,483.15,474.14,481.53,477.68,496.29,492.13,483.63,480.29,483.64,505.21,490.27,477.24,483.55,524.09,507.91,508.64,496.77,505.26,449.05,449.12,450.07,441.76,449.01,449.93,497.11,507.09,448.29,495.97,487.57,486.48,448.71,450.65,495.64,507.00,502.32,502.93,496.05,493.58,439.10,442.51,441.49,508.74,514.08,521.19,508.38,399.33,403.74,396.40,417.36,451.57,468.40,465.50,481.58
2000-09-06 21:57:58.861000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.62,253.32,258.20,242.56,243.31,138.78,219.56,270.80,286.47,286.70,284.75,204.42,289.27,312.40,271.36,285.85,223.60,202.89,265.36,258.52,,,,250.44,242.07,,,,,,,,,,,203.15,237.74,253.79,291.34,293.91,326.96,323.20,331.31,393.63,411.58,421.62
2000-10-24 21:57:29.684000,L7,249.53,243.05,153.99,192.21,217.98,220.94,216.28,235.81,223.86,226.52,435.32,439.04,444.63,443.22,260.28,267.51,269.71,268.15,273.56,282.55,283.37,301.43,312.12,306.68,311.67,305.56,312.91,321.42,321.44,315.82,326.59,320.29,317.79,327.15,325.95,343.41,339.20,346.77,346.43,329.53,330.56,344.70,352.93,346.12,331.77,325.31,338.78,323.49,347.15,360.32,368.16,364.02,370.14,379.65,384.68,391.35,382.39,385.31,383.70,389.81,395.51,401.83,441.04,442.61,454.46,400.55,398.73,397.12,408.08,417.04,445.49,451.57,461.61,472.43
2000-11-09 21:57:33.274000,L7,438.66,435.71,425.59,466.52,453.54,453.50,454.26,475.33,454.14,444.72,440.75,436.85,418.18,398.60,434.46,426.80,435.87,431.78,434.73,433.93,451.88,455.30,451.88,425.20,461.35,468.82,469.82,472.53,475.46,480.28,477.96,475.48,475.16,488.99,485.01,484.06,475.89,495.22,496.88,499.08,453.83,501.04,492.53,501.04,484.91,491.78,453.63,475.88,477.62,472.51,451.41,483.80,495.12,504.27,516.18,509.09,502.00,501.86,499.75,501.59,398.31,507.33,505.59,518.16,520.46,517.52,401.50,400.95,404.99,419.07,451.14,456.26,465.10,474.90
2000-11-25 21:57:34.931000,L7,456.82,439.94,402.01,441.33,386.99,419.69,289.89,406.21,353.20,345.44,422.57,427.91,395.29,345.92,309.79,338.45,414.44,425.04,426.83,429.44,437.15,442.71,441.06,431.72,436.14,455.14,449.09,463.09,453.19,454.68,455.06,448.88,330.19,335.58,337.68,344.88,350.49,355.25,347.74,334.61,336.33,366.12,367.38,349.44,333.46,326.57,343.33,322.69,348.63,364.42,373.82,372.18,378.21,390.21,398.39,396.73,390.64,393.55,396.32,397.95,398.79,402.29,410.98,416.49,410.72,409.42,403.52,408.94,413.43,426.99,517.05,518.77,477.19,485.54
