dates,satname,nzd0287-0000,nzd0287-0001,nzd0287-0002,nzd0287-0003,nzd0287-0004,nzd0287-0005,nzd0287-0006,nzd0287-0007,nzd0287-0008,nzd0287-0009,nzd0287-0010,nzd0287-0011,nzd0287-0012,nzd0287-0013,nzd0287-0014,nzd0287-0015,nzd0287-0016,nzd0287-0017,nzd0287-0018,nzd0287-0019,nzd0287-0020
1999-08-21 21:46:56.985000,L7,375.35,373.75,495.97,421.59,402.20,384.46,388.43,355.97,383.40,378.09,371.69,361.64,396.71,416.54,416.40,487.14,491.90,478.78,477.27,459.06,389.92
1999-09-22 21:47:00.785000,L7,339.85,341.15,326.67,324.49,332.10,331.41,329.12,336.13,339.24,337.91,340.25,337.09,336.37,351.33,365.79,361.17,366.74,361.60,358.82,356.97,373.90
1999-10-24 21:46:56.203000,L7,341.97,353.25,517.11,,,312.88,345.80,330.39,494.30,495.38,,,492.43,476.74,506.65,500.03,415.16,,,,
2000-04-01 21:46:34.573000,L7,385.46,384.17,408.58,399.87,395.56,401.99,396.16,357.19,347.20,343.52,368.69,516.57,502.40,511.08,512.73,535.02,406.93,352.99,383.90,377.73,383.96
2000-05-19 21:46:07.873000,L7,385.11,374.01,376.12,375.66,392.24,425.62,386.92,412.96,393.22,383.79,377.88,377.21,391.96,393.83,400.38,392.41,398.97,397.62,387.12,381.49,393.23
2000-08-07 21:45:08.975000,L7,347.06,338.30,327.75,314.26,320.13,331.45,333.95,345.48,339.21,345.54,344.02,338.88,340.63,364.11,360.29,366.89,364.22,361.47,359.96,358.24,369.51
2000-11-27 21:44:26.720000,L7,336.28,330.98,324.49,312.53,319.00,224.68,226.41,223.45,204.34,347.80,330.37,235.04,282.09,283.81,349.44,349.57,349.66,350.71,342.36,339.55,352.50
2000-12-13 21:44:28.287000,L7,517.15,406.49,518.59,473.81,520.24,541.97,,,,395.33,504.53,492.64,486.27,481.61,504.54,540.91,523.67,531.32,496.75,385.77,388.51
2001-04-04 21:44:06.948000,L7,336.84,334.22,314.38,305.18,311.61,324.41,314.17,279.87,321.34,338.54,325.28,196.66,217.25,270.47,258.19,362.76,369.12,368.72,357.06,361.26,369.29
2001-04-20 21:44:10.657000,L7,333.08,331.84,313.00,313.46,295.60,214.59,201.95,182.72,158.52,327.15,321.86,212.07,,,,,294.23,322.19,329.53,329.74,328.81
2001-05-22 21:43:54.652000,L7,507.47,498.82,411.66,405.70,410.43,416.86,414.16,439.51,419.38,406.10,410.50,419.20,431.14,449.70,462.66,454.41,465.72,462.52,460.24,449.04,478.15
2001-07-25 21:43:18.753000,L7,312.74,331.48,314.29,290.88,222.60,260.22,297.40,289.01,339.66,332.21,250.14,257.79,,,,,,324.89,305.38,336.33,329.46
