dates,satname,nzd0365-0000,nzd0365-0001,nzd0365-0002,nzd0365-0003,nzd0365-0004,nzd0365-0005,nzd0365-0006,nzd0365-0007,nzd0365-0008,nzd0365-0009,nzd0365-0010,nzd0365-0011,nzd0365-0012,nzd0365-0013,nzd0365-0014,nzd0365-0015,nzd0365-0016,nzd0365-0017,nzd0365-0018,nzd0365-0019,nzd0365-0020,nzd0365-0021,nzd0365-0022,nzd0365-0023,nzd0365-0024,nzd0365-0025
1999-08-03 22:00:08.482000,L7,,,,,,282.93,256.29,,,,,,,,,,,,,,,,,,,
1999-09-04 22:00:09.953000,L7,340.92,351.44,352.80,351.27,344.56,331.97,327.99,327.96,325.85,310.20,300.97,285.73,306.72,287.14,289.17,176.92,188.34,232.65,196.47,261.71,208.93,208.74,205.55,241.42,222.94,
1999-09-20 22:00:08.403000,L7,339.77,355.57,347.94,344.99,330.18,324.67,323.57,319.53,306.38,293.23,284.94,272.45,276.55,266.27,268.22,274.67,277.40,261.91,260.78,252.52,250.87,239.86,235.55,231.47,210.44,
1999-12-09 22:00:09.551000,L7,344.12,361.34,366.16,354.66,337.47,370.30,358.14,352.44,335.83,336.77,353.48,325.18,314.86,304.34,302.17,190.78,250.86,255.56,218.32,213.14,224.31,216.11,223.26,241.18,,
1999-12-25 22:00:04.067000,L7,360.67,380.15,381.66,384.47,365.97,347.24,344.17,332.72,327.90,324.49,321.09,312.53,301.81,299.04,283.41,285.66,285.12,279.82,270.67,263.88,211.71,211.06,208.25,251.10,240.07,
2000-01-26 22:00:02.226000,L7,319.06,363.47,361.43,344.96,366.04,341.64,325.79,316.49,313.04,287.68,301.90,298.76,287.17,267.82,253.03,191.03,267.28,262.67,178.82,239.06,240.58,216.44,,,,
2000-02-11 21:59:57.866000,L7,361.26,357.16,346.98,340.73,334.40,324.70,324.57,309.86,307.51,331.05,309.24,309.73,300.28,288.34,288.72,313.63,282.47,269.34,269.48,266.29,281.41,254.72,249.83,239.05,,
2000-02-27 21:59:52.393000,L7,308.85,356.83,167.51,344.48,337.84,329.73,330.83,322.55,317.89,308.52,317.10,304.38,286.23,286.39,263.63,287.23,282.60,264.80,207.44,249.36,176.59,216.36,212.08,241.68,,
2000-03-14 21:59:47.162000,L7,,308.31,292.86,291.78,,,,,,232.11,254.47,242.28,243.97,191.27,,,,,,,,,,,,
2000-03-30 21:59:45.397000,L7,357.16,362.10,359.57,351.93,341.16,335.56,329.62,331.65,330.83,321.26,318.61,311.53,304.92,293.27,291.76,187.77,236.33,252.06,207.74,209.43,217.70,218.15,217.57,244.76,,
2000-04-15 21:59:31.785000,L7,366.14,360.78,352.26,354.24,345.54,339.24,345.46,340.40,344.19,331.04,321.69,313.29,309.74,287.99,279.02,277.10,277.59,271.26,262.00,261.60,204.56,202.72,198.57,255.92,293.33,187.44
2000-05-01 21:59:30.586000,L7,362.14,363.21,356.01,354.24,339.13,331.28,331.65,328.03,345.24,327.46,320.34,307.65,300.89,287.43,281.90,281.54,287.71,278.24,274.28,263.05,205.30,201.82,202.51,245.67,253.03,189.27
2000-05-17 21:59:19.400000,L7,356.88,371.68,362.05,362.84,356.55,353.94,343.84,352.69,344.47,346.51,329.96,318.91,312.62,306.12,325.62,184.74,191.78,202.41,202.29,277.47,270.81,264.14,264.09,249.02,251.75,
2000-06-18 21:59:03.789000,L7,227.58,352.20,350.02,346.94,334.39,323.10,321.72,312.74,306.27,290.92,284.37,265.10,264.38,263.06,262.41,266.01,273.21,263.61,254.97,250.93,208.97,210.30,204.79,237.05,227.95,
2000-08-05 21:58:20.584000,L7,355.16,369.20,365.69,359.01,346.77,344.24,335.71,328.25,334.84,318.04,314.58,304.53,301.59,290.26,280.89,278.81,286.95,281.17,277.93,263.64,180.05,202.99,198.55,247.15,250.83,250.20
2000-09-06 21:57:58.861000,L7,,329.70,323.39,318.46,304.56,295.60,286.73,252.24,,214.93,189.83,176.85,211.77,234.29,236.79,232.93,,,,,,,,,,
2000-10-24 21:57:29.684000,L7,435.73,418.90,446.23,447.30,438.72,428.53,452.22,386.43,388.74,417.35,419.05,459.41,365.62,441.46,413.98,341.89,389.28,393.04,352.06,361.30,323.23,301.92,430.81,318.06,320.48,361.23
2000-11-25 21:57:34.931000,L7,365.86,369.48,360.26,357.19,344.27,339.64,339.20,333.99,333.41,329.86,326.15,314.17,303.26,293.02,286.16,178.25,181.25,229.83,197.04,266.56,207.19,206.18,205.46,247.09,248.83,
2000-12-11 21:57:36.803000,L7,341.86,360.31,355.16,355.18,343.47,334.32,337.97,361.71,387.26,313.06,314.23,302.11,294.24,283.13,274.49,271.11,273.94,265.80,266.34,256.53,253.48,245.41,245.57,234.84,,
2001-02-13 21:57:39.607000,L7,,331.09,326.12,316.80,317.85,309.41,306.92,291.16,289.22,296.05,292.26,287.76,256.52,264.35,235.62,234.81,,,,,,,,,,
2001-04-02 21:57:18.479000,L7,,329.63,309.55,308.70,321.61,290.93,288.87,285.21,267.57,302.52,277.44,249.94,,,,,,,,,,,,,,
2001-05-20 21:57:04.892000,L7,,330.80,328.50,323.47,218.24,183.81,212.36,287.62,276.46,272.31,283.67,269.44,268.72,251.78,171.74,249.81,243.08,,,,,,,,,
2001-06-05 21:56:52.440000,L7,307.79,346.25,338.15,346.47,327.71,312.66,346.26,295.50,282.61,270.19,277.33,266.32,264.58,242.90,231.54,241.58,253.34,,205.48,244.60,242.87,239.96,237.54,,,
2001-07-07 21:56:36.067000,L7,334.67,357.63,354.67,347.83,332.58,323.10,321.76,318.44,316.94,326.83,305.42,277.85,277.86,180.71,164.87,193.28,203.91,226.99,209.71,181.09,272.59,256.65,255.36,244.82,,
2001-08-08 21:56:12.984000,L7,345.55,358.25,352.52,363.44,346.50,330.20,328.21,329.41,310.02,315.49,307.74,291.57,297.80,278.46,274.96,273.24,274.74,267.57,263.58,260.38,212.47,215.45,211.85,241.84,241.71,
2001-08-24 21:56:00.447000,L7,342.57,345.89,344.30,389.71,383.46,350.34,350.71,334.75,308.88,307.03,290.03,294.49,292.37,273.66,280.36,276.53,271.69,260.04,269.42,255.17,204.39,207.62,201.33,239.35,235.91,
2001-09-25 21:55:40.572000,L7,353.48,366.42,378.81,352.24,335.17,385.73,382.15,370.64,383.34,362.24,363.80,342.37,365.18,323.58,292.21,343.73,336.71,359.32,306.36,303.10,286.42,275.51,279.17,253.03,,
2001-10-11 21:55:21.747000,L7,361.32,377.48,374.81,356.19,366.77,345.59,335.85,331.68,333.82,330.24,326.72,317.46,307.29,300.32,284.08,184.23,228.22,234.06,209.68,210.22,203.51,203.32,212.28,240.24,218.03,
2001-12-30 21:55:49.115000,L7,365.37,368.39,364.57,351.44,345.23,337.97,336.10,338.38,328.46,327.56,324.15,310.79,301.81,290.18,281.98,185.83,239.56,251.40,209.60,202.25,215.79,184.22,215.09,254.53,248.81,
2002-01-15 21:55:59.365000,L7,310.40,341.83,337.28,333.06,327.74,316.10,312.83,302.98,296.08,283.89,279.08,273.06,275.66,260.14,253.10,256.27,262.72,,242.61,234.05,234.95,160.51,217.50,209.03,,
2002-02-16 21:56:06.046000,L7,367.16,349.31,343.16,325.01,309.43,311.79,311.31,326.17,315.73,303.11,298.05,305.62,258.06,,,,,,243.49,237.18,238.75,242.58,237.45,224.97,,
2002-03-04 21:56:09.860000,L7,,,537.81,381.21,343.80,332.98,326.87,322.37,313.62,303.80,297.29,292.55,283.35,271.45,267.42,265.95,267.23,253.36,255.01,248.72,240.95,235.82,228.07,228.66,218.27,
2002-05-07 21:56:03.729000,L7,278.36,333.11,321.22,331.52,327.45,340.91,301.69,293.19,284.77,282.33,280.69,272.28,263.01,180.98,251.45,251.56,249.56,,,,,,,,,
2002-08-27 21:55:12.096000,L7,348.26,374.31,350.11,400.18,372.90,351.20,309.63,319.63,311.87,311.57,324.85,288.04,272.74,268.32,283.42,285.05,282.83,262.02,267.44,248.91,249.23,241.43,241.31,234.77,226.07,
2002-09-12 21:55:07.575000,L7,340.39,362.72,357.40,343.22,337.39,325.73,321.64,314.43,321.45,304.97,296.80,287.08,283.47,275.52,270.95,179.98,204.44,229.90,205.15,247.48,209.56,208.96,211.71,232.94,226.97,
2002-10-14 21:54:55.882000,L7,354.77,363.93,366.16,355.52,346.07,350.38,357.18,346.60,332.04,323.36,325.12,319.79,312.35,297.00,292.70,287.08,296.18,277.51,279.02,268.74,207.36,203.52,202.21,247.92,243.02,
2002-10-30 21:55:01.471000,L7,342.34,362.53,359.58,353.78,342.65,337.91,338.58,333.25,331.56,316.76,326.65,308.12,305.57,289.21,281.07,179.69,192.44,231.66,204.92,266.45,208.59,205.15,207.49,241.02,229.61,
2003-01-02 21:55:34.113000,L7,311.59,333.86,325.66,323.17,313.62,300.90,298.80,293.90,292.55,282.36,284.19,280.36,269.58,256.00,249.58,187.76,259.08,,245.95,237.43,237.02,224.44,,,,
2003-01-18 21:55:42.118000,L7,,330.24,326.28,328.43,322.79,305.08,302.48,297.64,289.77,277.85,285.43,281.52,271.11,251.53,246.20,255.12,240.10,,,,,,,,,
2003-02-19 21:55:54.479000,L7,,244.98,340.60,331.94,331.31,313.10,310.74,315.11,289.25,306.17,293.43,282.15,276.54,260.80,254.61,260.30,262.32,,,,,,,,,
2003-03-07 21:55:58.558000,L7,,351.95,349.25,342.68,325.11,328.67,309.70,318.23,292.31,285.78,300.12,301.26,278.83,264.94,259.92,244.90,,,,,,,,,,
2003-03-23 21:55:52.571000,L7,,338.66,333.43,222.16,220.28,218.58,223.72,285.63,276.04,261.23,279.66,270.51,270.99,246.52,241.24,243.28,,,,,,,,,,
2003-04-08 21:55:59.443000,L7,332.23,245.44,332.33,323.31,351.06,332.40,314.79,311.10,312.53,311.43,295.43,295.47,287.81,277.96,270.57,278.11,276.14,265.42,256.63,248.97,244.63,240.91,228.01,,,
2003-04-24 21:55:58.309000,L7,344.04,362.20,354.73,350.48,341.67,324.19,331.42,340.44,325.80,316.07,305.92,316.78,303.72,292.61,278.70,277.08,286.88,272.18,260.66,255.72,249.14,243.90,,,,
2003-07-21 21:43:45.776000,L5,331.93,348.27,342.46,338.62,326.86,315.41,315.58,308.07,304.21,296.14,287.59,284.10,280.70,272.13,263.47,267.83,267.10,249.74,249.43,252.96,246.77,244.05,211.09,,,
2003-07-30 21:37:45.389000,L5,262.48,297.62,295.50,291.98,291.19,282.86,285.67,281.32,283.06,281.94,280.19,276.06,285.03,279.64,276.65,280.49,289.73,280.77,289.73,289.77,290.56,290.38,247.09,200.81,,
2003-10-18 21:39:00.182000,L5,,,,,,,,,,,250.44,234.73,258.57,228.99,,,,,,,,,,,,
2003-12-21 21:39:43.071000,L5,,,,,,,,,,,275.19,277.25,282.31,270.23,264.54,207.89,274.58,,,197.28,191.03,211.24,216.20,173.18,,
2003-12-28 21:45:57.554000,L5,269.58,332.94,319.83,312.61,303.02,293.93,294.72,252.44,279.66,271.08,277.96,277.82,276.14,254.49,247.83,251.50,251.41,,,,,,,,,
2004-04-02 21:46:30.745000,L5,339.04,348.77,340.80,337.09,327.26,316.74,315.26,309.14,300.96,295.04,285.25,279.82,284.31,268.95,260.32,264.25,267.80,244.89,253.46,257.81,254.59,232.68,238.99,243.18,,
2004-05-04 21:47:27.968000,L5,324.46,344.42,337.23,313.01,294.86,270.31,259.67,,,275.63,284.26,283.38,278.14,268.66,257.12,242.69,,244.48,257.46,252.18,251.27,234.81,,,,
2004-06-05 21:48:24.950000,L5,194.22,355.34,345.60,341.13,331.58,322.54,317.56,304.71,305.50,296.10,292.62,282.74,279.71,270.37,268.04,264.15,271.98,258.60,253.64,253.47,248.82,247.66,,,,
2004-07-07 21:49:21.098000,L5,348.11,360.18,353.48,350.55,340.68,332.38,330.63,328.28,320.12,312.24,308.73,306.20,297.01,282.62,283.13,290.95,282.32,273.87,281.27,271.88,278.73,265.96,284.16,251.16,267.62,206.51
2004-07-23 21:49:45.084000,L5,318.75,342.18,337.03,335.24,324.22,310.91,309.68,300.13,292.86,289.59,295.40,290.47,281.83,275.12,268.15,268.61,271.64,263.78,255.64,260.17,251.71,246.15,173.97,,,
2004-08-24 21:50:29.935000,L5,324.33,339.16,331.07,328.68,321.98,305.81,300.52,295.21,287.58,282.01,274.91,274.72,267.18,257.37,254.44,257.42,252.98,,,,,,,,,
2004-09-02 21:44:33.408000,L5,,,,,,284.19,284.36,290.25,283.72,281.23,276.75,281.41,282.84,276.16,278.92,279.25,286.25,273.26,165.18,211.63,211.98,226.28,234.49,189.47,,
2004-09-18 21:44:58.764000,L5,265.71,292.46,289.68,291.53,286.93,278.49,280.17,275.53,278.78,280.08,275.05,276.69,282.31,271.79,274.37,280.07,279.49,,155.98,210.34,210.67,221.54,224.27,192.77,,
2004-09-25 21:51:19.231000,L5,336.76,346.13,341.88,335.03,325.96,315.42,309.33,301.19,297.96,286.29,278.75,278.87,277.47,264.87,260.19,261.37,254.12,,153.57,255.04,196.19,228.07,,,,
2004-10-04 21:45:19.602000,L5,,291.43,292.19,289.38,286.06,280.07,279.62,278.70,279.49,278.06,279.36,280.32,285.71,277.94,277.63,279.75,288.55,267.92,163.57,216.51,216.54,227.67,240.53,196.26,,
2004-10-20 21:45:40.625000,L5,274.47,299.73,299.80,295.91,290.93,284.18,286.14,284.20,286.43,286.68,281.38,288.97,291.33,283.83,284.24,283.59,293.81,287.15,292.30,293.82,293.26,290.06,283.69,204.34,,
2004-10-27 21:51:59.516000,L5,425.76,400.21,379.56,373.58,352.86,344.65,345.07,341.28,337.68,330.27,331.80,323.16,315.75,311.05,301.89,300.11,295.00,290.36,284.94,283.79,281.17,288.91,275.48,263.14,252.73,318.02
2004-11-12 21:52:15.232000,L5,347.23,354.07,343.46,341.10,333.58,324.49,338.01,329.69,319.24,300.46,291.78,298.80,292.37,281.33,271.92,273.98,276.96,262.94,268.53,261.74,259.37,250.14,236.67,236.42,201.21,
2004-12-07 21:46:35.869000,L5,269.50,298.84,293.04,298.12,292.86,288.74,296.23,298.79,291.32,278.18,283.50,289.88,293.80,282.48,284.41,290.85,303.91,283.84,171.43,214.32,223.70,235.01,236.36,195.87,,
2005-01-15 21:53:21.356000,L5,316.04,331.32,326.69,315.40,308.16,300.10,299.76,288.56,287.63,268.35,269.93,271.69,268.80,255.20,248.74,251.54,256.28,,,,,,,,,
2005-02-09 21:47:31.401000,L5,,,,,,,,,,275.73,279.98,280.66,287.45,279.17,274.95,277.19,285.09,282.45,,206.74,207.23,215.36,220.74,182.09,,
2005-03-04 21:54:04.136000,L5,229.30,321.17,315.01,313.95,311.53,298.77,301.94,293.14,290.73,279.16,277.73,279.53,274.12,262.75,251.96,255.00,261.18,,,,,,,,,
2005-04-05 21:54:19.058000,L5,346.18,343.68,340.20,335.59,332.33,314.75,308.60,297.47,296.65,279.45,280.24,280.02,273.78,262.31,257.79,256.16,254.48,,,,,,,,,
2005-04-21 21:54:22.812000,L5,336.27,350.30,341.73,337.71,322.67,314.65,308.30,309.06,295.87,292.62,287.05,288.41,281.12,276.12,265.54,266.76,271.43,253.47,259.63,264.99,261.03,244.73,236.64,237.44,,
2005-05-23 21:54:36.577000,L5,343.13,356.32,352.85,346.91,331.92,324.44,318.89,288.82,276.26,276.13,278.05,283.44,284.68,273.41,263.23,268.05,271.06,249.49,233.59,249.98,184.69,165.44,170.78,,,
2005-06-08 21:54:44.925000,L5,335.56,347.60,340.82,337.25,323.38,314.19,306.90,297.37,290.62,279.23,277.95,268.06,268.96,257.78,255.70,257.48,259.06,,,,,,,,,
2005-07-10 21:54:55.488000,L5,327.80,337.34,331.84,326.73,320.11,306.70,300.96,287.78,,262.24,268.46,211.44,255.55,238.27,245.50,243.94,,,,,,,,,,
2005-08-20 21:49:06.970000,L5,266.52,293.86,290.25,290.14,281.56,274.55,275.00,268.40,259.32,261.81,265.75,254.57,272.40,261.73,265.52,273.33,272.12,,160.76,208.56,200.84,216.76,215.27,188.89,,
2005-08-27 21:55:20.007000,L5,326.05,346.50,338.90,334.32,320.58,306.32,301.02,293.69,285.48,280.81,276.08,269.66,271.21,260.65,256.32,257.59,256.45,232.93,243.89,178.57,240.12,231.47,,,,
2005-09-28 21:55:20.450000,L5,437.45,397.73,390.62,380.06,372.55,365.64,362.47,366.83,358.11,355.80,354.29,349.63,340.03,332.93,324.19,314.45,315.60,308.42,301.06,303.53,293.29,299.01,281.97,281.49,275.78,348.48
2005-10-07 21:49:06.876000,L5,,,,,,,,,,,,,,,,,,,164.66,202.40,211.41,223.46,228.05,191.37,,
2005-10-30 21:55:15.307000,L5,341.07,346.44,339.73,341.33,332.33,318.58,316.97,309.26,303.06,294.92,286.40,285.75,289.17,277.15,267.73,268.71,271.21,259.00,263.45,257.94,257.46,250.81,238.81,236.20,208.36,
2005-11-08 21:49:16.532000,L5,,,,,,,,,,,,,,277.15,270.45,280.05,284.93,,161.19,209.90,218.22,224.08,237.67,199.64,,
2006-02-19 21:57:51.685000,L5,276.87,335.57,226.92,317.96,311.58,299.27,297.39,286.21,283.59,273.10,271.77,271.96,273.21,256.34,251.67,248.46,,,,,,,,,,
2006-06-27 22:00:00.431000,L5,316.12,342.34,337.40,330.58,316.67,308.92,302.35,289.82,267.14,275.66,270.41,267.26,268.90,256.50,253.93,257.76,251.43,,243.48,245.51,236.51,226.94,,,,
2006-07-22 21:54:10.491000,L5,,300.93,297.89,299.53,296.46,299.34,292.26,289.98,289.35,282.45,279.98,281.90,288.29,284.96,283.29,290.46,,,,,,,,,,
2006-09-15 22:01:03.273000,L5,324.10,341.36,334.35,331.30,318.44,308.07,302.43,296.55,283.31,277.91,274.56,271.85,275.72,260.41,255.65,253.48,258.40,,,,,,,,,
2006-10-10 21:55:08.811000,L5,,,,,278.40,272.13,275.14,271.59,266.02,261.66,270.60,269.98,280.86,268.06,270.27,278.05,,,165.32,211.36,214.62,227.00,237.55,195.21,,
2006-11-02 22:01:32.743000,L5,334.12,342.38,334.00,326.31,316.41,311.45,308.45,300.07,292.73,280.64,279.73,278.83,281.83,265.42,263.23,263.45,267.80,,,,,,,,,
2006-11-27 21:55:35.233000,L5,229.14,286.23,282.56,284.23,279.41,270.48,272.61,267.37,175.65,251.14,265.26,276.46,277.93,269.53,271.16,275.93,278.25,,171.68,214.87,218.70,232.01,226.31,199.49,,
2007-01-05 22:02:04.371000,L5,181.47,334.61,327.20,321.82,301.05,299.89,298.30,292.61,288.15,273.56,284.76,285.45,278.39,267.28,260.30,264.95,266.12,,,,,,,,,
2007-01-21 22:02:09.591000,L5,,326.88,320.46,318.31,306.21,304.20,296.23,291.44,292.34,276.64,283.01,285.23,279.26,263.21,252.36,254.35,259.84,,,,,,,,,
2007-01-30 21:56:00.553000,L5,,185.92,262.79,255.38,243.31,232.45,267.95,272.28,280.92,265.72,274.71,281.08,285.35,277.86,267.16,277.02,276.93,,,,,,,,,
2007-02-06 22:02:11.997000,L5,,316.08,307.73,299.76,274.95,269.50,295.13,289.78,289.70,267.96,277.24,278.86,275.65,259.38,246.08,251.89,,,,,,,,,,
2008-02-25 21:57:37.029000,L5,303.19,247.41,233.30,191.12,198.65,228.40,207.22,293.10,286.45,280.59,281.53,277.44,276.22,259.75,250.12,255.99,,,,,,,,,,
2008-12-09 21:51:18.382000,L5,292.32,315.54,317.24,297.31,290.03,279.01,229.60,242.66,187.77,264.06,277.69,282.72,277.13,256.06,247.64,253.77,266.76,224.51,250.38,,,,,,,
2008-12-25 21:51:46.135000,L5,249.41,301.13,319.75,300.82,274.00,257.24,,263.91,173.72,265.82,273.96,281.76,276.28,253.23,246.61,254.44,265.95,,,,,,,,,
2010-01-29 21:58:05.346000,L5,275.05,329.56,331.56,325.58,312.88,307.54,307.12,295.65,297.13,273.55,276.68,288.44,282.10,270.49,258.42,259.93,269.88,,,,,,,,,
2010-10-12 21:57:13.086000,L5,366.78,378.92,366.34,363.63,357.99,344.52,340.32,342.58,339.05,332.51,331.89,331.42,317.74,311.17,304.34,300.91,301.44,288.22,284.58,278.51,271.98,266.78,256.54,251.41,249.46,247.15
2011-01-16 21:57:09.950000,L5,306.64,328.14,320.29,316.89,305.61,301.71,301.53,298.01,289.10,277.09,285.86,286.71,288.51,277.77,258.63,258.90,270.11,249.76,,,,,,,,
2011-02-17 21:57:12.898000,L5,308.33,340.56,230.39,326.26,318.03,314.85,301.59,309.34,303.87,292.22,293.31,295.51,291.55,283.54,273.79,272.59,276.37,,267.38,265.71,261.30,255.44,,,,
2011-09-13 21:55:45.838000,L5,331.04,352.67,356.06,341.39,326.71,315.39,306.81,297.92,286.56,280.01,280.15,280.30,274.34,263.44,263.09,264.74,266.03,258.13,254.44,250.30,247.69,239.36,229.50,229.92,194.66,
2013-04-11 22:09:26.995000,L8,329.40,337.97,330.91,326.21,312.82,304.79,305.79,303.47,296.78,289.21,292.20,290.38,278.70,270.98,262.52,266.49,267.75,245.56,253.83,251.22,203.44,204.47,203.41,236.05,212.48,180.83
2013-05-13 22:09:11.169000,L8,331.16,336.50,335.09,327.07,318.53,304.83,301.67,297.99,292.83,275.18,286.31,284.73,275.39,265.93,260.01,262.54,263.98,236.56,252.66,255.68,251.28,243.15,238.65,240.48,207.54,179.15
2013-05-29 22:09:17.297000,L8,405.75,410.11,392.85,370.35,376.61,364.47,369.72,365.20,371.73,365.96,357.60,348.92,343.69,333.40,326.01,318.84,350.64,333.61,313.85,304.72,293.47,287.08,277.89,273.83,271.94,265.88
2013-06-30 22:09:11.994000,L8,331.85,351.75,336.95,324.85,311.92,306.07,301.73,296.81,290.11,282.01,282.19,283.64,276.09,263.80,266.24,260.96,262.22,243.87,254.90,250.05,206.83,205.80,209.54,230.08,207.30,183.48
2013-09-02 22:09:16.475000,L8,439.12,393.36,374.55,362.13,352.09,344.74,351.33,349.33,337.46,345.03,341.39,335.11,325.17,317.62,312.24,309.18,299.55,303.66,298.38,282.52,280.62,270.91,260.98,271.08,278.85,347.79
