dates,satname,nzd0157-0000,nzd0157-0001,nzd0157-0002,nzd0157-0003,nzd0157-0004,nzd0157-0005,nzd0157-0006,nzd0157-0007,nzd0157-0008,nzd0157-0009,nzd0157-0010,nzd0157-0011,nzd0157-0012,nzd0157-0013,nzd0157-0014
2003-01-18 21:54:06.301000,L7,323.50,310.65,313.29,311.25,303.67,304.70,309.36,299.52,304.19,298.16,306.87,310.94,282.17,266.63,287.86
2003-01-18 21:54:30.278000,L7,408.61,381.88,388.16,394.64,381.95,392.55,413.21,431.64,428.62,402.42,339.14,345.35,347.83,406.72,381.27
2003-02-19 21:54:18.740000,L7,328.67,307.16,315.62,307.92,304.85,301.31,307.59,306.98,311.04,306.70,305.03,296.49,469.16,441.78,
2003-03-23 21:54:16.760000,L7,,481.61,419.83,418.00,388.83,312.49,319.17,386.08,408.13,319.11,320.56,327.19,308.66,306.92,294.04
2003-03-23 21:54:40.711000,L7,,429.29,418.67,418.60,388.99,312.41,318.98,385.27,408.24,319.14,320.47,327.04,308.02,305.96,294.18
2003-05-10 21:54:22.508000,L7,323.07,296.49,308.24,297.92,303.03,302.04,307.75,296.37,303.64,304.31,,,,,
2003-05-10 21:54:46.466000,L7,418.95,405.62,402.42,405.53,395.82,386.75,393.81,400.19,393.87,399.21,385.69,389.46,399.96,369.21,324.29
2003-05-26 21:54:19.958000,L7,367.74,299.95,310.80,301.28,301.69,305.63,311.32,300.68,305.57,300.17,308.85,307.82,287.46,287.83,300.91
2003-05-26 21:54:43.917000,L7,371.46,300.17,313.60,300.84,302.84,307.22,312.13,302.93,306.37,301.36,309.55,313.36,289.71,290.98,301.56
2003-07-21 21:42:09.884000,L5,306.49,302.82,286.49,299.74,295.82,284.97,292.04,287.48,291.25,285.32,288.66,294.38,263.84,255.52,203.39
2003-07-21 21:42:33.857000,L5,306.06,302.79,283.51,299.62,294.52,284.97,293.25,287.06,290.65,283.84,288.66,292.65,263.84,255.15,202.73
2003-08-06 21:42:27.230000,L5,318.32,308.69,302.10,305.54,298.88,293.97,298.32,300.58,298.65,294.80,295.41,300.25,263.63,247.40,248.81
2003-08-06 21:42:51.203000,L5,309.08,302.21,294.39,298.48,293.61,287.26,293.69,294.27,291.13,288.15,288.85,,,,
2003-09-07 21:43:00.591000,L5,294.47,290.99,291.67,290.42,289.97,284.87,284.99,290.85,290.20,281.09,286.27,273.51,230.26,,
2003-10-25 21:43:40.253000,L5,357.08,336.36,332.19,332.95,328.69,325.13,321.29,322.61,331.99,326.96,324.12,322.56,320.25,298.12,324.20
2003-10-25 21:44:04.226000,L5,322.91,307.97,303.29,306.15,300.65,299.06,296.46,300.12,305.24,297.52,296.29,301.14,256.92,239.42,258.31
2004-02-14 21:44:33.705000,L5,,,,,,197.40,195.50,222.96,255.10,239.13,253.95,,,,
2004-03-01 21:44:38.581000,L5,,,,260.37,254.79,251.76,234.53,233.34,263.84,241.11,254.30,248.25,183.57,,
2004-03-01 21:45:02.553000,L5,,,,260.03,253.87,250.94,231.53,229.71,264.04,239.38,253.28,246.89,182.12,,
2004-04-02 21:44:54.996000,L5,,,,264.81,252.15,247.02,219.12,222.31,260.95,239.31,253.44,,,,223.80
2004-04-02 21:45:18.969000,L5,,,,263.12,250.18,244.64,201.96,220.93,259.68,236.53,250.53,,,,218.87
2004-04-18 21:45:25.586000,L5,,,,,,195.06,215.66,228.41,255.50,222.42,245.09,,,,
2004-05-04 21:45:52.076000,L5,277.00,278.87,248.31,278.07,279.12,258.22,,,,,,,,,
